number,title,author,createdAt,closedOrMergedAt,reviewsCount,hoursOpen,merged,additions,deletions,changedFiles,bodyLength,issueCommentsCount,reviewThreadsCount,interactionsCount,finalReviewState
6158,feat: Add Nextcloud Talk notification provider,SystemKeeper,2025-10-01T16:23:29Z,2025-10-04T10:24:41+00:00,4,66.02,True,143,1,6,936,3,8,11,MERGED
6156,fix: Replace proxy-agent due to vm2 vulnerability,MatanAmoyal1,2025-10-01T07:40:10Z,2025-10-01T17:20:32+00:00,1,9.67,True,20,467,3,1529,4,0,4,MERGED
6150,feat: Add Brevo notification provider,smitmartijn,2025-09-29T06:52:24Z,2025-09-29T12:11:58+00:00,1,5.33,True,136,0,6,1371,1,1,2,MERGED
6135,Added Evolution API as notification provider,bode327,2025-09-23T20:49:47Z,2025-09-24T07:08:57+00:00,2,10.32,True,87,0,6,1227,0,2,2,MERGED
6125,feature: Add an environment variable enabling most notification providers to work behind a proxy.,MatanAmoyal1,2025-09-17T13:01:15Z,2025-09-30T10:50:37+00:00,8,309.82,True,627,80,75,1681,9,6,15,MERGED
6113,Fixes buttons getting out of view on mobile screens less than 450px #5978,Devang47,2025-09-07T14:28:45Z,2025-09-09T08:09:04+00:00,2,41.67,True,14,11,1,1842,1,1,2,MERGED
6111,feat:  added Slovak language to dropdown menu,dodog,2025-09-06T17:51:36Z,2025-09-06T21:14:12+00:00,2,3.38,True,1,0,1,115,0,1,1,MERGED
6101,Cache Cleared,singh-kanwarpreet,2025-09-04T10:04:31Z,2025-09-04T12:03:36+00:00,1,1.98,True,2,0,1,1512,1,0,1,MERGED
6081,fix: HeartbeatBar DOWN status showing green instead of red,jabamo,2025-08-23T16:54:41Z,2025-08-25T03:01:29+00:00,1,34.11,True,22,3,1,2668,0,0,0,MERGED
6080,Fix monitor name cropping in nested groups (#5981),nklsgod,2025-08-23T15:13:25Z,2025-08-25T00:31:30+00:00,1,33.3,True,1,0,1,2840,2,0,2,MERGED
6079,feat: deletion button on status list item,RobinToubi,2025-08-23T14:47:12Z,2025-08-25T13:31:33+00:00,4,46.74,True,61,2,1,1895,1,2,3,MERGED
6076,Add Certificate Monitoring for SMTP Monitors,Hartejs088,2025-08-22T13:49:43Z,2025-08-30T10:24:15+00:00,1,188.58,False,102,29,4,872,4,1,5,CLOSED
6052,feat: add clear events botton,cyril59310,2025-08-11T13:16:42Z,2025-08-27T13:04:21+00:00,8,383.79,True,64,0,2,2162,1,7,8,MERGED
6049, Made chart-period global instead of individual,singh-kanwarpreet,2025-08-09T13:28:02Z,2025-08-09T16:52:15+00:00,9,3.4,True,4,4,1,1445,0,5,5,MERGED
6048,feat: Templating and plaintext for Google Workspace Notification Provider,Erikel746,2025-08-08T20:18:34Z,2025-08-09T17:31:44+00:00,3,21.22,True,50,1,3,1000,4,4,8,MERGED
6014,fix: send slack message throw 400 invalid_attachments,skypesky,2025-07-28T13:36:06Z,2025-07-28T14:55:46+00:00,2,1.33,True,12,3,3,1878,2,0,2,MERGED
6009,Add Websocket path to mqtt monitor for WebSocket connection,lupaulus,2025-07-22T21:00:28Z,2025-07-24T20:04:43+00:00,6,47.07,True,68,3,7,1647,1,6,7,MERGED
5991,Fix: Check MySQL database name,louislam,2025-07-17T05:10:45Z,2025-08-30T17:26:33+00:00,3,1068.26,True,10,5,4,164,1,1,2,MERGED
5990,Matrix token command hint should send JSON,fnetX,2025-07-16T23:09:21Z,2025-07-17T06:47:51+00:00,1,7.64,True,1,1,1,2125,0,0,0,MERGED
5982,Fix: LINE Notify Discontinued – Migrated to Messaging API,nayemsiddique,2025-07-13T12:50:07Z,2025-07-21T10:33:00+00:00,3,189.71,False,42,24,3,2484,4,1,5,CLOSED
5966,chore: fix typos in code comments,ianlv,2025-07-02T07:57:56Z,2025-07-02T14:18:14+00:00,1,6.34,True,6,6,6,2283,0,0,0,MERGED
5961,fix: refresh interval getting incremented by 10 on status page despite a minimum of 5,Lyall-A,2025-06-30T03:17:23Z,2025-07-11T21:41:44+00:00,4,282.41,True,12,4,2,2065,0,1,1,MERGED
5957,remove feature freeze messaging from templates,CommanderStorm,2025-06-28T15:15:33Z,2025-06-28T16:27:31+00:00,1,1.2,True,11,37,2,2152,0,0,0,MERGED
5950,feat: Add optional audience for http-monitors via the oauth2 client credentials flow,goshlanguage,2025-06-24T19:44:40Z,2025-06-30T00:37:41+00:00,3,124.88,True,32,7,6,3762,2,5,7,MERGED
5948,Generate a better changelog,louislam,2025-06-23T14:26:44Z,2025-09-05T05:01:18+00:00,1,1766.58,True,203,45,3,632,3,1,4,MERGED
5944,feat: Add proxy clone functionality to settings,Q0,2025-06-23T12:14:34Z,2025-06-23T13:38:02+00:00,2,1.39,True,34,1,2,2309,0,1,1,MERGED
5943,Auto reply to PRs,louislam,2025-06-23T08:46:57Z,2025-06-23T09:56:39+00:00,3,1.16,True,30,0,1,144,1,2,3,MERGED
5939,Improve i18n language matching,Ionys320,2025-06-21T21:12:57Z,2025-06-21T23:02:52+00:00,1,1.83,True,14,5,1,880,2,0,2,MERGED
5929,feat: Add heartbeat tooltip while hovering over status page heartbeats,peaktwilight,2025-06-15T16:14:18Z,2025-07-12T11:34:33+00:00,3,643.34,True,466,10,2,735,11,14,25,MERGED
5928,[Eliminate Blocking] User related,louislam,2025-06-15T11:54:06Z,2025-06-19T06:29:43+00:00,1,90.59,True,8,8,6,80,0,0,0,MERGED
5927,[Eliminate Blocking] Docker monitor,louislam,2025-06-15T11:37:09Z,2025-06-25T05:39:00+00:00,2,234.03,True,25,10,3,22,1,1,2,MERGED
5926,[Eliminate Blocking] Database related,louislam,2025-06-15T11:26:57Z,2025-06-19T06:30:24+00:00,1,91.06,True,5,4,2,183,0,0,0,MERGED
5925,[Eliminate Blocking] Push example,louislam,2025-06-15T11:17:38Z,2025-06-19T07:41:21+00:00,2,92.4,True,4,4,1,22,1,0,1,MERGED
5920,Improve UI: Edit Buttons in Status Page,peaktwilight,2025-06-14T23:13:57Z,2025-06-15T18:44:28+00:00,1,19.51,True,3,3,2,446,0,0,0,MERGED
5914,Fixing recurring maintenance start (again),Ionys320,2025-06-13T16:54:48Z,2025-07-16T15:28:29+00:00,4,790.56,True,64,6,2,1271,3,3,6,MERGED
5904,"feature: ""Daily"" View on Status Page to see aggregated stats for longer periods",Mats4k,2025-06-11T19:47:19Z,2025-06-11T22:11:01+00:00,2,2.4,False,732,25,11,7134,6,1,7,CLOSED
5903,Ensure maintenance are always runned at the right moment,Ionys320,2025-06-11T11:30:23Z,2025-06-11T23:42:25+00:00,1,12.2,True,1,1,1,3972,12,0,12,MERGED
5901,Fix invalid maintenance date,Ionys320,2025-06-11T10:11:41Z,2025-06-11T22:28:04+00:00,1,12.27,True,12,2,2,3141,0,0,0,MERGED
5897,"feat: Add a ""manual"" (static/fixed) monitor",warpreality,2025-06-10T09:06:43Z,2025-06-13T11:38:49+00:00,16,74.53,True,68,1,6,4072,10,22,32,MERGED
5895,Tag dropdown visual and functional enhancements,benemiryilmazer,2025-06-09T14:42:38Z,2025-06-09T16:12:23+00:00,1,1.5,False,299,8,3,464,0,3,3,CLOSED
5893,ntfy.sh separate down priority,DrDrrae,2025-06-08T13:46:15Z,2025-06-10T23:41:09+00:00,2,57.91,True,18,4,3,4061,1,3,4,MERGED
5883,Add avatar_url to discord messages,derekantrican,2025-06-05T01:03:19Z,2025-06-07T19:07:32+00:00,7,66.07,False,3,0,1,3350,5,2,7,CLOSED
5880,added option to force ipv4 or ipv6 for http(s) monitor type,fabtrie,2025-06-04T11:34:03Z,2025-06-13T06:14:56+00:00,21,210.68,True,54,0,5,1474,2,14,16,MERGED
5871,fix: Properly handle the NTLM part being embedded inside other authentication headers,FlorianFeka,2025-06-02T14:19:06Z,2025-06-13T13:08:11+00:00,1,262.82,True,5,2,1,1583,0,0,0,MERGED
5859,Flashduty IntegrationKey support Endpoint URL,guguji5,2025-05-27T06:54:24Z,2025-05-29T11:54:07+00:00,5,53.0,True,10,6,3,1004,0,3,3,MERGED
5857,feat(dingding): customizing in alert content,hnuzhoulin,2025-05-26T10:31:36Z,2025-05-26T21:34:53+00:00,1,11.05,False,1,1,1,6135,3,0,3,CLOSED
5847,Fix: [Push Monitor] Send notifications during maintenance period,louislam,2025-05-20T08:58:20Z,2025-05-20T10:38:21+00:00,3,1.67,True,4,4,1,12,0,0,0,MERGED
5846,feat: add multiple tags in bulk for a monitor,grvwy,2025-05-19T23:08:26Z,2025-06-12T01:52:35+00:00,17,554.74,True,296,105,4,4618,9,12,21,MERGED
5843,fix(sql): use UTC_TIMESTAMP instead of NOW for consistent time calc betwee mysql and sqlite,etnad17,2025-05-17T13:26:32Z,2025-05-17T21:33:01+00:00,1,8.11,True,1,1,1,876,0,0,0,MERGED
5842,Fix monitor reference in push notification logic,rainbend,2025-05-17T04:18:10Z,2025-05-17T22:05:48+00:00,1,17.79,True,5,5,1,4052,0,0,0,MERGED
5832,feat: add notification provider Notifery,martinhjartmyr,2025-05-10T16:54:46Z,2025-05-11T13:38:03+00:00,1,20.72,True,108,1,5,865,0,2,2,MERGED
5826,Add detailed API documentation for Uptime Kuma,Tsopic,2025-05-07T18:59:42Z,2025-05-08T09:09:22+00:00,1,14.16,False,496,30,3,1892,2,0,2,CLOSED
5824,fixed: #5564 slack notifications no preview available,xNewz,2025-05-07T04:59:25Z,2025-05-07T20:29:27+00:00,1,15.5,True,1,0,1,4158,0,0,0,MERGED
5817,Add disable url option in notification Discord,cyril59310,2025-05-04T16:26:47Z,2025-05-05T23:33:50+00:00,3,31.12,True,16,5,3,3778,1,6,7,MERGED
5816,Update SpugPush notification payload,vapao,2025-05-03T13:23:40Z,2025-05-04T12:42:40+00:00,1,23.32,True,11,11,1,24,0,0,0,MERGED
5813,Add SpugPush notification provider,vapao,2025-04-30T20:11:36Z,2025-05-02T06:58:17+00:00,4,34.78,True,62,0,6,424,0,2,2,MERGED
5808,Notification on Maintenance Mode,therickys93,2025-04-29T13:36:54Z,2025-05-23T10:59:43+00:00,1,573.38,False,39,13,2,836,3,3,6,CLOSED
