number,title,author,createdAt,closedOrMergedAt,reviewsCount,hoursOpen
32,editorial suggestions,softchris,2021-06-15T12:18:00Z,2021-06-16T20:37:53+00:00,1,32.33
33,editorial changes,softchris,2021-06-15T12:33:24Z,2021-06-16T20:35:42+00:00,1,32.04
34,editorial,softchris,2021-06-15T13:25:28Z,2021-06-16T20:32:29+00:00,1,31.12
37,editorial,softchris,2021-06-17T22:02:19Z,2021-06-19T17:55:04+00:00,1,43.88
38,web app editorial,softchris,2021-06-22T20:27:06Z,2021-06-22T21:31:01+00:00,1,1.07
41,editorial,softchris,2021-06-22T21:42:41Z,2021-06-23T00:56:10+00:00,2,3.22
42,editorial,softchris,2021-06-23T12:01:22Z,2021-06-23T18:23:37+00:00,2,6.37
43,editorial,softchris,2021-06-23T12:24:35Z,2021-06-23T14:07:47+00:00,1,1.72
48,editorial,softchris,2021-06-24T18:46:19Z,2021-06-24T21:15:22+00:00,1,2.48
49,editorial,softchris,2021-06-24T22:41:00Z,2021-06-25T00:33:40+00:00,1,1.88
50,editorial,softchris,2021-06-25T11:18:25Z,2021-06-25T20:07:57+00:00,1,8.83
51,editorial,softchris,2021-06-25T11:49:57Z,2021-06-25T19:58:28+00:00,1,8.14
53,Reinforcement qlearning,softchris,2021-06-25T13:08:23Z,2021-06-25T19:54:07+00:00,1,6.76
54,editorial,softchris,2021-06-25T13:42:38Z,2021-06-25T19:50:42+00:00,1,6.13
55,editorial,softchris,2021-06-25T14:00:03Z,2021-06-25T19:42:57+00:00,1,5.71
76,translate 1.1-intro-to-ML to Simplified Chinese,feiyun0112,2021-07-02T16:00:11Z,2021-07-03T03:02:40+00:00,2,11.04
78,translate 1.2-history-of-ML to Simplified Chinese,feiyun0112,2021-07-03T02:51:10Z,2021-07-07T12:02:56+00:00,1,105.2
79,translate 1.3-fairness to Simplified Chinese,feiyun0112,2021-07-03T02:53:33Z,2021-07-07T12:03:36+00:00,1,105.17
80,translate 1.4-techniques-of-ML to Simplified Chinese,feiyun0112,2021-07-03T02:55:48Z,2021-07-07T12:04:29+00:00,1,105.14
81,"Translated 1.1 readme.md, 1-introduction readme.md to Japanese",Peeeaje,2021-07-03T06:09:57Z,2021-07-03T15:53:48+00:00,2,9.73
82,translated 1.2 history of ML README.md to Japanese,Peeeaje,2021-07-03T09:09:10Z,2021-07-03T15:52:59+00:00,2,6.73
91,translate 1.3 fairness readme.md to Japanese,Peeeaje,2021-07-04T18:44:01Z,2021-07-05T01:29:22+00:00,1,6.76
92,Fix typo,VitorMouro,2021-07-04T19:38:17Z,2021-07-04T21:09:52+00:00,2,1.53
94,fix broken link and change wording,firstimedeveloper,2021-07-05T05:40:11Z,2021-07-05T13:17:14+00:00,2,7.62
96,Fix typo in 2-Regression/1-Tools ,Hasaber8,2021-07-05T09:15:55Z,2021-07-05T16:08:53+00:00,2,6.88
97,Add Indonesian translation for 1-introduction,hizzely,2021-07-05T11:40:12Z,2021-07-26T03:26:23+00:00,3,495.77
99,fix typo,firstimedeveloper,2021-07-06T07:39:51Z,2021-07-06T12:37:26+00:00,2,4.96
102,Fix a Typo,vishvanathan-k,2021-07-06T10:19:23Z,2021-07-06T12:38:17+00:00,1,2.31
103,Add Indonesian translation for 2-Regresion,iBlueDust,2021-07-06T12:34:12Z,2021-07-09T14:14:28+00:00,1,73.67
109,Fix csv file path in the code snippet,tddschn,2021-07-07T09:44:41Z,2021-07-07T11:22:44+00:00,2,1.63
113,Add Japanese translation for 2-Regression,kenya-sk,2021-07-07T17:50:58Z,2021-07-09T17:03:51+00:00,2,47.21
117,Update README.zh-cn.md,feiyun0112,2021-07-09T06:34:58Z,2021-07-09T14:12:44+00:00,2,7.63
118,Update README.zh-cn.md,feiyun0112,2021-07-09T07:05:22Z,2021-07-09T14:12:10+00:00,1,7.11
122,typo in Readme,amitbatra31,2021-07-09T13:38:06Z,2021-07-09T14:42:55+00:00,2,1.08
123,translate 2.1 to Simplified Chinese,feiyun0112,2021-07-09T14:03:22Z,2021-07-13T11:34:41+00:00,1,93.52
124,translate 2.2 to Simplified Chinese,feiyun0112,2021-07-09T14:08:25Z,2021-07-13T11:35:32+00:00,1,93.45
126,translate 2.4 to Simplified Chinese,feiyun0112,2021-07-09T14:08:59Z,2021-07-10T03:59:37+00:00,2,13.84
127,Added README in Portuguese,alexgfaria,2021-07-09T15:12:30Z,2021-07-09T17:11:39+00:00,1,1.99
128,Add Portuguese translation to quizz-app,alexgfaria,2021-07-09T15:28:33Z,2022-01-29T08:37:04+00:00,2,4889.14
129,Update README.zh-cn.md,feiyun0112,2021-07-09T15:39:59Z,2021-07-09T17:06:14+00:00,1,1.44
130,Update README.zh-cn.md,feiyun0112,2021-07-09T15:40:53Z,2021-07-09T17:05:33+00:00,1,1.41
131,Update README.zh-cn.md,feiyun0112,2021-07-09T15:41:32Z,2021-07-09T17:05:06+00:00,1,1.39
132,Update README.zh-cn.md,feiyun0112,2021-07-09T15:42:27Z,2021-07-09T17:04:38+00:00,1,1.37
141,Update README.zh-cn.md,feiyun0112,2021-07-10T08:13:17Z,2021-07-10T17:10:47+00:00,1,8.96
151,[WIP] Translate assignments and quizzes to Korean,ianikpark,2021-07-11T14:18:23Z,2021-10-02T14:19:34+00:00,1,1992.02
159,2 regression ja,kenya-sk,2021-07-12T11:15:01Z,2021-08-04T11:20:28+00:00,1,552.09
164,Create README.zh.md,XiaojianTang,2021-07-13T04:38:53Z,2021-07-13T12:01:14+00:00,2,7.37
167,propose french translation of Introduction base README,ManuSquall,2021-07-13T16:22:05Z,2021-07-14T00:45:23+00:00,1,8.39
171,translate 6.1 README to Simplified Chinese,ahaliu1,2021-07-14T10:18:14Z,2021-07-15T03:38:24+00:00,1,17.34
