number,title,author,createdAt,closedOrMergedAt,reviewsCount,hoursOpen,merged,additions,deletions,changedFiles,bodyLength,issueCommentsCount,reviewThreadsCount,interactionsCount,finalReviewState
62551,Bump the github-actions group with 2 updates,dependabot,2025-10-06T00:10:38Z,2025-10-06T07:07:14+00:00,1,6.94,True,5,5,2,7315,0,0,0,MERGED
62522,Fix releaser tag creation,jakebailey,2025-10-01T19:34:14Z,2025-10-01T20:41:42+00:00,2,1.12,True,24,0,1,195,0,2,2,MERGED
62510,Port microsoft/typescript-go#1764,ahejlsberg,2025-09-29T20:09:33Z,2025-09-29T21:47:59+00:00,2,1.64,True,1,1,1,35,6,0,6,MERGED
62509,Deprecate baseUrl,andrewbranch,2025-09-29T16:58:33Z,2025-09-30T21:03:17+00:00,2,28.08,True,6800,1661,224,13,1,0,1,MERGED
62507,Bump the github-actions group across 1 directory with 2 updates,dependabot,2025-09-29T00:08:26Z,2025-09-30T17:33:45+00:00,1,41.42,True,5,5,3,9636,0,0,0,MERGED
62502,Port https://github.com/microsoft/typescript-go/pull/1759,ahejlsberg,2025-09-28T15:24:45Z,2025-09-28T20:55:30+00:00,2,5.51,True,5,8,2,35,8,0,8,MERGED
62501,Port microsoft/typescript-go#1757,ahejlsberg,2025-09-28T13:34:50Z,2025-09-29T21:42:30+00:00,2,32.13,True,362,17,5,35,11,0,11,MERGED
62496,Update DOM types,jakebailey,2025-09-26T22:53:40Z,2025-10-02T17:42:43+00:00,7,138.82,True,2391,1345,92,219,42,2,44,MERGED
62483,Disable conditional exports fallbacks on `null` values,andrewbranch,2025-09-24T23:14:45Z,2025-09-25T16:16:51+00:00,2,17.04,True,197,2,8,45,3,1,4,MERGED
62465,fix(error message): fixes issue in  error message TS1355,Janhvi21,2025-09-18T18:25:11Z,2025-09-19T15:47:27+00:00,2,21.37,True,10,10,4,12,2,0,2,MERGED
62443,Enable `noUncheckedSideEffectImports` by default,RyanCavanaugh,2025-09-12T17:20:35Z,2025-09-22T19:06:05+00:00,5,241.76,True,329,50,40,49,12,1,13,MERGED
62440,🤖 Pick PR #62438 (Fix incorrectly ignored dts file fr...) into release-5.9,typescript-bot,2025-09-11T19:44:52Z,2025-09-25T17:24:46+00:00,1,333.67,True,386,2,3,117,0,0,0,MERGED
62435,Remove no-default-lib,jakebailey,2025-09-11T16:35:13Z,2025-09-24T23:16:15+00:00,16,318.68,True,15942,25733,2178,12,28,8,36,MERGED
62426,🤖 Pick PR #62351 (Add missing Float16Array constructo...) into release-5.9,typescript-bot,2025-09-09T17:10:40Z,2025-09-25T17:24:42+00:00,1,384.23,True,3,0,2,117,0,0,0,MERGED
62425,🤖 Pick PR #62423 (Revert PR 61928) into release-5.9,typescript-bot,2025-09-09T17:10:22Z,2025-09-25T17:24:36+00:00,1,384.24,True,16,21,7,117,2,0,2,MERGED
62424,🤖 Pick PR #62311 (Fix parenthesizer rules for manuall...) into release-5.9,typescript-bot,2025-09-09T17:07:51Z,2025-09-25T17:24:24+00:00,1,384.28,True,338,1,20,117,0,0,0,MERGED
62423,Revert PR 61928,jakebailey,2025-09-09T16:58:57Z,2025-09-25T17:22:27+00:00,2,384.39,True,16,21,7,340,4,5,9,MERGED
62412,Fix findAllReferences for export= namespace with ES6 imports,mag123c,2025-09-08T08:16:21Z,2025-09-22T22:11:01+00:00,1,349.91,False,38,1,2,452,1,0,1,CLOSED
62411,Bump the github-actions group across 1 directory with 4 updates,dependabot,2025-09-08T00:10:49Z,2025-09-08T16:23:59+00:00,3,16.22,True,31,31,15,15208,0,4,4,MERGED
62407,refactor(typingsInstaller): modernize architecture and improve type safety.,KushalMeghani1644,2025-09-06T14:20:56Z,2025-09-08T16:09:23+00:00,7,49.81,False,1019,144,4,3365,3,23,26,CLOSED
62399,Replace all testcase instances of 'module' with 'namespace',RyanCavanaugh,2025-09-04T22:39:10Z,2025-09-08T23:07:46+00:00,4,96.48,True,23240,23144,5766,227,4,1,5,MERGED
62397,Support downleveling classes that extend frozen bases,gibson042,2025-09-04T21:05:17Z,2025-09-05T16:59:05+00:00,1,19.9,False,11918,1578,884,419,5,0,5,CLOSED
62391,Switch `libReplacement` to `false` by default and fix condition logic,copilot-swe-agent,2025-09-03T23:14:21Z,2025-09-11T00:02:03+00:00,2,168.79,True,2685,51218,449,1225,15,0,15,MERGED
62357,LEGO: Pull request from lego/hb_5378966c-b857-470a-8675-daebef4a6da1_20250829194312467 to main,csigs,2025-08-29T19:43:36Z,2025-09-08T19:49:11+00:00,2,240.09,True,233,116,13,114,0,0,0,MERGED
62351,Add missing Float16Array constructors,greggman,2025-08-28T21:50:20Z,2025-09-09T18:22:55+00:00,3,284.54,True,3,0,2,143,12,0,12,MERGED
62338,Deprecate `--moduleResolution node10`,andrewbranch,2025-08-26T23:10:28Z,2025-08-27T20:51:20+00:00,2,21.68,True,13352,6218,747,231,9,0,9,MERGED
62320,Allow `--module bundler --moduleResolution commonjs`,andrewbranch,2025-08-22T17:54:43Z,2025-08-22T21:17:19+00:00,3,3.38,True,181,241,23,1268,0,2,2,MERGED
62311,Fix parenthesizer rules for manually constructed binary expressions with `??` and `||`/`&&` mix,Andarist,2025-08-21T09:42:17Z,2025-09-09T17:06:00+00:00,4,463.4,True,338,1,20,12,3,9,12,MERGED
62310,Error on package.json conditional exports fallback lookups,andrewbranch,2025-08-20T22:26:27Z,2025-09-05T20:17:34+00:00,1,381.85,False,104,57,11,12,22,2,24,CLOSED
62299,Bump the github-actions group with 2 updates,dependabot,2025-08-18T00:22:27Z,2025-08-18T18:50:03+00:00,1,18.46,True,35,35,16,9024,0,0,0,MERGED
62285,Update deps,jakebailey,2025-08-14T15:36:52Z,2025-08-14T19:17:25+00:00,2,3.68,True,1837,1322,4,0,0,2,2,MERGED
62252,Bump the github-actions group with 2 updates,dependabot,2025-08-11T01:11:31Z,2025-08-11T16:49:31+00:00,1,15.63,True,5,5,3,6978,0,0,0,MERGED
62201,Update Node.js core modules,Renegade334,2025-08-05T04:10:35Z,2025-08-11T20:16:40+00:00,4,160.1,True,17,51,2,54,0,2,2,MERGED
62175,Suggest completions for newline-delimited type argument properties,mkantor,2025-08-02T11:33:28Z,2025-08-03T00:43:29+00:00,3,13.17,False,2,1,2,13,3,2,5,CLOSED
62170,Enhance type argument completions,mkantor,2025-08-01T11:44:32Z,2025-09-30T20:00:20+00:00,6,1448.26,True,402,13,15,970,9,2,11,MERGED
62164,🤖 Pick PR #61978 (Restructure CI to prepare for requi...) into release-5.9,typescript-bot,2025-07-31T23:06:03Z,2025-08-01T05:12:22+00:00,1,6.11,True,119,23,1,117,1,0,1,MERGED
62163,Intentionally regress one buggy declaration output to an older version,weswigham,2025-07-31T22:50:45Z,2025-08-01T00:12:06+00:00,2,1.36,True,173,1,5,242,0,0,0,MERGED
62158,Revert PR 61668,jakebailey,2025-07-31T16:49:53Z,2025-09-11T00:13:15+00:00,1,991.39,False,324,83,14,266,4,1,5,CLOSED
62155,Fix private identifier fields generating errors in class expression declarations,copilot-swe-agent,2025-07-31T15:00:49Z,2025-07-31T22:51:51+00:00,6,7.85,True,180,0,6,2772,0,2,2,MERGED
62150,LEGO: Pull request from lego/hb_5378966c-b857-470a-8675-daebef4a6da1_20250730202607176 to main,csigs,2025-07-30T20:26:28Z,2025-09-08T19:48:56+00:00,2,959.37,False,195,78,13,114,2,2,4,CLOSED
62130,Implement enhanced CLI error formatting,anivar,2025-07-26T04:05:40Z,2025-08-17T06:55:29+00:00,1,530.83,False,214,18,1,1217,3,4,7,CLOSED
62113,Give more specific errors for `verbatimModuleSyntax`,DanielRosenwasser,2025-07-23T17:58:02Z,2025-07-23T22:38:02+00:00,2,4.67,True,73,55,10,54,0,2,2,MERGED
