number,title,author,createdAt,closedOrMergedAt,reviewsCount,hoursOpen
21,Adding chapter 1 Introduction to generative AI,carlotta94c,2023-09-21T16:32:34Z,2023-10-23T11:48:48+00:00,11,763.27
22,Feat/add codespaces jupyter,nitya,2023-09-27T12:45:43Z,2023-10-11T18:40:00+00:00,1,341.9
23,Adding chapter 2 - Introduction to Generative AI,PabloNunes,2023-09-29T18:14:11Z,2023-10-23T11:49:24+00:00,4,569.59
24,"Building Chat Applications, Lesson 7",paladique,2023-10-03T09:24:54Z,2023-10-23T21:00:02+00:00,3,491.59
25,Lesson 12: designing UX for AI,BethanyJep,2023-10-05T18:49:26Z,2023-10-23T11:54:25+00:00,1,425.08
26,Adding Lesson 10: Build Low Code AI Applications,dikodev,2023-10-06T13:49:50Z,2023-10-23T11:54:01+00:00,2,406.07
27,Lesson 4 - Intro to Prompt Engineering,nitya,2023-10-07T00:09:18Z,2023-10-23T11:50:24+00:00,2,395.69
28,Added the Notebook for Lesson 11,koreyspace,2023-10-09T20:33:19Z,2023-10-22T18:48:08+00:00,1,310.25
29,"Adding Chapter 6 , Text Generation app, adding text generation, initial commit",softchris,2023-10-16T18:47:52Z,2023-10-26T07:13:03+00:00,4,228.42
30,Adding Chapter 9,softchris,2023-10-18T17:01:37Z,2023-10-26T07:15:30+00:00,1,182.23
32,Building Search Apps with Vectors,gloveboxes,2023-10-19T10:02:24Z,2023-10-25T22:00:36+00:00,1,155.97
38,Final review - Chapter 2,softchris,2023-10-26T13:14:43Z,2023-10-27T13:24:06+00:00,16,24.16
54,Update notebooks to highlight differences between accessing services,paladique,2023-10-27T18:50:53Z,2023-10-30T10:47:52+00:00,1,63.95
55,Minor fixes to lesson 12 and 13,BethanyJep,2023-10-30T09:43:28Z,2023-10-30T10:49:28+00:00,1,1.1
63,Added instructions on how to run code locally.,BethanyJep,2023-10-31T09:20:59Z,2023-10-31T16:17:13+00:00,1,6.94
64,Ch4 - adding challenge and knowledge check,softchris,2023-10-31T12:49:11Z,2023-10-31T16:12:37+00:00,1,3.39
65,Chapter 5 - adding challenge,softchris,2023-10-31T12:53:56Z,2023-10-31T16:12:14+00:00,1,3.31
66,"Chapter 6, adding challenge",softchris,2023-10-31T13:13:47Z,2023-10-31T16:10:10+00:00,1,2.94
77,"Revert ""Add Chinese support""",leestott,2023-11-01T12:23:53Z,2023-11-01T14:34:04+00:00,1,2.17
85,Update README.md,softchris,2023-11-01T17:37:04Z,2023-11-01T19:14:52+00:00,1,1.63
86,fix: typos and grammar 00-06,john0isaac,2023-11-01T18:38:39Z,2023-11-02T08:38:05+00:00,3,13.99
88,WIP: adding dotnet support on text gen app,softchris,2023-11-01T21:23:23Z,2023-11-02T08:38:40+00:00,1,11.25
95,fix: typos and grammar 07-13,john0isaac,2023-11-03T01:24:51Z,2023-11-03T06:35:54+00:00,1,5.18
96,Update page title,prafullkotecha,2023-11-03T03:13:39Z,2023-11-03T06:34:55+00:00,2,3.35
97,typo fix in README.md,jitangupta,2023-11-03T03:15:14Z,2023-11-03T06:31:38+00:00,1,3.27
99,Add 06-text-generation-apps Chinese content,kinfey,2023-11-03T09:00:36Z,2023-11-03T18:37:38+00:00,1,9.62
100,Fix typo in 00-course-setup/translations/cn/README.md,BLumia,2023-11-03T12:40:09Z,2023-11-03T18:37:03+00:00,1,5.95
101,Lesson 2: remove references to unexistent model,cmaneu,2023-11-03T15:53:30Z,2023-11-03T18:36:12+00:00,1,2.71
102,making instructions clearer,softchris,2023-11-03T15:57:42Z,2023-11-03T19:09:54+00:00,1,3.2
106,Maintain links consistency,john0isaac,2023-11-03T19:15:06Z,2023-11-04T11:04:58+00:00,2,15.83
108,add all chinese content ,kinfey,2023-11-04T08:01:52Z,2023-11-04T10:24:24+00:00,2,2.38
113,Remove template file,softchris,2023-11-04T12:37:39Z,2023-11-06T15:57:08+00:00,1,51.32
114,Move images,softchris,2023-11-04T12:43:23Z,2023-11-06T15:56:42+00:00,2,51.22
116,Update README.md,feng19,2023-11-06T02:56:50Z,2023-11-07T19:59:23+00:00,1,41.04
117,Update README.md,softchris,2023-11-06T14:27:37Z,2023-11-06T15:54:19+00:00,1,1.45
119,Create italian readme,godwin-17,2023-11-06T20:31:56Z,2024-01-23T13:36:57+00:00,1,1865.08
121,Add Portugese translation,glaucia86,2023-11-07T16:38:04Z,2023-11-27T14:53:36+00:00,2,478.26
125,fix: links issues,john0isaac,2023-11-08T10:45:25Z,2023-11-08T14:40:33+00:00,1,3.92
126,fix: links issues 2,john0isaac,2023-11-08T15:05:36Z,2023-11-08T21:15:03+00:00,1,6.16
148,fixed Chinese content,kinfey,2023-11-09T02:34:20Z,2023-11-09T07:06:26+00:00,1,4.54
149,Fix typos on prompt engineering fundamentals chapter,diegoakechi,2023-11-09T15:16:31Z,2023-11-10T11:46:43+00:00,1,20.5
152,Improve workflow,john0isaac,2023-11-09T16:29:20Z,2023-11-09T18:10:48+00:00,1,1.69
161,Contributing guidance,john0isaac,2023-11-10T00:58:41Z,2023-11-10T09:18:10+00:00,2,8.32
163,DevContainer Setup fix,leestott,2023-11-10T09:40:48Z,2023-11-10T14:12:47+00:00,1,4.53
169,Fixed Missing Notebook links,leestott,2023-11-10T14:56:12Z,2023-11-10T18:07:40+00:00,4,3.19
171,Add line breaks to improve image alignment in README,JamesJang26,2023-11-11T06:59:52Z,2023-11-14T13:30:19+00:00,1,78.51
172,Update README.md,rizwanshoukat3324,2023-11-11T11:13:34Z,2023-11-11T22:34:25+00:00,1,11.35
173,Update README.md,rizwanshoukat3324,2023-11-11T11:33:42Z,2023-11-11T22:35:16+00:00,1,11.03
175,"using the ""your"" voice in the readme file",johnpapa,2023-11-11T22:42:56Z,2023-11-13T15:33:16+00:00,1,40.84
178,Fixed VSCode hyperlink,nachodieez,2023-11-13T09:36:54Z,2023-11-13T15:34:31+00:00,1,5.96
179,Chore/fix openai update,nitya,2023-11-14T04:31:36Z,2023-11-14T09:31:23+00:00,1,5.0
183,use meta_prompt in the example prompt,henriwoodcock,2023-11-16T16:48:51Z,2023-11-17T16:32:51+00:00,1,23.73
185,[CN] Update translation of Lesson 01,kj415j45,2023-11-17T08:21:12Z,2024-02-07T08:38:49+00:00,1,1968.29
186,correct typo in chain-of-thought,VivekYadavOfficial,2023-11-17T10:49:39Z,2023-11-20T10:21:18+00:00,1,71.53
188,"Fixed documentation,broken notebooks and made it runnable inside DevContainer",corradocavalli,2023-11-17T15:41:30Z,2023-12-12T10:27:43+00:00,2,594.77
196,Create .nojekyll,john0isaac,2023-11-21T13:59:18Z,2023-11-21T18:43:09+00:00,1,4.73
197,fix/navbar - fixes issue where navbar is not seen in hosted GitHub Pages,nitya,2023-11-21T21:41:42Z,2023-11-21T22:56:57+00:00,1,1.25
205,Properly uppercase GitHub,EstebanDalelR,2023-11-24T19:47:10Z,2023-11-28T12:48:30+00:00,1,89.02
206,Add link to MSOS Code of Conduct,EstebanDalelR,2023-11-24T20:02:20Z,2023-11-28T12:50:00+00:00,1,88.79
207,Fixing a typo,peterj,2023-11-25T00:36:32Z,2023-11-27T10:45:39+00:00,1,58.15
212,Env setup,seanglynn,2023-11-26T13:12:25Z,2024-01-23T13:36:08+00:00,1,1392.4
214,chores/fixes,john0isaac,2023-11-26T18:40:07Z,2023-12-01T10:37:35+00:00,1,111.96
216,Update chapter02 Chinese translation,ShoreCN,2023-11-27T19:41:44Z,2024-02-10T08:38:57+00:00,1,1788.95
221,Update README.md,WirelessLife,2023-11-30T14:28:40Z,2023-12-01T10:36:14+00:00,1,20.13
224,Update chapter01 Chinese translation,jackbai233,2023-12-02T02:32:59Z,2024-03-11T08:38:50+00:00,3,2406.1
225,Chaper 04 typos,kgchang,2023-12-03T21:51:33Z,2024-01-23T13:37:23+00:00,3,1215.76
230,Add Japanese Translation,yoshioterada,2023-12-04T21:29:43Z,2023-12-19T08:27:44+00:00,13,346.97
233,Update README.md,bweissman,2023-12-06T08:43:14Z,2023-12-12T10:29:44+00:00,2,145.78
241,fix typo.,moqimoqidea,2023-12-17T10:17:52Z,2024-01-17T09:59:40+00:00,1,743.7
242,Fix broken Json in the notebook,davidathompson,2023-12-17T12:56:54Z,2023-12-18T21:46:18+00:00,1,32.82
244,Updated to new service name,koruneko,2023-12-19T15:45:51Z,2024-01-04T19:18:17+00:00,2,387.54
245,Modified Japanese Expression,yoshioterada,2023-12-20T04:10:55Z,2023-12-21T08:45:56+00:00,1,28.58
250,Updated ch06 with chat completion methods for newer models,infosatheesh2020,2023-12-21T15:30:44Z,2024-01-17T09:58:20+00:00,1,642.46
251,Modified all Japanese expression,yoshioterada,2023-12-23T00:24:48Z,2024-01-02T08:33:51+00:00,1,248.15
253,Fix azure portal link for ch04,FacerAin,2023-12-27T14:06:35Z,2024-01-02T08:37:31+00:00,1,138.52
254,FIX Review 05 Advanced Prompts #220,dbroeglin,2023-12-28T09:58:48Z,2024-01-04T19:19:56+00:00,1,177.35
259,Migrated to openai >= 1.0.0,davidathompson,2023-12-29T21:29:24Z,2024-01-04T19:17:02+00:00,1,141.79
269,Fix Codespaces billing note,tsubakimoto,2024-01-04T07:07:21Z,2024-01-04T16:07:20+00:00,1,9.0
270,Fix typo in translations/cn/README.md,eltociear,2024-01-04T17:14:02Z,2024-01-23T13:34:13+00:00,1,452.34
271,add Korean Translation,FacerAin,2024-01-07T05:21:01Z,2024-03-26T09:45:38+00:00,1,1900.41
273,SpanishVersionREADME.md,Marcelasabogue,2024-01-07T18:22:44Z,2024-01-21T08:22:57+00:00,2,326.0
