number,title,author,createdAt,closedOrMergedAt,reviewsCount,hoursOpen,merged,additions,deletions,changedFiles,bodyLength,issueCommentsCount,reviewThreadsCount,interactionsCount,finalReviewState
19406,Extra semicolon removed,Lochit-Vinay,2025-10-02T18:06:40Z,2025-10-02T19:08:23+00:00,1,1.03,False,1,1,1,1220,1,0,1,CLOSED
19403,Remove the leading fire from the taskbar progress handler,DHowett,2025-10-01T23:30:28Z,2025-10-02T16:24:31+00:00,1,16.9,True,0,1,1,730,0,0,0,MERGED
19401,Fix ghost characters with tmux over SSH (GH#18004),giuliohome,2025-10-01T00:58:09Z,2025-10-05T18:18:38+00:00,3,113.34,False,388,19,11,7,6,3,9,CLOSED
19395,"Avoid reentrancy issues when dropping AppHost, even harder",DHowett,2025-09-29T16:56:55Z,2025-09-30T21:05:58+00:00,2,28.15,True,3,3,1,922,0,0,0,MERGED
19387,Minor fixes to the settings schema,ralish,2025-09-27T12:12:44Z,2025-10-03T04:13:37+00:00,5,136.01,True,52,34,1,724,3,3,6,MERGED
19375, Fix broken MSDN link in gdi/state.cpp,AvishekDas5,2025-09-24T04:04:01Z,2025-09-25T19:17:09+00:00,1,39.22,True,1,1,1,524,4,0,4,MERGED
19372,Fix broken MSDN link in gdi/state.cpp,AvishekDas5,2025-09-23T14:16:22Z,2025-09-24T03:56:33+00:00,2,13.67,False,1,1,1,534,1,1,2,CLOSED
19365,Add GitHub Actions workflow for Windows Terminal build,AvishekDas5,2025-09-20T16:14:43Z,2025-09-21T03:23:02+00:00,2,11.14,False,155,0,6,331,3,2,5,CLOSED
19354,Avoid generating SSH profiles using stale memory,DHowett,2025-09-16T19:20:27Z,2025-09-16T20:23:58+00:00,1,1.06,True,6,15,2,127,1,0,1,MERGED
19353,Move newTabMenu creation to Settings Fixups,DHowett,2025-09-16T19:19:46Z,2025-09-16T21:08:45+00:00,4,1.82,True,12,11,1,903,2,1,3,MERGED
19352,VsDev: reject VS instances which do not actually contain devshell/devcmd,DHowett,2025-09-16T18:34:44Z,2025-09-16T20:24:10+00:00,1,1.82,True,5,3,2,13,1,0,1,MERGED
19351,Add tab color setting to settings UI,carlos-zamora,2025-09-15T21:51:06Z,2025-09-25T18:37:44+00:00,2,236.78,True,122,4,5,1244,1,2,3,MERGED
19347,Fix behavior of split-plane for existing windows,lhecker,2025-09-13T16:59:46Z,2025-09-16T18:09:56+00:00,1,73.17,True,5,4,2,77,0,0,0,MERGED
19344,Rewrite the MSAA/UIA integration into conhost,lhecker,2025-09-12T14:04:27Z,2025-09-22T22:53:52+00:00,14,248.82,True,923,1023,78,520,1,26,27,MERGED
19335,Apparently finish the SLNX migration,DHowett,2025-09-10T00:14:44Z,2025-09-10T01:39:40+00:00,1,1.42,True,76,76,1,82,0,0,0,MERGED
19332,Fix terminal profile schema to allow null in keybinding id,cavanaug,2025-09-08T23:11:16Z,2025-09-11T18:06:33+00:00,3,66.92,True,9,2,1,1180,2,0,2,MERGED
19329,Fix a crash in _makeCursorVisible,lhecker,2025-09-08T19:18:39Z,2025-09-10T19:21:46+00:00,7,48.05,True,33,10,2,132,1,3,4,MERGED
19328,Convert the solution file to the new SLNX format,DHowett,2025-09-08T18:04:42Z,2025-09-09T20:01:04+00:00,5,25.94,True,1096,2392,12,0,2,8,10,MERGED
19323,tests: add UIHelpers and ThemeHelpers to TestHostApp,DHowett,2025-09-05T21:28:40Z,2025-09-08T17:21:30+00:00,2,67.88,True,4,0,1,64,0,0,0,MERGED
19319,Localization Updates - main - 09/04/2025 03:03:15,consvc,2025-09-04T03:03:16Z,2025-09-05T22:13:47+00:00,1,43.18,True,2817,9,13,0,0,0,0,MERGED
19318,Fix conflicts from action args reflection PR,PankajBhojwani,2025-09-03T23:02:06Z,2025-09-04T01:04:29+00:00,1,2.04,True,1068,280,19,40,0,0,0,MERGED
19303,"Adjust ""Dimidium"" color scheme",dofuuz,2025-08-30T03:28:54Z,2025-09-03T16:04:28+00:00,1,108.59,True,2,2,1,475,4,0,4,MERGED
19298,Fix CoreWindow being destroyed after handoff,lhecker,2025-08-29T14:52:27Z,2025-09-01T13:32:58+00:00,1,70.68,True,23,18,1,195,0,0,0,MERGED
19297,Fix a race condition around Open/CloseClipboard,lhecker,2025-08-29T14:18:08Z,2025-08-29T18:20:54+00:00,1,4.05,True,41,2,1,180,0,0,0,MERGED
19296,Avoid reentrancy issues when dropping AppHost,lhecker,2025-08-28T22:01:35Z,2025-09-01T13:33:11+00:00,2,87.53,True,20,3,2,198,2,0,2,MERGED
19290,sb: add appId to the StoreBroker blobs (new AERO requirement),DHowett,2025-08-27T15:51:52Z,2025-08-27T17:22:28+00:00,1,1.51,True,2,0,2,77,0,0,0,MERGED
