number,title,author,createdAt,closedOrMergedAt,reviewsCount,hoursOpen,merged,additions,deletions,changedFiles,bodyLength,issueCommentsCount,reviewThreadsCount,interactionsCount,finalReviewState
51093,Add existence check for go.mod and go.sum files,austinvazquez,2025-10-03T13:05:18Z,2025-10-03T22:00:22+00:00,2,8.92,True,21,0,1,237,2,0,2,MERGED
51091,[28.x] Add back vendor.sum,austinvazquez,2025-10-02T22:22:12Z,2025-10-03T20:27:19+00:00,1,22.09,True,854,0,1,170,7,0,7,MERGED
51089,dnm: test ci code build,austinvazquez,2025-10-02T20:54:59Z,2025-10-03T00:12:11+00:00,6,3.29,False,3,2,2,159,2,1,3,CLOSED
51076,"client/build_*: Add options struct, wrap result",vvoland,2025-10-01T10:58:13Z,2025-10-01T18:17:06+00:00,3,7.31,True,34,18,6,159,0,2,2,MERGED
51075,[28.x backport] vendor: github.com/moby/buildkit v0.25.0,vvoland,2025-10-01T09:53:37Z,2025-10-01T15:26:18+00:00,2,5.54,True,35,865,6,206,6,1,7,MERGED
51074,vendor: github.com/moby/buildkit v0.25.0,jsternberg,2025-09-30T20:44:48Z,2025-10-01T12:11:17+00:00,3,15.44,True,37,13,6,188,2,1,3,MERGED
51073,"daemon, client: remove version-gate for daemon-side AutoRemove",thaJeztah,2025-09-30T16:32:13Z,2025-10-03T22:01:00+00:00,1,77.48,True,12,41,4,1161,1,0,1,MERGED
51072,api: omit legacy fields from image inspect if not set,thaJeztah,2025-09-30T15:00:22Z,2025-10-04T08:31:15+00:00,3,89.51,True,38,22,6,3799,1,0,1,MERGED
51071,client: reduce uses of obsolete API versions in tests,thaJeztah,2025-09-30T12:40:30Z,2025-10-04T00:00:38+00:00,2,83.34,True,48,25,1,391,0,0,0,MERGED
51070,"daemon/server: implement image-inspect with ""compat"" package",thaJeztah,2025-09-30T12:34:30Z,2025-10-02T19:34:45+00:00,1,55.0,True,12,8,1,684,1,0,1,MERGED
51069,[28.x backport] api: swagger: remove VirtualSize fields for API > v1.43,thaJeztah,2025-09-30T11:21:09Z,2025-09-30T12:56:00+00:00,1,1.58,True,0,144,9,408,0,0,0,MERGED
51068,api: swagger: remove VirtualSize fields for API > v1.43,thaJeztah,2025-09-30T11:15:35Z,2025-09-30T12:55:38+00:00,1,1.67,True,0,160,10,391,0,0,0,MERGED
51067,[28.x backport] api: deprecate `KernelMemoryTCP` support,austinvazquez,2025-09-29T20:30:06Z,2025-09-30T08:31:27+00:00,1,12.02,True,52,19,10,479,0,0,0,MERGED
51066,Deprecate and remove kernel memory tcp,austinvazquez,2025-09-29T19:09:36Z,2025-09-30T08:29:20+00:00,2,13.33,True,27,76,14,485,0,2,2,MERGED
51064,[28.x backport] Eliminate warning about endpoint count store delete,thaJeztah,2025-09-29T13:17:38Z,2025-09-29T15:21:27+00:00,1,2.06,True,8,9,1,651,1,0,1,MERGED
51063,"daemon/libnetwork/internal/kvstore: remove unused `BOLTDB`, `Backend` type, and `ErrBackendNotSupported`",thaJeztah,2025-09-29T12:55:20Z,2025-09-29T14:47:00+00:00,1,1.86,True,0,8,1,440,0,0,0,MERGED
51062,Eliminate warning about endpoint count store delete,robmry,2025-09-29T10:41:17Z,2025-09-29T13:15:07+00:00,3,2.56,True,8,9,1,644,2,0,2,MERGED
51061,[28.x backport] api/docs: remove email field from example auth,thaJeztah,2025-09-29T09:32:14Z,2025-09-29T12:30:22+00:00,1,2.97,True,0,28,28,362,0,0,0,MERGED
51060,api/docs: remove email field from example auth,thaJeztah,2025-09-29T09:29:35Z,2025-09-29T12:33:07+00:00,1,3.06,True,0,27,27,345,0,0,0,MERGED
51059,api/types/registry: remove deprecated AuthConfig.Email field,thaJeztah,2025-09-29T09:20:38Z,2025-09-29T12:29:29+00:00,1,3.15,True,0,24,4,534,0,0,0,MERGED
51058,vendor: github.com/deckarep/golang-set/v2 v2.8.0,thaJeztah,2025-09-29T08:27:25Z,2025-09-29T14:47:31+00:00,1,6.33,True,242,89,9,482,1,0,1,MERGED
51055,"client,  integration-cli: adjust for go1.25, TLS1.3 handshake",thaJeztah,2025-09-26T17:40:17Z,2025-09-29T13:06:07+00:00,3,67.43,True,58,6,3,1072,0,1,1,MERGED
51052,[28.x backport] api/checkpoint: Don't return null if no checkpoints,vvoland,2025-09-26T14:48:16Z,2025-09-26T22:50:13+00:00,1,8.03,True,3,0,1,731,0,0,0,MERGED
51051,api/checkpoint: Don't return null if no checkpoints,vvoland,2025-09-26T14:46:02Z,2025-09-26T17:27:03+00:00,2,2.68,True,3,0,1,711,0,1,1,MERGED
51050,client/checkpoint_list: Wrap result in a struct,vvoland,2025-09-26T13:27:55Z,2025-09-26T16:43:07+00:00,2,3.25,True,30,24,6,221,2,0,2,MERGED
51048,vendor: github.com/hashicorp/go-memdb v1.3.5,thaJeztah,2025-09-25T23:03:00Z,2025-09-27T15:45:00+00:00,1,40.7,True,162,36,13,206,0,0,0,MERGED
51046,vendor: github.com/opencontainers/cgroups v0.0.5,thaJeztah,2025-09-25T19:02:13Z,2025-09-27T15:44:17+00:00,1,44.7,True,9,4,4,273,0,0,0,MERGED
51045,use t.Context() instead of context.TODO() in various tests,thaJeztah,2025-09-25T17:30:47Z,2025-09-26T09:09:02+00:00,2,15.64,True,87,94,25,112,0,1,1,MERGED
51043,vendor: github.com/coreos/go-systemd/v22 v22.6.0,thaJeztah,2025-09-25T11:46:46Z,2025-09-25T19:01:19+00:00,2,7.24,True,83,71,10,354,0,0,0,MERGED
51039,[28.x backport] gha: Add conditional skip for jobs with 'ci/validate-only' label,thaJeztah,2025-09-24T22:06:53Z,2025-09-25T08:14:41+00:00,1,10.13,True,23,4,7,501,0,0,0,MERGED
51038,"[28.x backport] api: docs: remove deprecated BridgeNfIptables, BridgeNfIp6tables",thaJeztah,2025-09-24T21:48:08Z,2025-09-25T11:25:46+00:00,2,13.63,True,4,73,5,345,0,0,0,MERGED
51035,[28.x backport] ipams: Re-enable legacy remote plugins support,vvoland,2025-09-24T11:27:30Z,2025-09-24T15:17:12+00:00,1,3.83,True,3,5,1,565,0,0,0,MERGED
51034,"[28.x backport] api/docs: remove temporary ""full"" example for image config",vvoland,2025-09-24T11:24:36Z,2025-09-24T15:04:15+00:00,1,3.66,True,0,93,3,530,0,0,0,MERGED
51033,Use libnftables in dynamically linked binary,robmry,2025-09-24T11:03:04Z,2025-10-03T15:53:06+00:00,5,220.83,True,194,59,8,1137,2,3,5,MERGED
51032,[28.x] vendor: github.com/moby/buildkit v0.25.0-rc1,vvoland,2025-09-24T09:54:38Z,2025-09-24T16:26:09+00:00,5,6.53,True,1504,943,77,157,2,1,3,MERGED
51031,vendor: opencontainers/runtime-tools v0.9.1-0.20250523060157-0ea5ed0382a2,thaJeztah,2025-09-24T08:04:02Z,2025-09-25T19:01:02+00:00,2,34.95,True,621,445,21,598,0,0,0,MERGED
51029,vendor: update buildkit to v0.25.0-rc1,tonistiigi,2025-09-23T20:34:55Z,2025-09-24T11:51:38+00:00,4,15.28,True,1503,942,77,250,1,2,3,MERGED
51027,"api: docs: remove deprecated BridgeNfIptables, BridgeNfIp6tables",thaJeztah,2025-09-23T16:21:00Z,2025-09-23T18:53:13+00:00,1,2.54,True,4,96,6,326,0,0,0,MERGED
51025,"daemon/server/imagebackend: add PullOptions, PushOptions structs",thaJeztah,2025-09-23T08:04:01Z,2025-09-23T10:10:16+00:00,1,2.1,True,118,34,11,984,3,0,3,MERGED
51024,daemon/containerd: pass custom metaHeaders to resolver,thaJeztah,2025-09-23T07:38:50Z,2025-09-25T11:26:44+00:00,2,51.8,True,6,3,3,1817,3,1,4,MERGED
51023,integration/service: rename var to prevent shadowing,thaJeztah,2025-09-22T12:35:20Z,2025-09-23T08:50:56+00:00,1,20.26,True,66,66,2,271,0,0,0,MERGED
51022,Dockerfile: update xx to v1.7.0,thaJeztah,2025-09-22T11:05:42Z,2025-09-22T19:02:49+00:00,1,7.95,True,8,2,2,201,0,0,0,MERGED
51021,testutil:SetupTestOSContext - fix ns/netlink handle leaks,robmry,2025-09-22T10:34:04Z,2025-09-23T19:03:49+00:00,7,32.5,True,72,18,4,1196,1,2,3,MERGED
51020,client: Client.negotiateAPIVersionPing: trim v-prefix before handling,thaJeztah,2025-09-22T10:26:49Z,2025-09-22T16:25:38+00:00,1,5.98,True,35,19,4,944,0,0,0,MERGED
51019,"client: ContainerCommitOptions: change ""Pause"" to ""NoPause""",thaJeztah,2025-09-22T10:22:22Z,2025-09-23T10:50:50+00:00,1,24.47,True,13,8,6,1583,1,0,1,MERGED
51018,project: mark 23.0 branch as unmaintained (EOL),thaJeztah,2025-09-22T08:11:55Z,2025-09-22T16:26:11+00:00,3,8.24,True,2,2,1,241,1,1,2,MERGED
51011,client: remove unused Client.HTTPClient() method,thaJeztah,2025-09-19T15:09:00Z,2025-09-22T09:28:48+00:00,1,66.33,True,0,16,4,986,0,0,0,MERGED
51009,ipams: Re-enable legacy remote plugins support,olljanat,2025-09-19T06:34:22Z,2025-09-19T14:26:05+00:00,4,7.86,True,3,5,1,599,3,1,4,MERGED
51006,client: remove deprecated ImageListOptions.ContainerCount,thaJeztah,2025-09-18T20:58:26Z,2025-09-19T08:17:25+00:00,1,11.32,True,0,10,2,481,0,0,0,MERGED
51005,client: fix some version-related handling,thaJeztah,2025-09-18T16:05:38Z,2025-09-19T09:57:48+00:00,1,17.87,True,47,161,11,3319,1,0,1,MERGED
51003,client: rename validateAPIVersion to validateServiceSpecForAPIVersion,thaJeztah,2025-09-17T23:08:22Z,2025-09-18T09:34:29+00:00,1,10.44,True,4,4,2,223,0,0,0,MERGED
51002,client: WithMockClient: match version behavior of actual client,thaJeztah,2025-09-17T23:05:45Z,2025-09-18T12:50:54+00:00,4,13.75,True,389,626,93,914,2,2,4,MERGED
51001,client: Client.ContainerCreate: fix panic when passing a nil config,thaJeztah,2025-09-17T20:53:13Z,2025-09-18T09:34:57+00:00,1,12.7,True,23,9,3,877,0,0,0,MERGED
51000,daemon/config: More tests for DNS addresses,postmasters,2025-09-17T17:11:13Z,2025-09-19T09:49:21+00:00,2,40.64,True,25,0,1,138,9,0,9,MERGED
50998,api/types/network: CreateRequest: remove deprecated CheckDuplicate field,thaJeztah,2025-09-17T12:10:18Z,2025-09-18T12:50:10+00:00,3,24.66,True,40,14,4,976,8,0,8,MERGED
50997,client: separate exec methods to ExecAPIClient interface,thaJeztah,2025-09-17T10:56:04Z,2025-09-18T09:36:48+00:00,2,22.68,True,18,10,2,209,0,1,1,MERGED
50996,daemon/server: minor refactor and cleanup,thaJeztah,2025-09-17T10:47:18Z,2025-09-19T08:18:10+00:00,1,45.51,True,5,3,2,142,0,0,0,MERGED
50995,client: ImageBuildResponse: remove OSType field,thaJeztah,2025-09-17T10:38:22Z,2025-09-17T13:15:14+00:00,1,2.61,True,5,13,5,1281,0,0,0,MERGED
50994,"integration-cli: remove startContainerGetOutput, runCommandWithOutput",thaJeztah,2025-09-17T10:08:00Z,2025-09-17T11:35:09+00:00,2,1.45,True,49,57,6,290,0,1,1,MERGED
50992,"daemon/server/backend: remove ExecInspect, ExecProcessConfig alias",thaJeztah,2025-09-16T16:00:37Z,2025-09-17T10:38:50+00:00,1,18.64,True,4,12,3,738,0,0,0,MERGED
50991,api/types/container: move ExecInspect type to client,thaJeztah,2025-09-16T14:48:49Z,2025-09-17T10:39:48+00:00,2,19.85,True,69,43,7,807,0,1,1,MERGED
50989,remove support for deprecated kernel memory limit,thaJeztah,2025-09-16T11:23:23Z,2025-09-17T10:06:19+00:00,3,22.72,True,0,181,31,1518,1,1,2,MERGED
50988,gha: add missing dependency to Windows workflows,vvoland,2025-09-16T09:51:32Z,2025-09-16T11:18:03+00:00,1,1.44,True,2,0,2,155,0,0,0,MERGED
50987,move endpoint API version constraints to API server,thaJeztah,2025-09-16T09:47:29Z,2025-09-16T16:59:18+00:00,2,7.2,True,54,240,56,1397,1,0,1,MERGED
50986,daemon/server: fix requests not logged with --log-level=trace,thaJeztah,2025-09-16T08:03:25Z,2025-09-16T10:47:12+00:00,2,2.73,True,1,1,1,7623,1,0,1,MERGED
50984,client: remove support for API < v1.22 (docker < 1.10)  filter format,thaJeztah,2025-09-15T19:30:23Z,2025-09-16T10:17:06+00:00,1,14.78,True,4,236,15,1297,0,0,0,MERGED
50982,API: /info: remove `SecurityOptions` re-formatting for API < 1.25,thaJeztah,2025-09-15T15:45:26Z,2025-09-16T11:28:26+00:00,1,19.72,True,4,56,3,1844,0,0,0,MERGED
50981,API: /info: remove magic `<unknown>` values for API < 1.39,thaJeztah,2025-09-15T12:33:42Z,2025-09-15T15:42:16+00:00,2,3.14,True,0,8,1,650,0,0,0,MERGED
50980,api/docs: sync swagger and update changelog,thaJeztah,2025-09-15T11:27:28Z,2025-09-15T15:42:07+00:00,1,4.24,True,65,151,2,381,0,0,0,MERGED
50979,client: tidy go.mod,thaJeztah,2025-09-15T10:03:35Z,2025-09-15T15:36:31+00:00,1,5.55,True,0,2,1,131,0,0,0,MERGED
50978,"client: move ExecStartOptions, ExecAttachOptions, ExecOptions to client",thaJeztah,2025-09-15T09:59:25Z,2025-09-16T13:58:30+00:00,6,27.98,True,230,129,22,498,1,3,4,MERGED
50977,daemon/config: remove deprecated CommonConfig.CorsHeaders,thaJeztah,2025-09-15T09:12:27Z,2025-09-15T12:58:39+00:00,1,3.77,True,0,13,3,340,0,0,0,MERGED
50961,Windows containers: report HNS network name in inspect,robmry,2025-09-12T15:16:07Z,2025-09-16T12:39:37+00:00,3,93.39,True,5,2,2,1593,3,0,3,MERGED
50959,api/types/container: remove deprecated ExecOptions.Detach,thaJeztah,2025-09-12T08:19:55Z,2025-09-15T07:50:27+00:00,1,71.51,True,0,6,2,497,0,0,0,MERGED
50958,daemon: remove some deprecated functions,thaJeztah,2025-09-12T08:00:52Z,2025-09-15T07:49:43+00:00,1,71.81,True,0,21,3,452,0,0,0,MERGED
50957,daemon: fix build after revendoring api module,corhere,2025-09-11T21:10:42Z,2025-09-11T23:50:18+00:00,6,2.66,True,16,122,6,363,0,1,1,MERGED
50956,api: change IP address fields over to netip types,corhere,2025-09-11T17:43:16Z,2025-10-03T21:10:05+00:00,9,531.45,True,1388,1429,120,1218,3,17,20,MERGED
50954,daemon/i/compat: disable HTML encoding,akerouanton,2025-09-11T13:09:41Z,2025-09-11T15:24:54+00:00,2,2.25,True,59,3,2,598,1,1,2,MERGED
50953,fix content-type declared by /events API,ndeloof,2025-09-11T10:57:20Z,2025-10-03T21:50:58+00:00,9,538.89,True,228,15,12,594,12,16,28,MERGED
50949,api/docs: fix events example response,thaJeztah,2025-09-10T12:42:57Z,2025-09-11T08:00:37+00:00,1,19.29,True,0,20,1,266,0,0,0,MERGED
