number,title,author,createdAt,closedOrMergedAt,reviewsCount,hoursOpen,merged,additions,deletions,changedFiles,bodyLength,issueCommentsCount,reviewThreadsCount,interactionsCount,finalReviewState
2789,fix sampling and elicitation calls for streamable http,evalstate,2025-09-28T16:45:12Z,2025-10-03T12:51:37+00:00,1,116.11,True,31,14,1,1316,0,0,0,MERGED
2757,Fix: Git Server Path Restriction,0dd,2025-09-24T04:21:19Z,2025-09-24T14:07:03+00:00,2,9.76,True,6,29,2,995,2,1,3,MERGED
2756,Add Strata MCP Server to readme,zihaolin96,2025-09-23T20:21:15Z,2025-10-05T08:04:55+00:00,1,275.73,True,1,0,1,1736,1,0,1,MERGED
2752,fix: resolve brace-expansion ReDoS vulnerability (CVE-2025-5889),tenequm,2025-09-23T05:55:35Z,2025-09-23T11:35:18+00:00,1,5.66,True,6,6,1,2107,0,0,0,MERGED
2751,Added hledger-mcp to the Community Servers,iiAtlas,2025-09-22T22:24:17Z,2025-09-23T04:23:26+00:00,1,5.99,True,1,0,1,1479,0,0,0,MERGED
2750,Update: Bucket rebranded to Reflag,garethx,2025-09-22T15:10:10Z,2025-09-23T04:21:01+00:00,1,13.18,True,1,1,1,352,0,0,0,MERGED
2749,Add Steuerboard MCP to Community Servers,matheins,2025-09-22T14:54:07Z,2025-09-23T11:34:47+00:00,3,20.68,True,1,0,1,1394,1,0,1,MERGED
2748,Add Flutterwave API integration to README,bajoski34,2025-09-22T13:46:04Z,2025-09-29T12:06:29+00:00,3,166.34,True,1,0,1,1818,2,1,3,MERGED
2747,"Add GitLab, Jenkins, Teams, WhatsApp Business to Official Integrations",vidoluco,2025-09-22T10:41:26Z,2025-09-24T14:37:59+00:00,2,51.94,True,5,1,1,248,1,0,1,MERGED
2746,Add KYC-mcp-server to community servers list,vishnurudra-ai,2025-09-22T02:12:46Z,2025-09-23T04:14:08+00:00,1,26.02,True,1,0,1,3890,0,0,0,MERGED
2745,Fix link and name for VoiceMode project,mbailey,2025-09-21T13:02:07Z,2025-09-23T04:13:31+00:00,2,39.19,True,1,1,1,172,2,1,3,MERGED
2743,feat: add prometheus golang MCP implementation,tjhop,2025-09-20T21:01:49Z,2025-09-23T04:12:20+00:00,2,55.18,True,1,0,1,45,0,0,0,MERGED
2742,docs: Added Figma to Flutter MCP community server,mhmzdev,2025-09-20T10:20:06Z,2025-09-23T04:11:40+00:00,1,65.86,True,1,0,1,1093,0,0,0,MERGED
2741,Add Geolocation MCP server to community servers list,jackyang25,2025-09-20T07:46:28Z,2025-09-23T04:11:13+00:00,1,68.41,True,1,0,1,1804,0,0,0,MERGED
2740,Add New MCP-Server - MCP-OpenStack-Ops (https://github.com/call518/MC…,call518,2025-09-20T06:48:30Z,2025-09-23T04:10:49+00:00,1,69.37,True,1,0,1,2512,0,0,0,MERGED
2738,Fix time server to default to UTC when tzinfo is unavailable,domdomegg,2025-09-19T12:11:09Z,2025-09-23T04:09:58+00:00,1,87.98,True,5,4,2,196,0,0,0,MERGED
2737,Add API Lab MCP to Community Servers,atototo,2025-09-19T04:15:19Z,2025-09-23T04:09:05+00:00,1,95.9,True,1,0,1,1714,0,0,0,MERGED
2736,Add Gopher MCP server to community servers,cameronrye,2025-09-19T00:40:02Z,2025-09-19T01:54:18+00:00,1,1.24,True,1,0,1,2364,0,0,0,MERGED
2735,Remove Comments from Release.yml,cliffhall,2025-09-18T22:16:00Z,2025-09-19T00:27:10+00:00,1,2.19,True,0,2,1,1118,1,0,1,MERGED
2734,Monday.com official MCP,nurkiewicz,2025-09-18T09:39:40Z,2025-09-18T13:53:54+00:00,1,4.24,True,2,1,1,935,1,0,1,MERGED
2733,Add AltTester MCP to the list,rucindrea,2025-09-18T04:46:59Z,2025-09-23T04:32:59+00:00,3,119.77,True,1,0,1,1046,0,1,1,MERGED
2730,Fix insufficient create-release condition in GitHub Action,cliffhall,2025-09-17T16:02:15Z,2025-09-18T21:29:13+00:00,5,29.45,True,6,1,1,2408,0,1,1,MERGED
2728,feat: add jenkins-mcp-server,jasonkylelol,2025-09-17T11:22:11Z,2025-09-23T04:06:59+00:00,1,136.75,True,1,0,1,863,0,0,0,MERGED
2727,Add Storybook MCP to list of community servers,shilman,2025-09-17T05:55:22Z,2025-09-23T04:06:17+00:00,1,142.18,True,1,0,1,1129,0,0,0,MERGED
2726,Fix/memory server schema validation,0dd,2025-09-17T00:43:58Z,2025-09-18T14:11:13+00:00,2,37.45,True,26,2,1,1082,7,0,7,MERGED
2725,Open CORS for any origin to allow direct browser connection,cliffhall,2025-09-16T21:31:07Z,2025-09-19T00:28:41+00:00,14,50.96,True,34,1,4,1552,0,4,4,MERGED
2724,Add Snowflake-Labs mcp server,jasonsum,2025-09-16T19:31:41Z,2025-09-29T12:02:40+00:00,2,304.52,True,1,0,1,2237,1,0,1,MERGED
2723,Added AX-Platform to the list of Community Servers.,mikeschecht,2025-09-16T15:45:11Z,2025-09-29T12:02:18+00:00,3,308.29,True,1,0,1,2149,2,1,3,MERGED
2721,Add OpenZIM MCP server to community servers,cameronrye,2025-09-15T23:47:44Z,2025-09-23T04:04:03+00:00,1,172.27,True,1,0,1,1358,0,0,0,MERGED
2719,Add Nango MCP Server (Readme server's list),rguldener,2025-09-15T13:34:49Z,2025-09-18T14:56:28+00:00,1,73.36,True,1,0,1,962,0,0,0,MERGED
2718,Add zettelkasten to README.md,joshylchen,2025-09-15T08:45:55Z,2025-09-19T01:53:01+00:00,2,89.12,True,1,0,1,1883,1,0,1,MERGED
2715,feat(readme): add Storybook MCP server to community servers list,stefanoamorelli,2025-09-14T11:17:35Z,2025-09-23T04:03:03+00:00,1,208.76,True,1,0,1,872,0,0,0,MERGED
2713,docs: Fix duplicate directory_tree tool entry in README.md,zkl2333,2025-09-13T05:04:08Z,2025-09-14T03:50:47+00:00,1,22.78,True,1,9,1,1406,1,0,1,MERGED
2709,[Docs] Add PHP SDK link to README,koic,2025-09-12T15:49:30Z,2025-09-14T03:49:59+00:00,1,36.01,True,8,7,1,751,0,0,0,MERGED
2707,Add Intelligent Image Generator to Community Servers,shinpr,2025-09-12T01:56:32Z,2025-09-23T04:01:21+00:00,1,266.08,True,1,0,1,3037,0,0,0,MERGED
2706,Let Everything's STDIO server use SDK's automatic log level handling,cliffhall,2025-09-11T21:20:12Z,2025-09-12T00:31:49+00:00,3,3.19,True,6,43,4,1692,0,1,1,MERGED
2705,Update Azure MCP link in README.md,joshfree,2025-09-11T19:53:25Z,2025-09-12T21:22:18+00:00,2,25.48,True,1,1,1,1275,4,0,4,MERGED
2704,update mcp-documentation-server description,andrea9293,2025-09-11T08:31:50Z,2025-09-12T00:33:59+00:00,1,16.04,True,1,1,1,907,0,0,0,MERGED
2701,Add mcpcap to README.md,danohn,2025-09-10T11:25:35Z,2025-09-12T21:25:42+00:00,2,58.0,True,1,0,1,1321,2,0,2,MERGED
2699,Add ToolGroups Server,scottslewis,2025-09-09T21:21:20Z,2025-09-12T00:39:35+00:00,1,51.3,True,1,0,1,1084,1,0,1,MERGED
2698,Add Lippia MCP Server entry to README,rejavier,2025-09-09T16:48:05Z,2025-09-29T12:05:18+00:00,2,475.29,True,1,0,1,807,1,1,2,MERGED
2697,Add MCPProxy server to Resources,Dumbris,2025-09-09T13:51:33Z,2025-10-05T08:01:25+00:00,2,618.16,True,1,0,1,2926,1,0,1,MERGED
2696,Add Gcore MCP server to catalog,algis-dumbris,2025-09-09T13:15:51Z,2025-09-14T03:46:51+00:00,1,110.52,True,1,0,1,2759,0,0,0,MERGED
2695,Add DocBase MCP Server To README.md,yoshihirow,2025-09-09T05:13:45Z,2025-09-23T03:57:14+00:00,2,334.72,True,1,0,1,1223,1,0,1,MERGED
2694,Add Backdocket MCP server information to README,grippstick,2025-09-08T17:38:55Z,2025-09-23T03:55:40+00:00,2,346.28,True,1,0,1,769,0,0,0,MERGED
2690,Add Looker to MCP Toolbox for Databases supported list,gmichnikov,2025-09-07T06:12:07Z,2025-09-14T03:42:19+00:00,1,165.5,True,1,1,1,377,0,0,0,MERGED
2688,Add the Zenable MCP server,JonZeolla,2025-09-06T12:29:19Z,2025-09-14T03:42:00+00:00,1,183.21,True,2,0,1,1947,1,0,1,MERGED
2686,Add Enhanced Sequential Thinking MCP Server,rsp2k,2025-09-05T15:35:21Z,2025-10-05T07:57:40+00:00,1,712.37,False,15432,200,28,3728,1,0,1,CLOSED
2685,Update README.md,lanmower,2025-09-05T13:29:44Z,2025-10-05T07:55:26+00:00,2,714.43,False,1,0,1,769,1,1,2,CLOSED
2684,Rename HyperExecute MCP Server to LambdaTest MCP Server and reorder entry,tanveer-farooq,2025-09-05T13:23:05Z,2025-09-23T03:54:02+00:00,3,422.52,True,1,0,1,1804,0,1,1,MERGED
2683,Added Search MCP Server to README.md,krzysztofkucmierz,2025-09-05T08:17:22Z,2025-09-14T03:36:34+00:00,1,211.32,True,1,0,1,1136,0,0,0,MERGED
2682,Add KnowAir Weather MCP to README,shuowang-ai,2025-09-05T07:37:15Z,2025-09-14T03:34:33+00:00,1,211.96,True,1,0,1,832,0,0,0,MERGED
2681,Add Modao Proto MCP server,sn1p4am,2025-09-05T03:53:28Z,2025-09-14T03:33:30+00:00,1,215.67,True,1,0,1,695,0,0,0,MERGED
2679,Add FPE Demo MCP to community servers,lgutschow,2025-09-05T02:34:20Z,2025-09-14T03:32:43+00:00,1,216.97,True,1,0,1,2097,0,0,0,MERGED
2678,Add Microsoft Playwright MCP server to README,mademan12,2025-09-04T18:50:04Z,2025-09-18T14:57:21+00:00,2,332.12,True,1,0,1,1632,1,0,1,MERGED
2676,Add UXBoost MCP server,edwinkullu51,2025-09-04T10:11:42Z,2025-09-12T01:19:27+00:00,1,183.13,False,39,0,2,769,0,0,0,CLOSED
2675,Add Zine MCP server to the list of official integrations in README.md,kirk-marple,2025-09-04T05:50:05Z,2025-09-23T03:53:09+00:00,2,454.05,True,1,0,1,769,1,0,1,MERGED
2674,Adding `kumo-rfm-mcp` to the `README.md`,BlazStojanovic,2025-09-03T15:56:17Z,2025-09-12T00:56:42+00:00,2,201.01,True,1,0,1,1603,0,1,1,MERGED
2672,direct long running tool progress notifications to correct stream,evalstate,2025-09-03T09:06:11Z,2025-09-05T16:51:17+00:00,1,55.75,True,2,2,1,975,2,0,2,MERGED
2671,Add D365FO-Client project to README,mafzaal,2025-09-03T03:18:00Z,2025-09-12T00:55:54+00:00,3,213.63,True,1,0,1,238,3,1,4,MERGED
2670,Add Korea Stock Analyzer MCP server,Mrbaeksang,2025-09-03T01:05:37Z,2025-09-03T05:32:54+00:00,1,4.45,True,1,0,1,758,0,0,0,MERGED
2669,Everything server - fix regression + auto log level handling support,cliffhall,2025-09-02T21:45:40Z,2025-09-03T05:05:12+00:00,2,7.33,True,107,107,7,3255,1,1,2,MERGED
2668,Add Fal MCP Server,raveenb,2025-09-02T19:50:23Z,2025-09-12T01:17:43+00:00,2,221.46,True,1,0,1,1231,1,0,1,MERGED
2667,Add the Maybe Don't AI Policy Engine to the list of MCP Servers,kenm47,2025-09-02T15:23:42Z,2025-10-05T07:54:13+00:00,2,784.51,True,1,0,1,248,0,0,0,MERGED
2665,Add EmberAI MCP Server.,ParastooGM,2025-09-02T10:22:57Z,2025-09-14T03:24:49+00:00,2,281.03,True,1,0,1,585,1,0,1,MERGED
2664,fix: Update link/description for Apify's MCP server,jirispilka,2025-09-02T07:47:46Z,2025-09-03T05:28:35+00:00,1,21.68,True,1,1,1,46,0,0,0,MERGED
2663,Add Django REST Framework MCP to Third-Party Servers,zacharypodbela,2025-09-02T02:32:12Z,2025-10-05T07:53:13+00:00,1,797.35,False,1,0,1,2152,1,0,1,CLOSED
2662,Add the Scanova MCP Server to the list of MCP Servers,deepak-scan,2025-09-01T09:52:47Z,2025-09-03T05:26:20+00:00,1,43.56,True,1,0,1,1676,0,0,0,MERGED
2653,Add the Redfish MCP Server to the list of MCP Servers,janosi,2025-09-01T08:00:55Z,2025-09-03T05:24:29+00:00,1,45.39,True,1,0,1,1089,0,0,0,MERGED
2652,Add TheHive MCP server to MCP servers list,heyder,2025-08-31T21:30:53Z,2025-09-03T05:23:18+00:00,1,55.87,True,1,0,1,1159,0,0,0,MERGED
2651,Add official Rostro server to MCP servers list,francis-ros,2025-08-30T19:21:56Z,2025-10-05T07:50:03+00:00,1,852.47,False,1,0,1,1299,1,0,1,CLOSED
2650,"Add Pexels MCP server for Pexels API for searching and retrieving photos, videos, and collections.",garylab,2025-08-30T17:04:15Z,2025-09-03T05:20:01+00:00,1,84.26,True,2,1,1,854,0,0,0,MERGED
