number,title,author,createdAt,closedOrMergedAt,reviewsCount,hoursOpen,merged,additions,deletions,changedFiles,bodyLength,issueCommentsCount,reviewThreadsCount,interactionsCount,finalReviewState
32030,TubePainter: Fixed end caps and removed object allocations,mrdoob,2025-10-09T10:11:15Z,2025-10-09T12:45:23+00:00,1,2.57,True,120,231,2,390,0,1,1,MERGED
32028,Examples: Don’t use `property()` for creating variables,shotamatsuda,2025-10-08T07:41:00Z,2025-10-09T13:50:25+00:00,1,30.16,True,4,4,1,310,11,0,11,MERGED
32026,Renderer: Deprecate some async methods.,Mugen87,2025-10-07T12:43:04Z,2025-10-07T21:20:27+00:00,1,8.62,True,44,53,7,371,1,1,2,MERGED
32022,Renderer: Deprecate `renderAsync()`.,Mugen87,2025-10-06T16:17:12Z,2025-10-07T12:16:34+00:00,3,19.99,True,60,85,14,689,2,1,3,MERGED
32021,ShadowNode: Fix shadows in first frame.,Mugen87,2025-10-06T09:18:20Z,2025-10-06T14:17:50+00:00,1,4.99,True,12,1,2,562,1,1,2,MERGED
32017,Docs:: fix typos,s-rigaud,2025-10-05T18:27:18Z,2025-10-05T21:15:32+00:00,1,2.8,True,13,13,5,27,1,0,1,MERGED
32008,USDZExporter: Improve material prop types and setup,mkeblx,2025-10-04T00:51:49Z,2025-10-04T08:10:46+00:00,1,7.32,True,9,2,1,2931,0,0,0,MERGED
32007,Inspector: Improve precision,sunag,2025-10-03T14:44:26Z,2025-10-05T18:13:43+00:00,1,51.49,True,70,47,4,180,0,0,0,MERGED
32004,NodeBuilder - Add Hints in Comments,cmhhelgeson,2025-10-02T20:10:08Z,2025-10-08T08:17:01+00:00,3,132.11,True,11,0,1,109,1,2,3,MERGED
31995,Examples: More Inspector usage and revisions.,sunag,2025-10-01T19:18:37Z,2025-10-02T03:27:07+00:00,3,8.14,True,1801,1135,134,57,1,1,2,MERGED
31988,Examples: More Inspector usage.,Mugen87,2025-09-30T10:58:04Z,2025-09-30T17:36:11+00:00,2,6.64,True,443,330,38,187,4,1,5,MERGED
31983,WebGPURenderer: Allow manual mipmap creation with StorageTexture,RenaudRohlinger,2025-09-30T04:28:21Z,2025-10-07T12:02:30+00:00,1,175.57,True,55,7,9,492,8,0,8,MERGED
31980,WebGPURenderer: Fix compressed texture feature detection for WebGL backend.,Mugen87,2025-09-29T09:36:01Z,2025-09-29T23:43:06+00:00,2,14.12,True,19,12,4,541,1,1,2,MERGED
31974,TSL: Forces assignment of a function call if a loop is detected (2),sunag,2025-09-29T02:54:35Z,2025-09-29T14:50:39+00:00,3,11.93,True,103,21,6,309,3,1,4,MERGED
31973,TSL: Fix conditional cache and introduce `isolate()`,sunag,2025-09-29T01:45:32Z,2025-09-29T03:48:25+00:00,2,2.05,True,57,23,9,227,5,1,6,MERGED
31972,Examples: Add shadow intensity to spotlight examples,WestLangley,2025-09-29T00:16:32Z,2025-09-29T04:38:59+00:00,1,4.37,True,67,46,4,143,2,1,3,MERGED
31970,Imporve performance to get trackType by value type in AnimationClip.js,vvepretskiy,2025-09-28T18:16:25Z,2025-09-28T20:57:33+00:00,2,2.69,False,22,37,1,164,1,1,2,CLOSED
31956,Earcut: Updated to latest version.,tonybart1337,2025-09-26T16:50:48Z,2025-09-26T17:56:08+00:00,1,1.09,True,7,7,1,134,3,0,3,MERGED
31954,Examples: More inspector usage.,Mugen87,2025-09-26T15:32:46Z,2025-09-26T18:11:40+00:00,1,2.65,True,225,194,12,83,1,1,2,MERGED
31951,Examples: More inspector usage.,Mugen87,2025-09-26T07:17:34Z,2025-09-26T13:35:01+00:00,3,6.29,True,30,7,3,202,0,1,1,MERGED
31946,CSS2DRenderer: Add `sortObjects`.,Konseyy,2025-09-25T09:39:47Z,2025-09-29T07:46:51+00:00,3,94.12,True,11,1,1,105,5,1,6,MERGED
31942,Manual: add a section about limiting internal resolution to avoid performance issues,davcri,2025-09-25T08:52:06Z,2025-09-26T07:21:44+00:00,1,22.49,True,31,1,1,776,0,0,0,MERGED
31941,"TSL: Use GlobalID in Compute Water, Update IndexNode Comments",cmhhelgeson,2025-09-25T05:00:10Z,2025-09-26T04:18:26+00:00,3,23.3,True,49,17,5,237,2,1,3,MERGED
31938,Update link to packLDrawModel script extension,jjohnson5253,2025-09-24T18:01:00Z,2025-09-24T19:57:11+00:00,1,1.94,True,1,1,1,101,0,0,0,MERGED
31931,HTMLMesh: Fix dimensions of canvas drawing.,pvtech-adam,2025-09-23T19:39:23Z,2025-09-27T11:01:36+00:00,6,87.37,True,6,10,1,548,1,2,3,MERGED
31930,USDZExporter: handling NaNs in buildVector3Array and buildVector2Array,x8BitRain,2025-09-23T09:13:02Z,2025-09-23T10:34:23+00:00,2,1.36,False,22,5,1,550,0,1,1,CLOSED
31929,TextureNode: Manage y-flip as a uniform.,Mugen87,2025-09-23T09:02:23Z,2025-09-26T03:33:45+00:00,7,66.52,True,51,18,1,310,1,1,2,MERGED
31928,"TSL: Introduce `.toInspector()`, `.before()` and node `Viewer` for `Inspector`",sunag,2025-09-23T04:42:29Z,2025-09-26T04:04:56+00:00,1,71.37,True,492,68,17,868,10,2,12,MERGED
31919,WebGPURenderer: Introduce `CanvasTarget`,sunag,2025-09-19T13:43:24Z,2025-09-21T01:25:12+00:00,1,35.7,True,753,202,10,589,5,1,6,MERGED
31912,Examples: Set OrthographicCamera near plane >= 0,WestLangley,2025-09-18T02:51:36Z,2025-09-18T09:06:57+00:00,1,6.26,True,6,7,3,88,0,0,0,MERGED
31907,Examples: Update with the new style and inspector,sunag,2025-09-15T17:30:58Z,2025-09-15T19:16:22+00:00,1,1.76,True,262,87,10,293,6,1,7,MERGED
31905,CSSRenderer: Ensure element exists when execute remove.,xiaoliyooo,2025-09-15T13:01:50Z,2025-09-16T08:34:31+00:00,1,19.54,True,2,0,2,304,3,0,3,MERGED
31897,SSGIExample: Add Cornell Box-Inspired Scene,zalo,2025-09-12T23:17:49Z,2025-09-13T07:58:56+00:00,1,8.69,True,93,25,1,306,1,3,4,MERGED
31895,TRAANode: Reduce Ghosting/Smearing,zalo,2025-09-12T22:55:45Z,2025-09-13T16:36:24+00:00,8,17.68,True,115,5,1,1037,5,6,11,MERGED
31893,Examples: Add WebGPU HDR Example,RenaudRohlinger,2025-09-12T08:28:41Z,2025-09-18T09:21:23+00:00,11,144.88,True,210,12,6,419,16,7,23,MERGED
31890,SSGINode: Improve Temporal Noise.,zalo,2025-09-11T20:19:19Z,2025-09-12T08:11:30+00:00,14,11.87,True,5,2,2,774,1,2,3,MERGED
31882,SSGINode: Improve GI Blending,zalo,2025-09-11T01:25:49Z,2025-09-11T17:09:32+00:00,20,15.73,True,22,21,2,1018,2,5,7,MERGED
31880,WebGPURenderer: Add cache for shadow nodes,sunag,2025-09-10T19:05:26Z,2025-09-12T21:03:44+00:00,1,49.97,True,118,70,1,138,1,0,1,MERGED
31879,Renderer - Properly Delete Bind Groups on Bindings in Dispose,cmhhelgeson,2025-09-10T19:00:00Z,2025-09-10T21:18:14+00:00,1,2.3,True,17,1,2,87,1,0,1,MERGED
31877,Dev: Use default qunit reporter.,Mugen87,2025-09-10T16:36:39Z,2025-09-11T17:10:10+00:00,1,24.56,True,7,103,3,398,1,1,2,MERGED
31875,Quaternion - Rewrite `.slerp()` and `.slerpFlat()`,WestLangley,2025-09-10T14:23:22Z,2025-09-11T05:12:42+00:00,2,14.82,True,66,65,1,585,3,1,4,MERGED
31871,KTX2Loader: Fix ETC1S/UASTC prioritization,zeux,2025-09-10T07:20:35Z,2025-09-17T08:05:02+00:00,5,168.74,True,17,6,1,1361,1,1,2,MERGED
31869,WebGPURenderer: Introduce `Inspector`,sunag,2025-09-09T23:55:43Z,2025-09-14T21:47:21+00:00,1,117.86,True,3535,136,38,1033,4,1,5,MERGED
31868,TSL: Fix `onDispose` listener not being removed in `Sampler`,shotamatsuda,2025-09-09T20:15:37Z,2025-09-09T21:57:17+00:00,18,1.69,True,25,10,1,212,1,4,5,MERGED
31861,E2E: Simplify logging.,Mugen87,2025-09-09T11:24:01Z,2025-09-09T13:51:54+00:00,2,2.46,True,6,24,5,122,1,1,2,MERGED
31860,WebGPURenderer: Prevent dispose of default textures.,Mugen87,2025-09-09T08:56:02Z,2025-09-10T11:00:37+00:00,4,26.08,True,28,12,6,626,3,1,4,MERGED
31859,Change npm install to npm ci in contributing guide,greggman,2025-09-08T22:06:22Z,2025-09-10T09:01:32+00:00,1,34.92,True,1,1,1,185,4,0,4,MERGED
31858,AsciiEffect: remove noise from black texture,s-rigaud,2025-09-08T16:41:56Z,2025-09-10T08:09:48+00:00,1,39.46,True,7,7,1,380,5,0,5,MERGED
31855,Examples: fix instancedArray call in WebGPU compute reduce,s-rigaud,2025-09-08T11:51:00Z,2025-09-08T12:51:03+00:00,1,1.0,True,3,3,1,63,0,0,0,MERGED
31852,Addons - Bitonic Sort,cmhhelgeson,2025-09-08T05:32:26Z,2025-09-23T13:18:43+00:00,3,367.77,True,984,281,2,550,5,4,9,MERGED
31849,TSL: Clone `PassMultipleTextureNode` with `offsetNode`,shotamatsuda,2025-09-08T01:37:22Z,2025-09-09T10:07:45+00:00,1,32.51,True,2,0,2,115,2,0,2,MERGED
31844,Examples: Fix url in css3d_mixed.html,WestLangley,2025-09-07T19:06:23Z,2025-09-07T20:55:56+00:00,1,1.83,True,1,1,1,18,0,0,0,MERGED
31839,SSGINode: New node for screen-space global illumination.,Mugen87,2025-09-07T10:01:19Z,2025-09-08T07:39:31+00:00,1,21.64,True,848,0,7,1934,46,1,47,MERGED
31835,XRManager: Reset XRWebGLBinding on session end,harryhjsh,2025-09-06T09:09:10Z,2025-09-06T10:23:49+00:00,4,1.24,True,3,0,1,99,1,1,2,MERGED
31832,Renderer - Properly Delete ComputeNode Bindings in Dispose,cmhhelgeson,2025-09-05T23:14:12Z,2025-09-08T08:14:05+00:00,3,57.0,True,19,1,2,295,1,1,2,MERGED
31831,WebGLRenderer: Fix WebXR Depth Sensing.,cabanier,2025-09-05T18:59:06Z,2025-09-05T20:48:35+00:00,1,1.82,True,4,0,1,257,2,0,2,MERGED
31829,Examples: Clean up of FastHDR example,WestLangley,2025-09-05T12:16:31Z,2025-09-05T17:22:34+00:00,1,5.1,True,15,7,1,89,2,0,2,MERGED
31819,Types: fix inconsistencies,s-rigaud,2025-09-04T12:27:06Z,2025-09-04T18:52:17+00:00,3,6.42,True,30,30,18,442,2,2,4,MERGED
31816,InstanceNode: Honor `updateRanges`.,Mugen87,2025-09-03T20:08:13Z,2025-09-04T15:59:40+00:00,1,19.86,True,22,4,1,318,5,0,5,MERGED
31810,WebGLBackend: Align `copyTextureToTexture` with `WebGLRenderer`,shotamatsuda,2025-09-03T10:43:07Z,2025-09-03T14:56:01+00:00,6,4.21,True,105,8,2,250,3,2,5,MERGED
31808,TSL: Minor fixes.,Mugen87,2025-09-03T09:33:07Z,2025-09-03T15:00:45+00:00,5,5.46,True,34,15,9,395,1,1,2,MERGED
31800,fix(progressiveLightMap): add normal validation and preserve flatShading,universyu,2025-09-02T02:49:16Z,2025-09-04T22:05:54+00:00,2,67.28,False,20,0,2,1018,1,2,3,CLOSED
31798,WebGPU: Fix `Renderer` not being garbage collected,shotamatsuda,2025-09-01T18:17:13Z,2025-09-10T13:40:44+00:00,9,211.39,True,27,0,2,765,13,3,16,MERGED
31790,"Renderers: Use internal `log`, `warn` and `error` functions instead of the system ones",sunag,2025-08-31T01:02:59Z,2025-09-04T01:20:32+00:00,2,96.29,True,512,343,117,691,6,6,12,MERGED
31784,WebGPURenderer: Reaaply align of `frontFace` and fix `FrontFacingNode`,sunag,2025-08-29T13:29:27Z,2025-08-31T12:49:11+00:00,1,47.33,True,19,26,3,590,2,0,2,MERGED
31781,TSL: Add bitcast functions and transpiler support,cmhhelgeson,2025-08-29T04:51:02Z,2025-09-02T23:01:55+00:00,6,114.18,True,106,10,3,96,3,3,6,MERGED
31780,Manual: Fix double open hyperlink by open in new tab.,Rikahei,2025-08-29T03:57:23Z,2025-08-29T08:19:46+00:00,1,4.37,True,20,20,6,274,0,0,0,MERGED
31775,TSL: Fix coordinate types for `load()` on 3D texture nodes,shotamatsuda,2025-08-28T19:48:18Z,2025-09-03T15:45:15+00:00,1,139.95,True,19,15,5,711,2,0,2,MERGED
31772,Types: fix missing properties,s-rigaud,2025-08-28T16:17:47Z,2025-09-02T13:00:55+00:00,6,116.72,True,3,3,2,311,1,3,4,MERGED
31770,GLSLNodeBuilder: Fix `texture()` code generation for depth texture,shotamatsuda,2025-08-28T10:31:55Z,2025-08-28T19:50:41+00:00,1,9.31,True,6,18,1,480,2,0,2,MERGED
