number,title,author,createdAt,closedOrMergedAt,reviewsCount,hoursOpen
23,Fix Stackoverflow link,heskyji,2017-09-07T01:08:31Z,2017-09-07T15:57:54+00:00,1,14.82
37,Add What Every Programmer Should Know About Memory,unknown,2017-09-14T21:34:42Z,2017-09-16T16:16:12+00:00,1,42.69
51,Update README.md,SaeedYasin,2017-09-18T07:26:45Z,2017-09-18T12:36:35+00:00,1,5.16
67,Slight typo in CONTRIBUTING.md,PieterHeijman,2017-09-25T06:51:05Z,2017-09-28T11:47:04+00:00,1,76.93
70,proof theory book for discrete math,jluo117,2017-09-28T07:05:06Z,2017-10-03T14:04:09+00:00,1,126.98
74,add best-resume-ever,aotr,2017-10-06T06:59:21Z,2020-03-10T21:14:02+00:00,1,21278.24
77,Added Code Complete book,bmbferreira,2017-10-06T11:47:01Z,2017-11-01T21:59:45+00:00,1,634.21
78,Create UX/Usability section ,Mohamed3on,2017-10-07T10:35:04Z,2017-10-13T17:40:36+00:00,3,151.09
79,Add Teach Yourself Programming in Ten Years,diendv96,2017-10-07T11:36:48Z,2017-10-13T17:39:02+00:00,2,150.04
88,fix spelling error,glensc,2017-10-16T07:56:38Z,2017-10-25T18:18:49+00:00,1,226.37
92,"Add ""How open source licenses work and how to add them to your projects"" to list",notsu,2017-10-18T10:24:58Z,2020-03-11T10:52:11+00:00,3,21000.45
103,"Add links ""How javascript works""",espozbob,2017-10-27T07:13:26Z,2018-01-17T15:52:38+00:00,2,1976.65
105,add lintcode.com,squarel,2017-10-31T05:42:07Z,2018-01-17T15:44:48+00:00,1,1882.04
107,"Few links for RegEx, Designers and UX",jesse1981,2017-11-01T05:18:09Z,2020-07-01T12:58:16+00:00,1,23359.67
131,Add toddmotto's public-apis list,VJubert,2018-10-10T21:05:40Z,2023-10-03T19:37:37+00:00,1,43654.53
132,Add Google SRE Handbook,alexpjohnson,2018-10-26T01:04:47Z,2018-12-05T21:09:18+00:00,1,980.08
146,Adding devdocs,coderkoala,2019-10-05T15:09:38Z,2022-08-27T20:00:16+00:00,1,25372.84
159,Added Abstract API,Emmajperrez,2020-09-14T22:18:37Z,2021-04-19T13:49:37+00:00,1,5199.52
160,"added website, uri, for programming practice",cleano01,2020-09-25T17:12:50Z,2022-11-22T14:10:23+00:00,1,18908.96
164,Added the book 'Code Complete' under Practices category,Goutham-AR,2020-11-08T16:43:38Z,2021-04-19T13:50:27+00:00,1,3885.11
165,fix distributed section dead link,damienleroux,2021-03-10T08:38:04Z,2021-04-19T13:48:45+00:00,1,965.18
168,Updated SEO link,MananJethwani,2021-09-09T13:59:43Z,2022-11-23T11:04:48+00:00,1,10557.08
179,"Add more resources on Engineering Philosophy, Practices and Career.",logbasex,2022-04-18T16:30:51Z,2022-11-23T11:06:04+00:00,1,5250.59
225,Added resources for web application security,Hotanya,2024-08-04T23:25:45Z,2025-09-22T22:03:54+00:00,3,9934.64
705,Add new site to Coding Practice Sites,jackieoft,2025-01-13T08:03:31Z,2025-09-22T22:01:04+00:00,1,6061.96
706,Added missing period for consistency and readability,shaymolcho,2025-01-29T20:25:43Z,2025-09-22T21:59:56+00:00,1,5665.57
707,Update README.md,mellowdevs,2025-06-16T21:03:04Z,2025-09-22T21:59:10+00:00,1,2352.93
711,Update README.md,YurokBo,2025-09-11T19:43:31Z,2025-09-22T21:45:03+00:00,1,266.03
