number,title,author,createdAt,closedOrMergedAt,reviewsCount,hoursOpen,merged,additions,deletions,changedFiles,bodyLength,issueCommentsCount,reviewThreadsCount,interactionsCount,finalReviewState
47025,Bump mocha to ^11.7.4,renovate,2025-10-05T00:40:49Z,2025-10-05T10:01:18+00:00,1,9.34,True,14,7,2,1541,1,0,1,MERGED
47024,Bump GitHub Actions,renovate,2025-10-05T00:39:28Z,2025-10-05T09:08:46+00:00,1,8.49,True,4,4,2,2201,0,0,0,MERGED
47023,Bump @types/node to ^20.19.19,renovate,2025-10-05T00:37:43Z,2025-10-05T10:00:41+00:00,1,9.38,True,117,117,11,811,1,0,1,MERGED
47022,Bump @netlify/functions to ^4.2.7,renovate,2025-10-05T00:36:19Z,2025-10-05T09:07:57+00:00,1,8.53,True,6,6,2,881,0,0,0,MERGED
47020,Bump MUI infra packages,renovate,2025-10-03T09:32:10Z,2025-10-04T10:50:27+00:00,1,25.3,True,12,12,2,896,0,0,0,MERGED
47018,[code-infra] Publish docs from upstream,Janpot,2025-10-02T19:01:32Z,2025-10-03T09:25:50+00:00,1,14.4,True,3,2,2,59,1,0,1,MERGED
47017,Release 7.3.4,Janpot,2025-10-02T15:22:42Z,2025-10-02T18:47:29+00:00,3,3.41,True,32,13,7,48,1,2,3,MERGED
47014,"Revert ""[Tabs] Fix not scrolling to correct tab after refresh when auto scrollable (#46869)""",ZeeshanTamboli,2025-10-02T10:09:03Z,2025-10-02T12:19:06+00:00,1,2.17,True,0,122,5,58,1,0,1,MERGED
47007,[material-ui] Fix `ThemeOptions` and `createTheme*` cyclic dependency,siriwatknp,2025-10-01T08:29:20Z,2025-10-02T01:43:48+00:00,1,17.24,True,544,456,4,1026,6,0,6,MERGED
47006,[release] v7.3.3,dav-is,2025-10-01T01:44:41Z,2025-10-01T15:12:01+00:00,3,13.46,True,83,22,23,84,1,1,2,MERGED
47005,[website] Add `Price increases` section on the pricing page,DanailH,2025-09-30T11:57:16Z,2025-09-30T16:18:06+00:00,2,4.35,True,17,0,1,62,1,0,1,MERGED
47003,[website] Add Wispr Flow as gold sponsor,rluzists1,2025-09-30T09:48:29Z,2025-10-01T13:44:07+00:00,3,27.93,True,26,0,5,384,3,1,4,MERGED
47002,[code-infra] Convert reportBrokenLink script to ts,brijeshb42,2025-09-29T13:35:45Z,2025-09-29T14:42:09+00:00,2,1.11,True,24,65,5,150,1,1,2,MERGED
47001,Bump MUI infra packages,renovate,2025-09-29T12:16:41Z,2025-10-02T15:18:41+00:00,1,75.03,True,811,818,2,896,1,0,1,MERGED
47000,[infra] Fix JSON files not being imported in TS demos,bernardobelchior,2025-09-29T08:51:55Z,2025-09-29T12:08:03+00:00,10,3.27,True,6,1,1,560,1,3,4,MERGED
46995,Bump eslint to ^9.36.0,renovate,2025-09-28T01:32:30Z,2025-09-28T08:46:15+00:00,1,7.23,True,84,84,4,851,0,0,0,MERGED
46994,Bump react-swipeable-views to ^0.14.1,renovate,2025-09-28T01:31:13Z,2025-09-28T07:30:16+00:00,1,5.98,True,21,17,2,916,0,0,0,MERGED
46993,Bump react-router to ^7.9.2,renovate,2025-09-28T01:30:02Z,2025-09-28T07:27:38+00:00,1,5.96,True,10,10,3,2130,1,0,1,MERGED
46992,Bump pnpm to 10.17.1,renovate,2025-09-28T01:28:54Z,2025-09-28T07:09:51+00:00,1,5.68,True,2,2,1,1243,0,0,0,MERGED
46991,Bump playwright monorepo,renovate,2025-09-28T01:28:04Z,2025-09-29T08:39:34+00:00,1,31.19,True,55,55,7,1610,2,0,2,MERGED
46990,Bump nextjs monorepo to ^15.5.4,renovate,2025-09-28T01:26:47Z,2025-09-28T06:56:59+00:00,1,5.5,True,15,15,6,2057,0,0,0,MERGED
46989,Bump github/codeql-action action to v3.30.5,renovate,2025-09-28T01:25:43Z,2025-09-28T06:51:40+00:00,1,5.43,True,3,3,2,2503,1,0,1,MERGED
46988,Bump babel-plugin-react-remove-properties to ^0.3.1,renovate,2025-09-28T01:25:36Z,2025-09-28T06:45:04+00:00,1,5.32,True,6,6,2,959,0,0,0,MERGED
46987,Bump @netlify/functions to ^4.2.6,renovate,2025-09-28T01:24:44Z,2025-09-28T06:42:42+00:00,1,5.3,True,15,15,2,869,0,0,0,MERGED
46977,[website] Add Kombai diamond sponsor,rluzists1,2025-09-25T16:49:40Z,2025-09-30T11:07:53+00:00,7,114.3,True,62,1,9,630,1,9,10,MERGED
46974,[code-infra] Migrate `lodash` to `es-toolkit`,sukvvon,2025-09-23T15:19:01Z,2025-10-03T06:58:03+00:00,13,231.65,True,96,132,47,350,11,9,20,MERGED
46967,[internal] Refactor `useForkRef` TS types: tighten `cleanupRef` and simplify ref typing,wo-o29,2025-09-21T12:16:55Z,2025-09-27T06:41:14+00:00,1,138.41,True,6,6,1,643,1,0,1,MERGED
