number,title,author,createdAt,closedOrMergedAt,reviewsCount,hoursOpen,merged,additions,deletions,changedFiles,bodyLength,issueCommentsCount,reviewThreadsCount,interactionsCount,finalReviewState
20366,fix: Flaky E2E test for the RLC (no-changelog),RomanDavydchuk,2025-10-03T14:21:57Z,2025-10-03T15:53:58+00:00,2,1.53,True,5,3,2,930,4,0,4,MERGED
20363,test: Migrate workflow executions tests from cypress to playwright,seemewalkin,2025-10-03T13:59:28Z,2025-10-03T17:19:51+00:00,2,3.34,True,459,315,8,408,4,0,4,MERGED
20359,refactor(editor): Extract `externalSecrets` into separate feature (no-changelog),alexgrozav,2025-10-03T13:11:21Z,2025-10-03T14:19:45+00:00,2,1.14,True,55,53,25,847,3,0,3,MERGED
20355,refactor(editor): Add usage state schema and refactor `usage` APIs (no-changelog),alexgrozav,2025-10-03T12:16:59Z,2025-10-03T13:32:27+00:00,4,1.26,True,35,29,7,433,3,1,4,MERGED
20353,feat(editor): Implement part 2 of ready to run v2 (no-changelog),romeobalta,2025-10-03T11:47:18Z,2025-10-03T14:47:14+00:00,4,3.0,True,445,91,8,412,3,3,6,MERGED
20348,feat(core): Make variable update DTO fields optional for patch and add validation,guillaumejacquart,2025-10-03T09:39:09Z,2025-10-03T15:47:52+00:00,5,6.15,True,448,38,8,738,2,2,4,MERGED
20346,feat: Add beta label for AI Assistant/Builder,mutdmour,2025-10-03T08:43:51Z,2025-10-03T12:02:34+00:00,3,3.31,True,137,73,6,243,5,0,5,MERGED
20344,docs: Lowercase docs URLs,StarfallProjects,2025-10-03T08:18:17Z,2025-10-03T11:28:26+00:00,13,3.17,True,88,88,87,23,3,29,32,MERGED
20341,test: Fix flaky workflow-data-proxy-env-provider test,seemewalkin,2025-10-03T08:02:15Z,2025-10-03T10:40:45+00:00,2,2.64,True,19,14,1,571,2,1,3,MERGED
20329,fix(form):fixes the form end node not redirecting properly,Sandy-1711,2025-10-02T16:36:21Z,2025-10-03T16:21:56+00:00,2,23.76,False,61,48,1,1377,4,5,9,CLOSED
20327,test(editor): Fix flaky frontend inline expression editor test,yehorkardash,2025-10-02T14:58:56Z,2025-10-02T16:59:03+00:00,2,2.0,True,2,5,1,462,4,0,4,MERGED
20318,fix: Disable Builder if license does not have feature,mutdmour,2025-10-02T14:12:13Z,2025-10-03T07:30:47+00:00,5,17.31,True,222,140,7,356,3,1,4,MERGED
20314,fix(Discord Node): Add test to Discord Webhook credential,yehorkardash,2025-10-02T13:49:07Z,2025-10-03T17:51:14+00:00,2,28.04,True,7,1,1,433,4,0,4,MERGED
20309,fix(core): Fix paired item data retrieval in loops with IF nodes,despairblue,2025-10-02T12:42:59Z,2025-10-02T14:16:53+00:00,2,1.56,True,0,156,2,1074,4,0,4,MERGED
20308,"fix(core): Check all outputs for chat triggers, first output only for webhooks",burivuhster,2025-10-02T12:31:30Z,2025-10-02T14:14:23+00:00,2,1.71,True,130,15,3,1355,4,2,6,MERGED
20306,refactor(editor): Move setWorkflowName and usages to workflowState composable,CharlieKolb,2025-10-02T12:00:28Z,2025-10-02T14:45:37+00:00,2,2.75,True,95,88,6,352,3,1,4,MERGED
20295,feat(editor): T2W loading state improvements (no-changelog),mike12345567,2025-10-02T09:19:20Z,2025-10-02T17:07:47+00:00,6,7.81,True,1208,613,24,1266,8,4,12,MERGED
20294,feat:  Import project from json file stored in git folder,ireneea,2025-10-02T08:46:24Z,2025-10-03T14:58:42+00:00,10,30.2,True,287,104,5,530,2,4,6,MERGED
20292,fix(editor): Frontend housekeeping,cstuncsik,2025-10-02T08:40:28Z,2025-10-02T12:10:18+00:00,3,3.5,True,3,10,3,478,3,0,3,MERGED
20286,fix(Anthropic Chat Model Node): Fix Sonnet 4.5 not working with default topP,OlegIvaniv,2025-10-02T06:15:50Z,2025-10-02T08:06:59+00:00,2,1.85,True,460,3,2,676,3,2,5,MERGED
20284,fix(core): Keep submodules of safe modules in native Python runner,ivov,2025-10-02T05:48:05Z,2025-10-02T07:54:25+00:00,2,2.11,True,36,1,4,688,1,0,1,MERGED
20273,fix(editor): Add rule to prevent undefined components (missing imports) in Vue,cstuncsik,2025-10-01T19:33:29Z,2025-10-02T06:28:30+00:00,2,10.92,True,57,13,30,464,4,0,4,MERGED
20272,Render,travourorg-boop,2025-10-01T18:39:30Z,2025-10-02T08:52:45+00:00,2,14.22,False,46,0,2,862,2,3,5,CLOSED
20265,chore: Add environment connection type to telemetry data,konstantintieber,2025-10-01T14:16:21Z,2025-10-01T16:31:02+00:00,2,2.24,True,7,0,4,448,3,0,3,MERGED
20258,test: Migrate templates tests to playwright,seemewalkin,2025-10-01T12:45:00Z,2025-10-01T15:16:27+00:00,7,2.52,True,3004,244,11,403,2,3,5,MERGED
20257,fix(core): Do not report to Sentry successful ws close in native Python runner,ivov,2025-10-01T12:10:32Z,2025-10-01T18:42:59+00:00,2,6.54,True,2,0,1,510,1,1,2,MERGED
20255,ci: Run evals on changes,burivuhster,2025-10-01T11:33:39Z,2025-10-03T08:25:52+00:00,2,44.87,True,91,0,2,493,2,0,2,MERGED
20250,fix(editor): Use debug ids for sentry sourcemaps (no-changelog),alexgrozav,2025-10-01T10:20:30Z,2025-10-01T12:09:58+00:00,4,1.82,True,248,81,3,465,3,1,4,MERGED
20249,fix: support “thinking” content blocks for Magistral models,RaghavMangla,2025-10-01T09:35:39Z,2025-10-01T10:40:24+00:00,3,1.08,False,167,20,4,1547,2,4,6,CLOSED
20247,feat(editor): Improve MCP UX (no-changelog),MiloradFilipovic,2025-10-01T08:44:12Z,2025-10-01T11:23:17+00:00,5,2.65,True,97,37,8,372,4,3,7,MERGED
