number,title,author,createdAt,closedOrMergedAt,reviewsCount,hoursOpen,merged,additions,deletions,changedFiles,bodyLength,issueCommentsCount,reviewThreadsCount,interactionsCount,finalReviewState
15682,chore(deps-dev): bump @commitlint/config-angular from 19.8.1 to 20.0.0,dependabot,2025-09-26T00:03:02Z,2025-09-30T08:12:35+00:00,1,104.16,True,9,9,2,3169,1,0,1,MERGED
15656,chore(deps): update dependency ts-jest to v29.4.4,renovate,2025-09-19T17:14:31Z,2025-09-22T13:50:51+00:00,1,68.61,True,35,35,35,812,1,0,1,MERGED
15623,chore(deps): update dependency chai to v6,renovate,2025-09-10T17:15:05Z,2025-09-16T08:11:21+00:00,1,134.94,False,1,1,1,8046,2,0,2,CLOSED
15622,fix(deps): update dependency path-to-regexp to v8.3.0,renovate,2025-09-10T14:50:28Z,2025-09-16T08:07:42+00:00,1,137.29,True,4,4,4,1170,2,0,2,MERGED
15621,fix(deps): update dependency @prisma/client to v6.16.1,renovate,2025-09-10T14:50:19Z,2025-09-16T08:04:35+00:00,2,137.24,True,1,1,1,7722,1,0,1,MERGED
15614,chore(deps-dev): bump mongoose from 8.18.0 to 8.18.1,dependabot,2025-09-09T00:05:10Z,2025-09-10T07:57:12+00:00,1,31.87,True,5,5,2,3132,1,0,1,MERGED
15598,feat(errors): add InvalidTcpDataReceptionException for handling TCP receive errors​,ghyghoo8,2025-09-05T03:55:19Z,2025-09-16T08:05:18+00:00,1,268.17,True,24,1,2,424,4,3,7,MERGED
15597,chore(deps-dev): bump @fastify/multipart from 9.0.3 to 9.2.1,dependabot,2025-09-05T00:02:45Z,2025-09-05T18:27:11+00:00,1,18.41,True,21,49,2,4033,1,0,1,MERGED
15584,fix(deps): update dependency mongodb to v6.19.0,renovate,2025-08-31T08:59:51Z,2025-09-05T18:27:51+00:00,1,129.47,True,1,1,1,978,1,0,1,MERGED
15578,chore(deps): update eslint monorepo to v9.35.0,renovate,2025-08-28T10:49:20Z,2025-09-16T08:07:52+00:00,1,453.31,True,73,73,37,842,2,0,2,MERGED
15576,chore(deps-dev): bump cache-manager from 7.1.1 to 7.2.0,dependabot,2025-08-27T11:55:03Z,2025-08-28T10:45:07+00:00,1,22.83,True,5,5,2,1523,1,0,1,MERGED
15571,fix(core): skip lifecycle hooks for non-instantiated transient services,mag123c,2025-08-26T12:07:34Z,2025-09-16T08:04:10+00:00,1,499.94,True,57,2,3,1886,14,0,14,MERGED
15560,chore(deps): update typescript-eslint monorepo to v8.40.0,renovate,2025-08-22T11:02:20Z,2025-08-24T17:17:38+00:00,1,54.26,True,38,38,36,1585,1,0,1,MERGED
15559,chore(deps): update dependency redis to v5.8.2,renovate,2025-08-22T06:54:20Z,2025-08-25T14:59:29+00:00,2,80.09,True,1,1,1,602,2,0,2,MERGED
15540,chore: update bug report issue template,micalevisk,2025-08-14T16:08:40Z,2025-08-18T06:44:48+00:00,2,86.6,True,3,36,1,187,1,0,1,MERGED
15526,fix(core): prevent stack overflow with snapshot enabled,revam,2025-08-11T21:21:11Z,2025-09-10T07:56:54+00:00,1,706.6,False,5,4,1,1507,4,0,4,CLOSED
15519,chore(deps): update dependency @types/node to v22.17.1,renovate,2025-08-08T17:45:03Z,2025-08-11T08:10:10+00:00,1,62.42,True,36,36,36,557,1,0,1,MERGED
15503,feat(common): add force-console option to console logger,mag123c,2025-08-05T12:49:11Z,2025-09-16T08:07:15+00:00,1,1003.3,True,287,5,5,1388,1,1,2,MERGED
15490,Fix Shell command built from environment values,ptrgits,2025-08-01T23:25:10Z,2025-08-07T06:57:09+00:00,2,127.53,True,13,6,1,2895,1,0,1,MERGED
15480,chore(deps): update nest monorepo,renovate,2025-07-31T10:25:27Z,2025-07-31T16:29:03+00:00,1,6.06,True,72,72,36,1250,1,0,1,MERGED
15455,fix(deps): update dependency dotenv to v17.2.1,renovate,2025-07-26T12:47:01Z,2025-07-27T16:33:41+00:00,1,27.78,True,3,3,3,731,1,0,1,MERGED
15450,chore(deps-dev): bump redis from 5.6.0 to 5.6.1,dependabot,2025-07-24T00:53:36Z,2025-07-26T08:28:33+00:00,1,55.58,True,29,29,2,2605,1,0,1,MERGED
15427,refactor(common): fix the typo 'sring' to 'string',premierbell,2025-07-18T15:10:01Z,2025-07-20T12:57:06+00:00,2,45.78,True,8,8,1,880,2,0,2,MERGED
15408,chore(deps): update dependency @types/multer to v2,renovate,2025-07-15T18:02:46Z,2025-07-16T07:27:57+00:00,1,13.42,True,1,1,1,556,1,0,1,MERGED
15385,fix(testing): auto-init fastify adapter for middleware registration,mag123c,2025-07-14T01:10:47Z,2025-07-16T07:38:57+00:00,5,54.47,True,154,0,2,1420,5,2,7,MERGED
15378,docs: fix typo,jochongs,2025-07-11T07:23:16Z,2025-07-14T09:02:51+00:00,1,73.66,True,1,1,1,704,2,0,2,MERGED
15374,feat: supporting fine async storage control,Farenheith,2025-07-09T14:11:55Z,2025-07-14T09:35:26+00:00,2,115.39,True,35,0,2,1956,1,0,1,MERGED
15333,fix(core): Make flattenRoutePath return a valid module,gentunian,2025-06-29T00:55:56Z,2025-07-14T15:54:46+00:00,5,374.98,True,29,1,2,818,2,1,3,MERGED
15323,chore(deps-dev): bump mocha from 11.7.0 to 11.7.1,dependabot,2025-06-25T00:25:26Z,2025-06-30T11:14:38+00:00,1,130.82,True,5,6,2,2062,1,0,1,MERGED
15311,chore(deps-dev): bump typeorm from 0.3.24 to 0.3.25,dependabot,2025-06-20T00:13:51Z,2025-06-23T07:29:56+00:00,1,79.27,True,9,9,2,5629,1,0,1,MERGED
15308,fix(deps): update dependency mercurius to v16.2.0,renovate,2025-06-19T11:32:08Z,2025-06-23T07:31:01+00:00,1,91.98,True,1,1,1,4395,1,0,1,MERGED
15305,fix(microservices): Revisit RMQ pattern matching with wildcards,getlarge,2025-06-18T19:31:15Z,2025-07-14T09:40:25+00:00,3,614.15,True,169,13,3,2051,4,0,4,MERGED
15281,chore(deps): update confluentinc/cp-zookeeper docker tag to v7.9.2,renovate,2025-06-13T11:36:17Z,2025-06-16T06:39:47+00:00,1,67.06,True,1,1,1,613,1,0,1,MERGED
15269,fix(deps): update dependency cache-manager to v7,renovate,2025-06-10T10:34:09Z,2025-06-13T11:31:00+00:00,1,72.95,True,1,1,1,633,1,0,1,MERGED
15250,fix(constants): update RMQ_DEFAULT_QUEUE to an empty string,EeeasyCode,2025-06-07T08:44:21Z,2025-07-14T09:39:33+00:00,1,888.92,True,1,1,1,1109,3,0,3,MERGED
15234,fix(deps): update dependency mongodb to v6.17.0,renovate,2025-06-04T06:45:38Z,2025-06-05T06:21:58+00:00,1,23.61,True,1,1,1,1364,1,0,1,MERGED
15204,refactor(microservices): add warn for post-initialization configuration,isaryy,2025-05-28T19:47:12Z,2025-05-30T08:18:49+00:00,4,36.53,True,25,0,1,1684,2,4,6,MERGED
15138,chore(deps): update dependency ts-jest to v29.3.3,renovate,2025-05-14T16:16:43Z,2025-05-15T06:38:33+00:00,1,14.36,True,35,35,35,795,1,0,1,MERGED
15105,chore(deps-dev): bump @types/node from 22.15.15 to 22.15.17,dependabot,2025-05-09T00:08:22Z,2025-05-12T06:53:00+00:00,1,78.74,True,5,5,2,1739,1,0,1,MERGED
15063,chore(): marked public api in the console-logger.service.ts,Tony133,2025-05-03T14:07:28Z,2025-05-05T06:41:47+00:00,1,40.57,True,6,0,1,777,2,0,2,MERGED
15061,fix(core): bring back `getHeader` and `appendHeader` methods from `AbstractHttpAdapter`,micalevisk,2025-05-03T02:42:40Z,2025-05-05T06:41:26+00:00,1,51.98,True,6,4,3,704,2,0,2,MERGED
15057,feat(microservices): Allow custom exchangeType as string for plugin compatibility,ChangmoKang,2025-05-02T12:43:53Z,2025-05-08T08:35:57+00:00,3,139.87,True,4,3,1,2288,3,1,4,MERGED
15056,fix(core): HTTP adapter error mapping,maxbronnikov10,2025-05-02T02:28:53Z,2025-05-08T07:23:54+00:00,3,148.92,True,49,1,2,814,3,2,5,MERGED
15039,fix(deps): update dependency @prisma/client to v6.7.0,renovate,2025-04-29T17:04:40Z,2025-04-30T06:37:30+00:00,1,13.55,True,1,1,1,6112,1,0,1,MERGED
14995,feat(common): Add fallbackToMimetype support in FileTypeValidator,mag123c,2025-04-21T08:17:08Z,2025-04-22T07:47:15+00:00,1,23.5,True,99,9,2,1639,3,0,3,MERGED
14987,feat(fastify): add Fastify native schema Validation and Serialization,vrxj81,2025-04-18T18:58:44Z,2025-04-22T07:40:47+00:00,4,84.7,False,89,1,5,2817,4,2,6,CLOSED
14974,refactor(common): Prevent JavaScript being wrapped in `eval`,Borewit,2025-04-15T17:33:38Z,2025-04-16T06:51:17+00:00,1,13.29,True,24,3,3,1365,7,0,7,MERGED
14955,fix(deps): update dependency @nestjs/common to v11.0.16 [security],renovate,2025-04-12T09:24:46Z,2025-04-14T06:35:35+00:00,1,45.18,True,37,37,37,867,1,0,1,MERGED
14934,fix(deps): update nest monorepo to v11.0.14,renovate,2025-04-09T07:42:10Z,2025-04-09T10:26:00+00:00,1,2.73,True,153,153,37,1645,1,0,1,MERGED
14918,chore(deps-dev): bump typescript from 5.7.3 to 5.8.3,dependabot,2025-04-07T00:43:05Z,2025-08-01T00:21:26+00:00,1,2783.64,False,5,5,2,2196,1,0,1,CLOSED
14902,fix(deps): update nest monorepo to v11.0.13,renovate,2025-04-03T16:09:57Z,2025-04-04T07:28:33+00:00,1,15.31,True,153,153,37,1966,1,0,1,MERGED
14896,chore(deps): update dependency eslint-plugin-prettier to v5.2.6,renovate,2025-04-02T17:42:38Z,2025-04-03T08:02:05+00:00,1,14.32,True,43,43,35,756,1,0,1,MERGED
14889,chore(deps): update dependency @types/node to v22.13.17,renovate,2025-04-01T14:11:55Z,2025-04-02T07:26:01+00:00,1,17.23,True,41,41,38,578,1,0,1,MERGED
14881,fix(common): introduce magic file type validator to nestjs common,Chathula,2025-03-31T11:08:39Z,2025-04-11T11:45:31+00:00,8,264.61,True,333,958,11,964,20,7,27,MERGED
14878,chore(deps): update dependency amqplib to v0.10.7 - autoclosed,renovate,2025-03-29T19:12:25Z,2025-03-31T10:39:23+00:00,1,39.45,True,6,49,2,818,1,0,1,MERGED
14877,fix(deps): update dependency mongoose to v8.13.1,renovate,2025-03-28T21:39:51Z,2025-03-31T10:38:47+00:00,1,60.98,True,7,7,4,878,1,0,1,MERGED
14793,feat(common): add log filtering function,y-nk,2025-03-18T03:18:17Z,2025-05-05T12:07:31+00:00,1,1160.82,True,85,2,2,979,9,0,9,MERGED
14789,feat(fastify): add decorator for custom schema,piotrfrankowski,2025-03-17T11:47:34Z,2025-07-15T10:01:32+00:00,3,2878.23,True,45,2,5,1018,4,0,4,MERGED
14720,fix(deps): update dependency typescript to v5.9.2,renovate,2025-03-01T18:02:47Z,2025-09-16T08:10:56+00:00,1,4766.14,True,39,39,38,902,2,0,2,MERGED
14640,fix(platform-express) respect custom parser middlewares in Express 5,luddwichr,2025-02-14T21:29:04Z,2025-02-17T09:34:56+00:00,2,60.1,True,47,1,2,1484,2,1,3,MERGED
14606,feat(microservices): add specific transport id to microservices,maxbronnikov10,2025-02-10T23:35:54Z,2025-05-12T08:04:47+00:00,5,2168.48,True,111,18,12,1445,7,1,8,MERGED
14597,perf(core): use topology tree for calculating distance (depth),kamilmysliwiec,2025-02-10T09:47:18Z,2025-02-10T15:11:51+00:00,4,5.41,True,136,27,3,722,1,2,3,MERGED
14581,chore(deps): update dependency ioredis to v5.5.0,renovate,2025-02-07T13:40:41Z,2025-02-10T07:32:00+00:00,1,65.86,True,14,11,2,934,1,0,1,MERGED
14540,feat(microservices): add support for topic exchange (rabbitmq),kamilmysliwiec,2025-01-30T12:53:31Z,2025-04-23T11:23:39+00:00,2,1990.5,True,335,68,6,697,3,2,5,MERGED
14523,fix: middleware sort issues,rbnayax,2025-01-27T14:03:05Z,2025-01-28T09:03:28+00:00,1,19.01,True,18,4,2,1161,3,0,3,MERGED
14469,feat(microservices): return all clients from kafka unwrap,kostyazgara,2025-01-21T11:03:26Z,2025-01-22T08:30:08+00:00,4,21.45,True,1,1,1,1525,1,1,2,MERGED
14452,chore: add issue types to issue templates forms,micalevisk,2025-01-18T15:37:23Z,2025-01-20T07:38:57+00:00,1,40.03,True,4,0,4,94,2,0,2,MERGED
14433,Fix process not ending correctly with shutdown hooks,thomaschaaf,2025-01-16T10:15:17Z,2025-01-21T09:26:06+00:00,11,119.18,False,6,1,3,826,2,1,3,CLOSED
14354,chore(deps-dev): bump cache-manager from 5.7.6 to 6.3.2,dependabot,2024-12-27T00:21:50Z,2025-01-07T13:19:58+00:00,1,276.97,True,1077,118,2,1640,1,0,1,MERGED
14350,fix: redirect the path of file to correct path,bestlyg,2024-12-24T13:13:59Z,2024-12-27T09:56:32+00:00,1,68.71,True,27,27,9,694,1,0,1,MERGED
14332,chore(deps): bump fastify from 4.29.0 to 5.2.0,dependabot,2024-12-16T00:08:47Z,2025-01-07T01:01:23+00:00,1,528.88,False,63,108,3,6773,1,0,1,CLOSED
