number,title,author,createdAt,closedOrMergedAt,reviewsCount,hoursOpen,merged,additions,deletions,changedFiles,bodyLength,issueCommentsCount,reviewThreadsCount,interactionsCount,finalReviewState
21093,Hide  mem_private_usage on Windows.,thiagoftsm,2025-10-03T18:38:33Z,2025-10-04T00:27:29+00:00,1,5.82,True,4,0,1,462,0,0,0,MERGED
21091,Event loop cleanup,stelfrag,2025-10-03T08:19:52Z,2025-10-05T07:10:32+00:00,1,46.84,True,17,36,3,151,0,0,0,MERGED
21090,Improve installer (Windows),thiagoftsm,2025-10-03T04:22:41Z,2025-10-03T11:50:07+00:00,2,7.46,True,55,21,1,786,0,2,2,MERGED
21089,Correctly split MCP registry update to it’s own workflow.,Ferroin,2025-10-02T16:40:44Z,2025-10-03T10:56:18+00:00,3,18.26,True,64,60,2,480,1,4,5,MERGED
21085,Fix app.mem_usage  (Windows),thiagoftsm,2025-10-02T02:01:38Z,2025-10-02T17:43:55+00:00,7,15.7,True,1,1,1,607,2,1,3,MERGED
21084,Fix duplicate header leak in ACLK HTTPS client,ktsaou,2025-10-01T21:30:32Z,2025-10-02T05:49:37+00:00,2,8.32,True,30,10,1,368,0,1,1,MERGED
21081,Adjust Disk Size (Windows.plugin),thiagoftsm,2025-10-01T01:40:11Z,2025-10-01T12:47:53+00:00,6,11.13,True,12,15,2,392,0,2,2,MERGED
21080,Fix cgroup-network spawn server cleanup on fatal exit,ktsaou,2025-09-30T21:28:20Z,2025-10-03T09:48:55+00:00,1,60.34,True,9,0,1,1070,0,0,0,MERGED
21077,build(go): add config dirs,ilyam8,2025-09-30T19:25:49Z,2025-09-30T20:32:24+00:00,2,1.11,True,7,3,1,160,0,0,0,MERGED
21076,Make `nd-run` silent unless exiting with an error,ilyam8,2025-09-30T18:26:40Z,2025-09-30T20:20:42+00:00,1,1.9,True,0,6,1,159,0,0,0,MERGED
21074,build(deps): bump openssl version in static build,ilyam8,2025-09-30T15:42:31Z,2025-09-30T16:52:55+00:00,1,1.17,True,1,1,1,87,0,0,0,MERGED
