number,title,author,createdAt,closedOrMergedAt,reviewsCount,hoursOpen,merged,additions,deletions,changedFiles,bodyLength,issueCommentsCount,reviewThreadsCount,interactionsCount,finalReviewState
3511,chat: cut v3.10.0 release,cebtenzzre,2025-02-24T19:35:10Z,2025-02-24T22:15:34+00:00,1,2.67,True,5,5,2,30,0,0,0,MERGED
3506,Add new remote model provider view.,manyoso,2025-02-19T19:01:30Z,2025-02-24T19:59:53+00:00,5,120.97,True,474,126,12,0,2,4,6,MERGED
3500,ci: use LLVM Clang 19 on macOS and Ubuntu,cebtenzzre,2025-02-14T22:35:54Z,2025-02-18T17:02:14+00:00,1,90.44,True,124,158,2,947,1,0,1,MERGED
3499,backend: build with CUDA compute 5.0 support by default,cebtenzzre,2025-02-14T20:11:33Z,2025-02-19T16:27:06+00:00,1,116.26,True,5,4,3,369,2,0,2,MERGED
3498,chat: require Qt 6.8 and fix #includes,cebtenzzre,2025-02-14T18:58:29Z,2025-02-18T18:59:51+00:00,1,96.02,True,261,148,52,811,1,0,1,MERGED
3496,Italian localization update,Harvester62,2025-02-14T09:17:44Z,2025-02-18T16:47:39+00:00,1,103.5,True,4,3,2,525,1,0,1,MERGED
3471,Add replacement jinjas for OLMoE and granite-3.1,ThiloteE,2025-02-06T22:23:55Z,2025-02-12T19:23:46+00:00,2,141.0,True,88,1,2,977,3,1,4,MERGED
3467,Translations: Improve Chinese translation,Junior2Ran,2025-02-06T07:41:00Z,2025-02-21T01:44:28+00:00,1,354.06,True,175,174,2,535,8,0,8,MERGED
3465,"Misc fixes for undefined behavior, crashes, and build failure",cebtenzzre,2025-02-05T16:44:48Z,2025-02-06T16:22:53+00:00,1,23.63,True,80,40,10,933,0,0,0,MERGED
3460,Fix PDFium abuse that leads to a crash on Windows ARM,cebtenzzre,2025-02-04T20:06:48Z,2025-02-04T22:29:01+00:00,1,2.37,True,11,7,4,430,0,0,0,MERGED
3458,"Ignore DeepSeek-R1 ""think"" content in name/follow-up responses",cebtenzzre,2025-02-04T01:33:55Z,2025-02-04T17:08:17+00:00,1,15.57,True,294,136,7,531,0,0,0,MERGED
3457,minja: update submodule to fix {# hang (redo),cebtenzzre,2025-02-03T20:25:29Z,2025-02-04T22:30:04+00:00,1,26.08,True,2,1,2,143,1,0,1,MERGED
3451,Fix index used by LocalDocs when tool calling/thinking is active,cebtenzzre,2025-02-01T00:09:10Z,2025-02-03T16:22:46+00:00,2,64.23,True,46,18,3,762,0,0,0,MERGED
3450,chat: work around Direct3D 11 rendering artifacts on win11 arm,cebtenzzre,2025-01-31T22:55:02Z,2025-02-03T16:47:40+00:00,1,65.88,True,36,12,5,510,0,0,0,MERGED
3449,Add olmoe and granitemoe architecture to whitelist,ThiloteE,2025-01-31T22:26:08Z,2025-02-04T23:00:07+00:00,1,96.57,True,6,1,3,1225,1,0,1,MERGED
3446,minja: update submodule to fix `{#` hang,cebtenzzre,2025-01-31T17:46:05Z,2025-02-03T16:25:21+00:00,1,70.65,True,2,1,2,152,0,0,0,MERGED
3442,ci: update to Qt 6.8.2,cebtenzzre,2025-01-30T22:11:34Z,2025-01-31T16:20:50+00:00,1,18.15,True,43,43,2,93,0,0,0,MERGED
3437,models: add DeepSeek-R1 distillations to official models list,cebtenzzre,2025-01-30T16:55:14Z,2025-01-30T21:23:41+00:00,1,4.47,True,73,3,3,82,0,0,0,MERGED
3436,ci: build offline installers when pipeline is scheduled,cebtenzzre,2025-01-29T18:13:02Z,2025-01-30T18:07:47+00:00,1,23.91,True,77,42,1,341,0,0,0,MERGED
3435,Don't block the gui thread for tool calls,manyoso,2025-01-29T15:36:08Z,2025-01-29T23:33:08+00:00,2,7.95,True,148,86,7,453,0,1,1,MERGED
3433,chat: replace Jinja2Cpp with minja,cebtenzzre,2025-01-29T01:28:02Z,2025-01-30T21:01:50+00:00,1,43.56,True,145,303,15,401,0,0,0,MERGED
3432,ci: verify that installers we build function and are signed,cebtenzzre,2025-01-28T22:42:41Z,2025-01-29T16:29:20+00:00,1,17.78,True,72,0,1,189,1,0,1,MERGED
3431,Support DeepSeek-R1 Qwen,cebtenzzre,2025-01-28T21:35:44Z,2025-01-29T14:51:50+00:00,1,17.27,True,51,9,4,832,2,0,2,MERGED
3430,ci: selective signing and automatic release builds,cebtenzzre,2025-01-28T17:17:22Z,2025-01-28T22:41:02+00:00,3,5.39,True,153,50,1,579,0,1,1,MERGED
3413,cmake: do not modify gpt4all.app after signing it,cebtenzzre,2025-01-23T23:29:19Z,2025-01-24T17:57:55+00:00,1,18.48,True,29,28,4,1323,0,0,0,MERGED
3412,[Jinja] Fix typo in Phi-3.1-mini-128k-instruct replacement template,ThiloteE,2025-01-23T21:24:18Z,2025-01-28T21:54:15+00:00,1,120.5,True,2,1,2,440,0,0,0,MERGED
3411,Server view fix,manyoso,2025-01-23T15:51:50Z,2025-01-24T15:29:28+00:00,1,23.63,True,2,1,2,77,0,0,0,MERGED
3410,Fix regression while using localdocs with server API.,manyoso,2025-01-23T15:03:25Z,2025-01-24T15:26:24+00:00,1,24.38,True,6,1,2,243,0,1,1,MERGED
3408,ci: fix macOS codesigning,cebtenzzre,2025-01-22T23:53:35Z,2025-01-23T16:41:35+00:00,1,16.8,True,16,4,2,1381,0,0,0,MERGED
3403,jinja2cpp: update submodule to fix unused var,cebtenzzre,2025-01-21T22:59:58Z,2025-01-22T00:22:07+00:00,1,1.37,True,1,1,1,501,0,0,0,MERGED
