number,title,author,createdAt,closedOrMergedAt,reviewsCount,hoursOpen
561,Suggest `ag -Q` when relevant,josephfrazier,2016-10-03T04:35:00Z,2016-10-07T08:35:34+00:00,2,100.01
562,Suggest `foo --help` when `man foo` shows no pages,josephfrazier,2016-10-03T07:59:29Z,2016-10-07T08:37:33+00:00,1,96.63
563,"Run flake8 in Travis, fix some errors",josephfrazier,2016-10-05T16:06:58Z,2017-03-13T12:39:24+00:00,8,3812.54
613,README->Installation: Clarify that the alias is really needed,rubo77,2017-03-14T23:02:43Z,2021-07-29T20:13:18+00:00,1,38349.18
657,Update stderr wording of git_not_command,josephfrazier,2017-06-05T21:31:02Z,2017-06-19T21:12:47+00:00,1,335.7
702,quick fix for #655,Epse,2017-10-05T16:51:01Z,2017-10-10T17:24:39+00:00,2,120.56
703,Basic fix for #652,Epse,2017-10-05T17:15:05Z,2017-10-15T15:30:29+00:00,4,238.26
706,Fix minor issues with git_remote_delete,scorphus,2017-10-08T23:36:10Z,2017-10-09T16:47:14+00:00,1,17.18
722,git_flag_after_filename: Handle new error message,josephfrazier,2017-10-31T16:58:18Z,2017-11-01T13:42:53+00:00,1,20.74
729,Add heroku_multiple_apps rule,josephfrazier,2017-11-07T01:13:54Z,2017-11-09T23:42:23+00:00,1,70.47
751,Don't add duplicate remote/branch name,djh82,2017-12-31T16:06:22Z,2018-01-02T00:45:46+00:00,2,32.66
752,Update license year,m1guelpf,2017-12-31T23:58:42Z,2018-01-01T17:53:35+00:00,1,17.91
753,Fix fish shell aliasing,djh82,2018-01-01T14:58:17Z,2018-01-03T04:14:02+00:00,1,37.26
759,Fix IndexError when using bitbucket,djh82,2018-01-02T22:35:18Z,2018-01-06T22:44:03+00:00,5,96.15
760,Escape single quote in branch names,djh82,2018-01-02T23:18:06Z,2018-01-04T16:40:02+00:00,15,41.37
763,762 git branch quotes,djh82,2018-01-03T22:24:06Z,2018-01-05T21:25:08+00:00,3,47.02
764,Offer git commit --amend after previous git commit,djh82,2018-01-03T22:43:57Z,2018-01-05T21:24:44+00:00,3,46.68
765,Add rule for ADB unknown commands,djh82,2018-01-03T23:54:23Z,2018-01-05T21:20:03+00:00,4,45.43
770,Add installation instructions on FreeBSD,yzgyyang,2018-01-08T21:31:16Z,2018-01-10T20:31:39+00:00,1,47.01
773,Add `git_merge_unrelated` rule for `git merge --allow-unrelated-histories`,josephfrazier,2018-01-14T22:11:19Z,2018-01-17T01:03:56+00:00,1,50.88
794,Update README.md for clarity and concision,b1skit,2018-03-22T17:53:06Z,2018-04-01T20:25:10+00:00,3,242.53
812,Update README.md to include chromeos install,ewpratten,2018-05-09T23:36:20Z,2018-05-11T09:36:25+00:00,1,34.0
814,Fix spelling,revolter,2018-05-12T12:25:53Z,2018-05-13T13:28:39+00:00,1,25.05
823,Create `cat_dir` rule for replacing `cat` with `ls`,scolby33,2018-07-07T09:41:23Z,2018-07-09T22:51:43+00:00,7,61.17
826,Add cat dir localization,scolby33,2018-07-10T21:06:57Z,2018-07-10T22:42:15+00:00,1,1.59
846,Some improvements,scorphus,2018-10-02T19:51:36Z,2018-10-08T20:32:31+00:00,7,144.68
849,--yeah is present (missing from release 3.27) --you,steaksauce-,2018-10-13T05:34:30Z,2023-09-06T02:38:33+00:00,1,42933.07
868,Point out you can use linuxbrew in README,fabiosantoscode,2018-12-26T21:32:13Z,2019-01-04T19:35:28+00:00,6,214.05
870,#869: Use `fish --version` instead of an interactive shell for info(),scorphus,2019-01-02T10:03:40Z,2019-01-04T19:54:04+00:00,1,57.84
877,#N/A: Return an ordered list from set of overridden aliases,scorphus,2019-01-16T23:30:04Z,2019-01-19T23:24:09+00:00,1,71.9
886,#N/A: Add rule for `git commit` that reverts previous commit,asong4211,2019-02-23T23:19:45Z,2019-02-25T22:24:17+00:00,1,47.08
892,Add rule for 'bc' command,danialmalik,2019-03-26T10:28:53Z,2019-12-23T06:35:22+00:00,1,6524.11
895,Add rule for pip_install permission fix,IngaFeick,2019-03-28T15:48:44Z,2019-04-24T16:15:39+00:00,7,648.45
924,Added rules to run terraform init before terraform plan or apply,mathcantin,2019-06-13T15:48:24Z,2019-06-26T18:02:01+00:00,2,314.23
928,Docker remove container before remove image,cjmartian,2019-07-05T19:45:14Z,2019-07-10T18:34:21+00:00,5,118.82
931,Only consider raw command in output,tobixx,2019-07-12T11:23:24Z,2019-08-19T19:39:15+00:00,1,920.26
933,Add: rules/go_unknown_command for misspelled go commands.,ik1ne,2019-07-19T01:36:10Z,2019-08-21T18:34:35+00:00,1,808.97
940,Update docker commands.,ik1ne,2019-08-02T04:03:01Z,2019-08-21T18:35:55+00:00,1,470.55
942,Rule for branch dash 0,ProfessorTom,2019-08-09T19:53:58Z,2021-07-01T21:07:38+00:00,8,16609.23
960,Added pacman invalid option rule,DragonGhost7,2019-10-02T03:35:06Z,2020-03-28T22:15:21+00:00,2,4290.67
963,Add fuck --hard as alternative to fuck --yeah,Faaab,2019-10-03T15:13:45Z,2019-10-08T21:44:23+00:00,2,126.51
966,added rule for drmemory commands missing --,elihschiff,2019-10-07T04:48:19Z,2019-11-14T19:40:56+00:00,1,926.88
976,Issue#965 - added venv instructions to CONTRIBUTING.md,shawnmcgraw,2019-10-11T20:19:37Z,2019-10-22T22:30:56+00:00,2,266.19
977,Add `wrong_hyphen_before_subcommand` rule,yotam180,2019-10-12T14:49:08Z,2021-08-07T21:26:36+00:00,8,15966.62
981,Add support for switch_lang for Korean.,ik1ne,2019-10-16T12:14:44Z,2019-10-19T13:03:21+00:00,2,72.81
984,Update readme for #Instant Mode,apoorv-j,2019-10-20T11:05:15Z,2019-10-22T08:14:41+00:00,1,45.16
