number,title,author,createdAt,closedOrMergedAt,reviewsCount,hoursOpen,merged,additions,deletions,changedFiles,bodyLength,issueCommentsCount,reviewThreadsCount,interactionsCount,finalReviewState
3660,[spam],Mhmodkhl1980,2025-09-18T22:24:54Z,2025-09-25T16:43:26+00:00,2,162.31,False,1,5,1,0,0,1,1,CLOSED
3650,[spam],tooshay2,2025-09-06T13:39:21Z,2025-09-06T18:03:29+00:00,1,4.4,False,0,1490,19,6,1,0,1,CLOSED
3643,[spam],joaopaulofelixviana,2025-08-21T19:22:44Z,2025-08-21T21:20:24+00:00,1,1.96,False,1,1,1,0,0,0,0,CLOSED
3624,fix: fix cygwin symlink,zdm,2025-07-22T10:18:36Z,2025-07-26T20:19:17+00:00,1,106.01,False,20,9,2,188,6,1,7,CLOSED
3609,[meta] Add comprehensive .github/copilot-instructions.md for better AI code assistance,copilot-swe-agent,2025-07-02T17:12:45Z,2025-07-03T22:16:47+00:00,52,29.07,True,427,0,1,2969,13,37,50,MERGED
3590,[readme] Update installation by Docker to v0.40.3,zwpaper,2025-06-06T09:15:25Z,2025-07-03T20:17:16+00:00,1,659.03,True,1,1,1,0,0,0,0,MERGED
3567,[spam],morningstarxcdcode,2025-04-15T13:41:20Z,2025-04-16T00:53:55+00:00,2,11.21,False,142,1064,2,78,1,1,2,CLOSED
3564,Fix node version detection in nvm_install_latest_npm,todeveni,2025-04-09T05:23:26Z,2025-04-09T06:56:53+00:00,5,1.56,True,7,7,1,715,2,0,2,MERGED
3559,[spam],swezakir,2025-04-06T10:57:05Z,2025-04-07T04:51:42+00:00,1,17.91,False,0,0,0,0,1,0,1,CLOSED
3532,[spam],unknown,2025-02-24T00:57:50Z,2025-02-24T18:54:41+00:00,1,17.95,False,28,0,1,0,0,0,0,CLOSED
3523,[spam],ZakesGit,2025-02-05T19:22:53Z,2025-02-05T20:48:34+00:00,1,1.43,False,5,0,1,26,0,0,0,CLOSED
3507,📝 update copyright notice,ctcpip,2025-01-10T20:42:01Z,2025-02-04T03:04:34+00:00,3,582.38,True,2,3,1,94,0,1,1,MERGED
3479,[readme] fix `--no-use` example,jeremygau,2024-11-28T19:38:34Z,2025-02-04T06:32:43+00:00,1,1618.9,True,6,1,1,209,1,0,1,MERGED
3476,[Tests] migrate `installation_iojs` test suite to GitHub Actions,jwagantall,2024-11-21T23:25:12Z,2025-02-04T05:42:30+00:00,2,1782.29,True,1,5,2,0,8,2,10,MERGED
3470,[Tests] Migrate slow test suite from Travis CI,jwagantall,2024-11-15T00:11:40Z,2025-02-04T05:15:07+00:00,6,1949.06,True,1,5,2,0,0,1,1,MERGED
3469,[readme] remove `avn` from readme,andrew-chang-dewitt,2024-11-13T20:42:23Z,2025-02-03T19:47:47+00:00,4,1967.09,True,1,3,1,79,3,1,4,MERGED
3467,[Fix] `install.sh`: fix failing install tests from #3458,menaechmi,2024-11-12T19:05:17Z,2024-11-12T22:03:34+00:00,1,2.97,True,17,17,3,583,2,0,2,MERGED
3466,[actions] run urchin tests on pull request,menaechmi,2024-11-12T19:02:52Z,2024-11-12T22:03:34+00:00,1,3.01,True,1,1,1,81,0,0,0,MERGED
3458,[New] `install.sh`: add `$ZDOTDIR` to zsh search,menaechmi,2024-11-07T03:32:06Z,2024-11-08T10:38:31+00:00,1,31.11,True,33,8,2,711,3,0,3,MERGED
3454,Rename .github/ISSUE_TEMPLATE.md to .github/ISSUE_TEMPLATE/ISSUE_TEMP…,cheeragpatel,2024-10-30T21:05:11Z,2024-10-31T21:21:58+00:00,1,24.28,True,51,16,4,85,0,0,0,MERGED
3450,CI: Migrate slow test suit from Travis CI,jwagantall,2024-10-29T16:52:40Z,2024-11-15T00:08:09+00:00,1,391.26,False,2,6,2,0,4,1,5,CLOSED
3449,CI: Migrate fast test suite from Travis CI,jwagantall,2024-10-29T03:19:43Z,2024-11-15T00:08:08+00:00,1,404.81,False,2,6,2,0,2,1,3,CLOSED
3441,[patch] give a more helpful message when `lts` alias is mistakenly used,r4reetik,2024-10-05T04:06:24Z,2024-10-06T02:46:20+00:00,5,22.67,True,25,4,2,1145,5,1,6,MERGED
3426,Customizing the shell prompt to display the current Node.js version,srinivas365,2024-09-16T09:53:47Z,2024-09-24T15:43:34+00:00,1,197.83,False,98,34,1,95,0,0,0,CLOSED
3394,[patch] Fix issue where zsh global aliases break nvm help,AllySummers,2024-07-25T18:41:50Z,2024-07-26T23:06:14+00:00,1,28.41,True,11,11,1,455,3,0,3,MERGED
3380,Auth support for NVM_AUTH_HEADER env var,dwelch2344,2024-06-21T14:56:11Z,2024-07-26T21:38:41+00:00,6,846.71,True,47,9,5,68,2,9,11,MERGED
3350,[spam],Mohand1000,2024-05-11T19:02:02Z,2024-07-26T23:07:48+00:00,1,1828.1,False,1,0,1,0,0,0,0,CLOSED
3348,"converted tree path to canonical form for case-insensitive comparison, attempt to solve issue #1049",jahir-raihan,2024-05-09T10:25:54Z,2025-02-03T17:46:25+00:00,1,6487.34,False,10,2,1,72,3,0,3,CLOSED
3341,[Fix] specify 'origin' remote name with `git clone ...` installs,rivy,2024-05-01T14:48:00Z,2025-09-11T21:48:55+00:00,4,11959.02,False,2,1,1,282,14,1,15,CLOSED
3299,[actions] update action versions to use node 20,boidolr,2024-02-18T21:03:01Z,2024-02-19T21:36:31+00:00,1,24.56,True,31,26,8,128,4,0,4,MERGED
3295,Fix typo in WSL section of README,JParisFerrer,2024-02-18T00:41:39Z,2024-02-18T03:31:20+00:00,1,2.83,True,1,1,1,8,0,0,0,MERGED
3286,[readme] Fix uninstall instructions,huyz,2024-02-13T11:40:15Z,2024-02-24T17:27:44+00:00,2,269.79,True,4,2,1,59,0,0,0,MERGED
3281,remove unnecessary if block from nvm get artifact compression,imevanc,2024-02-01T23:18:35Z,2024-02-03T23:59:36+00:00,1,48.68,False,0,2,1,314,2,1,3,CLOSED
3267,[Docs] add `nvm unload` to uninstall nvm instructions,jbidad,2024-01-18T08:37:19Z,2024-01-20T21:56:38+00:00,4,61.32,True,2,0,1,35,0,2,2,MERGED
3246,fix: use `builtin` instead of `command`,carlosala,2023-12-05T09:22:41Z,2023-12-06T05:50:57+00:00,2,20.47,False,2,2,1,158,3,0,3,CLOSED
3242,[readme] update M1 to “Apple Silicon” because of M2 and M3; fix typos,EchoEllet,2023-12-01T02:57:37Z,2023-12-05T04:46:14+00:00,5,97.81,True,10,10,1,61,1,6,7,MERGED
3235,Make `.nvmrc` more versatile/modular,victormihalache,2023-11-21T19:59:19Z,2024-11-27T09:13:11+00:00,1,8917.23,False,42,10,1,692,0,0,0,CLOSED
3231,[readme]: removing cdnvm command in readme for bashrc file,hasham7861,2023-11-17T01:01:26Z,2025-02-03T17:46:52+00:00,3,10672.76,False,1,1,1,218,1,1,2,CLOSED
3230,[readme] fix level of headings,haocheng6,2023-11-12T13:21:05Z,2023-12-05T00:32:20+00:00,1,539.19,True,6,6,1,269,1,0,1,MERGED
3222,[readme] rearrange install args,chrismeyers,2023-10-24T03:56:26Z,2023-12-05T05:14:43+00:00,1,1009.3,True,6,6,1,573,0,0,0,MERGED
3221,[readme] add section on bare `nvm install`,justindhillon,2023-10-23T17:31:32Z,2023-10-23T19:04:46+00:00,1,1.55,True,14,1,1,369,1,0,1,MERGED
3217,[Tests] fix filename typo ,JadeFlute0127,2023-10-09T07:35:23Z,2023-10-09T21:51:07+00:00,1,14.26,True,0,0,1,25,1,0,1,MERGED
3215,[readme] missing parenthesis,Cadienvan,2023-10-06T00:36:57Z,2023-10-09T22:34:00+00:00,1,93.95,True,1,1,1,65,0,0,0,MERGED
3212,[Fix] `nvm_get_arch`: proper value for alpine linux,asolopovas,2023-09-30T22:54:45Z,2023-11-02T03:14:55+00:00,3,772.34,True,139,3,3,110,33,0,33,MERGED
3199,"[Dockerfile] Remove apt src disabling, no longer needed",PeterDaveHello,2023-09-19T12:13:33Z,2023-09-20T05:00:04+00:00,1,16.78,True,0,3,1,3257,0,0,0,MERGED
3195,[Dockerfile] [Fix] add missing leading slash in path,namcxn,2023-09-18T10:44:04Z,2023-09-18T19:21:17+00:00,1,8.62,True,1,1,1,157,2,0,2,MERGED
3168,[readme] update OpenSSF Best Practices badge,Ishmaello,2023-08-19T10:31:28Z,2023-08-19T15:02:29+00:00,1,4.52,False,1,1,1,0,8,0,8,CLOSED
3155,[spam],wikinGit,2023-08-03T01:55:32Z,2023-08-03T03:29:54+00:00,1,1.57,False,4,0,1,0,0,0,0,CLOSED
3151,[readme] add examples of setting specific versions as default,Rockheung,2023-07-20T08:53:16Z,2023-08-17T22:49:37+00:00,1,685.94,True,3,1,1,932,3,0,3,MERGED
3145,[Fix] `nvm_strip_path`: Preserve leading/trailing colons,oliverhenshaw,2023-07-07T12:35:29Z,2023-08-22T03:54:36+00:00,2,1095.32,True,8,1,2,53,4,0,4,MERGED
3140,[Snyk] Security upgrade ubuntu from 22.04 to 22.10,ljharb,2023-07-04T19:30:51Z,2023-07-06T14:31:27+00:00,1,43.01,False,1,1,1,1189,5,0,5,CLOSED
3135,[readme] fix typo in resolv.conf filename,emmanuel-ferdman,2023-06-18T12:43:37Z,2023-06-23T17:00:52+00:00,1,124.29,True,1,1,1,115,0,0,0,MERGED
3134,Update table of contents in Readme.md,Andr7st,2023-06-17T09:32:35Z,2025-02-03T18:04:38+00:00,1,14336.53,False,44,41,1,71,0,0,0,CLOSED
3123,[readme] Update logo header,AugustinMauroy,2023-06-05T08:35:01Z,2023-06-12T05:45:56+00:00,2,165.18,True,7,1,1,42,0,2,2,MERGED
3105,[Docs] Remove unavailable testing script,dewren99,2023-05-01T18:24:09Z,2023-05-06T06:15:52+00:00,1,107.86,True,0,2,1,11,0,0,0,MERGED
3102,[Fix]: Fix NodeJS download link for armv8l,dewren99,2023-04-28T22:35:49Z,2023-05-06T05:51:48+00:00,1,175.27,True,7,1,3,1033,4,0,4,MERGED
3100,Add instructions on how to install without editing shell config,milesfrain,2023-04-25T20:49:55Z,2023-05-06T23:49:17+00:00,4,266.99,True,2,0,1,270,0,1,1,MERGED
3082,fix: shellcheck errors,dijonkitchen,2023-04-09T13:22:15Z,2023-04-11T18:47:42+00:00,5,53.42,True,8,3,1,14,0,1,1,MERGED
3080,Fix directory traversal when workdir path is not readable,zlotnleo,2023-04-08T16:30:26Z,2023-04-10T21:24:02+00:00,6,52.89,True,6,2,3,213,1,1,2,MERGED
3078,"[Dockerfile] Update base image from Ubuntu 20.04 to 22.04, cc #2877",PeterDaveHello,2023-04-05T17:23:23Z,2023-04-10T05:24:36+00:00,1,108.02,True,1,1,1,127,13,0,13,MERGED
3077,[readme] Update Travis CI badge and link url,PeterDaveHello,2023-04-03T14:51:48Z,2023-04-03T20:30:47+00:00,1,5.65,True,2,2,1,73,0,0,0,MERGED
3067,[Tests] downgrade python to v2 on travis,qasim-at-tci,2023-03-21T18:35:45Z,2023-03-21T20:23:54+00:00,1,1.8,True,4,1,1,158,0,0,0,MERGED
3060,[Perf] Improve performance of listing aliases,bbrk24,2023-03-12T01:36:29Z,2023-03-22T21:51:26+00:00,1,260.25,True,4,8,1,471,1,1,2,MERGED
3057,Patch .bashrc extension snippet in README.md,giancosta86,2023-03-11T03:48:29Z,2023-03-22T21:51:54+00:00,1,282.06,False,1,1,1,277,1,0,1,CLOSED
3052,[readme] add note about reloading zshrc after editing,lanzoninicola,2023-03-09T12:46:01Z,2025-02-03T22:20:23+00:00,1,16737.57,True,2,0,1,168,1,0,1,MERGED
3051,[Fix] recognize 32Bit docker container and use x86 arch,ds82,2023-03-08T08:17:24Z,2023-03-22T22:35:50+00:00,1,350.31,True,8,0,1,99,3,0,3,MERGED
3023,[spam],Mikeyhans,2023-02-04T22:51:40Z,2023-03-22T21:52:11+00:00,1,1103.01,False,1,0,1,0,1,0,1,CLOSED
3020,Add support for NixOS,jim3692,2023-01-30T18:48:25Z,2023-12-28T09:50:01+00:00,3,7959.03,False,45,2,1,12,14,2,16,CLOSED
3019,Update README.md,bluisana,2023-01-28T17:07:15Z,2023-02-02T05:40:57+00:00,3,108.56,False,7,0,1,144,0,1,1,CLOSED
3012,Remove unneeded call to ls in `nvm_arch`,signed-log,2023-01-22T11:02:27Z,2023-01-26T07:16:41+00:00,2,92.24,True,4,4,1,340,5,1,6,MERGED
2989,[tests] Update urchin project link,tlevine,2022-12-25T10:47:19Z,2022-12-26T21:48:07+00:00,1,35.01,True,1,1,1,0,0,0,0,MERGED
2961,added WSL Troubleshooting and provided a solution to a common problem (fixed typos),mattjaf,2022-12-01T04:01:07Z,2022-12-23T20:28:15+00:00,1,544.45,True,35,0,1,91,3,1,4,MERGED
2933,update test data for node 18 lts release,ryenus,2022-11-02T14:47:51Z,2022-12-23T20:07:12+00:00,1,1229.32,True,150,46,15,126,5,0,5,MERGED
2922,[Fix] nvm debug: awk: not an option: --version,ryenus,2022-10-21T09:01:02Z,2022-10-21T23:06:26+00:00,1,14.09,True,7,1,1,148,2,0,2,MERGED
2919,[Fix] grep: warning: stray \ before /,ryenus,2022-10-20T02:51:27Z,2022-10-20T05:35:23+00:00,1,2.73,True,1,1,1,243,0,0,0,MERGED
2915,[Fix] `nvm install` error `unknown condition: -ne`,epoweripione,2022-10-15T12:28:30Z,2022-10-16T20:27:42+00:00,4,31.99,True,482,491,15,21,3,2,5,MERGED
2907,Resolve CI issues,robertshuford,2022-10-06T02:09:50Z,2022-10-08T04:46:22+00:00,19,50.61,True,8,3,3,980,10,8,18,MERGED
2896,[readme] Update Alpine Linux Section,luni-moon,2022-09-27T10:44:39Z,2022-10-08T16:01:56+00:00,17,269.29,True,12,1,1,447,0,4,4,MERGED
2892,[Fix] `install.sh`: support `~/.zprofile`,maxmaxme,2022-09-21T20:46:58Z,2022-10-08T19:24:45+00:00,2,406.63,True,17,6,3,269,2,0,2,MERGED
2882,[Dockerfile] Update base image from Ubuntu 18.04 to 20.04,PeterDaveHello,2022-09-07T08:37:37Z,2022-10-08T15:34:48+00:00,1,750.95,True,3,3,1,12,0,0,0,MERGED
2874,[readme] optimize calling of `nvm version` in zsh,robertshuford,2022-08-31T06:23:40Z,2022-10-08T14:36:09+00:00,8,920.21,True,2,3,1,617,2,2,4,MERGED
2869,[New] `nvm use`/`nvm install`: add `--save` option,maartin0,2022-08-29T15:54:23Z,2024-07-26T23:28:58+00:00,15,16735.58,True,327,2,8,359,29,23,52,MERGED
2861,[readme] Fix Ansible Linting Errors,etienne-miralytik,2022-08-24T16:59:21Z,2022-10-08T06:31:25+00:00,1,1069.53,True,2,2,1,166,1,0,1,MERGED
2840,[readme] cdnvm(): handle failed dir change,superjer,2022-06-28T00:24:27Z,2022-10-08T06:02:45+00:00,1,2453.64,True,1,1,1,75,0,0,0,MERGED
2827,[perf] `nvm_print_versions`: re-implement using awk,ryenus,2022-06-05T03:52:37Z,2022-10-13T18:53:40+00:00,4,3135.02,True,65,63,1,531,14,1,15,MERGED
2823,[readme] Fix Git Install instruction list structure,SnipUndercover,2022-05-25T23:17:41Z,2022-10-08T05:41:52+00:00,1,3246.4,True,1,1,1,105,0,0,0,MERGED
2817,Update README.md,ArdentDev,2022-05-22T01:37:59Z,2025-02-03T17:50:42+00:00,3,23728.21,False,30,8,1,0,0,2,2,CLOSED
2800,[Fix] 'nvm exec' no longer prints error about '-q' being an invalid option,spikegrobstein,2022-04-28T19:12:56Z,2023-05-06T05:27:45+00:00,2,8938.25,True,2,0,1,910,7,0,7,MERGED
2791,Improve contributors documentation,cupofcake92,2022-04-15T16:16:35Z,2022-12-23T20:52:25+00:00,2,6052.6,True,102,6,1,218,0,1,1,MERGED
2790,Update CODE_OF_CONDUCT to current version.,cupofcake92,2022-04-15T14:59:00Z,2022-04-15T17:21:42+00:00,1,2.38,True,76,57,1,77,1,0,1,MERGED
2783,Send output from `load_nvm` to `/dev/stderr`,PonderCodes,2022-04-01T17:17:04Z,2022-04-03T19:44:23+00:00,1,50.46,True,1,1,1,11,0,0,0,MERGED
2777,[Fix] Don't override Mac M1 architecture for node ^14.17,joshkel,2022-03-30T14:54:07Z,2022-10-08T17:32:15+00:00,3,4610.64,True,7,4,2,11,0,1,1,MERGED
2770,[Fix] `nvm install`: show proper version in `.nvmrc` install instructions,deepakchethan,2022-03-22T14:05:33Z,2022-04-11T03:13:14+00:00,9,469.13,True,71,10,5,231,8,8,16,MERGED
2744,prefix all variable with LOCAL_NVM_,michelgasser,2022-02-15T10:26:44Z,2024-01-30T14:05:00+00:00,1,17139.64,False,1809,1803,1,272,5,0,5,CLOSED
2729,[Docs] Add note about creating `.bashrc` file *as well as* `.bash_profile`,dneu,2022-01-27T19:00:26Z,2022-10-08T05:10:00+00:00,4,6082.16,True,1,1,1,174,0,1,1,MERGED
2713,README.md: HTTP => HTTPS,Schweinepriester,2022-01-16T13:27:13Z,2022-01-18T21:01:52+00:00,1,55.58,True,8,8,4,90,0,0,0,MERGED
2698,Fix `nvm install` error if /sbin/init is absent and errtrace is enabled,lkrms,2021-12-26T00:38:06Z,2021-12-27T21:50:18+00:00,14,45.2,True,65,3,2,661,4,5,9,MERGED
2693,Update tar syntax to support OpenBSD.,opsbob,2021-12-19T03:24:31Z,2021-12-20T06:13:17+00:00,10,26.81,True,57,27,2,1048,0,3,3,MERGED
2691,[readme]: clarify that lts/* points to the active LTS,paulirish,2021-12-16T21:10:35Z,2025-02-03T17:47:37+00:00,1,27476.62,False,1,1,1,412,1,1,2,CLOSED
2690,Speed up the zshrc hook reading .nvmrc,Zackhardtoname,2021-12-16T20:19:18Z,2021-12-18T16:22:21+00:00,9,44.05,False,10,16,1,344,0,2,2,CLOSED
2678,handle nonexisting /sbin/init a bit more cleanly,lsfxz,2021-12-06T09:45:18Z,2021-12-27T21:50:18+00:00,13,516.08,True,1,0,1,2308,2,1,3,MERGED
2677,auto-checking the latest version when install,yeahnoob,2021-12-06T09:29:31Z,2021-12-07T06:40:50+00:00,3,21.19,False,4,0,1,60,2,1,3,CLOSED
2675,[readme] clarify instructions for running Node on M1 Mac,lukelafountaine,2021-12-03T21:59:29Z,2021-12-23T06:12:10+00:00,3,464.21,True,64,51,1,237,3,11,14,MERGED
2670,[readme] note zsh-nvm's AUTO_USE option,gimbo,2021-12-01T14:57:32Z,2025-02-04T01:48:55+00:00,2,27850.86,True,1,1,1,202,3,0,3,MERGED
2668,[Fix] `install`: fix method=script install condition,Meroje,2021-11-30T15:07:40Z,2021-11-30T20:24:26+00:00,1,5.28,True,2,2,2,12,0,0,0,MERGED
2659,[actions] add step security runner,varunsh-coder,2021-11-22T15:47:58Z,2021-12-10T23:00:54+00:00,14,439.22,True,78,0,7,531,13,5,18,MERGED
2658,[readme] Balance the if statement in bash example,Mahoney,2021-11-22T14:34:56Z,2021-11-22T18:31:15+00:00,1,3.94,True,1,1,1,311,0,0,0,MERGED
2657,[Fix] `nvm_get_download_slug`: better architecture selection for M1 Macs,imaddi47,2021-11-20T21:17:11Z,2021-12-03T07:55:41+00:00,16,298.64,True,121,0,3,2420,2,8,10,MERGED
2653,Describe another failure case for installing node versions from source on mac arm64 machines,igrayson,2021-11-15T12:24:03Z,2021-11-19T17:20:53+00:00,1,100.95,True,1,0,1,172,5,0,5,MERGED
2637,Add no-pager option to git branch,nix6839,2021-10-23T13:31:59Z,2021-10-23T21:23:49+00:00,2,7.86,True,3,3,1,124,11,0,11,MERGED
2634,Disable colors when stdout is not a terminal.,heinthanth,2021-10-18T14:34:42Z,2024-07-29T01:59:31+00:00,3,24347.41,False,17,0,1,11,8,0,8,CLOSED
2623,[Tests] exclude expired LetsEncrypt CA,rickbutton,2021-10-06T04:24:33Z,2021-10-06T16:32:34+00:00,1,12.13,True,2,0,1,42,6,0,6,MERGED
2620,"[readme] Add bash_completation in ""manual install"" section",felipear89,2021-10-05T13:50:44Z,2021-10-06T18:20:18+00:00,1,28.49,True,1,0,1,100,0,0,0,MERGED
2612,Change Ansible task to pass ansible-lint checks,MikkCZ,2021-09-29T06:05:45Z,2022-07-01T08:52:51+00:00,4,6602.78,False,4,5,1,0,0,1,1,CLOSED
2609,[readme] remove duplicate word 'run',GeorgiChochov,2021-09-26T09:48:53Z,2021-09-29T05:07:13+00:00,1,67.31,True,1,1,1,50,0,0,0,MERGED
2606,[Fix] Regression in 2dad045,svenssonaxel,2021-09-23T23:59:20Z,2021-09-29T05:17:30+00:00,1,125.3,True,1,1,1,11,0,0,0,MERGED
2605,Avoid infinite loop in cdnvm(),tim-connolly,2021-09-22T06:28:57Z,2021-09-29T05:28:32+00:00,2,166.99,True,1,1,1,140,0,0,0,MERGED
2604,updated automatic call script for bash,donnikitos,2021-09-21T20:57:52Z,2021-09-21T23:38:24+00:00,1,2.68,True,1,1,1,146,0,0,0,MERGED
2585,[Fix] `bash_completion`: be robust when `cd` is overridden,giladbarnea,2021-09-13T12:55:20Z,2021-09-13T18:05:10+00:00,1,5.16,True,1,1,1,587,3,0,3,MERGED
2581,[Fix] `nvm_ls_remote_index_tab`: handle long version lists,kstolp,2021-09-04T06:56:09Z,2021-09-04T16:23:17+00:00,1,9.45,True,359,26,14,11,0,0,0,MERGED
2577,feat: tests to run on GitHub Actions (#2576),ShaileshKumar007,2021-09-02T10:00:54Z,2025-02-03T18:11:48+00:00,1,30008.18,False,15,0,1,60,1,0,1,CLOSED
2573,fix: typo in README.md regarding docker image base in Dockerfile,vomaksh,2021-08-30T13:53:53Z,2021-08-30T16:46:11+00:00,1,2.87,True,1,1,1,11,2,0,2,MERGED
2571,[Dockerfile] Update dated base image from Ubuntu 16.04 to 18.04,PeterDaveHello,2021-08-30T13:47:12Z,2021-08-30T18:34:20+00:00,2,4.79,True,2,3,2,117,1,1,2,MERGED
2569,Bugfix: bash_completion configuration line is not append if the PROFILE variable is set to /etc/bashrc (which is a valid bashrc file).,tcladet,2021-08-27T17:15:21Z,2025-02-03T18:03:51+00:00,14,30144.81,False,1,1,1,63,0,1,1,CLOSED
2556,Detect correct profile in install.sh based on $SHELL var,tg90nor,2021-08-12T13:58:00Z,2021-08-21T05:13:38+00:00,4,207.26,True,14,13,2,176,2,2,4,MERGED
2541,[readme] fnm -> nvm.fish,kidonng,2021-07-18T10:33:39Z,2025-02-03T19:26:45+00:00,2,31112.88,True,1,1,1,102,6,0,6,MERGED
2540,[Snyk] Security upgrade ubuntu from 16.04 to xenial-20210416,snyk-bot,2021-07-17T22:24:15Z,2022-10-08T16:33:20+00:00,1,10746.15,False,1,1,1,1075,1,0,1,CLOSED
2537,[Snyk] Security upgrade ubuntu from 16.04 to xenial-20210114,snyk-bot,2021-07-15T16:27:08Z,2022-10-08T16:33:01+00:00,15,10800.1,False,1,1,1,1075,1,1,2,CLOSED
2528,Update README.md,billyhunt,2021-06-29T15:34:41Z,2021-06-29T17:08:21+00:00,1,1.56,False,1,1,1,80,1,0,1,CLOSED
2527,[readme] use `command nvm -v` instead of `command -v nvm`,jiangtaoki,2021-06-28T00:08:18Z,2021-06-29T17:06:42+00:00,1,40.97,False,2,2,1,0,0,1,1,CLOSED
2523,Improved DevEnviorment using VSCodes DevContainers,hegerdes,2021-06-19T21:17:44Z,2021-06-20T19:38:10+00:00,6,22.34,False,135,21,4,474,8,3,11,CLOSED
2517,fixed small  typo afew to a few,strouja,2021-06-04T19:16:06Z,2021-09-29T05:39:54+00:00,3,2794.4,True,4,4,1,294,1,2,3,MERGED
2512,[readme] Fix a typo,IamAfnanSk,2021-05-20T14:51:39Z,2021-11-01T18:04:32+00:00,1,3963.21,False,1,1,1,24,12,0,12,CLOSED
2511,Update .*rc file for all shells,RCMainak,2021-05-17T14:02:05Z,2025-02-03T17:37:08+00:00,1,32595.58,False,2,2,1,219,1,0,1,CLOSED
2502,Add notice about lack of Windows support in the README intro,SimonEast,2021-05-04T05:58:44Z,2021-10-07T05:57:21+00:00,5,3743.98,True,1,1,1,154,4,1,5,MERGED
2494,Update README.md,Calin-Cosma,2021-04-20T09:06:30Z,2025-02-03T17:40:54+00:00,1,33248.57,False,2,0,1,43,1,1,2,CLOSED
2490,[Fix] check if `compinit` is called before calling it,akefirad,2021-04-16T16:54:45Z,2021-04-16T22:16:01+00:00,1,5.35,True,8,5,1,91,2,0,2,MERGED
2479,Improve README about Macs with M1 chips,leafac,2021-04-05T15:29:57Z,2021-04-15T22:55:07+00:00,1,247.42,True,1,0,1,629,0,0,0,MERGED
