number,title,author,createdAt,closedOrMergedAt,reviewsCount,hoursOpen,merged,additions,deletions,changedFiles,bodyLength,issueCommentsCount,reviewThreadsCount,interactionsCount,finalReviewState
8762,ImGuiStyle Struct Save and Load functions,zmezoo,2025-06-30T20:20:33Z,2025-07-08T13:17:12+00:00,3,184.94,False,290,0,2,308,5,1,6,CLOSED
8674,Updated wgpu backend and example code to reflect removal of swapchain in webgpu api,bjconlan,2025-06-11T08:22:37Z,2025-06-13T05:33:27+00:00,2,45.18,False,174,330,7,693,11,2,13,CLOSED
8241,Fix GCC build,Raffaello,2024-12-18T10:01:08Z,2024-12-18T17:14:49+00:00,1,7.23,False,29,2,8,394,8,1,9,CLOSED
8111,Vulkan: Re-create main window pipeline (standalone) with docking,SuperRonan,2024-10-28T23:26:10Z,2025-09-04T16:10:18+00:00,1,7456.74,False,163,18,2,331,9,2,11,CLOSED
7804,Added Style Option for the Size of the Tab-Bar Overline,DctrNoob,2024-07-19T14:30:04Z,2024-07-22T08:59:29+00:00,1,66.49,False,10,4,4,313,7,1,8,CLOSED
7801,Update imgui_impl_sdl3.cpp,awedfdd,2024-07-17T23:48:16Z,2024-07-18T12:02:43+00:00,1,12.24,False,3,3,1,1038,1,0,1,CLOSED
7662,Use constexpr in default math functions where possible,kfish,2024-06-04T20:47:36Z,2024-08-21T11:51:01+00:00,2,1863.06,False,42,42,1,401,6,0,6,CLOSED
7657,Fixed incorrect order of arguments in IsMouseClicked,korenkonder,2024-06-04T14:39:18Z,2024-06-05T12:45:59+00:00,1,22.11,False,1,1,1,142,4,0,4,CLOSED
7580,Backends: SDL3 Rename QUOTE and BACKQUOTE to APOSTROPHE and GRAVE,kuvaus,2024-05-14T02:46:44Z,2024-05-15T12:19:14+00:00,1,33.54,False,2,2,1,1454,6,0,6,CLOSED
7513,Vulkan: Fixing secondary viewport resize problems on linux,InsideBSITheSecond,2024-04-20T17:33:06Z,2024-05-07T14:18:15+00:00,5,404.75,False,17,3,2,40,2,2,4,CLOSED
7132,Add glfw wgpu desktop and multiviewport support ,Zelif,2023-12-15T19:05:48Z,2024-05-16T20:15:17+00:00,13,3673.16,False,1620,522,32,1995,12,19,31,CLOSED
6751,examples/example_emscripten_wgpu: Initialize and change the size of the viewport and framebuffer according to the size of the canvas,Traveller23,2023-08-25T16:12:36Z,2023-12-19T15:12:52+00:00,2,2783.0,False,63,1,5,528,47,2,49,CLOSED
6591,Support for OpenType SVG fonts,sakiodre,2023-07-10T06:19:48Z,2023-08-01T08:21:20+00:00,2,530.03,False,173,0,3,1101,15,1,16,CLOSED
6286,SDL3 Renderer Implementation,Carcons,2023-03-31T11:39:11Z,2023-05-30T18:30:30+00:00,3,1446.86,True,284,0,2,268,2,1,3,MERGED
6188,"Make WebGPU backend portable to emscripten, Dawn, and wgpu-native",eliemichel,2023-02-23T08:01:16Z,2023-08-29T20:34:11+00:00,4,4500.55,False,0,0,0,1171,15,3,18,CLOSED
6109,Fixed VkResult Error on macOS VulkanSDK 1.3.216 ,NewSkyLine-dev,2023-01-22T12:33:56Z,2023-02-16T18:12:39+00:00,6,605.65,False,0,0,0,459,16,4,20,CLOSED
6067,Include period as delimiter & support Ctrl+Delete in InputText,ajweeks,2023-01-09T10:22:36Z,2023-03-22T19:50:47+00:00,3,1737.47,False,26,3,1,864,7,2,9,CLOSED
5724,Support Platforms Sans-Alloca with Custom Backend Virtual Keyboard,dcvz,2022-09-28T12:29:59Z,2022-09-28T15:43:51+00:00,1,3.23,False,12,0,2,755,5,2,7,CLOSED
5723,Support AB / XY Button Swapping / Remap,dcvz,2022-09-28T11:06:20Z,2022-09-28T13:28:24+00:00,1,2.37,False,15,1,2,354,15,1,16,CLOSED
