number,title,author,createdAt,closedOrMergedAt,reviewsCount,hoursOpen,merged,additions,deletions,changedFiles,bodyLength,issueCommentsCount,reviewThreadsCount,interactionsCount,finalReviewState
12543,kvcache: Clean up sliding window state with independent batches,jessegross,2025-10-08T22:21:46Z,2025-10-08T23:43:15+00:00,1,1.36,True,139,28,2,751,0,0,0,MERGED
12533,thinking: turn on thinking mode for all reasoning models,pdevine,2025-10-08T00:21:10Z,2025-10-08T23:50:13+00:00,5,23.48,True,30,20,4,255,0,3,3,MERGED
12527,discover: Disable flash attention for Jetson Xavier (CC 7.2),jessegross,2025-10-07T21:09:42Z,2025-10-08T16:56:15+00:00,1,19.78,True,17,13,3,301,0,0,0,MERGED
12519,add truncate and shift parameters,jmorganca,2025-10-07T03:32:28Z,2025-10-09T00:05:06+00:00,2,44.54,True,272,67,8,1058,0,1,1,MERGED
12513,win: fix build script,dhiltgen,2025-10-06T16:34:20Z,2025-10-06T21:46:45+00:00,1,5.21,True,1,1,1,0,0,0,0,MERGED
12509,openai: refactor to split compat layer and middleware,drifkin,2025-10-05T21:19:11Z,2025-10-06T23:22:08+00:00,1,26.05,True,1475,1303,5,113,0,0,0,MERGED
12494,llm: Support KV cache quantization with gpt-oss,jessegross,2025-10-03T22:31:45Z,2025-10-03T23:31:58+00:00,1,1.0,True,0,5,1,97,0,0,0,MERGED
12492,tests: improvements,dhiltgen,2025-10-03T21:06:57Z,2025-10-08T16:51:25+00:00,1,115.74,True,195,90,9,155,0,0,0,MERGED
12481,AMD: block running on unsupported gfx900/gfx906,dhiltgen,2025-10-02T21:33:39Z,2025-10-02T23:53:05+00:00,1,2.32,True,3,0,3,1118,7,0,7,MERGED
12473,llm: Allow overriding flash attention setting,jessegross,2025-10-01T21:57:41Z,2025-10-02T19:07:20+00:00,1,21.16,True,15,12,3,221,0,0,0,MERGED
12461,qwen3-coder: fix tool definition type rendering,drifkin,2025-09-30T22:03:33Z,2025-10-01T02:47:44+00:00,1,4.74,True,54,3,2,0,0,0,0,MERGED
12450,websearch: added local endpoints,npardal,2025-09-30T02:59:41Z,2025-10-01T19:10:21+00:00,1,40.18,False,149,0,3,22,0,4,4,CLOSED
12413,"feat: Handle the case where a tool call sends ""arguments"" or ""parameters"" as a serialized json string",gabe-l-hart,2025-09-25T19:04:35Z,2025-09-25T21:37:40+00:00,1,2.55,True,28,0,2,316,0,0,0,MERGED
12412,Fix AMDGPU_TARGETS filtering condition,Fachep,2025-09-25T17:49:03Z,2025-09-26T18:38:48+00:00,2,24.83,True,4,2,1,339,2,1,3,MERGED
12405,cli: add device signin flow when doing ollama push,pdevine,2025-09-24T22:41:51Z,2025-09-25T22:04:43+00:00,1,23.38,True,51,2,2,160,0,0,0,MERGED
12402,bugfix: restore the current runOptions if loading fails in the CLI,pdevine,2025-09-24T18:12:23Z,2025-09-26T01:30:45+00:00,1,31.31,True,338,1,3,408,0,0,0,MERGED
12400,Preallocate CUDA pool memory,jessegross,2025-09-24T16:55:11Z,2025-09-30T22:04:43+00:00,1,149.16,True,1077,333,15,440,0,0,0,MERGED
12385,Grace/deepseek v3 migration,gr4ceG,2025-09-23T20:22:32Z,2025-09-24T22:19:48+00:00,8,25.95,True,325,0,2,269,1,16,17,MERGED
12374,prefer ollama engine for qwen3moe,mxyng,2025-09-22T21:33:52Z,2025-09-24T18:21:33+00:00,1,44.79,True,1,0,1,60,0,0,0,MERGED
12373,auth: fix problems with the ollama keypairs,pdevine,2025-09-22T21:19:35Z,2025-09-23T06:20:21+00:00,6,9.01,True,119,102,6,223,0,4,4,MERGED
12339,harmony: remove special casing in routes.go,drifkin,2025-09-18T21:56:39Z,2025-09-22T20:13:40+00:00,3,94.28,True,144,96,5,462,0,1,1,MERGED
12338,server: add unauthorized error to remote chat handler,jmorganca,2025-09-18T21:29:56Z,2025-09-18T22:40:31+00:00,1,1.18,True,18,1,1,56,0,0,0,MERGED
12336,auth: check the permissions on the private key to see if it's readable,pdevine,2025-09-18T20:23:53Z,2025-09-18T21:34:34+00:00,2,1.18,True,15,3,1,0,0,1,1,MERGED
12325,multi-regexp pretokenizer,mxyng,2025-09-18T00:40:36Z,2025-09-23T20:21:47+00:00,3,139.69,True,124,34,12,122,0,1,1,MERGED
12319,build: avoid unbounded parallel builds,dhiltgen,2025-09-17T16:56:30Z,2025-09-18T21:57:01+00:00,1,29.01,True,23,14,2,528,0,0,0,MERGED
12318,fix: multi-cuda version skew,dhiltgen,2025-09-17T16:36:12Z,2025-09-17T20:05:10+00:00,3,3.48,True,28,21,2,87,1,1,2,MERGED
12311,fix: model load for unsupported embedding models,mxyng,2025-09-17T00:50:47Z,2025-09-18T23:11:08+00:00,3,46.34,True,67,52,2,624,0,3,3,MERGED
12310,prefer ollama engine for qwen3,mxyng,2025-09-17T00:08:09Z,2025-09-17T16:48:22+00:00,1,16.67,True,1,0,1,0,0,0,0,MERGED
12308,fix(llama): other llama flavours,mxyng,2025-09-16T20:49:15Z,2025-09-17T19:12:21+00:00,1,22.39,True,74,66,10,249,0,0,0,MERGED
12307,engine: add remote proxy,pdevine,2025-09-16T18:39:23Z,2025-09-17T21:40:53+00:00,20,27.02,True,949,101,12,1607,0,15,15,MERGED
12301,feat: qwen3 embed,mxyng,2025-09-16T00:30:37Z,2025-09-18T22:50:33+00:00,1,70.33,True,192,23,8,217,1,0,1,MERGED
12300,fix: fix CUDA detection for older GPUs,egyptianbman,2025-09-15T23:55:09Z,2025-09-16T14:47:07+00:00,1,14.87,True,9,1,1,134,0,0,0,MERGED
12299,embed: cleanup,mxyng,2025-09-15T22:41:05Z,2025-09-16T16:48:42+00:00,1,18.13,True,104,19,6,31,0,0,0,MERGED
12295,tests: add single threaded history test,dhiltgen,2025-09-15T20:51:48Z,2025-09-22T18:23:14+00:00,1,165.52,True,173,39,9,72,0,0,0,MERGED
12293,use split activations when possible,mxyng,2025-09-15T19:00:47Z,2025-09-16T16:51:19+00:00,2,21.84,True,59,50,16,0,0,0,0,MERGED
12289,server: skip parsing initial <think> if provided in the prompt for /api/generate,rick-github,2025-09-15T01:28:01Z,2025-09-17T23:39:04+00:00,1,70.18,True,3,0,1,37,1,0,1,MERGED
