number,title,author,createdAt,closedOrMergedAt,reviewsCount,hoursOpen,merged,additions,deletions,changedFiles,bodyLength,issueCommentsCount,reviewThreadsCount,interactionsCount,finalReviewState
2174,Refactor to use github action,charlie-openai,2025-10-03T10:31:58Z,2025-10-03T19:39:29+00:00,1,9.13,True,16,40,3,57,0,0,0,MERGED
2173,Fix images and give myself author credit,charlie-openai,2025-10-03T08:51:03Z,2025-10-03T16:11:17+00:00,1,7.34,True,9,5,3,61,0,0,0,MERGED
2170,Update authors.yaml,himadri-openai,2025-09-30T20:31:32Z,2025-09-30T22:06:04+00:00,1,1.58,True,10,8,9,1494,0,0,0,MERGED
2165,Agent SDK + Codex MCP,jhall-openai,2025-09-29T16:37:06Z,2025-10-02T15:40:48+00:00,1,71.06,True,717,1,8,1443,0,0,0,MERGED
2156,Update RFT cookbook to work with latest OpenAI APIs,robtinn,2025-09-23T08:50:14Z,2025-09-25T10:53:09+00:00,1,50.05,True,692,587,1,166,0,0,0,MERGED
2155,Codex-cli auto-fix with Actions integrations,himadri-openai,2025-09-23T04:59:23Z,2025-09-24T19:51:39+00:00,4,38.87,True,268,0,9,1957,0,3,3,MERGED
2152,Organize prompting-related articles into unified prompting directory,paytonison,2025-09-18T03:48:11Z,2025-09-26T09:45:17+00:00,1,197.95,False,75,17,164,2750,0,1,1,CLOSED
2151,"Convert ""run-transformers"" GPT-OSS markdown article into an interactive notebook",paytonison,2025-09-18T00:24:20Z,2025-09-26T09:45:16+00:00,1,201.35,False,647,271,2,1930,0,2,2,CLOSED
2149,fix: fix title and adjusting wording to meta prompting section of GPT-5 Troubleshooting Cookbook,bfioca-openai,2025-09-17T18:30:57Z,2025-09-17T19:59:06+00:00,1,1.47,True,4,4,2,58,1,0,1,MERGED
2143,Replace Intro Article,paytonison,2025-09-16T04:37:03Z,2025-09-26T09:45:13+00:00,2,245.14,False,1503,1608,178,2754,1,5,6,CLOSED
2141,Minh/formatting,minh-hoque,2025-09-14T20:49:57Z,2025-09-14T23:00:52+00:00,1,2.18,True,22,52,2,39,0,0,0,MERGED
2132,Consolidate prompting cookbook into examples/prompting and add comprehensive README,paytonison,2025-09-12T02:34:03Z,2025-09-17T23:36:20+00:00,1,141.04,False,0,0,0,1307,0,1,1,CLOSED
2129,Consolidate All LLM Prompting Examples into Single Folder,paytonison,2025-09-11T06:09:28Z,2025-09-12T01:37:21+00:00,1,19.46,False,102,0,163,2534,0,0,0,CLOSED
2125,Add automated RSS feed generation,paytonison,2025-09-09T05:33:53Z,2025-09-26T07:39:35+00:00,2,410.1,False,225,0,4,2815,0,6,6,CLOSED
2123,New cookbook: Context Engineering - Short-Term Memory Management with Sessions from OpenAI Agents SDK,emre-openai,2025-09-08T17:05:29Z,2025-09-10T21:07:35+00:00,1,52.03,True,1426,0,6,2429,3,0,3,MERGED
2122,Update image understanding cookbook to use gpt-5,robtinn,2025-09-08T15:29:19Z,2025-09-08T17:04:19+00:00,1,1.58,True,257,42,1,155,0,0,0,MERGED
2121,Cookbook Introduction rewritten for relevance and more user-friendly experience.,paytonison,2025-09-08T07:23:58Z,2025-09-11T05:43:41+00:00,2,70.33,False,673,168,8,1406,0,0,0,CLOSED
2099,Update registry.yaml,jonlim-openai,2025-08-28T19:13:25Z,2025-08-29T19:03:56+00:00,3,23.84,True,15,0,2,1470,0,1,1,MERGED
2097,Create secure_quality_gitlab.md,jonlim-openai,2025-08-28T18:48:04Z,2025-08-29T18:58:57+00:00,5,24.18,True,613,0,3,1441,2,2,4,MERGED
2085,Update to use model grader,hendrytl,2025-08-25T21:23:56Z,2025-08-26T14:34:14+00:00,1,17.17,True,64,22,1,1466,0,0,0,MERGED
2084,Update evals receipt cookbook to reflect eval ZDR support,HSG-OAI,2025-08-25T13:09:02Z,2025-08-25T17:58:02+00:00,1,4.82,True,1,1,1,1491,0,0,0,MERGED
2082,Rewriting the cookbook introduction to update it and make it more user friendly.,paytonison,2025-08-24T06:15:08Z,2025-09-08T07:10:28+00:00,1,360.92,False,53,168,4,2978,0,0,0,CLOSED
2072,Updated 'How to call functions with chat models' cookbook to use GPT-…,jordanellis-oai,2025-08-18T13:31:06Z,2025-08-20T23:32:49+00:00,1,58.03,True,9,9,1,95,0,1,1,MERGED
2070,Replace LLM article with concise introduction,paytonison,2025-08-17T22:58:02Z,2025-08-24T05:53:41+00:00,2,150.93,False,36,168,2,2548,0,1,1,CLOSED
2069,Update registry.yaml,paytonison,2025-08-17T22:56:48Z,2025-08-24T05:53:15+00:00,1,150.94,False,8,0,1,1406,0,1,1,CLOSED
2066,Fix typo in prompting guide instructions,paytonison,2025-08-15T22:30:05Z,2025-08-16T09:01:25+00:00,1,10.52,False,1,169,2,1746,0,0,0,CLOSED
2057,Update openai-harmony.md,dkundel-openai,2025-08-13T23:20:42Z,2025-08-14T16:22:16+00:00,1,17.03,True,1,1,1,1406,1,0,1,MERGED
2055,Add cookbook for audio evals,hendrytl,2025-08-13T17:45:15Z,2025-08-14T01:47:46+00:00,10,8.04,True,525,0,3,1534,1,12,13,MERGED
2053,Update gpt-5_prompting_guide.ipynb,paytonison,2025-08-12T23:05:18Z,2025-08-15T22:19:36+00:00,1,71.24,False,1,1,1,1743,0,1,1,CLOSED
2051,Update transformers to avoid triton errors.,Vaibhavs10,2025-08-12T20:52:29Z,2025-08-13T14:49:31+00:00,1,17.95,True,3,7,2,430,0,0,0,MERGED
2048,docs: unify get weather function name in openai-harmony for consistency,kibitzing,2025-08-12T11:58:18Z,2025-08-18T17:58:12+00:00,1,150.0,True,7,7,1,838,1,0,1,MERGED
