number,title,author,createdAt,closedOrMergedAt,reviewsCount,hoursOpen,merged,additions,deletions,changedFiles,bodyLength,issueCommentsCount,reviewThreadsCount,interactionsCount,finalReviewState
2549,Create 1,Aya1991q,2025-03-16T10:39:28Z,2025-06-26T00:02:24+00:00,1,2437.38,False,8,0,1,0,0,0,0,CLOSED
2487,GitHub Actions: Add Python 3.13 to the testing,cclauss,2025-01-04T15:37:03Z,2025-05-13T04:10:40+00:00,1,3084.56,True,5,1,1,244,8,0,8,MERGED
2451,Fix: Update torch.load to use weights_only=True to prevent security w…,yaslack,2024-11-20T17:12:43Z,2025-06-26T00:54:30+00:00,1,5215.7,True,2,1,1,383,4,0,4,MERGED
2447,نواUpdate LICENSE,Sam21a,2024-11-20T05:08:31Z,2025-01-29T03:33:51+00:00,1,1678.42,False,0,0,0,21,3,0,3,CLOSED
2433,fix typo data/README.md,YuZekai,2024-11-12T11:56:59Z,2024-11-13T00:35:54+00:00,1,12.65,True,1,1,1,0,1,0,1,MERGED
2390,Improvements implemented in the audio processing module,unknown,2024-10-15T18:06:21Z,2025-03-01T00:47:30+00:00,1,3270.69,False,87,120,1,239,0,1,1,CLOSED
2379,Update README.md,BotMaster3000,2024-10-07T14:15:24Z,2024-11-04T07:00:31+00:00,1,664.75,True,1,1,1,39,1,0,1,MERGED
1802,Relax triton requirements for compatibility with pytorch 2.1 and newer,eindenbom,2023-11-13T13:52:29Z,2023-11-13T17:43:42+00:00,1,3.85,True,1,1,1,136,1,1,2,MERGED
1704,Add subtitle_format option to word_options dict,MatteoFasulo,2023-10-11T18:03:56Z,2023-11-09T13:25:43+00:00,9,691.36,False,0,0,0,1343,2,1,3,CLOSED
1568,Patch 3,GrayHatAlex,2023-08-02T02:36:36Z,2023-09-18T23:01:20+00:00,1,1148.41,False,109,34,4,0,0,0,0,CLOSED
1559,word timing tweaks,taylorchu,2023-07-29T23:28:25Z,2023-08-07T21:48:56+00:00,2,214.34,True,7,2,1,0,5,2,7,MERGED
1528,Add .pre-commit-config.yaml,kimdwkimdw,2023-07-17T06:38:33Z,2023-09-18T23:15:34+00:00,1,1528.62,True,60,5,4,394,0,1,1,MERGED
1526,fix doc of TextDecoder,HSQ79815,2023-07-16T14:52:09Z,2023-09-18T23:10:00+00:00,2,1544.3,True,1,1,1,0,0,0,0,MERGED
1483,Avoid rearranging all caches,wangchou,2023-06-30T10:35:20Z,2023-07-06T19:48:09+00:00,7,153.21,True,9,6,1,207,0,1,1,MERGED
