number,title,author,createdAt,closedOrMergedAt,reviewsCount,hoursOpen,merged,additions,deletions,changedFiles,bodyLength,issueCommentsCount,reviewThreadsCount,interactionsCount,finalReviewState
27882,Extended Activation layers support,abhishek-gola,2025-10-09T07:26:33Z,2025-10-10T09:56:13+00:00,1,26.49,True,111,32,4,664,1,1,2,MERGED
27877,Fix QRCodeDetector::detectAndDecode crash,MaximSmolskiy,2025-10-07T00:05:34Z,2025-10-08T05:50:54+00:00,1,29.76,True,11,10,2,793,0,0,0,MERGED
27874,3D object pose estimation tutorial update,asmorkalov,2025-10-06T07:54:27Z,2025-10-06T12:20:07+00:00,1,4.43,True,64,534,11,736,0,0,0,MERGED
27872,Rename fields in camera calibration results,dkurt,2025-10-05T18:53:42Z,2025-10-06T06:43:01+00:00,1,11.82,True,14,14,4,763,1,0,1,MERGED
27865,Fix invalid memory access in USAC,MaximSmolskiy,2025-10-03T16:16:14Z,2025-10-06T12:29:44+00:00,1,68.22,True,3,3,2,675,1,0,1,MERGED
27861,Warning fixes in DLpack integration on Win32,asmorkalov,2025-10-02T06:13:26Z,2025-10-02T09:01:54+00:00,1,2.81,True,2,2,1,689,0,0,0,MERGED
27859,Updated Tutorial PSNR for identical images,D00E,2025-10-01T23:12:44Z,2025-10-03T13:59:38+00:00,1,38.78,True,24,27,3,1403,0,0,0,MERGED
27858,Check CMake target before use,dkurt,2025-10-01T10:43:40Z,2025-10-02T05:47:02+00:00,2,19.06,True,3,1,1,695,0,0,0,MERGED
27857,Cleaned up parser denylist and removed passing tests.,abhishek-gola,2025-10-01T10:11:25Z,2025-10-03T13:18:04+00:00,1,51.11,True,280,797,3,701,2,0,2,MERGED
27849,Fixed memory leak in webp backend of imgcodecs,asmorkalov,2025-09-30T08:02:10Z,2025-10-01T05:37:29+00:00,1,21.59,True,25,13,1,1025,1,0,1,MERGED
27845,Added Bitwise layer to new DNN engine,abhishek-gola,2025-09-29T14:24:01Z,2025-10-09T07:01:23+00:00,2,232.62,True,250,30,6,664,0,1,1,MERGED
27844,Fix yolov4 stateless 27580,aditya270520,2025-09-29T12:50:31Z,2025-10-02T09:03:38+00:00,2,68.22,False,88,3,2,1802,6,2,8,CLOSED
27837,Fix to prevent QR code decoding from throwing exception on degenerate quadrilaterals,jasseeeem,2025-09-27T21:43:47Z,2025-09-29T07:18:18+00:00,2,33.58,True,7,2,2,972,0,1,1,MERGED
27834,Fix YOLOv4 stateless issue on 32bit Windows (#27580),aditya270520,2025-09-26T16:01:24Z,2025-09-29T12:57:56+00:00,1,68.94,False,123,1,2,1976,2,4,6,CLOSED
27828,Added option to wrap opencv_contrib into JS too.,asmorkalov,2025-09-25T14:28:27Z,2025-09-25T20:46:45+00:00,1,6.3,True,10,0,2,719,0,0,0,MERGED
27827,Updated ONNX conformance tests and parser denylist,abhishek-gola,2025-09-25T12:35:02Z,2025-09-29T12:48:49+00:00,3,96.23,True,2835,305,4,700,2,1,3,MERGED
27825,Remove more C code,vrabaud,2025-09-25T11:32:20Z,2025-09-25T13:24:00+00:00,1,1.86,True,6,8,4,664,2,0,2,MERGED
27822,Improved blur,ashish-sriram,2025-09-24T06:59:22Z,2025-10-06T08:00:31+00:00,6,289.02,True,427,1,3,821,6,2,8,MERGED
27821,Fixed wrong NaN handling when scaling depth for OdometryFrame,savuor,2025-09-24T05:05:43Z,2025-09-25T12:25:04+00:00,7,31.32,True,68,4,2,664,0,2,2,MERGED
27820,Speedup ChArUco by avoiding temporary copies,undingen,2025-09-24T00:18:11Z,2025-09-24T07:50:59+00:00,1,7.55,True,23,14,1,1245,0,0,0,MERGED
