number,title,author,createdAt,closedOrMergedAt,reviewsCount,hoursOpen
360,Added free discrete math book,adamgomes,2016-09-23T14:49:08Z,2016-10-03T12:56:46+00:00,1,238.13
372,updated books and courses,arpit1997,2016-10-13T15:41:12Z,2016-10-13T22:39:33+00:00,16,6.97
373,updated books,arpit1997,2016-10-14T09:25:53Z,2016-10-23T09:14:09+00:00,1,215.8
375,Improved some english phrases,jprivillaso,2016-10-18T08:27:53Z,2016-10-18T10:02:38+00:00,1,1.58
379,ADD: Advanced Operating Systems from U.C.B.,breda,2016-11-13T11:33:33Z,2016-11-15T20:47:09+00:00,2,57.23
450,Update courses.md,luuductrung1234,2018-01-16T03:00:16Z,2018-09-27T22:32:52+00:00,1,6115.54
511,Fixed a few grammatical mistakes.,thesohelshaikh,2018-10-13T12:10:41Z,2018-10-16T14:28:49+00:00,3,74.3
517,Add curricular guidelines,waciumawanjohi,2018-10-22T23:51:13Z,2018-11-06T05:31:57+00:00,1,341.68
571,Update to current version of LAFF course website,t-miller,2019-04-11T13:21:23Z,2019-04-11T19:34:40+00:00,1,6.22
610,README: Small text fixes,rantwijk,2019-10-11T09:25:57Z,2019-10-11T22:00:03+00:00,2,12.57
792,Update README.md,rachel83az,2020-09-18T11:42:52Z,2021-08-03T17:22:58+00:00,1,7661.67
843,"Add ""Practical C Programming by Steve Oualline""",r0hitm,2020-12-28T04:49:58Z,2021-01-18T14:33:48+00:00,2,513.73
857,Update Game Design specialization,t-miller,2021-01-26T18:59:21Z,2021-01-29T08:26:13+00:00,2,61.45
872,Set theme jekyll-theme-cayman,FahimFBA,2021-03-04T07:58:42Z,2021-03-31T01:52:40+00:00,1,641.9
927,Switch 3b1b Linear Algebra from pre to corequisite,Alaharon123,2021-07-24T04:16:19Z,2021-10-09T06:19:36+00:00,1,1850.05
941,Add interesting/useful reading resources,herods,2021-08-25T18:42:22Z,2021-10-09T06:22:21+00:00,1,1067.67
948,Add The Linux Command Line book to Tools section in extra readings,azzsal,2021-10-01T20:49:06Z,2021-12-10T18:58:22+00:00,1,1678.15
1010,Fixes typos,nikoandpiko,2022-03-20T10:51:30Z,2022-03-21T21:46:28+00:00,1,34.92
1071,Swap Intro CS from edX to OpenCourseWare,waciumawanjohi,2022-08-03T06:10:03Z,2022-08-23T23:16:16+00:00,1,497.1
1130,Add a new project from a student,thaitri2005,2023-02-01T12:29:20Z,2023-04-05T04:18:42+00:00,1,1503.82
1166,for test,ework06,2023-08-04T05:35:55Z,2023-08-04T19:18:01+00:00,1,13.7
1204,Adding a new URL course for Git and GitHub because the old link invalid,karim1safan,2024-01-28T00:35:19Z,2024-01-28T04:26:18+00:00,2,3.85
1212,Remove mentions of outdated materials and add warning about them,pulkitkrishna00,2024-02-17T06:24:47Z,2024-02-18T17:16:58+00:00,1,34.87
1226,Mark the Py4E course link as link,pulkitkrishna00,2024-03-22T17:26:39Z,2024-03-26T03:45:35+00:00,1,82.32
1292,Update Intro CS course,pulkitkrishna00,2024-12-26T05:51:49Z,2024-12-27T05:24:20+00:00,1,23.54
1298,Update README.md,hiepnguyenduc2005,2024-12-31T20:18:06Z,2025-01-06T02:14:01+00:00,1,125.93
1301,Align OSSU Prerequisite Math FAQ with Discord Recommendations,Flomza,2025-01-12T03:33:36Z,2025-01-12T08:12:03+00:00,2,4.64
1309,Intro CS - 6.001L | Add note about course textbook,zachmmeyer,2025-02-02T16:59:39Z,2025-02-23T06:01:38+00:00,1,493.03
1327,Update README.md,saeedhosam,2025-05-10T02:35:33Z,2025-05-10T15:08:01+00:00,1,12.54
