number,title,author,createdAt,closedOrMergedAt,reviewsCount,hoursOpen,merged,additions,deletions,changedFiles,bodyLength,issueCommentsCount,reviewThreadsCount,interactionsCount,finalReviewState
23252,test(valkey): Improvements to valkey IPC interlock,markovejnovic,2025-10-04T20:13:21Z,2025-10-05T12:08:00+00:00,4,15.91,True,53,16,3,133,2,3,5,MERGED
23241,Add Claude Code hooks to prevent common development mistakes,robobun,2025-10-04T11:21:19Z,2025-10-04T12:25:30+00:00,3,1.07,True,291,0,3,873,2,4,6,MERGED
23232,"fix(pnpm migration): fix `""lockfileVersion""` number parsing",dylan-conway,2025-10-04T03:54:07Z,2025-10-04T07:53:16+00:00,4,3.99,True,25,28,5,237,2,3,5,MERGED
23229,fix(install): make negative workspace patterns work,dylan-conway,2025-10-04T03:25:17Z,2025-10-04T07:31:47+00:00,1,4.11,True,129,80,17,410,4,0,4,MERGED
23227,fix(sqlite) enable order by and limit in delete/update statements on windows,cirospaciari,2025-10-04T01:32:12Z,2025-10-04T09:48:50+00:00,1,8.28,True,465,387,5,696,3,0,3,MERGED
23222,fix(install): isolated installs with transitive self dependencies,dylan-conway,2025-10-03T23:04:43Z,2025-10-04T09:59:47+00:00,1,10.92,True,148,2,5,582,2,2,4,MERGED
23221,fix(Bun.SQL) fix command detection on sqlite,cirospaciari,2025-10-03T22:35:29Z,2025-10-04T00:50:47+00:00,14,2.25,True,176,245,3,108,3,5,8,MERGED
23218,Add `jsc.DecodedJSValue`; make `jsc.Strong` more efficient,taylordotfish,2025-10-03T21:06:33Z,2025-10-04T05:05:29+00:00,1,7.98,True,47,22,8,282,3,1,4,MERGED
23216,fix(crypto): hkdf callback should pass null (not undefined) on success,robobun,2025-10-03T18:14:03Z,2025-10-03T22:55:57+00:00,5,4.7,True,26,4,3,752,2,0,2,MERGED
23209,Implement birthtime support on Linux using statx syscall,robobun,2025-10-03T10:01:19Z,2025-10-04T11:57:29+00:00,12,25.94,True,455,58,8,1397,2,3,5,MERGED
23204,fix(install): isolated install with `file` dependency resolving to root package,dylan-conway,2025-10-03T05:03:54Z,2025-10-03T09:38:55+00:00,1,4.58,True,228,68,10,191,2,1,3,MERGED
23203,Refactor: Split JSNodeHTTPServerSocket into separate files,robobun,2025-10-03T04:07:38Z,2025-10-04T00:13:06+00:00,2,20.09,True,860,763,5,1319,2,1,3,MERGED
23201,Add `.cloneUpgrade()` to fix clone-upgrade,pfgithub,2025-10-03T03:23:16Z,2025-10-03T23:13:07+00:00,4,19.83,True,28,21,6,199,2,4,6,MERGED
23199,bun:test performance regression fix,pfgithub,2025-10-03T01:49:17Z,2025-10-03T03:13:00+00:00,1,1.4,True,17,11,2,931,2,1,3,MERGED
23195,fix(Bun.RedisClient) keep it alive when connecting,cirospaciari,2025-10-02T22:43:35Z,2025-10-03T01:50:06+00:00,1,3.11,True,44,7,4,101,2,0,2,MERGED
23193,fix(Bun.SQL) time should be represented as a string and date as a time,cirospaciari,2025-10-02T22:19:34Z,2025-10-03T02:00:14+00:00,2,3.68,True,73,8,4,121,2,1,3,MERGED
23176,Passthrough anyerror when using handleOom,pfgithub,2025-10-02T00:30:46Z,2025-10-02T21:11:29+00:00,1,20.68,True,29,25,8,195,2,0,2,MERGED
