number,title,author,createdAt,closedOrMergedAt,reviewsCount,hoursOpen,merged,additions,deletions,changedFiles,bodyLength,issueCommentsCount,reviewThreadsCount,interactionsCount,finalReviewState
5775,Fix: Raise RuntimeError when stream_with_context is used on async view,Vigneshv3,2025-07-16T07:57:14Z,2025-07-16T13:42:47+00:00,1,5.76,False,23,9,1,350,1,6,7,CLOSED
5722,"docs: add warning and best practices for url_for(..., _external=True)…",ranveer9,2025-04-27T08:07:28Z,2025-08-18T18:36:23+00:00,1,2722.48,False,24,0,1,684,3,6,9,CLOSED
5555,Refactor helpers.py to Move Hard-Coded List to globals.py,40gilad,2024-08-20T11:24:30Z,2024-08-20T14:22:39+00:00,3,2.97,False,5,2,2,841,1,2,3,CLOSED
5550,Pyright types fixes,brendon-codes,2024-08-07T02:19:06Z,2024-10-24T21:48:20+00:00,1,1891.49,False,26,17,8,47,4,1,5,CLOSED
5544,Fixes Pyright type errors for `src/flask/app.py`,brendon-codes,2024-08-06T22:58:41Z,2024-08-07T00:29:39+00:00,9,1.52,False,14,9,2,59,2,2,4,CLOSED
5496,Provide a configuration option to control automatic option responses,pgjones,2024-06-05T13:20:28Z,2024-06-07T19:04:18+00:00,1,53.73,True,14,2,4,265,2,0,2,MERGED
5336,type hint fix for flask.send_file,dannyi96,2023-11-13T11:34:27Z,2023-11-15T20:55:44+00:00,1,57.35,True,3,1,2,495,1,0,1,MERGED
5270,Don't set the cli attribute in the sansio scaffold,pgjones,2023-10-01T16:25:23Z,2024-04-07T19:16:22+00:00,1,4538.85,True,54,12,5,480,0,0,0,MERGED
5127,Split the App and Blueprint into Sansio and IO parts,pgjones,2023-05-15T19:24:37Z,2023-08-20T16:32:09+00:00,3,2325.13,True,1820,1537,13,785,3,3,6,MERGED
5044,"added subdomain  to the ""flask routes"" command",abulaman8,2023-04-07T12:43:06Z,2023-04-07T18:32:20+00:00,10,5.82,False,32,13,1,153,1,5,6,CLOSED
4992,add file mode parameter to handle .toml config files in flask.Config.…,AntoineMath,2023-02-22T14:00:17Z,2023-02-23T19:13:18+00:00,4,29.22,True,23,5,4,70,3,5,8,MERGED
4969,Add a devcontainer configuration,emisparkles,2023-02-10T17:50:48Z,2023-04-13T17:03:49+00:00,23,1487.22,True,75,38,3,1239,18,13,31,MERGED
4935,Fix subdomain inheritance for nested blueprints,pgjones,2023-01-04T16:50:46Z,2023-01-04T21:06:36+00:00,3,4.26,True,78,0,4,413,1,2,3,MERGED
4871,Code Optimized,praveen2010,2022-11-17T07:40:56Z,2022-11-17T08:49:14+00:00,3,1.14,False,1,5,1,403,0,1,1,CLOSED
4856,Fix subdomain inheritance for nested blueprints.,confuzeus,2022-10-31T08:51:43Z,2023-01-04T21:03:52+00:00,5,1572.2,False,56,0,2,682,1,1,2,CLOSED
4840,Add .svg to select_jinja_autoescape,DenverCoder1,2022-10-07T16:05:39Z,2022-10-30T14:55:51+00:00,3,550.84,True,8,2,3,873,5,3,8,MERGED
4692,add JSON provider interface,davidism,2022-07-13T15:11:02Z,2022-07-13T16:55:01+00:00,7,1.73,True,664,284,13,2212,0,2,2,MERGED
4675,Document serialization of Decimal in JSONEncoder,tiesjan,2022-07-06T09:49:25Z,2022-07-06T12:33:05+00:00,1,2.73,True,2,0,2,136,0,0,0,MERGED
4672,Allow to return list as JSON,greyli,2022-07-03T00:52:06Z,2022-07-03T04:48:06+00:00,1,3.93,True,62,26,6,1639,5,1,6,MERGED
4598,Some type errors and commenting of code,TusharKrSoniTKS,2022-05-19T03:52:09Z,2022-05-19T13:15:02+00:00,1,9.38,False,5,4,1,403,1,0,1,CLOSED
4576,Add 'aborter' and 'aborter_class' attrs to 'Flask' object,dzcode,2022-05-02T17:10:47Z,2022-05-12T20:45:38+00:00,1,243.58,True,92,1,5,799,0,1,1,MERGED
4560,Fix old behavior in `register_error_handler()`,qingpeng9802,2022-04-28T18:18:36Z,2022-05-03T17:56:11+00:00,2,119.63,True,42,37,4,11,0,3,3,MERGED
4534,Adapted input parameters type restriction for json.loads function - fixes #4519 ,rzimmerdev,2022-04-12T16:27:56Z,2022-04-24T16:58:01+00:00,1,288.5,True,8,1,2,577,4,1,5,MERGED
4479,Allow loading of environment variables into the config,pgjones,2022-03-08T21:46:37Z,2022-03-25T19:14:29+00:00,6,405.46,True,190,30,4,762,6,4,10,MERGED
4348,Fix error message for `after_this_request` when used outside request context,Yourun-proger,2021-11-19T20:11:22Z,2021-12-23T01:49:30+00:00,2,797.64,True,15,4,2,182,1,1,2,MERGED
4334,Fix after_this_request fails with a meaningless error when used outside request context,Rohan-Salwan,2021-11-11T11:53:23Z,2021-11-15T21:42:52+00:00,1,105.82,False,10,1,2,409,0,1,1,CLOSED
4302,Fixes old print statement in signal and SQLite pages,karintou8710,2021-10-16T06:16:55Z,2021-10-16T18:52:50+00:00,1,12.6,True,4,4,2,194,0,0,0,MERGED
4269,Fix grammatical error,Jalkhov,2021-09-23T01:23:13Z,2021-10-01T17:07:28+00:00,1,207.74,True,2,1,1,50,0,0,0,MERGED
4268,Fix grammatical error,Jalkhov,2021-09-22T15:48:17Z,2021-09-22T17:12:36+00:00,4,1.41,True,4,4,1,29,0,3,3,MERGED
4267,Update reqcontext.rst,sprutner,2021-09-21T22:45:23Z,2021-10-01T17:18:07+00:00,1,234.55,True,5,6,3,462,4,0,4,MERGED
4190,Improve code example of api & jQuery docs,yuxiaoy1,2021-07-07T07:29:05Z,2021-08-05T23:55:51+00:00,1,712.45,True,4,5,2,191,0,0,0,MERGED
4189,Add `exclude-patterns` option to `flask run` CLI,mgu,2021-07-06T18:48:10Z,2022-02-09T20:53:19+00:00,1,5234.09,True,33,1,3,540,3,0,3,MERGED
4175,Fix typo in views docs,greyli,2021-06-26T11:04:26Z,2021-06-27T03:52:54+00:00,7,16.81,True,2,2,1,151,0,2,2,MERGED
4174,cli loader handles kwargs in app factory,na2shell,2021-06-25T06:09:40Z,2021-08-06T02:37:03+00:00,1,1004.46,True,26,12,3,451,0,0,0,MERGED
4169,fix raising error during cli lazy loading,Rohan-Salwan,2021-06-22T23:57:43Z,2021-08-06T02:17:53+00:00,2,1058.34,True,29,8,3,371,4,1,5,MERGED
4160,json support for Decimal objects,ajayd-san,2021-06-19T12:01:43Z,2021-08-06T01:40:45+00:00,5,1141.65,True,16,1,3,285,9,2,11,MERGED
4158,Added encoding support for decimal objects,ajayd-san,2021-06-19T09:59:05Z,2021-06-19T12:00:19+00:00,2,2.02,False,19,2,5,285,1,1,2,CLOSED
4147,Update contributing guide,greyli,2021-06-14T07:53:30Z,2021-06-15T00:49:29+00:00,1,16.93,True,4,2,1,98,0,0,0,MERGED
