number,title,author,createdAt,closedOrMergedAt,reviewsCount,hoursOpen
46,Einstein’s 1905 Paper,jdmaturen,2014-03-10T22:34:51Z,2014-03-19T12:05:43+00:00,1,205.51
379,running w/ templates and README updates,zeeshanlakhani,2016-02-20T06:26:57Z,2016-02-22T06:51:19+00:00,1,48.41
432,Add papers presented on SF chapter on Feb 23rd 2017,francisco-perez-sorrosal,2017-02-25T18:00:14Z,2017-02-26T14:14:22+00:00,2,20.24
439,Add Medellín chapter to README,c4milo,2017-04-04T02:43:51Z,2017-05-03T07:53:54+00:00,1,701.17
513,Adding `B4: experience with a globally-deployed software defined WAN`,michaelkkehoe,2018-03-04T19:30:29Z,2018-03-04T22:30:17+00:00,1,3.0
540,"Distributed File Systems, Search Engine Original Papers",ramlaxman,2019-04-03T02:03:47Z,2020-03-29T19:38:47+00:00,3,8681.58
543,"Add: Software Engineering topic, 2 research papers",sks147,2019-04-22T02:08:12Z,2019-04-22T18:41:32+00:00,2,16.56
552,paper at PWL conf,spdegabrielle,2019-07-11T14:58:09Z,2019-07-11T20:20:13+00:00,1,5.37
554,Add some of my favourite papers on unikernels,nderjung,2019-07-13T16:47:40Z,2019-07-15T11:12:20+00:00,1,42.41
569,added some literatures covering scientific data compression.,jw447,2019-09-09T17:46:44Z,2020-03-29T19:06:55+00:00,1,4849.34
579,Game design elements link fix,ProbablyJody,2019-10-24T16:06:38Z,2019-10-25T00:10:04+00:00,1,8.06
617,Add TDD with mutation testing (Roman & Mnich 2020),walerian777,2020-12-01T13:32:13Z,2020-12-03T05:25:17+00:00,2,39.88
623,Update link for f4 paper,brianloveswords,2021-09-04T01:23:55Z,2021-09-04T13:27:23+00:00,1,12.06
626,Fix no longer active link to John Backus’ Turning Award paper,Benaiad,2021-09-22T05:16:04Z,2021-09-22T16:05:26+00:00,1,10.82
641,Fixed broken links,bolshoytoster,2021-12-31T15:28:04Z,2021-12-31T16:52:14+00:00,1,1.4
646,Directly link to organizers repo,tfpgh,2022-01-06T22:10:11Z,2022-01-25T20:12:13+00:00,1,454.03
681,"Add link for Portland, OR chapter of Papers We Love",jdavisp3,2022-07-09T15:24:51Z,2022-07-09T21:26:52+00:00,1,6.03
705,discord link and some readme updates,zeeshanlakhani,2023-01-09T21:11:05Z,2023-01-10T14:53:15+00:00,1,17.7
709,Update broken link to IronFleet paper,thesammiller,2023-01-14T12:35:58Z,2023-01-15T13:33:20+00:00,1,24.96
715,Fix broken link of End-To-End Arguments in System Design,EvanMu96,2023-01-29T08:24:37Z,2023-01-29T13:00:45+00:00,1,4.6
718,Fix some broken links.,SyntaxColoring,2023-02-06T22:44:00Z,2023-02-07T00:46:27+00:00,1,2.04
724,Fixed broken link.,AndrewWasHere,2023-03-04T16:24:26Z,2023-03-04T18:46:57+00:00,1,2.38
737,Improve Actor formalism paper source,arnab-ray,2023-04-28T10:10:41Z,2023-04-28T12:39:57+00:00,1,2.49
764,Added Matting and three paper for this topic,MariusRatzka,2023-07-21T00:35:22Z,2023-07-21T10:24:21+00:00,1,9.82
766,Added photogrammetry topic and two related paper + Color Constancy research article,MariusRatzka,2023-07-22T01:12:37Z,2023-07-22T10:39:10+00:00,1,9.44
772,add zanzibar paper for authorization,miparnisari,2023-09-04T05:11:27Z,2023-09-04T21:57:07+00:00,1,16.76
775,Create Blockchain,singhravipratap,2023-10-05T16:20:59Z,2025-03-23T17:38:58+00:00,5,12841.3
790,Update README.md,singhravipratap,2024-04-22T10:56:01Z,2024-09-11T19:12:57+00:00,4,3416.28
791,Add applied-ml GitHub repo for example papers,erictleung,2024-05-19T18:07:22Z,2024-05-20T09:24:41+00:00,1,15.29
793,Fix QuickCheck Testing for Fun and Profit link to archive.org,moshen,2024-05-28T03:48:13Z,2024-05-28T09:12:29+00:00,1,5.4
795,"Update link to ""The Dynamic Window Approach to Collision Avoidance""",alvarogarcia7,2024-06-29T13:02:58Z,2024-06-29T16:31:38+00:00,1,3.48
809,[languages-theory] add liquid types,dijkstracula,2024-11-08T15:17:08Z,2024-11-08T18:55:54+00:00,2,3.65
