number,title,author,createdAt,closedOrMergedAt,reviewsCount,hoursOpen
36,Build A Support Ticket Application With AdonisJs,olucode,2017-07-11T03:56:03Z,2017-07-11T14:07:37+00:00,1,10.19
37,Added Thinkster.io to Additional Resources,olucode,2017-07-12T23:53:49Z,2017-07-13T03:41:54+00:00,1,3.8
38,Added Goodheads.io to Additional Resources,olucode,2017-07-13T09:37:03Z,2017-07-14T00:41:40+00:00,1,15.08
56,"Javascript: ""How to write your own Virtual DOM""",unknown,2018-04-17T04:09:04Z,2018-04-17T15:36:03+00:00,1,11.45
61,"Javascript: ""Vue 2 + Firebase Authentication App""",unknown,2018-04-19T06:10:23Z,2018-04-20T04:17:17+00:00,1,22.11
67,Add Handmade Hero tutorial.,bobeff,2018-04-20T14:28:10Z,2018-04-27T17:25:36+00:00,1,170.96
69,"Added React,Node and Deep Learning Tutorials",sayands,2018-04-21T09:53:13Z,2018-04-21T18:36:37+00:00,1,8.72
70,Vue.js Application Tutorial – Creating a Simple Budgeting App with Vue,patrykryczko,2018-04-21T18:50:39Z,2018-04-22T00:50:01+00:00,1,5.99
71,"Added HTML/CSS topic,React,Python and R tutorials",sayands,2018-04-22T07:51:45Z,2018-04-24T18:59:37+00:00,1,59.13
72,Added Deep Learning and Machine Learning Tutorials,sayands,2018-04-25T16:54:43Z,2018-04-26T21:39:59+00:00,1,28.75
73,"Added React,Web Scraping and AI Tutorials",sayands,2018-04-29T05:39:21Z,2018-04-30T10:33:04+00:00,1,28.9
75,Add tutorial about writing concurrent servers.,bobeff,2018-05-09T09:59:37Z,2018-06-14T15:34:39+00:00,1,869.58
77,Added Machine Learning and Javascript tutorials,sayands,2018-05-23T07:30:00Z,2018-05-24T19:47:44+00:00,1,36.3
79,"Added React,Hapi and R tutorials",sayands,2018-05-25T07:49:16Z,2018-05-27T23:16:00+00:00,1,63.45
81,Add Tetris tutorial,bobeff,2018-05-27T18:07:34Z,2018-05-27T23:17:54+00:00,1,5.17
82,Add a matrix multiplication tutorial,bobeff,2018-05-27T18:08:07Z,2018-05-30T04:11:35+00:00,1,58.06
84,"Added Python ""Build a RESTful API with Flask – The TDD Way""",unknown,2018-05-28T19:43:39Z,2018-06-03T19:33:21+00:00,1,143.83
85,Added Angular and React tutorials,sayands,2018-05-29T13:28:33Z,2018-06-03T19:32:58+00:00,1,126.07
88,"Add ""Writing a Linux Debugger"" tutorial series.",bobeff,2018-06-08T15:05:51Z,2018-06-14T15:27:13+00:00,1,144.36
110,Add Erlang Tutorial,yrsdi,2018-08-30T07:53:43Z,2018-09-09T07:01:29+00:00,1,239.13
116,Add a C tutorial about creating an os,AdrienTorris,2018-09-22T07:37:56Z,2018-09-25T03:52:30+00:00,1,68.24
119,Add Hack Club Workshops to additional resources,itsmingjie,2018-10-04T02:46:24Z,2018-10-07T08:02:58+00:00,1,77.28
131,Update README.md,prtk1910,2018-10-25T15:38:35Z,2018-10-28T03:40:58+00:00,1,60.04
141,Update README.md,justinlew,2018-11-05T00:43:52Z,2021-08-28T05:42:32+00:00,1,24652.98
177,Added new tutorials in Python,crusader2000,2019-09-19T11:02:16Z,2021-08-26T10:08:34+00:00,1,16967.1
178,Add Memory Allocator in C tutorial,palash25,2019-09-25T20:13:29Z,2020-02-18T19:18:45+00:00,1,3503.09
182,Add F# Section,avestura,2019-10-06T16:31:11Z,2019-10-14T15:15:07+00:00,1,190.73
183,update Angular tutorial to new version and add part 2 link,AppskySpencer,2019-10-10T04:54:03Z,2019-10-12T02:07:44+00:00,1,45.23
184,Added beginner-friendly Ruby tutorial,samcoren,2019-10-10T06:45:32Z,2019-10-11T20:17:48+00:00,1,37.54
186,Let's Build Game with C++,Jarqin,2019-10-13T04:38:24Z,2021-08-26T08:36:39+00:00,1,16395.97
187,Added Sol - An MQTT broker from scratch tutorial,codepr,2019-10-13T21:05:05Z,2019-10-14T15:13:26+00:00,1,18.14
193,Create factorial using recurssion,Premprakash07,2019-10-25T17:50:42Z,2021-08-26T07:57:59+00:00,1,16094.12
196,add tutorial in c/c++ section,yenyl,2019-10-26T21:50:32Z,2021-08-26T08:05:58+00:00,2,16066.26
201,Add prototyping with Clojure book,shahinism,2019-10-30T15:13:13Z,2020-08-03T08:56:53+00:00,1,6665.73
203,Add one link in Rails section and one in Javascript section,fengshuo,2019-11-14T15:57:25Z,2020-11-23T16:01:51+00:00,1,9000.07
205,Add 'Build your own Redis' under Ruby,rohitpaulk,2019-12-04T18:09:57Z,2020-02-23T02:46:07+00:00,2,1928.6
206,Some Scala projects added,unknown,2019-12-26T07:36:39Z,2020-02-19T18:17:00+00:00,1,1330.67
208,Added Todoist clone under React category,JayTailor45,2020-01-14T04:46:41Z,2020-02-05T23:21:13+00:00,1,546.58
209,Added React Native Application with Redux Thunk,Quadrified,2020-02-07T09:59:10Z,2020-02-14T19:04:53+00:00,1,177.1
234,added link for face detector using opencv,sanket2000sonavane,2020-05-06T14:10:13Z,2020-08-03T08:58:25+00:00,1,2130.8
235,Updated Broken Link,Jighdan,2020-05-08T18:21:32Z,2020-06-19T06:25:38+00:00,1,996.07
237,add some resource golang tutorial,akwanmaroso,2020-05-14T06:53:43Z,2021-08-25T23:01:10+00:00,1,11248.12
239,Added byterun,anancds,2020-06-14T05:39:34Z,2020-07-22T06:56:34+00:00,3,913.28
240,Added Resources for Web Dev & ML,maximgeller,2020-06-25T20:58:17Z,2021-08-27T08:41:13+00:00,1,10259.72
245,Replaced 'How to Write an Emulator (CHIP-8 Interpreter)' ,akash-melachuri,2020-08-03T23:29:31Z,2020-08-22T22:14:22+00:00,1,454.75
248,Added tutorial for Eyes following cursor (CSS),rakshaa2000,2020-08-30T14:58:12Z,2021-08-25T22:17:10+00:00,1,8647.32
258,Removing broken link,spekulatius,2020-10-01T16:33:45Z,2021-08-25T21:23:09+00:00,1,7876.82
270,added link jpeg decoder using python,heisid,2020-11-25T14:46:00Z,2021-08-25T21:18:43+00:00,1,6558.55
290,Switch domain jeiwan.cc to jeiwan.net,kbariotis,2021-03-21T10:31:42Z,2021-07-07T21:48:29+00:00,1,2603.28
302,Add a tutorial about writing a Tetris game,bobeff,2021-06-16T14:17:46Z,2021-07-07T21:47:27+00:00,1,511.49
305,Add Rust project: Learning to Fly,sigmaSd,2021-07-22T08:10:24Z,2021-08-16T07:49:14+00:00,1,599.65
307,"Added ""Let's build a URL shortener in Go - with Gin & Redis""",enkeyz,2021-08-03T11:01:28Z,2021-08-16T07:35:01+00:00,1,308.56
311,Update README.md,aasim-syed,2021-08-17T14:57:24Z,2022-01-28T10:56:20+00:00,1,3931.98
312,Fixed broken link,AviFS,2021-08-20T00:27:11Z,2021-08-23T17:10:35+00:00,1,88.72
318,"Add ""Let's write a compiler"" tutorial series",bobeff,2021-08-26T19:33:46Z,2021-08-27T19:57:48+00:00,1,24.4
321,prepare config for stalebot,enkeyz,2021-08-27T10:26:06Z,2021-08-27T19:06:46+00:00,1,8.68
331,Added Arduino tutorials under C/C++ topic in README.md (Issue #94),lucastosetto,2021-09-07T15:18:04Z,2022-04-12T09:29:38+00:00,1,5202.19
345,Update to README.md to include a new sub tutorial for python Selenium Webdriver for auto form filling,CameronSoviero9,2022-01-30T17:06:03Z,2022-04-12T09:27:39+00:00,1,1720.36
364,Adding Flutter Tutorials,RivaanRanawat,2022-07-02T16:25:16Z,2022-08-28T05:18:14+00:00,1,1356.88
384,Added 2 resources,ShubhamJagtap2000,2022-10-06T09:23:41Z,2023-08-15T06:10:12+00:00,1,7508.78
563,Added Programiz PRO that offers curated learning paths for beginners,awalrujaa,2024-05-13T10:57:06Z,2025-01-05T13:44:47+00:00,1,5690.79
