number,title,author,createdAt,closedOrMergedAt,reviewsCount,hoursOpen
12,chore: add mcp-rs-template,linux-china,2024-12-01T07:15:13Z,2024-12-01T09:13:00+00:00,1,1.96
56,Add Canvas LMS MCP server implementation as submodule,DMontgomery40,2024-12-05T09:33:44Z,2024-12-07T12:57:44+00:00,1,51.4
57,Add Meta MCP server implementation as submodule,DMontgomery40,2024-12-05T09:35:09Z,2024-12-07T12:57:45+00:00,1,51.38
58,Add Notion MCP server implementation as submodule,DMontgomery40,2024-12-05T09:37:57Z,2024-12-07T12:57:45+00:00,1,51.33
64,Update README.md to add mcp-webresearch server,mzxrai,2024-12-06T06:46:30Z,2024-12-06T14:50:19+00:00,1,8.06
66,Adding new servers - simple-timeserver and simple-openai-assistant,andybrandt,2024-12-06T10:14:04Z,2024-12-06T13:27:34+00:00,1,3.23
75,Add MemoryMesh,CheMiguel23,2024-12-08T01:34:02Z,2024-12-08T11:54:07+00:00,1,10.33
76,Add Foxy Contexts library to frameworks,strowk,2024-12-08T05:23:30Z,2024-12-08T11:54:45+00:00,1,6.52
83,doc: Added another mcp client,onuratakan,2024-12-08T21:01:40Z,2024-12-09T09:06:01+00:00,1,12.07
94,docs: add tumf/mcp-shell-server to the list of MCP servers in README …,tumf,2024-12-11T03:13:04Z,2024-12-12T00:02:10+00:00,1,20.82
95,Update README-zh.md,crazyyanchao,2024-12-11T03:25:51Z,2024-12-11T09:18:57+00:00,1,5.88
107,Added tevonsb/homeassistant-mcp,tevonsb,2024-12-13T00:57:20Z,2024-12-13T09:28:49+00:00,1,8.52
108,add all-in-one-model-context-protocol,nguyenvanduocit,2024-12-13T06:17:02Z,2024-12-13T09:26:00+00:00,1,3.15
116,Fixed name of rectalogic/langchain-mcp,isaacwasserman,2024-12-13T18:54:25Z,2024-12-16T21:14:36+00:00,1,74.34
117,Added Mac Apps Launcher,JoshuaRileyDev,2024-12-13T19:11:06Z,2024-12-13T21:14:21+00:00,1,2.05
118,Add VirusTotal and Maigret MCP Servers,BurtTheCoder,2024-12-13T22:49:35Z,2024-12-14T14:17:14+00:00,1,15.46
120,Add Node.js-based MCP MySQL server,f4ww4z,2024-12-14T01:44:48Z,2024-12-14T14:15:05+00:00,1,12.5
121,Add ZeparHyfar/mcp-datetime,ZeparHyfar,2024-12-14T03:22:32Z,2024-12-14T14:13:32+00:00,1,10.85
122,Add cognee MCP to memory list,Vasilije1990,2024-12-14T11:41:12Z,2024-12-16T21:03:03+00:00,2,57.36
124,"Add ""mcp-aoai-web-browsing"" server",kimtth,2024-12-14T16:28:09Z,2024-12-16T21:13:25+00:00,1,52.75
125,"Add ""console-chat-gpt"" client",amidabuddha,2024-12-14T17:48:43Z,2024-12-16T21:11:31+00:00,1,51.38
126,Update README.md to add link to a clojars mcp server,Bigsy,2024-12-14T20:50:46Z,2024-12-16T21:03:52+00:00,1,48.22
127,"Add three new MCP servers for iMessage, SQLite, and Documentation RAG",hannesrudolph,2024-12-15T00:30:35Z,2024-12-16T21:01:34+00:00,1,44.52
128,Add mcp-twikit,adhikasp,2024-12-15T05:26:51Z,2024-12-17T15:56:52+00:00,1,58.5
129,Add mcp-git-ingest,adhikasp,2024-12-15T06:55:47Z,2024-12-16T20:58:10+00:00,1,38.04
130,"Add Contentful MCP server to ""Other""",ivo-toby,2024-12-15T16:36:58Z,2024-12-16T22:04:50+00:00,2,29.46
131,Add pinecone based mcp server,sirmews,2024-12-15T18:44:13Z,2024-12-16T20:54:08+00:00,1,26.17
132,add(Developer Tools): sammcj/mcp-package-version,sammcj,2024-12-16T06:23:44Z,2024-12-16T20:49:54+00:00,5,14.44
134,Update README-zh.md,crazyyanchao,2024-12-17T07:05:09Z,2024-12-17T11:59:57+00:00,1,4.91
136,Update README.md - Add Everything Search to File Systems section,mamertofabian,2024-12-18T00:54:07Z,2024-12-18T18:25:09+00:00,1,17.52
139,Add a C# .NET SDK for building MCP servers,salty-flower,2024-12-18T14:43:28Z,2024-12-18T18:20:40+00:00,1,3.62
140,Add Alpha Vantage mcp server,berlinbra,2024-12-18T19:07:11Z,2024-12-19T21:32:49+00:00,1,26.43
149,Add SearXNG MCP to the README.md,ihor-sokoliuk,2024-12-23T06:10:29Z,2024-12-23T13:17:08+00:00,1,7.11
150,feat: Added new website-downloader mcp server,pskill9,2024-12-24T00:08:17Z,2024-12-24T11:40:17+00:00,1,11.53
157,Add DeepSeek,amidabuddha,2024-12-27T09:01:12Z,2024-12-27T12:08:16+00:00,1,3.12
161,Added MCP Server for Hackernews,erithwik,2024-12-29T01:15:13Z,2024-12-29T09:01:26+00:00,1,7.77
162,feat: Added free websearch,pskill9,2024-12-30T02:48:14Z,2025-01-01T17:58:01+00:00,1,63.16
167,Added Screenpipe MCP Server,sayantandey,2025-01-02T14:37:00Z,2025-01-02T17:08:49+00:00,2,2.53
168,update tool description,nguyenvanduocit,2025-01-03T05:55:21Z,2025-01-06T10:30:04+00:00,1,76.58
169,Add Trieve MCP Server,gerred,2025-01-03T19:40:27Z,2025-01-06T10:29:44+00:00,1,62.82
170,Add Video Editor MCP,burningion,2025-01-03T20:21:34Z,2025-01-06T00:18:32+00:00,1,51.95
171,add playwright server,blackwhite084,2025-01-04T08:47:26Z,2025-01-04T20:33:48+00:00,1,11.77
176,add MCP connect into client category,quentinzhang,2025-01-07T14:11:03Z,2025-01-08T10:23:21+00:00,1,20.2
178,add mcp-wecombot-server,gotoolkits,2025-01-08T16:12:02Z,2025-01-17T11:13:05+00:00,1,211.02
179,add elasticsearch-mcp-server,cr7258,2025-01-09T09:25:44Z,2025-01-17T11:12:42+00:00,1,193.78
180,Add mcp-alchemy server,runekaagaard,2025-01-09T14:10:21Z,2025-01-09T20:58:43+00:00,1,6.81
187,Add marketing category and add Open Strategy Partners Marketing Tools,robertDouglass,2025-01-16T17:29:52Z,2025-01-20T09:24:06+00:00,1,87.9
188,feat(readme): add Grafana MCP server to Monitoring section,sd2k,2025-01-17T08:24:05Z,2025-01-17T11:10:43+00:00,1,2.78
189,feat: add three MCP servers,zcaceres,2025-01-19T20:49:36Z,2025-01-20T09:23:10+00:00,1,12.56
190,Add new Bear Notes server,akseyh,2025-01-19T20:58:44Z,2025-01-20T09:20:52+00:00,1,12.37
199,Add server for placing trades with tastytrade API,ferdousbhai,2025-01-27T04:03:56Z,2025-01-27T08:33:56+00:00,1,4.5
250,Add ZenML,strickvl,2025-03-10T08:50:08Z,2025-03-31T16:02:04+00:00,1,511.2
282,add File Merger MCP Server,exoticknight,2025-03-14T18:02:30Z,2025-03-31T16:08:49+00:00,1,406.11
297,Add Fantasy PL Community MCP Server,rishijatia,2025-03-16T18:34:09Z,2025-03-17T04:22:23+00:00,1,9.8
321,add mcp-monitor,seekrays-bot,2025-03-19T07:24:20Z,2025-03-21T02:20:10+00:00,1,42.93
552,Add Gitea MCP Server,hiifong,2025-04-04T17:57:21Z,2025-04-07T04:40:00+00:00,1,58.71
644,Add RedNote-MCP,iFurySt,2025-04-11T02:39:39Z,2025-04-26T08:51:00+00:00,1,366.19
677,Add new cjo4m06/mcp-shrimp-task-manager MCP Server,cjo4m06,2025-04-15T04:26:51Z,2025-04-20T12:28:11+00:00,2,128.02
