number,title,author,createdAt,closedOrMergedAt,reviewsCount,hoursOpen,merged,additions,deletions,changedFiles,bodyLength,issueCommentsCount,reviewThreadsCount,interactionsCount,finalReviewState
14275,test: update expectations for Firefox release and nightly,whimboo,2025-10-01T07:15:35Z,2025-10-01T17:19:57+00:00,3,10.07,True,45,68,2,128,2,1,3,MERGED
14269,fix(webdriver): properly pipe network interception flag,Lightning00Blade,2025-09-30T11:52:33Z,2025-09-30T13:13:07+00:00,1,1.34,True,32,7,3,210,0,0,0,MERGED
14267,chore: introduce webDriverBiDiOnly protocol,sadym-chromium,2025-09-30T08:44:15Z,2025-09-30T11:08:17+00:00,2,2.4,True,23,6,4,275,0,0,0,MERGED
14266,chore(deps): bump the all group across 1 directory with 3 updates,dependabot,2025-09-29T18:24:17Z,2025-09-30T09:57:06+00:00,1,15.55,True,7,7,4,10284,0,0,0,MERGED
14264,fix(webdriver): respect isBlocked in request interception,Lightning00Blade,2025-09-29T15:37:31Z,2025-09-29T16:37:37+00:00,1,1.0,True,26,14,4,60,0,0,0,MERGED
14263,feat: introduce `webDriverBiDiOnly` protocol,sadym-chromium,2025-09-29T14:44:25Z,2025-09-30T11:32:29+00:00,5,20.8,False,727,10,13,190,0,2,2,CLOSED
14260,ci: add pipe suite,Lightning00Blade,2025-09-29T09:54:46Z,2025-09-29T12:46:13+00:00,3,2.86,True,132,17,6,0,0,1,1,MERGED
14256,chore(deps): bump node from `afff6d8` to `4973262` in /docker in the all group,dependabot,2025-09-28T03:03:59Z,2025-09-29T09:59:40+00:00,1,30.93,True,1,1,1,2112,1,0,1,MERGED
14255,chore(deps): bump the all group with 2 updates,dependabot,2025-09-28T02:04:20Z,2025-09-29T14:27:39+00:00,1,36.39,False,6,6,3,8781,1,0,1,CLOSED
14254,chore(deps-dev): bump the dev-dependencies group with 5 updates,dependabot,2025-09-28T00:07:41Z,2025-09-29T13:16:41+00:00,1,37.15,False,344,276,4,10747,1,0,1,CLOSED
14253,chore(deps): bump webdriver-bidi-protocol from 0.3.5 to 0.3.6 in the dependencies group,dependabot,2025-09-28T00:02:53Z,2025-09-29T16:56:25+00:00,1,40.89,True,8,8,2,2723,0,0,0,MERGED
14250,chore: release main,browser-automation-bot,2025-09-25T14:05:34Z,2025-10-01T17:42:13+00:00,1,147.61,True,330,270,623,772,3,0,3,MERGED
14249,feat(webdriver): support `createUserContext(downloadBehavior)`,sadym-chromium,2025-09-25T12:53:28Z,2025-09-25T13:59:20+00:00,4,1.1,True,42,9,2,0,0,1,1,MERGED
14246,fix: regression in function stringification,OrKoN,2025-09-24T17:25:17Z,2025-09-24T18:28:49+00:00,7,1.06,True,55,44,4,213,0,2,2,MERGED
14241,chore: release main,browser-automation-bot,2025-09-24T07:08:13Z,2025-09-24T19:09:04+00:00,1,12.01,True,90,10,622,500,1,0,1,MERGED
14236,fix(pipes): concat buffers instead of string concatenation,Lightning00Blade,2025-09-23T14:33:56Z,2025-09-23T16:27:35+00:00,1,1.89,True,15,17,1,0,0,0,0,MERGED
14232,chore: disable RenderDocument,OrKoN,2025-09-22T08:21:20Z,2025-09-22T09:33:58+00:00,1,1.21,True,1,0,1,0,0,0,0,MERGED
14229,chore(deps-dev): Bump the dev-dependencies group across 1 directory with 13 updates,dependabot,2025-09-21T00:07:59Z,2025-09-23T08:28:18+00:00,1,56.34,True,602,454,6,21158,0,0,0,MERGED
14228,chore(deps): bump webdriver-bidi-protocol,dependabot,2025-09-21T00:02:57Z,2025-09-25T09:43:01+00:00,10,105.67,True,18,18,5,14,1,2,3,MERGED
14227,fix: roll to Firefox 143.0.1,browser-automation-bot,2025-09-20T06:05:29Z,2025-09-22T09:44:39+00:00,1,51.65,True,2,2,2,117,0,0,0,MERGED
14226,fix: replace function eval with parsing in page.evaluate(),OrKoN,2025-09-18T10:52:05Z,2025-09-23T09:45:52+00:00,2,118.9,True,98,32,4,199,2,1,3,MERGED
14225,test: update eval test for RenderDocument,OrKoN,2025-09-18T10:40:04Z,2025-09-18T13:49:23+00:00,1,3.16,True,4,1,1,107,0,0,0,MERGED
14223,chore: release main,browser-automation-bot,2025-09-18T08:37:05Z,2025-09-23T12:06:46+00:00,1,123.49,True,94,10,622,558,1,0,1,MERGED
14222,fix: roll to Chrome 140.0.7339.185,browser-automation-bot,2025-09-18T06:06:38Z,2025-09-18T08:33:59+00:00,1,2.46,True,9,2,2,117,0,0,0,MERGED
14220,chore: release main,browser-automation-bot,2025-09-17T07:39:16Z,2025-09-17T12:16:41+00:00,1,4.62,True,128,34,622,525,1,0,1,MERGED
14219,feat: roll to Firefox 143.0,browser-automation-bot,2025-09-17T06:06:43Z,2025-09-17T07:35:57+00:00,1,1.49,True,15,22,3,117,0,0,0,MERGED
14210,fix: always pipe stdio and report process launch errors,OrKoN,2025-09-15T08:46:01Z,2025-09-15T10:49:44+00:00,2,2.06,True,200,44,7,282,0,1,1,MERGED
14209,chore: remove GTS package,Lightning00Blade,2025-09-14T18:17:21Z,2025-09-15T07:03:17+00:00,1,12.77,True,71,1178,3,144,0,0,0,MERGED
14208,chore(deps): Bump node from `6fe2868` to `afff6d8` in /docker in the all group,dependabot,2025-09-14T03:04:32Z,2025-09-15T07:17:25+00:00,1,28.21,True,1,1,1,2112,0,0,0,MERGED
