number,title,author,createdAt,closedOrMergedAt,reviewsCount,hoursOpen,merged,additions,deletions,changedFiles,bodyLength,issueCommentsCount,reviewThreadsCount,interactionsCount,finalReviewState
858,some typo fixes,casinca,2025-09-30T12:01:04Z,2025-09-30T16:18:03+00:00,1,4.28,True,5,5,4,200,1,0,1,MERGED
828,`Qwen3Tokenizer` fix for Qwen3 Base models and generation mismatch with HF,casinca,2025-09-15T14:57:51Z,2025-09-17T13:14:11+00:00,2,46.27,True,125,15,7,881,19,1,20,MERGED
788,[minor] Gemma3 doc & typo,casinca,2025-08-22T16:38:22Z,2025-08-22T20:03:47+00:00,1,3.42,True,7,6,3,173,1,0,1,MERGED
781,Improve MHA einsum,jestinepaul,2025-08-20T07:13:46Z,2025-08-22T20:12:26+00:00,1,60.98,True,1,1,1,49,2,0,2,MERGED
738,Fix issue: 731 by resolving semantic error,weezymatt,2025-07-10T19:44:33Z,2025-07-10T21:30:15+00:00,1,1.76,True,51,44,3,675,2,0,2,MERGED
726,Fix issue 724: unused args,weezymatt,2025-07-08T09:03:05Z,2025-07-08T11:37:39+00:00,1,2.58,True,3,7,3,10,0,0,0,MERGED
682,Fix: Typo in `appendix_d.py` comments.,PrinceSajjadHussain,2025-06-20T17:36:06Z,2025-06-22T17:15:12+00:00,1,47.65,True,3,3,3,719,2,1,3,MERGED
677,fix: removed redundant arg for `plot_losses`,d-kleine,2025-06-18T19:50:06Z,2025-06-19T23:55:43+00:00,1,28.09,True,1,1,1,400,0,0,0,MERGED
676,fix: small bug fixes/improvements for pkg,d-kleine,2025-06-18T16:49:10Z,2025-06-21T21:07:50+00:00,2,76.31,True,6,17,3,366,0,1,1,MERGED
673,Optimize KV cache,rasbt,2025-06-16T19:36:50Z,2025-06-16T21:00:50+00:00,1,1.4,True,104,74,4,0,0,0,0,MERGED
668,[minor] readability improvements `additional_experiments.py`,casinca,2025-06-14T14:09:23Z,2025-06-19T23:56:49+00:00,1,129.79,True,5,8,1,655,0,0,0,MERGED
629,BPE cosmetics,rasbt,2025-04-18T22:20:23Z,2025-04-18T23:57:10+00:00,2,1.61,True,6,6,1,59,1,2,3,MERGED
620,fix: `<|endoftext|>` token,d-kleine,2025-04-16T11:51:29Z,2025-04-16T17:15:59+00:00,1,5.41,True,1,1,1,51,0,0,0,MERGED
582,Vocab padding clarification,rasbt,2025-03-26T17:09:33Z,2025-03-26T18:19:55+00:00,1,1.17,True,2,2,1,75,0,1,1,MERGED
581,updated `.gitignore`,d-kleine,2025-03-25T15:17:44Z,2025-03-26T18:21:14+00:00,3,27.06,True,3,0,1,59,0,1,1,MERGED
534,feat: Add pixi environment,matthewfeickert,2025-02-17T00:55:07Z,2025-02-17T17:33:53+00:00,11,16.65,True,13165,218,14,373,8,3,11,MERGED
526,Update link to vocab size increase,rasbt,2025-02-13T20:50:14Z,2025-02-14T14:03:01+00:00,2,17.21,True,2,2,1,121,2,2,4,MERGED
518,fix: indention and enumeration in Docker readme,d-kleine,2025-02-06T06:04:11Z,2025-02-06T14:17:13+00:00,1,8.22,True,32,32,1,89,0,0,0,MERGED
451,04_optional-aws-sagemaker-notebook,rvaneijk,2024-11-28T16:42:52Z,2025-01-17T16:07:10+00:00,1,1199.4,True,198,0,2,2024,2,1,3,MERGED
