number,title,author,createdAt,closedOrMergedAt,reviewsCount,hoursOpen,merged,additions,deletions,changedFiles,bodyLength,issueCommentsCount,reviewThreadsCount,interactionsCount,finalReviewState
14399,Update json version 8.3.80,gabsow,2025-09-30T15:43:09Z,2025-09-30T17:06:17+00:00,1,1.39,True,1,1,1,0,0,0,0,MERGED
14398,Update bloom v8.3.80,gabsow,2025-09-30T15:06:40Z,2025-09-30T17:05:40+00:00,1,1.98,True,1,1,1,0,0,0,0,MERGED
14397,Update time series v8.3.80,gabsow,2025-09-30T15:05:09Z,2025-09-30T17:05:04+00:00,1,2.0,True,1,1,1,0,0,0,0,MERGED
14395,Release 7.4.6,YaacovHazan,2025-09-30T12:18:19Z,2025-10-03T06:13:36+00:00,4,65.92,True,293,54,19,0,0,3,3,MERGED
14392,Release 8.0.4,YaacovHazan,2025-09-29T19:39:26Z,2025-10-03T06:15:22+00:00,2,82.6,True,629,92,27,0,0,2,2,MERGED
14389,Release 8.2.2,YaacovHazan,2025-09-28T19:55:38Z,2025-10-03T06:17:12+00:00,1,106.36,True,257,55,16,0,1,0,1,MERGED
14388,MOD-11572: Bump RediSearch to v8.2.5 for Redis 8.2.2,oshadmi,2025-09-28T17:51:36Z,2025-09-28T19:32:45+00:00,1,1.69,True,1,1,1,1049,3,0,3,MERGED
14386,Update RedisJSON to 8.2.2,gabsow,2025-09-28T07:31:46Z,2025-09-28T19:28:02+00:00,1,11.94,True,1,1,1,121,1,0,1,MERGED
14385,Update RedisBloom to 8.2.2,gabsow,2025-09-28T07:25:16Z,2025-09-28T19:28:31+00:00,1,12.05,True,1,1,1,86,3,0,3,MERGED
14373,[RED-170693] Limit efSearch parameter to avoid heap overflow,JoanFM,2025-09-19T07:05:31Z,2025-10-05T08:15:25+00:00,8,385.17,True,36,2,2,339,3,2,5,MERGED
14369,Fix potential division by zero in LRU test mode in redis-cli,RushabhMehta2005,2025-09-18T19:02:39Z,2025-09-19T03:54:35+00:00,3,8.87,True,3,2,1,798,3,0,3,MERGED
