number,title,author,createdAt,closedOrMergedAt,reviewsCount,hoursOpen,merged,additions,deletions,changedFiles,bodyLength,issueCommentsCount,reviewThreadsCount,interactionsCount,finalReviewState
147369,Fill out AVR target metadata,Noratrieb,2025-10-05T10:02:02Z,2025-10-05T15:51:58+00:00,1,5.83,True,3,3,1,378,4,0,4,MERGED
147367,Trivial code cleanup in resolve,chenyukang,2025-10-05T09:29:37Z,2025-10-05T15:51:58+00:00,1,6.37,True,1,5,1,12,5,0,5,MERGED
147332,Set opt-level flag for installing tool only on CI,Shunpoco,2025-10-04T11:37:58Z,2025-10-05T22:13:50+00:00,7,34.6,True,12,6,1,472,3,1,4,MERGED
147327,cg_llvm: Remove inherent methods from several LLVM FFI types,Zalathar,2025-10-04T08:57:36Z,2025-10-05T22:13:50+00:00,2,37.27,True,225,225,14,752,7,1,8,MERGED
147323,Fix top level ui tests check in tidy,chenyukang,2025-10-04T07:20:07Z,2025-10-04T13:36:08+00:00,1,6.27,True,6,7,1,323,8,0,8,MERGED
147320,Avoid to suggest pattern match on the similarly named in fn signature,chenyukang,2025-10-04T06:56:11Z,2025-10-05T07:46:14+00:00,2,24.83,True,33,12,4,13,9,2,11,MERGED
147309,Add documentation about unwinding to wasm targets,alexcrichton,2025-10-03T19:16:40Z,2025-10-05T07:46:14+00:00,1,36.49,True,84,1,4,589,5,0,5,MERGED
147293,Avoid getting `dep_dep_node` unnecessarily.,nnethercote,2025-10-03T10:49:30Z,2025-10-05T00:32:26+00:00,2,37.72,True,11,8,1,70,15,0,15,MERGED
147292,Respect `-Z` unstable options in `rustdoc --test`,Urgau,2025-10-03T10:09:48Z,2025-10-04T09:29:52+00:00,3,23.33,True,213,134,23,306,4,9,13,MERGED
147288,compiletest: Make `DirectiveLine` responsible for name/value splitting,Zalathar,2025-10-03T03:55:41Z,2025-10-05T07:46:14+00:00,1,51.84,True,188,156,6,368,17,4,21,MERGED
147269,Add regression test for 123953,reddevilmidzy,2025-10-02T13:18:29Z,2025-10-04T09:29:52+00:00,2,44.19,True,80,0,2,14,9,1,10,MERGED
147268,add arm-maintainers to various targets,davidtwco,2025-10-02T11:34:16Z,2025-10-03T03:53:32+00:00,3,16.32,True,152,17,14,478,11,1,12,MERGED
147263,Disable triagebot auto stable-regression compiler backport nominations pending redesign,jieyouxu,2025-10-02T08:50:28Z,2025-10-03T03:53:32+00:00,2,19.05,True,0,4,1,969,6,0,6,MERGED
147262,"Make #[link=""dl""] an FCW rather than an error",JonathanBrouwer,2025-10-02T08:47:51Z,2025-10-05T15:51:58+00:00,4,79.07,True,73,9,5,184,8,3,11,MERGED
147259,cg_llvm: Use helper methods for all calls to `LLVMMDNodeInContext2`,Zalathar,2025-10-02T08:08:57Z,2025-10-03T03:53:32+00:00,1,19.74,True,93,111,6,245,4,0,4,MERGED
147251,Do not assert that a change in global cache only happens when concurrent,jackh726,2025-10-02T00:57:07Z,2025-10-04T21:22:42+00:00,2,68.43,True,84,22,7,218,5,2,7,MERGED
147245,only replace the intended comma in pattern suggestions,karolzwolak,2025-10-01T21:10:08Z,2025-10-04T09:29:52+00:00,4,60.33,True,79,30,8,210,4,2,6,MERGED
147238,Refactor DropGuard with one ManuallyDrop,camsteffen,2025-10-01T18:13:35Z,2025-10-02T22:55:33+00:00,4,28.7,False,19,26,1,121,4,2,6,CLOSED
147230,Fix typo in 'unfulfilled_lint_expectation' to plural,demoray,2025-10-01T15:08:05Z,2025-10-01T21:57:18+00:00,1,6.82,True,1,1,1,0,3,0,3,MERGED
147227,implement `Box::take`,edwloef,2025-10-01T14:26:24Z,2025-10-02T14:17:03+00:00,3,23.84,True,31,0,1,132,3,1,4,MERGED
147226,include `outer_inclusive_binder` of pattern types,jdonszelmann,2025-10-01T14:15:22Z,2025-10-01T21:57:18+00:00,2,7.7,True,30,2,5,61,2,1,3,MERGED
147221,Forbid `//@ compile-flags: -Cincremental=` in tests,Zalathar,2025-10-01T12:21:00Z,2025-10-02T14:17:03+00:00,1,25.93,True,26,1,2,441,10,0,10,MERGED
147217,Don't create a top-level `true` directory when running UI tests,Zalathar,2025-10-01T11:18:04Z,2025-10-01T17:41:55+00:00,1,6.4,True,4,3,2,494,8,0,8,MERGED
