number,title,author,createdAt,closedOrMergedAt,reviewsCount,hoursOpen,merged,additions,deletions,changedFiles,bodyLength,issueCommentsCount,reviewThreadsCount,interactionsCount,finalReviewState
13081,fix: Update Swedish translations that were missing,loako,2025-10-02T10:12:28Z,2025-10-02T12:33:20+00:00,1,2.35,True,221,221,1,60,0,0,0,MERGED
13070,feat: Add IPv6 prefix-based rate limiting on login failures,mbacarella,2025-09-29T21:00:22Z,2025-10-05T15:43:30+00:00,4,138.72,True,121,12,1,1063,2,6,8,MERGED
13050,more assign from cli and devices.py,21pages,2025-09-26T08:37:37Z,2025-09-27T08:55:09+00:00,3,24.29,True,113,72,4,223,0,5,5,MERGED
13003,fix: Center the main window on first run.,fufesou,2025-09-22T13:42:02Z,2025-09-24T06:47:29+00:00,3,41.09,True,18,2,1,127,0,4,4,MERGED
12997,fix crash on android armv7,21pages,2025-09-22T06:21:42Z,2025-09-22T09:02:54+00:00,1,2.69,True,5,0,1,128,0,0,0,MERGED
12989,"add ab.py, audits.py",21pages,2025-09-22T00:15:50Z,2025-09-23T09:13:14+00:00,3,32.96,True,1141,0,2,195,0,8,8,MERGED
12974,Update tabbar_widget.dart to save the frame directly onWindowClose if it has changed,logiclrd,2025-09-19T18:02:44Z,2025-09-22T03:24:29+00:00,4,57.36,False,21,8,1,619,6,1,7,CLOSED
12962,Centre the main window (Windows),logiclrd,2025-09-18T14:19:12Z,2025-09-24T06:48:04+00:00,1,136.48,False,56,23,3,641,16,2,18,CLOSED
12933,Fix window positioning on Windows when the taskbar is on the top or left,logiclrd,2025-09-16T05:13:56Z,2025-09-19T08:11:27+00:00,4,74.96,True,107,2,4,2885,13,4,17,MERGED
12903,fix websocket reconnect,21pages,2025-09-12T08:23:11Z,2025-09-15T06:31:57+00:00,1,70.15,True,5,1,1,558,1,1,2,MERGED
12900,Add Wayland multi-monitor screen capture functionality,nsaslavsky,2025-09-11T22:26:02Z,2025-09-22T13:53:14+00:00,6,255.45,True,112,64,3,331,6,13,19,MERGED
12874,Update README-KR.md,VenusGirl,2025-09-08T18:04:27Z,2025-09-10T04:44:22+00:00,1,34.67,True,7,7,1,13,0,1,1,MERGED
12868,default shared password,21pages,2025-09-07T06:37:07Z,2025-09-07T08:47:35+00:00,1,2.17,True,34,3,3,222,0,0,0,MERGED
12859,"feat: cursor, linux, Xwayland",fufesou,2025-09-06T10:39:53Z,2025-09-06T12:35:52+00:00,5,1.93,True,45,6,4,370,0,11,11,MERGED
12822,"feat: cursor, linux",fufesou,2025-09-04T07:50:53Z,2025-09-06T04:11:43+00:00,13,44.35,True,1153,209,14,307,0,44,44,MERGED
12820,"refact: http, rust side, log errror",fufesou,2025-09-04T04:53:16Z,2025-09-04T07:04:53+00:00,2,2.19,True,9,3,1,76,0,2,2,MERGED
12809,address book default connect password,21pages,2025-09-03T07:40:57Z,2025-09-07T03:20:56+00:00,4,91.67,False,267,129,26,795,0,9,9,CLOSED
12794,"fix: cursor, macos, text",fufesou,2025-09-01T05:42:18Z,2025-09-01T07:34:48+00:00,9,1.88,True,50,13,2,33,0,16,16,MERGED
12780,"feat: cursor, macos",fufesou,2025-08-30T12:58:11Z,2025-08-30T14:16:35+00:00,4,1.31,True,796,409,14,397,0,13,13,MERGED
12745,cursor,fufesou,2025-08-27T04:25:34Z,2025-08-28T07:20:02+00:00,5,26.91,True,1276,27,62,291,0,1,1,MERGED
12730,"feat: clipboard files, audit",fufesou,2025-08-25T11:55:50Z,2025-08-25T14:29:53+00:00,6,2.57,True,242,31,9,1706,0,7,7,MERGED
12634,show direct connection for IPv6 via RelayResponse,21pages,2025-08-12T13:27:52Z,2025-08-13T02:08:24+00:00,2,12.68,True,21,9,1,213,0,5,5,MERGED
12626,"feat: file transfer, resume",fufesou,2025-08-12T03:54:09Z,2025-08-25T06:34:03+00:00,4,314.67,True,88,37,19,1622,0,7,7,MERGED
12613,show TCP/UDP/IPv6 in tooltip,21pages,2025-08-11T07:04:52Z,2025-08-11T08:13:31+00:00,4,1.14,True,156,52,14,272,0,8,8,MERGED
12599,Enhance .desktop File with New Keywords for Improved App Discoverability,besdar,2025-08-09T19:14:49Z,2025-08-26T07:31:31+00:00,2,396.28,True,1,1,1,551,0,1,1,MERGED
12578,fix: update macos,fufesou,2025-08-07T11:51:33Z,2025-08-07T15:31:31+00:00,7,3.67,True,96,30,4,375,0,4,4,MERGED
12570,sciter hide cm,21pages,2025-08-07T00:22:09Z,2025-08-07T05:29:22+00:00,3,5.12,True,36,8,3,169,0,6,6,MERGED
