number,title,author,createdAt,closedOrMergedAt,reviewsCount,hoursOpen,merged,additions,deletions,changedFiles,bodyLength,issueCommentsCount,reviewThreadsCount,interactionsCount,finalReviewState
457,Updated example in using the same vocabulary for the same type of variable,devdesiignn,2024-07-29T07:24:37Z,2024-12-31T23:14:35+00:00,1,3735.83,False,2,0,1,33,0,0,0,CLOSED
453,chore(README.md): correct title within context,MartinsOnuoha,2024-04-04T10:35:43Z,2025-07-17T14:53:33+00:00,1,11260.3,False,1,1,1,120,0,0,0,CLOSED
347,replace avoid conditionals with a more Gaurd Cluases,SeyyedKhandon,2021-04-28T03:53:59Z,2021-05-23T18:34:36+00:00,2,614.68,False,20,43,1,152,1,1,2,CLOSED
333,added 'Use let/const instead of var',siddeshwarnavink,2021-01-06T03:20:09Z,2021-05-23T18:04:41+00:00,1,3302.74,False,36,0,1,134,2,0,2,CLOSED
326,Add Serbian translation.,doskovicmilos,2020-10-10T16:08:01Z,2021-01-21T03:27:40+00:00,1,2459.33,True,1,0,1,0,1,0,1,MERGED
288,Change argument name from inner variable name,sbimochan,2020-01-21T08:29:03Z,2020-07-31T03:09:46+00:00,1,4602.68,True,2,2,1,0,1,0,1,MERGED
255,Feature/add spanish translation,devictoribero,2019-01-23T18:15:30Z,2019-02-02T10:20:54+00:00,4,232.09,False,16,15,1,80,3,1,4,CLOSED
248,excess comma removed,bozdoganCihangir,2018-11-09T18:28:09Z,2019-01-24T02:55:23+00:00,3,1808.45,False,1,1,1,27,2,1,3,CLOSED
238,"Change argument name of ""Use default arguments instead of short circu…",JvanderHeide,2018-01-15T11:06:52Z,2018-01-20T17:19:05+00:00,1,126.2,True,1,1,1,72,1,0,1,MERGED
224,Spanish,faustinoloeza,2017-07-14T20:37:13Z,2020-10-07T20:18:15+00:00,1,28343.68,False,1,0,1,0,6,0,6,CLOSED
223,Spanish,faustinoloeza,2017-07-13T19:18:57Z,2017-07-16T21:14:00+00:00,2,73.92,False,1,0,1,14,1,1,2,CLOSED
220,"Capital letters in const, remove default data in class Car",GrzegorzZajac000,2017-06-02T16:32:15Z,2017-06-09T21:19:42+00:00,4,172.79,True,12,16,1,58,1,1,2,MERGED
211,"fix code sample in ""Use Promises, not callbacks"" section",ateshuseyin,2017-04-28T21:46:55Z,2021-05-23T18:50:49+00:00,1,35661.07,False,2,2,1,83,5,1,6,CLOSED
209,"Update function name in ""Don't add unneeded context""",spoonscen,2017-04-27T22:44:52Z,2021-05-23T18:53:23+00:00,1,35684.14,False,4,4,1,195,3,0,3,CLOSED
206,Update README.md to include explanatory function names per #200,rouzbeh84,2017-04-20T17:14:57Z,2017-05-11T16:23:24+00:00,2,503.14,True,3,3,1,75,5,1,6,MERGED
204,Add Object Spread example to 'Set default objects' section,sfletche,2017-04-20T00:27:26Z,2021-05-24T15:52:20+00:00,1,35895.42,False,25,0,1,0,3,0,3,CLOSED
194,translate to chinese.,beginor,2017-02-13T03:52:02Z,2017-02-13T16:48:21+00:00,1,12.94,False,2340,1,2,21,5,0,5,CLOSED
193,fix: code style,imsobear,2017-02-10T09:07:15Z,2017-02-11T01:31:20+00:00,1,16.4,True,22,22,1,17,1,0,1,MERGED
188,Fixes some typo issues,maksugr,2017-02-04T09:30:35Z,2017-02-05T20:35:27+00:00,1,35.08,True,3,3,1,32,1,0,1,MERGED
174,Composition over inheritance suggestions,DavidVujic,2017-01-24T13:15:39Z,2017-01-27T04:36:16+00:00,8,63.34,False,15,16,1,211,4,6,10,CLOSED
139,"[Update] ""Prefer composition over inheritance"" section content",tk-o,2017-01-14T18:59:57Z,2021-05-24T15:52:40+00:00,6,38180.88,False,101,43,1,325,16,4,20,CLOSED
127,feature: iterator variable names,cookiengineer,2017-01-12T18:09:24Z,2021-05-24T15:52:46+00:00,1,38229.72,False,44,0,1,245,2,4,6,CLOSED
123,Add Side Effects pt.2,kbariotis,2017-01-12T09:51:53Z,2017-01-17T03:48:44+00:00,6,113.95,True,33,1,1,37,2,9,11,MERGED
118,Rename state to zipCode to avoid confusion,vasanthk,2017-01-11T18:20:11Z,2017-01-13T03:29:40+00:00,3,33.16,True,5,5,1,139,3,2,5,MERGED
116,Functions are cleaner than subclasses,DavidVujic,2017-01-11T15:25:02Z,2017-01-24T03:59:06+00:00,3,300.57,False,10,7,1,177,10,2,12,CLOSED
101,Fix/getter setter,kurtommy,2017-01-10T09:28:57Z,2017-01-11T03:05:02+00:00,1,17.6,True,33,0,1,0,2,3,5,MERGED
95,address anonymous functions,vsemozhetbyt,2017-01-09T17:56:33Z,2017-01-11T03:16:05+00:00,2,33.33,True,25,30,1,419,3,1,4,MERGED
83,Fill missing commas,iamken1204,2017-01-09T02:35:01Z,2017-01-13T04:26:54+00:00,1,97.86,True,0,0,0,0,4,0,4,MERGED
81,parenthesize arrow function arguments consistently,vsemozhetbyt,2017-01-09T01:19:11Z,2017-01-11T03:17:45+00:00,2,49.98,True,8,8,1,101,1,1,2,MERGED
77,Open/Closed Principle (OCP) example change,unknown,2017-01-08T13:28:48Z,2017-01-11T02:52:59+00:00,1,61.4,False,2,5,1,336,10,0,10,CLOSED
51,Change var and let where necessary,schoenwaldnils,2017-01-06T22:02:49Z,2017-01-08T16:42:27+00:00,3,42.66,True,109,110,1,60,3,2,5,MERGED
43,Add: Error Handling Section,jordalgo,2017-01-06T16:42:18Z,2017-01-07T03:13:30+00:00,4,10.52,True,78,4,1,0,3,3,6,MERGED
38,Feature/change var,iNeoO,2017-01-06T12:02:18Z,2017-01-08T16:58:10+00:00,3,52.93,False,70,70,1,104,1,2,3,CLOSED
37,Use destructuring for explanatory variables,SebastienElet,2017-01-06T08:52:10Z,2017-01-11T03:29:28+00:00,2,114.62,True,6,6,1,151,5,1,6,MERGED
34,Rephrase default value advice,b0yfriend,2017-01-06T04:16:49Z,2017-01-11T03:23:09+00:00,1,119.11,True,7,28,1,503,4,1,5,MERGED
12,Number of arguments section.,neonphlux,2017-01-04T22:26:03Z,2017-01-10T03:29:22+00:00,2,125.06,False,1,1,1,270,5,1,6,CLOSED
