number,title,author,createdAt,closedOrMergedAt,reviewsCount,hoursOpen
4,Adds wiki.c2.com to general coding advice section,alexcp,2017-06-06T12:52:24Z,2017-06-06T20:18:37+00:00,1,7.44
5,"Few links fixed and changes all ""-"" to "":"";",unknown,2017-06-06T13:08:14Z,2017-06-10T14:03:54+00:00,5,96.93
7,Add riddles.io to competitive programming,Jimbo1167,2017-06-06T13:29:37Z,2017-06-09T04:17:14+00:00,1,62.79
10,Adds Angular 1 Style Guide,douglasg14b,2017-06-06T14:46:49Z,2017-06-14T10:29:21+00:00,3,187.71
12,Proposed fix to #11,pckilgore,2017-06-06T15:32:46Z,2017-06-06T20:34:31+00:00,1,5.03
14,adding teamtreehouse,russellbstephens,2017-06-06T15:53:47Z,2017-09-17T14:25:53+00:00,2,2470.53
18,Add funfunfunction to youtube channels,webb04,2017-06-06T17:06:03Z,2018-06-25T16:04:56+00:00,2,9214.98
19,Adding Kadenze link to the MOOC section of the readme,mynock,2017-06-06T17:18:15Z,2017-06-08T05:00:29+00:00,2,35.7
22,Add Cloud 9 and Github Gist,cool00geek,2017-06-06T18:52:41Z,2017-06-08T08:24:56+00:00,2,37.54
25,Update README.md,garysieling,2017-06-06T20:27:40Z,2017-06-26T23:50:41+00:00,1,483.38
33,"[Conflicts resolved] Removed dupes, fixed a few formatting inconsistencies",KarlAmort,2017-06-06T23:48:20Z,2019-11-13T09:30:52+00:00,1,21345.71
36,Update blog of Umer Mansoor,nguyenvanduocit,2017-06-07T02:21:56Z,2017-06-13T13:00:33+00:00,3,154.64
48,Added coding ground,pBouillon,2017-06-07T11:25:47Z,2018-06-27T15:09:54+00:00,1,9243.74
55,Added regex101.com to README,alallier,2017-06-07T14:49:03Z,2017-06-20T11:21:27+00:00,1,308.54
59,Added Data Science section. Fixed typos,mathana96,2017-06-07T16:35:02Z,2017-06-11T17:34:12+00:00,3,96.99
66,Update README.md,dannav,2017-06-08T02:50:11Z,2017-06-13T13:11:31+00:00,1,130.36
68,Added condingame to the list,b2800,2017-06-08T06:00:30Z,2017-09-24T19:46:27+00:00,2,2605.77
72,added Netflix UI Engineering YouTube channel,zcallan,2017-06-08T08:45:55Z,2017-06-13T12:59:28+00:00,3,124.23
