number,title,author,createdAt,closedOrMergedAt,reviewsCount,hoursOpen,merged,additions,deletions,changedFiles,bodyLength,issueCommentsCount,reviewThreadsCount,interactionsCount,finalReviewState
3645,Add Claude,alvinunreal,2025-09-14T14:53:47Z,2025-10-04T08:18:29+00:00,1,473.41,False,1,0,1,7253,4,0,4,CLOSED
3584,Update readme.md,yboulaamane,2025-08-12T15:17:58Z,2025-08-18T08:20:15+00:00,1,137.04,False,1,0,1,7147,1,0,1,CLOSED
3536,BnayyUpdate logo.svg,Banty6661,2025-07-13T18:21:14Z,2025-07-13T22:47:08+00:00,1,4.43,False,1,1,1,7223,1,0,1,CLOSED
3485,add Roblox Studio resources,GabbzDev,2025-06-14T17:18:04Z,2025-06-15T07:16:12+00:00,1,13.97,False,1,0,1,7147,1,0,1,CLOSED
3471,Improve clarity in badge usage explanation,yuriuser126,2025-06-06T07:46:57Z,2025-06-06T11:42:13+00:00,2,3.92,True,1,1,1,168,0,0,0,MERGED
3455,Add Claude Code,hesreallyhim,2025-05-23T06:14:56Z,2025-06-11T12:48:07+00:00,3,462.55,True,1,0,1,7154,4,0,4,MERGED
3451,Add Pokémon Home,alexrodba,2025-05-16T23:14:08Z,2025-05-19T10:28:16+00:00,2,59.24,False,1,0,1,7328,3,0,3,CLOSED
3398,Add WebAssembly,thisisisa,2025-04-11T10:05:00Z,2025-07-05T23:21:42+00:00,6,2053.28,True,1,0,1,7261,15,1,16,MERGED
3394,Update readme.md,ajaydcruz,2025-04-06T08:00:53Z,2025-05-29T10:37:17+00:00,2,1274.61,False,1,0,1,7217,6,1,7,CLOSED
3351,Add Standards,donBarbos,2025-02-06T14:35:08Z,2025-05-15T13:13:42+00:00,8,2350.64,True,1,0,1,7292,6,0,6,MERGED
3343,Add Dofus 3,petit-chat,2025-01-30T13:52:52Z,2025-05-15T12:30:37+00:00,2,2518.63,False,1,0,1,6812,5,1,6,CLOSED
3341,Add missing period for consistency in the Code-of-Conduct.md section,shaymolcho,2025-01-23T07:41:57Z,2025-01-23T08:49:34+00:00,2,1.13,False,1,1,1,7417,1,0,1,CLOSED
3335,Add CodeRabbit,tyaga001,2025-01-17T06:13:49Z,2025-03-04T08:42:03+00:00,7,1106.47,True,1,0,1,7634,13,1,14,MERGED
3323,Add ATProto,darccio,2025-01-03T19:49:15Z,2025-05-15T12:37:25+00:00,3,3160.8,True,1,0,1,6578,6,1,7,MERGED
3320,Add Mendix,jsp-mx,2025-01-02T04:52:25Z,2025-05-15T12:16:38+00:00,9,3199.4,False,1,0,1,7223,6,2,8,CLOSED
3312,Add Large Language Model,zhiyuan8,2024-12-21T00:31:31Z,2024-12-30T08:56:59+00:00,5,224.42,False,1,0,1,7291,4,1,5,CLOSED
3308,Add Free Apps,Axorax,2024-12-15T12:17:14Z,2025-01-10T19:04:21+00:00,3,630.79,False,3,0,1,7372,13,0,13,CLOSED
3299,"Update link for ""Drupal"" CMS",theodorosploumis,2024-12-07T14:26:25Z,2025-05-15T12:33:32+00:00,2,3814.12,False,1,1,1,7339,9,0,9,CLOSED
3296,@KAPKYK,Kitarah,2024-12-05T08:17:57Z,2024-12-05T16:07:29+00:00,1,7.83,False,0,0,1,7147,0,0,0,CLOSED
3293,Add Permacomputing,thisisisa,2024-12-02T16:08:58Z,2025-02-28T04:32:36+00:00,8,2100.39,True,1,0,1,7283,7,0,7,MERGED
3283,Add Semantic Commit,bozaci,2024-11-25T10:59:32Z,2025-05-20T13:41:00+00:00,6,4226.69,False,1,0,1,7564,5,0,5,CLOSED
3282,Add PostgreSQL hacking,zhjwpku,2024-11-23T15:16:45Z,2025-01-25T09:09:05+00:00,10,1505.87,False,1,0,1,6462,10,1,11,CLOSED
3274,Add Sui & Update Move,yanganto,2024-11-16T01:26:40Z,2025-05-21T02:08:20+00:00,5,4464.69,False,2,1,1,6858,8,0,8,CLOSED
3256,"Add ""FOSS Alternatives""",hardBSDk,2024-11-01T16:22:48Z,2025-01-12T08:57:13+00:00,5,1720.57,False,1,0,1,7445,7,1,8,CLOSED
3248,Add Python Resources,lnxpy,2024-10-21T20:59:36Z,2024-10-22T13:40:51+00:00,1,16.69,False,1,0,1,7177,4,0,4,CLOSED
3234,Add WezTerm,michaelbrusegard,2024-10-03T16:46:12Z,2025-05-15T11:53:01+00:00,2,5371.11,True,1,0,1,7401,8,0,8,MERGED
3232,Add Yazi,AnirudhG07,2024-10-03T12:22:21Z,2025-05-15T12:05:07+00:00,4,5375.71,False,1,0,1,7399,14,1,15,CLOSED
3228,Add Reflex,itsmeadarsh2008,2024-09-30T17:57:07Z,2024-11-23T16:24:13+00:00,2,1294.45,True,1,0,1,7453,13,1,14,MERGED
3227,Add Windows,0PandaDEV,2024-09-30T13:00:12Z,2024-11-23T14:44:06+00:00,10,1297.73,True,1,1,1,7353,15,3,18,MERGED
3223,Add ABP Framework of Platforms,tarikozdemir,2024-09-27T19:23:13Z,2025-05-15T11:38:31+00:00,5,5512.26,False,1,0,1,7154,7,1,8,CLOSED
3217,Add AST Parsers,ishanvyas22,2024-09-24T07:34:22Z,2025-05-15T11:37:01+00:00,2,5596.04,False,1,0,1,7237,6,0,6,CLOSED
3210,Add WebGPU,ferminLR,2024-09-20T21:37:36Z,2025-05-15T11:49:06+00:00,5,5678.19,True,1,0,1,7315,11,0,11,MERGED
3205,Add Firebase Genkit,xavidop,2024-09-15T15:58:49Z,2025-05-15T11:33:25+00:00,3,5803.58,True,1,0,1,6661,12,0,12,MERGED
3171,Add Neuroimaging,WillForan,2024-08-31T19:57:29Z,2025-05-15T11:44:00+00:00,7,6159.78,True,1,0,1,7365,16,1,17,MERGED
3159,Add Global Library,thebigcicca,2024-08-23T03:40:37Z,2024-10-28T18:29:31+00:00,1,1598.82,False,1,1,1,7380,5,0,5,CLOSED
3153,Add VBA,sancarn,2024-08-15T22:41:14Z,2025-05-15T13:01:58+00:00,4,6542.35,True,1,0,1,7413,20,0,20,MERGED
3152,Add Event-Driven Architecture,lutzh,2024-08-15T16:16:28Z,2024-11-28T19:02:18+00:00,7,2522.76,True,1,0,1,7205,15,2,17,MERGED
3149,Update Ionic,riderx,2024-08-14T02:09:28Z,2024-08-14T11:56:32+00:00,1,9.78,True,1,1,1,7302,0,1,1,MERGED
3146,Add Email Security,0xAnalyst,2024-08-11T08:01:17Z,2025-05-20T13:30:16+00:00,7,6773.48,False,1,0,1,7424,18,0,18,CLOSED
3115,Add J2ME,hstsethi,2024-07-21T05:20:07Z,2025-05-15T11:25:39+00:00,3,7158.09,True,1,0,1,7492,10,0,10,MERGED
3111,Add CI/CD Attacks,TupleType,2024-07-18T10:37:44Z,2025-05-15T12:13:17+00:00,3,7225.59,True,1,0,1,7319,12,0,12,MERGED
3110,Add Xiangqi,lucaferranti,2024-07-15T21:25:06Z,2025-01-19T19:54:32+00:00,4,4510.49,False,1,0,1,7592,15,1,16,CLOSED
3095,Add Email Security,0xAnalyst,2024-06-27T08:45:24Z,2024-08-11T07:54:18+00:00,4,1079.15,False,1,1,1,7424,9,0,9,CLOSED
3092,Add Worlist,itsmohitnarayan,2024-06-25T15:23:21Z,2024-10-22T18:29:35+00:00,1,2859.1,False,1,0,1,7148,3,0,3,CLOSED
3091,Add Lucid Dreams,IAmCoder,2024-06-24T22:21:43Z,2024-10-29T06:59:04+00:00,5,3032.62,True,1,0,1,6648,6,1,7,MERGED
3081,Add Tor,Polycarbohydrate,2024-06-14T06:25:07Z,2024-07-23T12:14:43+00:00,6,941.83,True,1,0,1,7683,7,1,8,MERGED
3071,Add Regex,slevithan,2024-06-04T12:21:05Z,2024-10-22T18:14:52+00:00,2,3365.9,True,1,0,1,6917,6,0,6,MERGED
3068,Add Pentest Cheat Sheets,ByteSnipers,2024-06-02T23:37:28Z,2024-10-22T18:11:22+00:00,2,3402.57,False,1,0,1,443,6,1,7,CLOSED
3053,Add Geocaching,FoxFil,2024-05-19T08:25:16Z,2024-05-31T16:20:15+00:00,2,295.92,True,1,0,1,6572,11,0,11,MERGED
3029,Add Microsoft Azure Architecture,lukemurraynz,2024-04-28T00:24:09Z,2024-07-14T09:23:47+00:00,3,1856.99,False,1,0,1,7542,8,1,9,CLOSED
3027,Update link Awesome-C,tkna91,2024-04-25T23:20:56Z,2024-04-27T11:00:40+00:00,1,35.66,False,1,1,1,59,2,0,2,CLOSED
3003,Add Google Cloud,rsamborski,2024-03-25T12:30:22Z,2024-06-04T12:45:58+00:00,2,1704.26,True,1,0,1,6747,11,1,12,MERGED
2999,Add LiDAR Place Recognition,hogyun2,2024-03-19T11:57:39Z,2024-04-09T05:01:39+00:00,1,497.07,False,6,3,2,7234,6,0,6,CLOSED
2996,Add VLM Architectures,gokayfem,2024-03-18T15:28:15Z,2024-10-28T18:19:49+00:00,1,5378.86,True,1,0,1,7404,12,0,12,MERGED
2970,Adding Awesome Farcaster Frames,0xPetra,2024-02-13T16:43:10Z,2024-02-19T22:31:56+00:00,1,149.81,False,1,0,1,7147,1,1,2,CLOSED
2960,Add Babylon.js,Symbitic,2024-02-01T17:50:31Z,2024-10-29T11:09:51+00:00,2,6497.32,True,1,0,1,7280,10,0,10,MERGED
2958, Add Technical Topics,Mahmoudz,2024-01-30T14:06:31Z,2024-05-26T15:04:18+00:00,1,2808.96,False,1,0,1,551,4,0,4,CLOSED
2949,Add Transgender,cvyl,2024-01-22T11:37:40Z,2025-07-18T18:37:33+00:00,8,13039.0,True,1,0,1,7444,31,1,32,MERGED
2930,Add Cilium,seifrajhi,2024-01-09T19:21:04Z,2025-05-15T11:04:08+00:00,3,11799.72,True,1,0,1,7262,9,1,10,MERGED
2924,Add STEM Academy,tapyu,2024-01-02T04:11:17Z,2024-01-10T01:35:59+00:00,2,189.41,False,1,0,1,7301,4,0,4,CLOSED
2919,Add Generative AI Meets Julia,svilupp,2023-12-30T10:14:22Z,2024-10-22T17:48:57+00:00,4,7135.58,False,2,0,1,7111,15,2,17,CLOSED
2895,Add PocketBase,jorgoose,2023-12-06T05:56:56Z,2024-05-25T16:02:45+00:00,3,4114.1,True,1,0,1,7471,18,0,18,MERGED
2893,Add Locust,jorgoose,2023-12-05T22:41:31Z,2024-10-22T17:48:27+00:00,3,7723.12,False,1,0,1,7331,3,1,4,CLOSED
2888,Add QGis,totpero,2023-12-03T17:11:42Z,2024-02-14T09:22:14+00:00,2,1744.18,False,1,0,1,7262,4,0,4,CLOSED
2878,Update readme.md - Add LLM WebUIs,JShollaj,2023-11-27T08:20:33Z,2024-02-14T09:21:35+00:00,1,1897.02,False,1,0,1,7251,2,0,2,CLOSED
2867,Add Telegram Mini Apps,rojvv,2023-11-21T12:44:37Z,2024-10-22T17:47:56+00:00,2,8069.06,False,1,0,1,7214,10,0,10,CLOSED
2850,Add Annual Security Reports,jacobdjwilson,2023-11-07T16:48:23Z,2024-11-22T09:22:46+00:00,12,9136.57,True,1,0,1,7263,21,1,22,MERGED
2846,Link to maintained successor for PHP,dereuromark,2023-11-04T02:57:48Z,2024-01-04T13:05:33+00:00,2,1474.13,False,1,1,1,85,7,1,8,CLOSED
2837,Add AI Collection,kerbelp,2023-10-27T08:47:25Z,2024-02-14T08:37:31+00:00,2,2639.84,False,1,0,1,7498,9,0,9,CLOSED
