number,title,author,createdAt,closedOrMergedAt,reviewsCount,hoursOpen,merged,additions,deletions,changedFiles,bodyLength,issueCommentsCount,reviewThreadsCount,interactionsCount,finalReviewState
47291,Update AOTCache documentation to JEP 514,ramesh-nair-dev,2025-09-21T06:30:52Z,2025-09-22T09:02:13+00:00,3,26.52,False,20,1,2,514,3,1,4,CLOSED
47029,Rename ConditionalOnEnabledTracing to ConditionalOnEnabledTracingExport,maziyarbahramian,2025-09-03T17:42:23Z,2025-09-05T11:53:07+00:00,1,42.18,False,64,62,21,629,8,1,9,CLOSED
46984,Flyway Ignore Migration Patterns setting can't be set to an empty string,Chanwon-Seo,2025-08-28T12:15:42Z,2025-09-01T14:13:44+00:00,8,97.97,False,21,4,4,593,6,4,10,CLOSED
46957,Add support for static master-replica with Lettuce,facewise,2025-08-26T02:59:42Z,2025-10-03T08:14:36+00:00,1,917.25,False,112,2,5,401,12,2,14,CLOSED
46855,Replace AssertJ internal APIs with alternative implementations,scordio,2025-08-17T07:28:11Z,2025-08-18T11:58:18+00:00,1,28.5,False,29,31,2,86,1,1,2,CLOSED
46854,Configuration Metadata for Actuator endpoints does not take Nullness into account,wonyongg,2025-08-16T19:51:06Z,2025-08-19T13:52:02+00:00,1,66.02,False,124,2,5,962,5,2,7,CLOSED
46640,Add auto-configuration for OpenTelemetry SdkMeterProvider,ThomasVitale,2025-07-31T16:18:36Z,2025-09-08T10:04:35+00:00,9,929.77,False,392,0,7,368,3,5,8,CLOSED
46574,Adapt deprecation level for management.health.influxdb.enabled,zahra7,2025-07-28T12:25:40Z,2025-07-28T14:34:48+00:00,1,2.15,False,9,0,1,1389,2,1,3,CLOSED
46547,Improve Virtual Threads section to mention the changes in Java 24,zakaria-shahen,2025-07-25T16:41:54Z,2025-07-31T06:16:43+00:00,2,133.58,False,1,2,1,0,0,1,1,CLOSED
46546,Introduce Kotlin Serialization auto-configuration,dmitrysulman,2025-07-25T15:40:42Z,2025-09-10T18:54:36+00:00,2,1131.23,False,1018,8,23,1944,2,1,3,CLOSED
46533,Exclude spring-boot-devtools from AOT processing in Maven,academey,2025-07-24T14:00:51Z,2025-09-11T08:59:07+00:00,2,1170.97,False,231,2,9,951,6,3,9,CLOSED
46505,Polish,izeye,2025-07-22T14:35:25Z,2025-07-25T12:27:39+00:00,6,69.87,False,21,21,6,23,0,2,2,CLOSED
46467,Replace String.format with concatenation in CorrelationIdFormatter,Kguswo,2025-07-18T16:18:34Z,2025-07-21T05:46:09+00:00,1,61.46,False,1,1,1,523,2,1,3,CLOSED
46409,Improve Log4j Core configuration file detection for Log4j 3,ppkarwasz,2025-07-12T17:56:25Z,2025-08-29T09:16:31+00:00,2,1143.34,False,161,59,3,1409,5,1,6,CLOSED
46372,Avoid using deprecated Log4j exception converter constructors,vy,2025-07-09T18:53:03Z,2025-09-24T10:52:31+00:00,3,1839.99,False,36,14,4,239,3,2,5,CLOSED
46291,Polish,PiyalAhmed,2025-07-04T14:23:46Z,2025-07-07T08:48:02+00:00,2,66.4,False,3,8,2,142,2,1,3,CLOSED
46289,Optimize resource lookup in DevTools restart,move-hoon,2025-07-04T11:46:54Z,2025-09-01T08:54:19+00:00,3,1413.12,False,38,33,2,3374,5,1,6,CLOSED
46230,Allow reusing registered global OpenTelemetry,quaff,2025-06-30T02:58:21Z,2025-07-02T05:43:52+00:00,1,50.76,False,63,0,3,105,5,1,6,CLOSED
46216,Migrate to Spring Batch 6,fmbenhassine,2025-06-26T14:47:36Z,2025-07-07T08:49:52+00:00,11,258.04,False,75,171,11,176,2,7,9,CLOSED
46211,Only enable tests that require an English locale when the locale is English,nosan,2025-06-25T20:44:51Z,2025-06-27T11:01:33+00:00,1,38.28,False,105,0,7,6,0,1,1,CLOSED
46007,Support @MeterTag on @Counted and @Timed methods ,doumdoum,2025-06-18T09:07:29Z,2025-07-02T13:47:40+00:00,4,340.67,False,159,32,6,82,6,8,14,CLOSED
45727,Remove SslBundles from KafkaProperties as it is no longer used,Torres-09,2025-05-30T08:31:02Z,2025-06-17T12:36:56+00:00,1,436.1,False,32,80,4,348,7,4,11,CLOSED
45302,Add support for multiple TaskDecorator beans,nosan,2025-04-25T16:07:11Z,2025-07-02T11:30:08+00:00,1,1627.38,False,113,34,4,10,1,1,2,CLOSED
45292,DockerRegistryConfigAuthentication does not align with Docker CLI,nosan,2025-04-25T11:07:00Z,2025-04-29T11:42:13+00:00,2,96.59,False,31,10,2,0,1,1,2,CLOSED
45267,Configuration properties changelog generator misses items that are removed without prior deprecation,yybmion,2025-04-23T13:16:19Z,2025-04-25T14:53:39+00:00,2,49.62,False,41,11,4,1537,2,1,3,CLOSED
45203,Support per-meter configuration for OtlpMetricsProperties,shakuzen,2025-04-15T08:42:38Z,2025-04-15T20:44:32+00:00,1,12.03,False,68,4,5,306,1,1,2,CLOSED
