number,title,author,createdAt,closedOrMergedAt,reviewsCount,hoursOpen,merged,additions,deletions,changedFiles,bodyLength,issueCommentsCount,reviewThreadsCount,interactionsCount,finalReviewState
24505,enhancement: AI notification system improvements,Bassel17,2025-10-03T12:56:21Z,2025-10-06T13:44:15+00:00,1,72.8,True,334,13,3,333,4,0,4,MERGED
24500,fix: add handling for AI credit limit exceeded error in chat component,jhoward1994,2025-10-02T14:05:18Z,2025-10-03T12:57:28+00:00,2,22.87,True,16,0,3,651,4,0,4,MERGED
24486,feat(upload): applying ai enabled logic for media library,araksyagevorgyan,2025-10-01T10:02:18Z,2025-10-01T15:05:29+00:00,1,5.05,True,123,33,6,560,2,0,2,MERGED
24470,fix: stop repair script from running automatically,butcherZ,2025-09-29T08:47:15Z,2025-09-29T12:05:52+00:00,5,3.31,True,18,15,1,262,2,2,4,MERGED
24468,feat(upload): adding aiMetadata into settings,araksyagevorgyan,2025-09-29T08:07:08Z,2025-09-30T12:26:20+00:00,7,28.32,True,118,55,12,1019,4,7,11,MERGED
24460,fix: support auth.options config in sessions,innerdvations,2025-09-26T08:56:56Z,2025-09-29T13:53:29+00:00,2,76.94,True,1229,45,11,2636,3,1,4,MERGED
24456,chore: strapi DS v2.0.0-rc.30 bump,Adzouz,2025-09-25T12:51:36Z,2025-09-26T10:05:37+00:00,5,21.23,True,108,80,23,192,3,1,4,MERGED
24455,feat: responsive navigation,Adzouz,2025-09-25T11:55:30Z,2025-10-06T13:42:24+00:00,32,265.78,True,3487,1954,106,1457,8,20,28,MERGED
24454,fix: assert admin.auth.secret on bootstrap instead of init,innerdvations,2025-09-25T08:01:34Z,2025-09-25T11:39:45+00:00,2,3.64,True,9,7,2,465,3,0,3,MERGED
24453,feat(packages): adding new field row,araksyagevorgyan,2025-09-25T07:51:34Z,2025-09-29T12:33:09+00:00,1,100.69,False,23,12,3,1486,2,0,2,CLOSED
24437,ci: use bitnamilegacy images for mysql,innerdvations,2025-09-23T08:42:44Z,2025-09-24T09:56:42+00:00,1,25.23,True,2,2,1,471,2,0,2,MERGED
24436,enhancement: moving ai endpoints to EE and conditionally add them if ai is enabled,Bassel17,2025-09-23T08:19:11Z,2025-09-25T11:46:56+00:00,1,51.46,True,412,418,21,407,3,0,3,MERGED
24435,feat: add ai data usage to settings overview,Bassel17,2025-09-23T08:16:24Z,2025-10-02T10:32:52+00:00,8,218.27,True,630,261,26,249,3,3,6,MERGED
24423,fix: unique index recreation,AlbertoCalvoRubio,2025-09-19T12:32:50Z,2025-09-23T15:43:49+00:00,2,99.18,True,14,7,3,639,9,0,9,MERGED
24414,AI media lib bulk update,araksyagevorgyan,2025-09-18T13:36:31Z,2025-09-24T07:02:20+00:00,1,137.43,True,245,26,4,1019,4,0,4,MERGED
