number,title,author,createdAt,closedOrMergedAt,reviewsCount,hoursOpen,merged,additions,deletions,changedFiles,bodyLength,issueCommentsCount,reviewThreadsCount,interactionsCount,finalReviewState
39249,chore: clean,charislam,2025-10-03T22:33:14Z,2025-10-04T12:21:17+00:00,2,13.8,True,0,1,1,0,2,0,2,MERGED
39244,fix(column editor): cannot read properties of null,charislam,2025-10-03T18:06:43Z,2025-10-03T20:06:43+00:00,1,2.0,True,1,1,1,117,2,0,2,MERGED
39242,lws blog posts,fsansalvadore,2025-10-03T15:54:22Z,2025-10-03T17:34:34+00:00,1,1.67,True,381,0,26,0,2,0,2,MERGED
39238,fix typo,tomhmoses,2025-10-03T12:36:57Z,2025-10-03T14:34:22+00:00,1,1.96,True,1,1,1,192,3,0,3,MERGED
39228,chore(www): update Select banner with live text,dnywh,2025-10-03T06:58:53Z,2025-10-03T16:44:41+00:00,1,9.76,True,6,2,1,458,2,0,2,MERGED
39220,Add Dustin Keib to humans.txt,dkeib-supabase,2025-10-02T20:12:20Z,2025-10-03T14:33:30+00:00,1,18.35,True,1,0,1,228,4,0,4,MERGED
39215,"chore(billilng): replace billing partner ""aws"" with ""aws_marketplace""",ecktoteckto,2025-10-02T18:11:13Z,2025-10-03T08:28:24+00:00,1,14.29,True,566,35,3,124,3,0,3,MERGED
39214,fix: upgrade nuqs to properly support url param arrays for sorts and filters,matlin,2025-10-02T18:09:09Z,2025-10-03T00:10:06+00:00,1,6.02,True,27,14,3,580,3,0,3,MERGED
39209,"Revert ""Add sample rate to fetcher""",ivasilov,2025-10-02T15:21:43Z,2025-10-03T08:26:22+00:00,1,17.08,True,10,8,3,71,3,0,3,MERGED
39200,chore: update docs from js monorepo,mandarini,2025-10-02T13:23:55Z,2025-10-03T09:02:54+00:00,1,19.65,True,188390,186672,24,197,2,0,2,MERGED
39198,docs: Remove oddly broken usage links,ChrisChinchilla,2025-10-02T11:28:10Z,2025-10-03T08:41:32+00:00,1,21.22,True,0,2,1,41,2,0,2,MERGED
39196,fix(billing): hide button for credit top up for orgs billed by a marketplace,ecktoteckto,2025-10-02T10:30:37Z,2025-10-02T17:07:53+00:00,2,6.62,True,3,1,1,325,3,1,4,MERGED
39194,chore(billing): adjust copy for upcoming invoice section for AWS billed orgs,ecktoteckto,2025-10-02T09:47:15Z,2025-10-02T16:47:52+00:00,3,7.01,True,12,10,1,141,2,1,3,MERGED
39192,docs: Improve explanation of how to enable physical backups,ChrisChinchilla,2025-10-02T08:01:31Z,2025-10-02T14:52:44+00:00,3,6.85,True,7,9,1,85,2,1,3,MERGED
39191,Added Barco Fourie - humans.txt,barcofourie,2025-10-02T08:01:23Z,2025-10-02T09:04:02+00:00,1,1.04,True,1,0,1,123,2,0,2,MERGED
39185,fix: fix handling of upgrade failure acknowledgment in ProjectUpgradeFailedBanner,matlin,2025-10-01T23:56:58Z,2025-10-02T08:24:27+00:00,2,8.46,True,8,6,1,376,3,0,3,MERGED
39181,fix(table editor): inconsistent serialization and serializing stale values for filter state,charislam,2025-10-01T21:05:27Z,2025-10-03T15:06:08+00:00,1,42.01,False,20,32,2,676,3,0,3,CLOSED
39175,fix(studio): use session storage as default cache for tab state,matlin,2025-10-01T15:43:56Z,2025-10-01T18:07:38+00:00,1,2.4,True,5,2,1,894,3,0,3,MERGED
39173,Chore/add flag for html title,joshenlim,2025-10-01T12:52:16Z,2025-10-01T19:16:35+00:00,1,6.41,True,54,15,10,218,3,0,3,MERGED
39171,Add flag for logs explorer showing metadata,joshenlim,2025-10-01T12:37:50Z,2025-10-01T18:53:55+00:00,2,6.27,True,41,4,7,359,4,0,4,MERGED
39167,chore: update js libs docs url,mandarini,2025-10-01T11:44:05Z,2025-10-02T09:35:45+00:00,1,21.86,True,6,6,1,223,3,0,3,MERGED
39166,Chore/direct upgrade prompts to support based on flag,joshenlim,2025-10-01T11:21:49Z,2025-10-01T20:46:07+00:00,3,9.4,True,203,114,16,1646,4,1,5,MERGED
39164,Add flag for database upgrades,joshenlim,2025-10-01T09:25:44Z,2025-10-01T18:29:21+00:00,1,9.06,True,11,3,3,360,4,0,4,MERGED
39162,chore: deprecate additional daily stats blocks,kevcodez,2025-10-01T09:13:26Z,2025-10-02T07:37:51+00:00,1,22.41,True,28,8,2,259,3,0,3,MERGED
