number,title,author,createdAt,closedOrMergedAt,reviewsCount,hoursOpen,merged,additions,deletions,changedFiles,bodyLength,issueCommentsCount,reviewThreadsCount,interactionsCount,finalReviewState
16899,Version Packages,github-actions,2025-10-05T22:00:57Z,2025-10-05T23:11:05+00:00,1,1.17,True,8,7,4,381,0,0,0,MERGED
16883,docs: update one more link to the packages page,benmccann,2025-10-02T20:07:16Z,2025-10-03T03:29:55+00:00,1,7.38,True,1,1,1,0,3,0,3,MERGED
16877,Version Packages,github-actions,2025-10-01T10:27:15Z,2025-10-01T16:07:13+00:00,1,5.67,True,14,22,7,601,1,0,1,MERGED
16874,fix: update  error message to clarify usage with radio inputs,yuki0418,2025-09-30T23:04:06Z,2025-10-01T15:56:32+00:00,6,16.87,True,40,10,10,963,3,3,6,MERGED
16872,fix: missing title warning for buttons and anchor tags,jakubkolesar,2025-09-30T09:56:58Z,2025-09-30T15:46:58+00:00,3,5.83,True,19,8,8,673,3,2,5,MERGED
16866,fix: merge batches,Rich-Harris,2025-09-29T19:06:22Z,2025-09-30T13:57:22+00:00,7,18.85,True,208,144,8,1442,5,3,8,MERGED
16864,fix: preserve tuple type in `$state.snapshot`,Jungzl,2025-09-29T03:21:19Z,2025-10-01T16:04:03+00:00,2,60.71,True,23,14,3,172,3,1,4,MERGED
16863,fix: coerce nullish `<title>` to empty string,Ocean-OS,2025-09-28T22:15:14Z,2025-09-29T15:04:57+00:00,1,16.83,True,30,1,4,673,2,0,2,MERGED
16862,fix: wrap async `children` in `$$renderer.async`,Ocean-OS,2025-09-28T21:53:00Z,2025-09-29T15:05:13+00:00,1,17.2,True,23,1,5,661,2,0,2,MERGED
16861,docs: remove reference to SSR being synchronous,Conduitry,2025-09-28T18:39:20Z,2025-09-28T21:38:18+00:00,1,2.98,True,0,2,1,865,3,0,3,MERGED
16857,fix: allow await in svelte boundary without pending,yuki0418,2025-09-27T09:33:37Z,2025-10-01T10:26:14+00:00,1,96.88,True,21,2,4,708,3,0,3,MERGED
16855,fix: check boundary `pending` attribute at runtime on server,Ocean-OS,2025-09-27T04:38:57Z,2025-10-01T16:03:50+00:00,1,107.41,True,55,13,5,680,3,0,3,MERGED
16838,chore: simplify batch logic,Rich-Harris,2025-09-25T01:57:25Z,2025-09-25T18:36:47+00:00,1,16.66,True,17,31,4,655,2,0,2,MERGED
16834,fix: async `class:` + spread attributes were compiled into sync server-side code,7nik,2025-09-24T14:13:29Z,2025-09-24T15:35:24+00:00,1,1.37,True,12,1,4,672,2,0,2,MERGED
16830,chore: fix typos,AaronAjose,2025-09-24T07:01:14Z,2025-09-24T15:32:59+00:00,3,8.53,True,1,1,1,49,3,1,4,MERGED
16827,docs: await expressions follow up,teemingc,2025-09-24T00:13:41Z,2025-09-24T15:34:05+00:00,1,15.34,True,1,1,1,694,5,0,5,MERGED
16824,Version Packages,github-actions,2025-09-23T21:14:12Z,2025-09-24T17:00:20+00:00,1,19.77,True,14,22,7,636,1,0,1,MERGED
16823,fix: depend on reads of deriveds created within reaction (async mode),dummdidumm,2025-09-23T18:11:53Z,2025-09-23T21:13:16+00:00,1,3.02,True,119,5,6,1546,2,0,2,MERGED
16822,docs: update await expressions documentation,Rich-Harris,2025-09-23T16:30:35Z,2025-09-23T18:56:08+00:00,5,2.43,True,21,19,1,74,3,5,8,MERGED
16821,fix: SSR scoped classes for <select value> elements,LeeWxx,2025-09-23T14:13:59Z,2025-09-24T16:35:51+00:00,4,26.36,True,172,66,9,1082,6,3,9,MERGED
16820,fix: use SSR format compatible with nginx SSI for props.id,brittharr,2025-09-23T10:44:14Z,2025-09-23T12:55:46+00:00,1,2.19,True,7,2,3,712,2,0,2,MERGED
16818,Version Packages,github-actions,2025-09-23T10:05:40Z,2025-09-23T12:57:46+00:00,1,2.87,True,10,12,5,480,0,0,0,MERGED
16817,fix: allow `{@html await ...}` and async snippets on the server,Ocean-OS,2025-09-23T06:05:41Z,2025-09-23T10:04:45+00:00,1,3.98,True,25,1,7,673,2,0,2,MERGED
16807,Version Packages,github-actions,2025-09-21T19:52:41Z,2025-09-21T23:34:51+00:00,1,3.7,True,8,7,4,391,0,0,0,MERGED
16806,fix: restore hydration state after `await` in `<script>`,Rich-Harris,2025-09-21T16:34:33Z,2025-09-21T19:51:41+00:00,1,3.29,True,99,7,8,861,2,0,2,MERGED
16801,Version Packages,github-actions,2025-09-19T18:04:36Z,2025-09-19T23:39:51+00:00,1,5.59,True,10,12,5,407,0,0,0,MERGED
16797,fix: async hydration,Rich-Harris,2025-09-18T18:11:32Z,2025-09-19T23:36:31+00:00,14,29.42,True,546,509,34,1753,4,11,15,MERGED
16792,docs: Promote Storybook testing to h2,shilman,2025-09-18T05:22:32Z,2025-10-01T16:05:53+00:00,2,322.72,True,3,3,1,1079,8,1,9,MERGED
16789,Version Packages,github-actions,2025-09-18T01:07:10Z,2025-09-18T02:31:40+00:00,1,1.41,True,10,12,5,446,1,0,1,MERGED
16774,Version Packages,github-actions,2025-09-15T17:27:01Z,2025-09-17T21:54:19+00:00,1,52.45,True,12,12,5,432,1,0,1,MERGED
16773,"fix: correctly SSR hidden=""until-found""",7nik,2025-09-15T15:27:19Z,2025-09-15T17:24:31+00:00,1,1.95,True,13,1,5,661,2,0,2,MERGED
16771,chore: remove analysis.state.title,Rich-Harris,2025-09-15T13:24:09Z,2025-09-15T16:08:47+00:00,1,2.74,True,2,20,6,14,2,0,2,MERGED
