number,title,author,createdAt,closedOrMergedAt,reviewsCount,hoursOpen,merged,additions,deletions,changedFiles,bodyLength,issueCommentsCount,reviewThreadsCount,interactionsCount,finalReviewState
10416,docs(docker): make host network mode the default,bt90,2025-09-29T13:18:47Z,2025-09-29T19:20:45+00:00,1,6.03,True,17,61,1,218,3,0,3,MERGED
10399,build: update GitHub actions,mrclmr,2025-09-18T12:14:23Z,2025-09-22T05:50:09+00:00,1,89.6,True,41,41,5,206,0,0,0,MERGED
10398,fix(syncthing): do not perform CPU benchmark on startup unless logging enabled,pixelspark,2025-09-17T20:56:15Z,2025-09-19T05:17:10+00:00,2,32.35,True,6,2,1,594,5,1,6,MERGED
10397,fix(db): only perform foreign key checking when a migration was applied,pixelspark,2025-09-17T20:44:58Z,2025-09-18T12:22:35+00:00,1,15.63,True,7,5,1,1348,3,0,3,MERGED
10383,chore(sqlite): use normalised tables for file names and versions,calmh,2025-09-10T08:23:27Z,2025-09-12T09:27:41+00:00,14,49.07,True,332,72,12,1338,8,5,13,MERGED
10381,chore: clean up migrated database,calmh,2025-09-09T15:22:15Z,2025-09-10T10:23:35+00:00,1,19.02,True,26,27,1,183,0,0,0,MERGED
10380,chore(ursrv): update regex patterns for Syncthing-Fork entries,Catfriend1,2025-09-09T10:03:33Z,2025-09-09T12:34:12+00:00,1,2.51,True,2,1,1,108,1,0,1,MERGED
10375,build: trigger nightly build only on syncthing repo,aminvakil,2025-09-07T08:01:30Z,2025-09-07T12:03:33+00:00,1,4.03,True,1,0,1,462,0,0,0,MERGED
10361,chore(model): don't check file availability early on sync,imsodin,2025-09-04T20:41:50Z,2025-09-05T11:18:44+00:00,2,14.62,False,0,15,2,195,2,1,3,CLOSED
10354,chore(slogutil): add configurable logging format (fixes #10352),calmh,2025-09-04T08:54:18Z,2025-09-05T08:52:50+00:00,3,23.98,True,122,58,8,800,3,1,4,MERGED
10348,fix(model): earlier free-space check (fixes #10347),calmh,2025-09-04T06:09:58Z,2025-09-04T16:53:31+00:00,2,10.73,True,17,13,1,261,0,1,1,MERGED
10339,fix(db): only vacuum database on startup when a migration script was actually run,pixelspark,2025-09-02T17:44:26Z,2025-09-02T19:03:22+00:00,1,1.32,True,1,1,1,502,0,0,0,MERGED
10333,docs: add DCO requirement to contribution guidelines,calmh,2025-09-01T12:56:59Z,2025-09-02T06:24:03+00:00,1,17.45,True,47,0,1,60,2,0,2,MERGED
10332,fix(model): correctly handle block-aligned empty sparse files,calmh,2025-09-01T12:22:23Z,2025-09-01T20:01:29+00:00,1,7.65,True,9,5,1,217,1,0,1,MERGED
10330,fix(syncthing): apply folder migrations with temporary API/GUI server,calmh,2025-09-01T07:30:11Z,2025-09-01T20:10:48+00:00,1,12.68,True,65,41,5,510,1,0,1,MERGED
