number,title,author,createdAt,closedOrMergedAt,reviewsCount,hoursOpen,merged,additions,deletions,changedFiles,bodyLength,issueCommentsCount,reviewThreadsCount,interactionsCount,finalReviewState
19057,Add agentic workflow issue-triage,philipp-spiess,2025-10-06T09:12:26Z,2025-10-06T10:24:51+00:00,3,1.21,True,3392,0,3,783,2,6,8,MERGED
19056,Update globby 14.1.0 → 15.0.0 (major),depfu,2025-10-06T03:41:00Z,2025-10-06T09:14:31+00:00,1,5.56,True,15,15,2,1912,0,0,0,MERGED
19049,Update eslint 9.35.0 → 9.36.0 (minor),depfu,2025-10-03T14:57:39Z,2025-10-03T16:35:07+00:00,1,1.62,True,90,90,3,4244,1,0,1,MERGED
19038,Prepare v3.4.18 release,thecrypticace,2025-09-30T20:47:56Z,2025-10-01T13:45:30+00:00,1,16.96,True,14,9,4,0,3,0,3,MERGED
19037,Prepare v4.1.14 release,thecrypticace,2025-09-30T20:45:20Z,2025-10-01T15:48:02+00:00,1,19.05,True,81,43,25,0,0,0,0,MERGED
19036,Update all of nextjs 15.5.2 → 15.5.4 (patch),depfu,2025-09-30T16:56:20Z,2025-09-30T19:21:14+00:00,1,2.42,True,60,60,3,3917,2,0,2,MERGED
19035,Update tar 7.4.3 → 7.5.1 (minor),depfu,2025-09-30T15:50:46Z,2025-09-30T18:53:29+00:00,1,3.05,True,10,18,2,1771,1,0,1,MERGED
19033,Update @playwright/test 1.55.0 → 1.55.1 (patch),depfu,2025-09-30T15:25:43Z,2025-09-30T18:52:43+00:00,1,3.45,True,18,18,2,2125,1,0,1,MERGED
19031,Ensure first class inside className in React is migrated,govizlora,2025-09-29T22:45:50Z,2025-09-30T15:13:14+00:00,1,16.46,True,30,7,3,1032,1,0,1,MERGED
19030,v3: Remove irrelevant utility rules when matching important classes,thecrypticace,2025-09-29T20:05:05Z,2025-09-29T22:11:09+00:00,1,2.1,True,158,1,3,581,0,0,0,MERGED
19029,Update jiti 2.5.1 → 2.6.0 (minor),depfu,2025-09-29T12:41:08Z,2025-09-29T13:51:45+00:00,1,1.18,True,100,100,2,2441,1,0,1,MERGED
19028,Show version mismatch when running upgrade tool,RobinMalfait,2025-09-29T11:29:31Z,2025-09-29T14:21:44+00:00,5,2.87,True,290,1,7,1487,0,1,1,MERGED
19026,Add `Upgrading from Tailwind CSS v…` when running upgrade tool,RobinMalfait,2025-09-29T09:41:54Z,2025-09-29T13:59:55+00:00,1,4.3,True,35,32,4,388,0,0,0,MERGED
19010,Update dedent 1.6.0 → 1.7.0 (minor),depfu,2025-09-26T17:35:37Z,2025-09-26T18:42:26+00:00,1,1.11,True,16,16,5,1633,1,0,1,MERGED
19009,Update eslint 9.33.0 → 9.35.0 (minor),depfu,2025-09-26T17:15:53Z,2025-09-26T18:39:44+00:00,1,1.4,True,113,102,3,6572,1,0,1,MERGED
19008,Update all of nextjs 15.4.7 → 15.5.2 (minor),depfu,2025-09-26T17:00:37Z,2025-09-26T18:57:13+00:00,1,1.94,True,62,73,3,1494,1,0,1,MERGED
19007,Update bun 1.2.20 → 1.2.22 (patch),depfu,2025-09-26T16:30:32Z,2025-09-29T09:16:06+00:00,1,64.76,True,53,53,3,1166,2,0,2,MERGED
19005,Update @types/semver 7.7.0 → 7.7.1 (patch),depfu,2025-09-26T16:00:35Z,2025-09-26T18:39:32+00:00,1,2.65,True,6,6,2,1175,1,0,1,MERGED
19003,Update @types/react 19.1.9 → 19.1.13 (patch),depfu,2025-09-26T15:30:30Z,2025-09-26T18:39:22+00:00,1,3.15,True,22,22,4,1177,4,0,4,MERGED
18988,Add Maud templating support,RobinMalfait,2025-09-24T09:56:17Z,2025-09-24T11:33:01+00:00,1,1.61,True,221,1,4,419,0,0,0,MERGED
18971,Update all pnpm dependencies (2025-09-20),depfu,2025-09-20T06:40:46Z,2025-09-22T09:11:39+00:00,1,50.51,True,344,318,9,1213,1,0,1,MERGED
18960,Bump Prettier,RobinMalfait,2025-09-17T18:17:59Z,2025-09-18T09:17:29+00:00,1,14.99,True,17,32,4,87,0,3,3,MERGED
18948,Use `default` export condition for `@tailwindcss/vite`,bvandercar-vt,2025-09-16T16:40:10Z,2025-09-16T19:04:13+00:00,1,2.4,True,2,1,2,483,2,0,2,MERGED
18947,Bump napi toolchain to 3.3,philipp-spiess,2025-09-16T15:44:56Z,2025-09-19T15:08:41+00:00,1,71.4,True,691,553,7,995,0,0,0,MERGED
18940,Add plugin option documentation to the postcss plugin readme,thecrypticace,2025-09-15T20:59:42Z,2025-09-18T17:00:35+00:00,5,68.01,True,90,0,1,151,0,4,4,MERGED
18938,Fix native ESM config loading in v3,thecrypticace,2025-09-15T19:49:48Z,2025-09-16T18:03:09+00:00,5,22.22,True,164,45,9,888,0,2,2,MERGED
18918,Show Lightning CSS warnings when optimizing/minifying in production,RobinMalfait,2025-09-11T12:55:23Z,2025-09-12T10:27:23+00:00,4,21.53,True,63,0,3,1478,4,2,6,MERGED
