number,title,author,createdAt,closedOrMergedAt,reviewsCount,hoursOpen,merged,additions,deletions,changedFiles,bodyLength,issueCommentsCount,reviewThreadsCount,interactionsCount,finalReviewState
4464,Move version info. to appropriate ALTO element,david-russo,2025-10-09T15:27:41Z,2025-10-11T06:24:11+00:00,5,38.94,True,3,4,1,275,0,1,1,MERGED
4462,chore: fix cyrillic typo,0xflotus,2025-10-01T21:29:42Z,2025-10-02T04:47:05+00:00,1,7.29,True,2,2,1,0,0,0,0,MERGED
4461,Update checkout action,rettinghaus,2025-10-01T17:22:30Z,2025-10-01T19:50:45+00:00,1,2.47,True,14,14,13,0,0,0,0,MERGED
4452,Cmake optimization with warp2,zdenop,2025-08-10T20:27:02Z,2025-08-15T21:00:54+00:00,1,120.56,True,867,46,10,615,5,0,5,MERGED
4438,Modernize some for loops and fix some signed/unsigned issues,stweil,2025-07-06T10:19:34Z,2025-07-06T20:03:25+00:00,1,9.73,True,32,30,4,0,1,3,4,MERGED
4437,Fix and improve configuration for cmake builds,stweil,2025-07-05T17:30:07Z,2025-07-06T04:31:07+00:00,1,11.02,True,10,7,3,0,0,0,0,MERGED
4436,Simplify code for osdetect,stweil,2025-07-05T17:27:39Z,2025-07-06T04:30:33+00:00,1,11.05,True,10,23,2,347,0,0,0,MERGED
4423,Use links to the git history and online release notes instead of local ChangeLog,stweil,2025-05-25T07:10:43Z,2025-05-25T09:22:34+00:00,1,2.2,True,4,463,1,0,1,0,1,MERGED
4419,Remove unused include statements for tprintf.h,stweil,2025-05-01T08:01:02Z,2025-05-01T09:35:51+00:00,2,1.58,True,0,5,5,0,0,0,0,MERGED
4418,Avoid error in pixSauvolaBinarizeTiled (issue #4390),stweil,2025-04-27T12:54:31Z,2025-04-27T17:52:01+00:00,1,4.96,True,4,1,1,159,0,0,0,MERGED
4417,Fix function addAvailableLanguages (issue #4416),stweil,2025-04-27T06:28:34Z,2025-04-27T12:09:23+00:00,1,5.68,True,3,4,1,0,0,0,0,MERGED
4386,Fix duplicated IDs in ALTO XML when multiple pages are present,jankal,2025-01-25T13:17:56Z,2025-05-01T08:02:02+00:00,3,2298.74,True,20,6,1,593,3,1,4,MERGED
4383,Fix building elf_aux_info() support on OpenBSD/arm,brad0,2025-01-16T02:47:42Z,2025-01-17T10:55:52+00:00,2,32.14,True,0,1,1,74,0,0,0,MERGED
4365,Check if datadir exists: fixes #4364,zdenop,2024-12-02T19:31:34Z,2025-04-27T12:14:36+00:00,10,3496.72,False,4,0,1,88,0,1,1,CLOSED
4356,Make list classes templated,egorpugin,2024-11-22T00:54:49Z,2024-11-22T21:25:29+00:00,7,20.51,True,2900,3440,49,557,16,6,22,MERGED
4350,Remove Tensorflow support,stweil,2024-11-07T10:45:44Z,2024-11-07T12:40:43+00:00,3,1.92,True,3,2050,13,52,2,1,3,MERGED
4348,Fix and improve Windows installer,stweil,2024-11-06T18:33:42Z,2024-11-06T20:44:50+00:00,1,2.19,True,9,63,3,171,0,0,0,MERGED
4346,Add RISC-V V support,sunyuechi,2024-11-05T08:03:40Z,2024-11-07T21:13:58+00:00,16,61.17,True,149,0,7,180,7,8,15,MERGED
4345,Replace some tprintf by tesserr stream (fixes Windows compiler warnings),stweil,2024-11-03T09:29:21Z,2024-11-03T16:53:45+00:00,1,7.41,True,57,39,12,0,1,0,1,MERGED
4344,Support symbolic values for --oem and --psm options,stweil,2024-11-01T22:04:15Z,2024-11-02T06:01:00+00:00,1,7.95,True,85,35,1,23,0,0,0,MERGED
4341,Add GitHub action and Makefile target for Windows installer,stweil,2024-11-01T07:30:23Z,2024-11-02T06:00:33+00:00,10,22.5,True,2108,0,10,351,2,2,4,MERGED
4330,Modernize code for renderers and remove filename conversion for Windows,stweil,2024-10-22T14:52:37Z,2024-10-23T05:34:07+00:00,2,14.69,True,18,77,3,222,1,1,2,MERGED
4326,Replace deprecated runner macos-12 by macos-latest in GitHub actions,stweil,2024-10-17T06:47:18Z,2024-10-17T16:39:46+00:00,1,9.87,True,5,6,3,64,1,0,1,MERGED
4319,cmake: Correctly set the soversion based on SemVer properties,Conan-Kudo,2024-09-18T11:45:28Z,2024-09-19T13:18:08+00:00,1,25.54,True,1,1,1,489,1,0,1,MERGED
4314,Add C++ stream for log messages and use it in two debug messages,stweil,2024-09-03T14:35:47Z,2024-09-04T03:22:04+00:00,3,12.77,True,96,15,5,359,1,1,2,MERGED
4312,Remove excessive floating-point divides,heshpdx,2024-09-03T04:05:05Z,2024-10-01T11:11:21+00:00,5,679.1,False,18,10,4,258,16,8,24,CLOSED
4309,Fix performance and other issues reported by Codacy,stweil,2024-08-26T06:24:34Z,2024-08-26T11:16:09+00:00,1,4.86,True,45,49,12,121,2,0,2,MERGED
4308,Modernize code for list of available models,stweil,2024-08-25T17:03:50Z,2024-08-26T05:38:40+00:00,1,12.58,True,14,62,1,0,0,0,0,MERGED
4307,Replace access/_access by std::filesystem::exists,stweil,2024-08-25T15:27:26Z,2024-08-25T16:57:22+00:00,1,1.5,True,8,39,3,0,0,0,0,MERGED
4306,Update code for tprintf,stweil,2024-08-25T08:47:23Z,2024-09-03T13:42:03+00:00,2,220.91,True,33,28,2,154,0,1,1,MERGED
4303,Reduce clock syscalls,heshpdx,2024-08-22T18:12:10Z,2024-08-23T06:16:52+00:00,14,12.08,True,5,2,1,385,5,4,9,MERGED
4301,Set hOCR capabilities ocrp_dir and ocrp_lang unconditionally,stweil,2024-08-11T16:11:45Z,2024-08-12T07:10:32+00:00,1,14.98,True,2,2,1,72,1,0,1,MERGED
4283,Fix confidence output for the PAGE XML renderer,JKamlah,2024-07-12T09:30:26Z,2024-07-25T09:29:45+00:00,1,311.99,True,5,3,1,245,0,0,0,MERGED
4278,"Ignore illegal TESSDATA_PREFIX (not existing filesystem entry, issue #4277)",stweil,2024-07-03T15:49:06Z,2024-07-03T18:47:55+00:00,3,2.98,True,8,1,1,69,0,1,1,MERGED
4272,Make regular usage of CMAKE_INSTALL_LIBDIR and GNUInstallDirs,Zopolis4,2024-06-21T02:03:49Z,2024-06-21T11:09:20+00:00,2,9.09,True,9,11,2,170,9,0,9,MERGED
4266,Fix some issues which were reported by Codacy,stweil,2024-06-11T14:00:14Z,2024-06-11T15:52:58+00:00,1,1.88,True,39,56,11,0,3,4,7,MERGED
4259,Avoid FP overflow in NormEvidenceOf (fixes issue #4257),stweil,2024-06-09T08:02:14Z,2024-06-09T11:11:26+00:00,1,3.15,True,7,3,1,0,0,0,0,MERGED
4253,Make function Network::spec pure virtual,stweil,2024-05-28T10:44:27Z,2024-05-28T13:21:46+00:00,1,2.62,True,1,3,1,57,0,0,0,MERGED
4250,Replace strcpy and strncpy by new inline helper function,stweil,2024-05-24T08:14:54Z,2024-05-24T13:24:35+00:00,3,5.16,True,33,55,10,0,2,2,4,MERGED
4248,Fixes #4247: remove unnecessary nullptr checks,hribz,2024-05-23T07:29:55Z,2024-05-23T14:56:45+00:00,5,7.45,True,5,7,1,9,3,1,4,MERGED
4246,Fix some compiler warnings,stweil,2024-05-20T07:10:58Z,2024-05-20T10:50:00+00:00,3,3.65,True,20,2,2,0,0,1,1,MERGED
4245,Fix some compiler warnings,stweil,2024-05-19T20:47:32Z,2024-05-20T05:46:07+00:00,3,8.98,True,39,39,14,0,0,1,1,MERGED
4240,Fix setup of datadir on installations with Conda (issue #4230),stweil,2024-05-13T06:25:15Z,2024-05-15T14:56:23+00:00,6,56.52,True,3,4,1,0,0,1,1,MERGED
4236,Fix some issues which were reported by GitHub code scanning,stweil,2024-05-03T14:21:20Z,2024-05-03T15:34:15+00:00,1,1.22,True,7,5,1,85,0,0,0,MERGED
4229,Use `std::min` and `std::max` for min & max operations in `makerow.cpp::most_overlapping_row()`,sadra-barikbin,2024-04-25T17:22:17Z,2024-04-26T05:47:22+00:00,2,12.42,True,2,2,1,0,0,0,0,MERGED
4228,Remove an unused variable in `paragraphs.cpp::DetectParagraphs()`,sadra-barikbin,2024-04-25T17:19:12Z,2024-04-26T05:48:57+00:00,2,12.5,True,0,1,1,0,0,0,0,MERGED
4227,Fix a few typos in comments,sadra-barikbin,2024-04-25T17:15:37Z,2024-04-26T05:48:27+00:00,3,12.55,True,3,3,3,0,0,0,0,MERGED
4226,Simplify `GridSearch<...>` variables using typedef equivalents,sadra-barikbin,2024-04-25T17:10:50Z,2024-04-26T05:46:30+00:00,2,12.59,True,16,24,4,0,0,0,0,MERGED
4225,A few refactors in some files,sadra-barikbin,2024-04-25T09:58:46Z,2024-04-26T05:53:31+00:00,7,19.91,True,26,34,9,45,3,4,7,MERGED
4223,facilitate vectorization for generic build,heshpdx,2024-04-10T22:08:07Z,2024-04-16T17:28:55+00:00,9,139.35,True,26,1,1,687,8,2,10,MERGED
4220,Remove unsupported OpenCL code and related API functions,stweil,2024-04-04T07:24:36Z,2024-04-11T16:15:39+00:00,1,176.85,True,60,3900,19,0,2,0,2,MERGED
4215,Support training without lstmf files,stweil,2024-03-25T14:40:29Z,2024-04-24T08:32:47+00:00,11,713.87,True,27,1,1,205,6,5,11,MERGED
4214,PAGE XML renderer / export,JKamlah,2024-03-20T11:31:33Z,2024-04-19T19:09:47+00:00,25,727.64,True,1220,2,13,1014,7,22,29,MERGED
4206,Update .clang-format,AndersonMartins1,2024-03-09T16:41:50Z,2024-03-09T18:23:40+00:00,1,1.7,False,6,1,1,782,3,0,3,CLOSED
4204,Fix some performance issues which were reported by Coverity Scan,stweil,2024-03-09T10:53:29Z,2024-03-09T12:50:52+00:00,1,1.96,True,19,19,12,0,0,0,0,MERGED
4202,"Rename frk -> deu_latf (ISO 639-3, ISO 15924)",stweil,2024-03-07T10:28:34Z,2024-03-09T10:25:29+00:00,1,47.95,True,4,4,2,0,1,0,1,MERGED
4191,Fix some typos,stweil,2024-02-20T15:49:17Z,2024-02-22T06:55:34+00:00,1,39.1,True,17,17,16,0,2,0,2,MERGED
4189,Fix grey result of indexed PNG in pdfrenderer.,sjbronner,2024-02-10T23:16:35Z,2024-02-12T13:15:20+00:00,1,37.98,True,1,8,1,273,2,1,3,MERGED
4178,Fix a tiny typo in `publictypes.h`,sadra-barikbin,2024-01-11T11:06:50Z,2024-01-11T13:05:16+00:00,2,1.97,True,1,1,1,49,1,0,1,MERGED
4171,PDF Renderer: allow to specify an alternate image or a custom resolution.,phymbert,2023-12-19T00:05:21Z,2025-02-26T21:02:50+00:00,1,10460.96,False,247,4,6,748,13,1,14,CLOSED
4151,Move bail_out function before libtoolize check,STMiki,2023-10-25T15:47:33Z,2023-10-25T16:51:29+00:00,1,1.07,True,8,8,1,48,0,0,0,MERGED
4150,Send output of combine_tessdata -d to stdout instead of stderr. Fixes #4149,tfmorris,2023-10-23T23:50:39Z,2023-10-24T04:57:38+00:00,1,5.12,True,5,2,2,182,2,0,2,MERGED
4141,Fix loading of sublangs (regression),stweil,2023-10-05T14:25:50Z,2023-10-05T19:01:58+00:00,3,4.6,True,3,2,1,196,0,1,1,MERGED
4138,Update hocrrenderer.cpp  for solving the issue #4045,tusharv01,2023-10-05T07:35:50Z,2023-10-05T14:35:28+00:00,7,6.99,False,26,16,1,321,1,3,4,CLOSED
4136,Fix regression in layout detection since 5.0.0 (fixes issue #4014),stweil,2023-10-04T13:04:19Z,2023-10-05T06:10:44+00:00,1,17.11,True,4,4,1,147,0,0,0,MERGED
4133,Fix typo in stepblob.h,eltociear,2023-09-30T15:27:14Z,2023-09-30T18:30:15+00:00,1,3.05,True,1,1,1,23,0,0,0,MERGED
4124,initDSProfile: correct std::vector usage,stima,2023-09-12T14:47:11Z,2023-09-13T09:01:46+00:00,8,18.24,True,4,5,1,178,0,2,2,MERGED
4114,Optimize function ImageFind::FindImages,stweil,2023-08-08T08:50:08Z,2023-08-08T14:44:17+00:00,1,5.9,True,9,13,1,0,0,0,0,MERGED
