number,title,author,createdAt,closedOrMergedAt,reviewsCount,hoursOpen,merged,additions,deletions,changedFiles,bodyLength,issueCommentsCount,reviewThreadsCount,interactionsCount,finalReviewState
525,Update README.md,T1rth1,2024-04-28T16:45:16Z,2024-04-29T15:21:40+00:00,1,22.61,True,0,2,1,169,0,0,0,MERGED
512,Fix Grammar and remove errors,iShashank04,2023-08-14T08:28:38Z,2023-12-09T01:48:25+00:00,1,2801.33,False,7,7,2,461,3,3,6,CLOSED
510,my-contribution into the readmefile,DmGsOuNaK,2023-05-28T10:00:20Z,2023-08-16T00:10:42+00:00,1,1910.17,True,7,3,1,1148,0,0,0,MERGED
505,add SVG to favicon options,Rudxain,2022-12-24T02:25:54Z,2024-03-25T13:41:29+00:00,2,10979.26,True,2,0,1,392,3,0,3,MERGED
493,Fixed back to top button in readme.md,AndrickSilva,2022-10-09T08:29:56Z,2023-04-02T05:20:41+00:00,1,4196.85,False,1,1,1,800,2,0,2,CLOSED
484,Fix Grammar and remove errors,abhishekkmukherjee,2022-06-15T08:18:48Z,2023-01-07T15:44:24+00:00,1,4951.43,False,7,7,2,617,2,0,2,CLOSED
483,Update Broken link,Rafat97,2022-06-03T18:07:40Z,2022-06-03T19:58:05+00:00,1,1.84,True,1,1,1,494,0,0,0,MERGED
482,UPDATE,ozayman,2022-05-20T22:44:14Z,2022-06-03T19:58:23+00:00,1,333.24,True,1,1,1,461,0,0,0,MERGED
459,Noted TinyPNG isn't lossless,angleKH,2021-07-31T10:36:48Z,2022-06-03T19:59:48+00:00,2,7377.38,True,1,1,1,65,8,0,8,MERGED
443,Issue #441: Fixed the broken link.,imPranavKale,2021-04-15T17:33:42Z,2021-05-21T03:14:36+00:00,3,849.68,True,1,1,1,237,4,0,4,MERGED
435,onkar solved html markup issue,onkar95,2020-12-26T10:34:06Z,2021-03-21T15:49:58+00:00,1,2045.26,False,1,1,1,461,1,0,1,CLOSED
