number,title,author,createdAt,closedOrMergedAt,reviewsCount,hoursOpen,merged,additions,deletions,changedFiles,bodyLength,issueCommentsCount,reviewThreadsCount,interactionsCount,finalReviewState
1438,Move Godot to supported,ShalokShalom,2022-07-11T15:03:18Z,2022-07-13T18:52:38+00:00,2,51.82,True,7,6,1,127,1,1,2,MERGED
1387,feat: allow hardcoding of features via arguments to build script,Daxtorim,2022-03-11T21:01:32Z,2022-03-15T15:00:36+00:00,2,89.98,False,401,69,30,3750,1,1,2,CLOSED
1366,Spelling,jsoref,2022-02-07T00:33:16Z,2022-02-07T18:33:55+00:00,1,18.01,True,56,56,14,532,1,5,6,MERGED
1133,Update README.md,thelovekesh,2020-10-06T15:23:12Z,2021-06-12T03:51:49+00:00,3,5964.48,False,5,5,1,33,3,1,4,CLOSED
878,Update README.txt,GregBorrelly,2019-10-29T16:09:50Z,2019-12-05T12:08:09+00:00,1,883.97,False,2,2,1,42,3,0,3,CLOSED
742,Improve build script & fonts in distr,thundernixon,2019-04-05T21:40:13Z,2019-04-06T15:04:06+00:00,1,17.4,True,110,406,32,282,2,0,2,MERGED
716,Rename HowToInstall.txt to HowToInstall.md,vasilescur,2019-02-15T00:16:36Z,2019-10-20T17:41:48+00:00,1,5945.42,False,1,1,1,15,8,0,8,CLOSED
518,Add link to terminal apps,yanick,2017-10-29T15:42:02Z,2017-11-02T13:55:18+00:00,1,94.22,False,19,13,1,60,5,1,6,CLOSED
497,Update support for iTerm2,mauroporras,2017-09-27T15:47:36Z,2017-09-28T07:55:04+00:00,1,16.12,True,2,2,1,0,1,1,2,MERGED
374,add package.json so it can be published to npm,MasseGuillaume,2017-03-01T09:51:53Z,2018-03-15T17:00:23+00:00,6,9103.14,True,25,0,1,8,22,3,25,MERGED
363,support for Scribus DTP app + 'hack' coding font,JLuc,2017-02-09T11:15:21Z,2019-01-02T16:22:36+00:00,1,16613.12,False,2,0,1,0,3,0,3,CLOSED
