number,title,author,createdAt,closedOrMergedAt,reviewsCount,hoursOpen,merged,additions,deletions,changedFiles,bodyLength,issueCommentsCount,reviewThreadsCount,interactionsCount,finalReviewState
1377,Panic deletes linux [LINUX HARDMODE],Kris123454,2025-09-22T08:28:44Z,2025-09-22T16:21:27+00:00,1,7.88,False,2,981,1,28,2,1,3,CLOSED
1374,"🎉💃🎈 Make linux 21, no 41, no 67% faster during tasks when playing Labubu Phonk. 🎉💃🎈",stella23456789,2025-09-21T22:18:45Z,2025-09-22T16:21:25+00:00,5,18.04,False,1,18,1,750,4,0,4,CLOSED
1373,Update panic.c to hint at a better course of action for developers.,i-am-called-glitchy,2025-09-21T11:48:30Z,2025-09-22T16:21:25+00:00,4,28.55,False,2,2,1,102,1,0,1,CLOSED
1372,this panic is pissing me off,b-nn,2025-09-21T11:35:30Z,2025-09-22T16:21:24+00:00,4,28.77,False,45,2,1,0,9,0,9,CLOSED
1371,"Replace all instances of ""Linux"" with ""GNU/Linux"" throughout the repository",Soccera1,2025-09-21T03:50:45Z,2025-09-22T16:21:24+00:00,1,36.51,False,16835,16835,9177,1265,4,0,4,CLOSED
1370,feat: get rid of all other non-Ubuntu versions,josiauh,2025-09-21T01:15:19Z,2025-09-22T16:21:23+00:00,5,39.1,False,3,0,1,119,4,0,4,CLOSED
1369,Add don't waste Linus's time to the code of conduct,Imold,2025-09-20T23:28:22Z,2025-09-22T16:21:23+00:00,6,40.88,False,6,0,2,118,2,0,2,CLOSED
1368,Implement Brodie Robertson,dopreo,2025-09-20T21:25:27Z,2025-09-22T16:21:22+00:00,11,42.93,False,8,1,3,541,7,1,8,CLOSED
1366,feat: Implement girlfriend_finder.c for enhanced kernel happiness,ZhymabekRoman,2025-09-20T20:40:20Z,2025-09-22T16:21:21+00:00,6,43.68,False,64,4,5,1994,3,1,4,CLOSED
1365,Update LICENSE,RickAstly,2025-09-20T20:38:38Z,2025-09-22T16:21:21+00:00,1,43.71,False,674,4533,24,244,2,0,2,CLOSED
1364,Make Linux 67% faster,stella23456789,2025-09-20T19:36:49Z,2025-09-22T16:21:20+00:00,11,44.74,False,1,18,1,56,10,0,10,CLOSED
1363,Add Scratch to the Linux kernel,Belu-cat,2025-09-20T19:31:29Z,2025-09-22T16:21:20+00:00,7,44.83,False,27,0,2,1397,5,1,6,CLOSED
1362,Replace tools with rust_tools to improve security,M-UnityDev,2025-09-20T18:41:45Z,2025-09-22T16:21:19+00:00,4,45.66,False,0,0,8453,0,3,0,3,CLOSED
1359,Add “The Life of a Showgirl”,nin0-dev,2025-09-20T14:26:18Z,2025-09-22T16:21:19+00:00,5,49.92,False,25,0,1,125,4,0,4,CLOSED
1358,Seeking a cute girl to inspire a new monotheistic faith as the flawless goddess,dumpfs,2025-09-20T14:04:54Z,2025-09-21T09:30:17+00:00,3,19.42,False,16,0,1,339,5,0,5,CLOSED
1357,feat: Improve syscall even more by implementing Totya,Melishy,2025-09-20T14:01:13Z,2025-09-22T16:21:18+00:00,1,50.33,False,102,0,1,155,3,0,3,CLOSED
1356,i am not very creative but i am single!!,ayla6,2025-09-20T06:42:51Z,2025-09-22T16:21:17+00:00,1,57.64,False,1,0,1,384,27,0,27,CLOSED
1355,"puppygirl looking for a dom gf, doesn’t seem included in kernel",vmfunc,2025-09-19T18:04:37Z,2025-09-22T16:21:17+00:00,23,70.28,False,1,1,1,1133,34,1,35,CLOSED
1352,Update braille_console.c,WHO-AM-I-404,2025-09-14T01:47:22Z,2025-09-18T14:28:48+00:00,1,108.69,False,321,306,1,1678,2,0,2,CLOSED
1351,Shame on them riggers who tried to run game on some riggers,zaphida,2025-09-12T12:45:27Z,2025-09-22T16:21:16+00:00,1,243.6,False,1,1,1,0,3,0,3,CLOSED
1350,"I just checked with Linus, he said this was good to merge",Gizmotronn,2025-09-12T12:14:49Z,2025-09-22T16:21:15+00:00,9,244.11,False,25,1690,1,19,15,0,15,CLOSED
1349,I AM NEW TO GITHUB AND I HAVE ALOT TO SAY,danemadsen,2025-09-12T06:02:04Z,2025-09-22T16:22:10+00:00,11,250.34,False,0,0,1,468,21,0,21,CLOSED
1347,vsc config,HongyiHao-SXIT,2025-09-09T09:16:10Z,2025-09-22T16:22:09+00:00,2,319.1,False,499,332,12,0,1,0,1,CLOSED
1345,Update README:change linux to gnu+linux,sa21x-ops,2025-09-08T01:46:31Z,2025-09-22T16:22:09+00:00,4,350.59,False,1,1,1,150,4,0,4,CLOSED
1342,panic?,tokyocplusplus,2025-09-05T22:20:46Z,2025-09-22T16:22:08+00:00,3,402.02,False,1,0,1,64,7,0,7,CLOSED
1338,makes this script a lot better with more verbose logging,hiyaaawd,2025-09-04T20:01:12Z,2025-09-22T16:22:07+00:00,2,428.35,False,1,42,1,20,3,0,3,CLOSED
1337,feat: Improve syscall by implementing Labubu,hinakumo,2025-09-04T10:09:56Z,2025-09-22T16:22:06+00:00,147,438.2,False,37,0,1,72,170,3,173,CLOSED
1329,staging: axis-fifo: fix line over 80 characters warnings,Nonanti,2025-08-28T10:59:12Z,2025-09-22T16:22:05+00:00,1,605.38,False,4,2,1,972,2,0,2,CLOSED
1324,Rename README to anjan,anjankumarcr,2025-08-28T06:20:18Z,2025-09-22T16:22:04+00:00,2,610.03,False,0,0,1,0,1,0,1,CLOSED
1323,Create `README.md` and add some more inline code,Naksh-Rathore,2025-08-28T02:46:16Z,2025-09-22T16:22:04+00:00,1,613.6,False,18,0,1,112,1,0,1,CLOSED
1321,Updated Readme for clarity and simplicity,Lucas6412f1,2025-08-27T11:37:59Z,2025-09-22T16:22:03+00:00,2,628.73,False,24,13,1,0,1,0,1,CLOSED
1312,uwu-ify readme.md,eepyfemboi,2025-08-03T23:07:11Z,2025-09-22T16:22:01+00:00,35,1193.25,False,12,12,1,96,39,2,41,CLOSED
1311,Delete virus gcc pls,dmanager343434d,2025-08-01T12:13:08Z,2025-09-22T16:22:53+00:00,1,1252.16,False,0,520,2,0,8,0,8,CLOSED
1303,Deleted bitcoin and added GovnFS 3 🇷🇺  support 🇷🇺 ,xi816,2025-07-25T15:27:30Z,2025-09-22T16:22:51+00:00,5,1416.92,False,9,95,2,9,12,0,12,CLOSED
1300,USB: serial: option: add SIMCom SIM8230x support,mr-simcom,2025-07-23T14:13:01Z,2025-09-22T16:22:51+00:00,1,1466.16,False,40,0,1,1241,1,0,1,CLOSED
1295,Create notarickroll.html,GGsuii99,2025-07-14T18:07:45Z,2025-09-22T16:22:50+00:00,12,1678.25,False,29,0,1,353,9,1,10,CLOSED
1293,"sched/eevdf: propagate min slice when {throttle, unthrottle}_cfs_rq",jemmy512,2025-07-13T04:55:14Z,2025-09-22T16:22:49+00:00,2,1715.46,False,18,0,1,0,1,1,2,CLOSED
1290,Make the kernel cute,nambona890,2025-07-08T09:30:40Z,2025-09-22T16:22:49+00:00,320,1830.87,False,231,2,13,233,232,16,248,CLOSED
1281,Add meself,RTX3080Ti-Official,2025-06-30T18:39:50Z,2025-09-22T16:22:46+00:00,1,2013.72,False,1075,0,1,40,1,0,1,CLOSED
1267,optimized sub-optimal code,primewk,2025-06-17T13:18:04Z,2025-09-22T16:22:43+00:00,2,2331.08,False,0,0,0,11,3,0,3,CLOSED
1263,Create linux operation,sudharsanraja123,2025-06-14T05:51:42Z,2025-09-22T16:22:43+00:00,2,2410.52,False,1,0,1,32,3,0,3,CLOSED
1261,optimized kernel/exit.c by adding NAGIEV,gmehdiev,2025-06-08T19:48:42Z,2025-09-22T16:22:42+00:00,90,2540.57,False,111,1926,2,40,110,4,114,CLOSED
1253,Fix a typo in line 1296 of fs/ntfs3/super.c: recommened --> recommended,zaikunzhang,2025-06-01T16:11:07Z,2025-09-22T16:23:38+00:00,2,2712.21,False,1,1,1,128,1,0,1,CLOSED
1248,Removed some unnecessary files,erenkulaksiz,2025-05-25T23:23:40Z,2025-09-22T16:23:37+00:00,4,2873.0,False,0,0,0,0,11,0,11,CLOSED
1247,https://github.com/torvalds/linux/pull/20,flUCtoNE,2025-05-25T14:26:19Z,2025-05-26T17:31:14+00:00,20,27.08,False,0,0,1,0,25,0,25,CLOSED
1242,Update lock_events.c,sametuca,2025-05-20T23:54:36Z,2025-05-24T21:14:46+00:00,2,93.34,False,6,5,1,356,1,0,1,CLOSED
1239,Create SECURITY.md,unknown,2025-05-19T09:48:55Z,2025-06-24T11:26:59+00:00,1,865.63,False,21,0,1,0,2,0,2,CLOSED
1232,Fixed grammer,mjh-TU,2025-05-13T16:03:53Z,2025-09-22T16:23:34+00:00,1,3168.33,False,66,66,1,0,3,1,4,CLOSED
1228,switched to windows 🥇 ,sanchit-lamba,2025-05-10T09:37:40Z,2025-09-22T16:23:33+00:00,7,3246.76,False,0,0,0,50,49,0,49,CLOSED
1220,Typos,aba7568,2025-05-05T21:20:35Z,2025-09-22T16:23:31+00:00,1,3355.05,False,2,2,1,67,1,0,1,CLOSED
1218,media: pci: Added support for Apple FaceTime HD (Broadcom BCM15700A0) Camera,Developer1010x,2025-05-02T13:56:05Z,2025-09-22T16:23:30+00:00,1,3434.46,False,705406,279522,13340,267,1,0,1,CLOSED
1215,Update Makefile,Riju-Rahaman,2025-04-30T15:54:47Z,2025-09-22T16:23:30+00:00,1,3480.48,False,1,1,1,0,1,0,1,CLOSED
1211,Added SIMCom module 8230G,L3B0W5K1,2025-04-28T20:41:28Z,2025-09-22T16:23:29+00:00,2,3523.7,False,1,0,1,0,1,0,1,CLOSED
1207,Update README,kunal1601,2025-04-22T22:13:45Z,2025-04-29T07:10:24+00:00,1,152.94,False,1,0,1,33,6,0,6,CLOSED
1201,Update and rename README to README.md,Codewithajoydas,2025-04-17T11:27:51Z,2025-09-22T16:23:27+00:00,1,3796.93,False,23,18,2,511,7,0,7,CLOSED
1199,typo: fix asm path description,felipee-monteiro,2025-04-11T13:59:50Z,2025-09-22T16:23:27+00:00,1,3938.39,False,1,1,1,20,1,0,1,CLOSED
1195,Correct single-character typo in idpf kconfig,muesli4brekkies,2025-04-05T15:57:47Z,2025-09-22T16:23:26+00:00,4,4080.43,False,1,1,1,52,2,0,2,CLOSED
1194,Update device_id.rs,Markusssssu,2025-04-04T13:15:40Z,2025-05-04T19:04:24+00:00,1,725.81,False,57,55,1,0,1,0,1,CLOSED
1189,Remove useless code,mlodyskiny,2025-03-30T10:57:43Z,2025-04-02T20:32:08+00:00,1,81.57,False,0,0,0,256,1,0,1,CLOSED
1184,Typo file vs directory,xparticle,2025-03-26T17:10:45Z,2025-09-22T16:55:25+00:00,1,4319.74,False,1,1,1,100,1,0,1,CLOSED
1183,fix readme,mpt-html,2025-03-25T16:25:00Z,2025-09-22T16:55:24+00:00,7,4344.51,False,6,7,1,56,2,2,4,CLOSED
1179,Perdão o incomodo ,Henrytos,2025-03-22T02:40:43Z,2025-04-02T23:37:08+00:00,1,284.94,False,1,18,1,87,5,0,5,CLOSED
1172,Dev/alex/fix huge ptep get and clear v1 manual,AlexGhiti,2025-03-16T08:59:19Z,2025-09-22T16:55:24+00:00,2,4567.93,False,11066,31,114,0,1,0,1,CLOSED
1171,Begin Rewrite in Java to be truly Enterprise:tm:-ready.,bitfl0wer,2025-03-15T23:25:43Z,2025-09-22T16:55:23+00:00,1,4577.49,False,0,0,0,2321,42,0,42,CLOSED
1170,Rename to Winux,llvm-chan,2025-03-15T04:49:26Z,2025-09-22T16:55:23+00:00,3,4596.1,False,8932,8932,954,24,21,0,21,CLOSED
1168,Update README ,hexad3c1mal,2025-03-10T06:18:19Z,2025-09-22T16:55:22+00:00,3,4714.62,False,69,18,2,275,1,0,1,CLOSED
1167,Update ll_temac_main.c,hello672fz,2025-03-07T13:27:40Z,2025-09-22T16:55:22+00:00,2,4779.46,False,2,2,1,20,1,0,1,CLOSED
1164,Create TODO.md,buahaha,2025-03-02T00:21:44Z,2025-09-22T16:55:21+00:00,3,4912.56,False,14,0,1,20,2,0,2,CLOSED
1161,Update core.c16,ajaykumarkuruva,2025-02-27T05:42:31Z,2025-03-01T09:09:45+00:00,2,51.45,False,3,0,2,4,2,0,2,CLOSED
1155,Update main.c with peace message during boot,Rennefeld,2025-02-21T02:07:19Z,2025-09-22T16:55:20+00:00,11,5126.8,False,1,0,1,394,11,1,12,CLOSED
1150,made code more efficient,ChickenMuggets,2025-02-18T11:53:55Z,2025-03-18T21:29:44+00:00,2,681.6,False,0,0,0,91,62,0,62,CLOSED
1137,misspelling,ronin49,2025-02-01T12:09:43Z,2025-09-22T16:55:17+00:00,19,5596.76,False,1,1,1,0,5,2,7,CLOSED
