number,title,author,createdAt,closedOrMergedAt,reviewsCount,hoursOpen,merged,additions,deletions,changedFiles,bodyLength,issueCommentsCount,reviewThreadsCount,interactionsCount,finalReviewState
2040,Update README.md,MrCoolGh,2025-02-09T16:25:08Z,2025-02-12T16:02:28+00:00,1,71.62,False,0,0,0,0,0,0,0,CLOSED
2039,Update README.md,MrCoolGh,2025-02-09T16:21:09Z,2025-02-12T16:02:41+00:00,1,71.69,False,0,0,0,0,2,0,2,CLOSED
2030,"""Italiano"" is ""italian"" in italian :)",gianpaj,2024-12-20T19:35:07Z,2025-02-12T16:04:13+00:00,1,1292.48,True,11,11,1,0,4,0,4,MERGED
1200,¨a¨,EricVincon,2024-09-18T18:04:21Z,2024-09-27T04:20:59+00:00,1,202.28,False,1,1,1,14,0,0,0,CLOSED
1147,linked list visualization,MKarapiperakis,2024-06-30T10:51:26Z,2024-07-02T13:41:56+00:00,1,50.84,False,1050,0,3,0,0,0,0,CLOSED
1141,Update README.md,azarboon,2024-06-12T03:30:04Z,2024-07-13T18:58:45+00:00,1,759.48,True,2,0,1,635,0,0,0,MERGED
1140,Warn. ,jessbennett,2024-06-07T18:08:11Z,2024-07-13T14:11:43+00:00,1,860.06,False,1,353,2,0,0,0,0,CLOSED
1139,Fix four typos,Sajjon,2024-05-31T09:47:31Z,2024-07-13T18:56:39+00:00,1,1041.15,True,4,4,4,14,0,0,0,MERGED
1137,Add Circular Queue Implementation,Hasti522004,2024-05-23T08:28:57Z,2024-05-27T07:44:56+00:00,1,95.27,False,94,0,1,1805,0,0,0,CLOSED
1128,"Update .eslintrc, improve UK translation for LinkedList",dolgachio,2024-04-18T16:27:20Z,2024-07-13T19:13:11+00:00,1,2066.76,True,14,13,2,202,0,0,0,MERGED
1100,Update factorial.js,ihemanthm,2024-01-27T17:34:20Z,2024-03-24T09:01:23+00:00,1,1359.45,False,4,0,1,65,1,0,1,CLOSED
1097,test_11_jan,bandenna,2024-01-11T10:25:08Z,2024-03-09T16:00:40+00:00,1,1397.59,False,1,0,1,18,0,0,0,CLOSED
1073,Update PriorityQueue.js,PradeepG-07,2023-09-15T14:18:27Z,2024-12-25T09:12:29+00:00,1,11202.9,False,1,1,1,514,3,0,3,CLOSED
1066,Update README.md,LokoGod,2023-08-30T05:25:28Z,2024-03-09T16:13:28+00:00,1,4618.8,False,0,1,1,16,0,0,0,CLOSED
1065,Typo in Binary Search file is corrected ,khushhalgarg112,2023-08-27T05:09:48Z,2024-01-23T07:05:49+00:00,8,3577.93,False,1,1,1,119,1,3,4,CLOSED
1011,throw-error-for-negative-factorial,Devesh35,2023-04-02T14:56:42Z,2023-07-16T18:57:46+00:00,2,2524.02,False,12,0,4,174,0,0,0,CLOSED
1009,Update factorialRecursive.js by checking the factorial of negative numbers at run time,njiddasalifu,2023-03-17T00:34:32Z,2023-04-08T05:22:32+00:00,1,532.8,False,0,0,0,102,5,0,5,CLOSED
930,Create pages.yml,Yashkapure06,2022-08-27T10:31:27Z,2022-10-10T13:23:18+00:00,1,1058.86,False,50,0,1,0,1,0,1,CLOSED
919,Create a factors.js,zhiwei8,2022-08-08T13:19:48Z,2022-08-30T12:46:24+00:00,2,527.44,False,36,1,3,78,0,2,2,CLOSED
901,Contributing to translations to Portuguese,guilherssousa,2022-06-16T20:44:23Z,2024-04-09T12:41:20+00:00,1,15903.95,False,2,2,1,94,0,0,0,CLOSED
888,fix typo,Ankush263,2022-05-26T08:06:58Z,2022-09-08T05:46:42+00:00,3,2517.66,False,1,1,1,0,0,0,0,CLOSED
787,Fixes README.pt-BR.md,mahteusodev,2021-10-14T13:24:20Z,2022-01-23T20:34:09+00:00,1,2431.16,True,54,54,1,40,0,0,0,MERGED
782,dont understand well,natalieacevedo,2021-10-09T09:52:48Z,2022-01-23T20:37:03+00:00,1,2554.74,False,1,0,1,0,0,0,0,CLOSED
752,Add Korean translation,iwaskorean,2021-08-16T06:43:42Z,2022-01-25T16:54:01+00:00,7,3898.17,True,22,1,2,160,0,1,1,MERGED
743,Development,GSotelo,2021-07-27T17:47:38Z,2021-08-03T18:30:59+00:00,1,168.72,False,2,0,1,0,3,1,4,CLOSED
740,Factorial turkish readme,muhammederdinc,2021-07-17T20:13:20Z,2022-01-26T19:35:45+00:00,1,4631.37,True,39,1,2,35,0,0,0,MERGED
735,Created Quicksort documentation in pt-BR,rafaelbpa,2021-07-14T14:59:11Z,2022-01-27T08:49:11+00:00,1,4721.83,True,36,1,2,149,0,0,0,MERGED
