number,title,author,createdAt,closedOrMergedAt,reviewsCount,hoursOpen
1,Typo fix in README.md,neduma,2018-07-13T23:43:59Z,2018-08-04T10:37:18+00:00,3,514.89
3,Update README.md,fabidick22,2018-11-06T17:56:43Z,2018-11-06T21:49:08+00:00,3,3.87
4,Add new tools,fabidick22,2018-11-07T16:19:39Z,2018-11-08T07:23:14+00:00,7,15.06
32,Add dkimvalidator.com under mail section (and other important tools).,loweryaustin,2018-12-22T08:14:29Z,2018-12-23T10:14:21+00:00,1,26.0
38,Added PbScan in network section,proclnas,2018-12-26T22:58:06Z,2018-12-27T08:39:14+00:00,1,9.69
43,Adding Etherate to 'Networking',jwbensley,2018-12-28T09:40:28Z,2019-01-04T10:57:51+00:00,1,169.29
61,Add CLI creators to CLI section,GantMan,2019-01-14T17:16:48Z,2019-02-13T08:49:37+00:00,1,711.55
72,Update README.md,sagarkar10,2019-02-22T10:25:54Z,2019-02-24T08:27:14+00:00,1,46.02
86,Add nnn,jarun,2019-04-19T21:52:12Z,2019-04-20T09:37:25+00:00,1,11.75
87,Fix alphabetical order,jarun,2019-04-20T10:12:07Z,2019-04-22T08:42:21+00:00,1,46.5
90,Fixed Grammar for various tool,axrwl,2019-05-17T10:20:19Z,2019-05-17T12:14:55+00:00,1,1.91
96,Add pentoo to operating systems,trevorbryant,2019-06-17T03:35:38Z,2019-07-24T19:55:33+00:00,1,904.33
123,Store script files as gists,lbonanomi,2019-11-11T14:01:44Z,2020-11-14T08:26:06+00:00,1,8850.41
127,Merge pull request #127 from pstavirs/osti,pstavirs,2019-12-07T06:31:42Z,2020-02-03T10:22:36+00:00,1,1395.85
135,Merge pull request #135 from Cookizza/patch-1,Cookizza,2020-01-23T09:46:36Z,2020-01-27T17:17:33+00:00,1,103.52
138,Add item into Text Editors,juarez9j,2020-01-24T16:25:29Z,2020-01-27T17:32:34+00:00,2,73.12
142,added open source packet sender to the book of knowledge.,dannagle,2020-01-24T18:57:24Z,2020-01-27T17:26:57+00:00,2,70.49
146,Merge pull request #146 from pylipp/fix/remove-duplicate,pylipp,2020-01-25T13:09:17Z,2020-01-25T15:06:10+00:00,3,1.95
156,Update README.md,deveyNull,2020-02-20T05:54:16Z,2020-04-14T20:17:30+00:00,1,1310.39
169,Add SpaceVim,Julien-Broyard,2020-04-16T09:01:34Z,2020-07-19T06:04:28+00:00,1,2253.05
174,Fix broken link to Google shell style guide,jonasc,2020-05-29T23:11:38Z,2020-06-03T10:07:54+00:00,2,106.94
179,Added machine-learning-algorithms,Sahith02,2020-07-25T16:48:34Z,2020-09-27T06:12:01+00:00,1,1525.39
181,Update README.md,alterwolf,2020-08-07T03:58:47Z,2020-10-06T21:17:26+00:00,2,1457.31
183,Add more private search engines to the list,PrinceSumberia,2020-09-25T17:52:56Z,2020-09-27T06:07:40+00:00,1,36.25
200,Add 'DIRB',khabib97,2021-03-26T18:32:22Z,2021-05-13T16:33:33+00:00,6,1150.02
203,add Alacritty,jony4,2021-05-08T23:02:02Z,2021-05-13T16:28:57+00:00,2,113.45
207,Add bunkerized-nginx,fl0ppy-d1sk,2021-06-07T12:43:13Z,2022-02-23T18:41:34+00:00,1,6269.97
210,Create How to Use,sudheerbabuu,2021-06-26T09:12:05Z,2021-10-20T18:47:29+00:00,1,2793.59
217,Add PEASS,PabloLec,2021-06-29T12:40:53Z,2022-02-23T18:46:33+00:00,2,5742.09
219,Add mssql-cli,Meir017,2021-07-05T05:07:22Z,2021-07-13T10:40:09+00:00,1,197.55
220,Fixes typo,camilonova,2021-07-05T14:36:16Z,2021-07-13T10:39:30+00:00,1,188.05
223,Delete fakeface - fixes #216,lucasgonze,2021-07-13T02:28:31Z,2021-07-13T10:33:26+00:00,2,8.08
232,subsequent automerge,classicvalues,2021-09-11T02:07:06Z,2022-02-23T18:51:56+00:00,2,3976.75
237,Add Haskell Dockerfile Linter,groosg,2021-10-02T03:07:18Z,2022-02-23T18:55:27+00:00,2,3471.8
239,adds quad9 (9.9.9.9) to list of public DNS resolvers,fs111,2021-10-07T08:32:30Z,2022-02-23T18:47:35+00:00,3,3346.25
243,add a new tool in one liners,W1LDN16H7,2021-10-12T09:38:58Z,2022-02-23T18:58:33+00:00,1,3225.33
249,Added vaultwarden,crypt0rr,2021-10-20T10:31:53Z,2022-02-23T19:00:05+00:00,1,3032.47
250,Added TLScan,crypt0rr,2021-10-20T10:37:08Z,2022-02-23T19:01:08+00:00,4,3032.4
251,Multiple updates,crypt0rr,2021-10-20T11:29:50Z,2022-02-23T19:01:41+00:00,1,3031.53
288,Add zoxide under Shell Plugins,ajeetdsouza,2021-11-30T15:00:55Z,2022-02-23T19:05:16+00:00,1,2044.07
294,Update README.md,unknown,2021-12-11T02:19:31Z,2022-02-23T19:05:45+00:00,5,1792.77
301,update link,abe-101,2021-12-27T18:38:45Z,2022-08-19T11:38:01+00:00,10,5632.99
341,add 'CryptoLyzer',c0r0n3r,2022-02-20T09:31:06Z,2022-02-23T18:39:01+00:00,1,81.13
351,Create SECURITY.md,Sleekbobby1011,2022-02-26T16:33:23Z,2022-03-01T14:32:38+00:00,1,69.99
353,added shell cleaning trick,caverav,2022-02-28T17:27:53Z,2022-02-28T20:34:27+00:00,20,3.11
354,Add Kakoune text editor to editors section,GVodyanov,2022-03-17T12:58:55Z,2024-09-16T09:06:02+00:00,5,21932.12
366,Update the Broken Link with new one,EzzOps,2022-06-23T19:35:05Z,2024-11-16T08:30:25+00:00,7,21036.92
384,Added 1Password to Password Managers,danieljancar,2022-12-19T10:27:27Z,2023-01-03T15:10:20+00:00,1,364.71
385,Add GNU nano to text editors,WebSnke,2023-01-02T12:09:42Z,2023-05-18T07:11:20+00:00,3,3259.03
400,Update README.md,9M2PJU,2023-07-05T14:31:14Z,2023-07-26T05:54:34+00:00,9,495.39
402,feat: add cognito-scanner pentest tool,cfpadok,2023-08-08T09:48:48Z,2023-12-07T22:22:08+00:00,9,2916.56
403,Add Gosh Color scheme Collection,YeiserBytes,2023-08-23T14:50:11Z,2025-09-18T05:06:57+00:00,7,18158.28
404,Create SECURITY.md,AR-sslink,2023-09-15T19:24:34Z,2023-12-07T22:22:51+00:00,7,1994.97
410,Create SECURITY.md,Raheama13,2023-12-18T14:29:20Z,2023-12-30T07:52:01+00:00,1,281.38
411,Make image black / white depending on light mode,couleurm,2023-12-29T12:54:49Z,2025-09-01T22:38:44+00:00,2,14697.73
415,weleakinfo not exists anymore,Mte90,2024-01-31T10:34:55Z,2024-05-07T10:15:06+00:00,1,2327.67
423,Update README.md: Added netcat oneliners for audio/video calls and colored chat,ErezBinyamin,2024-03-27T22:34:53Z,2025-04-06T17:21:52+00:00,11,8994.78
425,Update README.md,NocturnalKing,2024-04-10T10:25:44Z,2024-05-09T18:55:43+00:00,7,704.5
