number,title,author,createdAt,closedOrMergedAt,reviewsCount,hoursOpen,merged,additions,deletions,changedFiles,bodyLength,issueCommentsCount,reviewThreadsCount,interactionsCount,finalReviewState
41782,Build(deps): Bump github/codeql-action from 3.30.3 to 3.30.5 in the github-actions group,dependabot,2025-09-30T09:02:42Z,2025-09-30T16:01:50+00:00,1,6.99,True,4,4,2,6680,0,0,0,MERGED
41776,Update breakpoint Sass mixins to use CSS Media Queries Level 4 range syntax (v6-dev),copilot-swe-agent,2025-09-28T04:25:45Z,2025-10-02T18:17:19+00:00,2,109.86,False,406,326,7,3025,2,1,3,CLOSED
41744,Build(deps): Bump the github-actions group with 2 updates,dependabot,2025-09-16T09:02:39Z,2025-09-17T16:28:26+00:00,1,31.43,True,5,5,3,6433,0,0,0,MERGED
41730,Build(deps): Bump the github-actions group with 2 updates,dependabot,2025-09-09T09:02:21Z,2025-09-09T18:35:19+00:00,1,9.55,True,11,11,9,6249,1,0,1,MERGED
41721,Build(deps): Bump the github-actions group with 2 updates,dependabot,2025-09-03T10:07:09Z,2025-09-03T12:34:53+00:00,1,2.46,True,5,5,3,5239,2,0,2,MERGED
41691,#41690: [docs] Tables doc - Variants code examples miss table class,stefan-korn,2025-08-27T13:36:21Z,2025-09-06T20:25:43+00:00,1,246.82,True,1,1,1,590,0,0,0,MERGED
41664,Build(deps): Bump github/codeql-action from 3.29.8 to 3.29.10,dependabot,2025-08-19T16:53:47Z,2025-08-20T08:06:25+00:00,1,15.21,True,4,4,2,4183,2,0,2,MERGED
41657,Build(deps): Bump github/codeql-action from 3.29.7 to 3.29.8,dependabot,2025-08-12T19:39:57Z,2025-08-15T06:22:26+00:00,1,58.71,True,4,4,2,4030,0,0,0,MERGED
41655,Build(deps): Bump actions/checkout from 4.2.2 to 5.0.0,dependabot,2025-08-12T17:14:14Z,2025-08-15T06:25:44+00:00,1,61.19,True,11,11,11,5911,1,0,1,MERGED
41654,CSS: Prevent spinner distortion in flex containers with multiline content,julien-deramond,2025-08-10T20:05:55Z,2025-08-22T04:00:46+00:00,2,271.91,True,1,0,1,1466,0,0,0,MERGED
41649,Build(deps): Bump tmp from 0.2.3 to 0.2.4,dependabot,2025-08-06T17:08:04Z,2025-08-06T19:44:11+00:00,1,2.6,True,3,3,1,1845,0,0,0,MERGED
41640,Build(deps): Bump github/codeql-action from 3.29.4 to 3.29.5,dependabot,2025-08-05T12:12:02Z,2025-08-05T19:06:21+00:00,1,6.91,True,4,4,2,4313,1,0,1,MERGED
