number,title,author,createdAt,closedOrMergedAt,reviewsCount,hoursOpen,merged,additions,deletions,changedFiles,bodyLength,issueCommentsCount,reviewThreadsCount,interactionsCount,finalReviewState
2755,Add audiomaker,AnkushRathour,2025-09-03T07:31:26Z,2025-09-17T06:27:35+00:00,1,334.94,False,1,0,1,1963,1,0,1,CLOSED
2750,Add Flet,FeodorFitsner,2025-08-24T19:04:15Z,2025-09-17T05:29:57+00:00,1,562.43,True,1,0,1,990,4,0,4,MERGED
2741,Add Hubot,chaanakyaaM,2025-08-02T14:30:50Z,2025-08-15T13:16:27+00:00,1,310.76,False,1,0,1,1252,0,0,0,CLOSED
2730,ML/DL/NLP libraries added,sahillihas,2025-07-04T18:09:39Z,2025-08-17T17:56:44+00:00,2,1055.78,False,101,89,1,994,3,0,3,CLOSED
2726,Create SECURITY.md,poteakshay241,2025-07-02T07:49:26Z,2025-07-05T18:25:26+00:00,1,82.6,False,21,0,1,220,2,0,2,CLOSED
2722,Create New_file.py,vivekSingh895,2025-06-26T01:01:03Z,2025-07-05T18:25:31+00:00,3,233.41,False,1,0,1,220,3,2,5,CLOSED
2718,Master,landshipit,2025-06-19T04:19:56Z,2025-06-19T16:43:14+00:00,2,12.39,False,17,2,2,220,0,0,0,CLOSED
2708,Add ServicePathMapper to Network Analysis section,irisonia,2025-05-21T07:00:51Z,2025-06-25T19:23:37+00:00,2,852.38,False,2,0,1,1697,0,0,0,CLOSED
2680,Add Pollinations.AI to Third-party APIs section,voodoohop,2025-04-11T16:51:15Z,2025-09-30T12:33:17+00:00,2,4123.7,False,1,0,1,741,0,0,0,CLOSED
2670,Added contribution.txt with my name and improvement idea,its-vaibhav34,2025-03-26T14:16:03Z,2025-07-05T18:25:44+00:00,1,2428.16,False,10,0,3,220,3,0,3,CLOSED
2656,Add fireducks,ManohisoaS,2025-02-24T10:58:31Z,2025-07-05T18:26:07+00:00,6,3151.46,False,1,0,1,1152,3,0,3,CLOSED
2654,add optfunc2,yjloong,2025-02-16T11:47:05Z,2025-07-05T18:26:13+00:00,1,3342.65,False,1,0,1,654,2,0,2,CLOSED
2635,Add markitdown,dadoming,2024-12-25T19:47:02Z,2025-07-05T18:26:25+00:00,1,4606.66,False,1,1,1,745,2,1,3,CLOSED
2632,Add Playwright to the list of web testing tools,mostafakavand,2024-12-21T20:58:15Z,2025-07-05T18:26:36+00:00,4,4701.47,False,1,0,1,1415,2,1,3,CLOSED
2630,Add PyCairo,firsatuno,2024-12-07T19:54:21Z,2025-07-05T18:26:42+00:00,4,5038.54,False,1,0,1,711,3,0,3,CLOSED
2629,Add email-validator,jozo,2024-12-06T12:06:59Z,2025-07-05T18:26:48+00:00,3,5070.33,False,1,0,1,355,2,0,2,CLOSED
2628,Add EnvCloak,Veinar,2024-11-22T09:56:54Z,2024-12-15T12:19:52+00:00,3,554.38,False,2,0,1,1846,1,0,1,CLOSED
2617,Add plotly.py,sudipX0,2024-10-01T13:23:45Z,2024-10-22T15:44:48+00:00,2,506.35,False,1,0,1,967,0,0,0,CLOSED
2616,Add Reflex,itsmeadarsh2008,2024-09-30T18:19:28Z,2025-07-05T18:26:59+00:00,6,6672.13,False,2,0,1,2664,9,0,9,CLOSED
2614,Add ruff linter,MatteoGuadrini,2024-09-17T09:52:09Z,2025-07-05T18:42:51+00:00,14,6992.85,True,1,0,1,849,2,1,3,MERGED
2607,python-nostr,unknown,2024-08-30T17:23:06Z,2024-09-07T12:32:42+00:00,1,187.16,False,1,0,1,0,1,0,1,CLOSED
2587,Add Piccolo to ORM list,lawrencegripper,2024-06-06T20:54:36Z,2025-09-09T09:04:53+00:00,2,11028.17,False,1,0,1,417,2,0,2,CLOSED
2585,Update README.md,virsalico,2024-05-31T08:50:36Z,2024-06-20T20:07:51+00:00,3,491.29,False,1,0,1,261,3,1,4,CLOSED
2575,Add stable-baselines3,R055A,2024-04-08T06:09:22Z,2024-07-17T21:16:44+00:00,5,2415.12,True,1,0,1,672,4,0,4,MERGED
2574,Add typer,AdamMawani,2024-04-08T04:37:52Z,2025-07-01T18:09:06+00:00,1,10789.52,False,1,0,1,934,0,0,0,CLOSED
2568,Add pyrgo,Tomperez98,2024-02-22T17:54:57Z,2025-07-05T18:27:05+00:00,4,11976.54,False,2,1,1,420,5,1,6,CLOSED
2564,add ruff,VascoSch92,2024-02-10T18:45:40Z,2024-05-13T06:09:06+00:00,3,2219.39,False,5,2,1,383,1,1,2,CLOSED
2561,Add pytube,ByteJoseph,2024-02-03T11:23:15Z,2024-02-19T15:46:32+00:00,1,388.39,False,1,0,1,1124,0,0,0,CLOSED
2554,Remove abandoned project merchant,ucg8j,2024-01-19T13:44:12Z,2024-07-29T19:35:37+00:00,4,4613.86,False,0,1,1,266,4,0,4,CLOSED
2549,add pulumi,desteves,2024-01-17T03:58:15Z,2024-05-29T20:59:29+00:00,1,3209.02,False,1,0,1,585,0,0,0,CLOSED
2546,Update README.md,EpicSprout,2024-01-06T12:05:33Z,2024-02-22T14:37:35+00:00,5,1130.53,True,1,1,1,36,0,0,0,MERGED
2545,add fastbots,ubertidavide,2024-01-05T15:04:03Z,2024-12-19T19:14:02+00:00,4,8380.17,False,1,0,1,627,1,0,1,CLOSED
2544,Add Fusion Engine,dimkauzh,2024-01-04T21:53:45Z,2025-04-16T09:06:07+00:00,3,11219.21,False,1,0,1,1120,3,0,3,CLOSED
2543,Update README.md,userlyc77777,2023-12-25T04:58:30Z,2024-02-22T14:38:00+00:00,3,1425.66,False,1,0,1,220,0,1,1,CLOSED
2541,Add SuperDuperDB,guerra2fernando,2023-12-22T09:28:41Z,2024-07-24T14:48:14+00:00,2,5165.33,False,1,0,1,1043,0,0,0,CLOSED
2536,Add auto-py-to-exe,unknown,2023-11-29T23:29:05Z,2024-03-20T23:15:41+00:00,3,2687.78,False,1,0,1,649,2,2,4,CLOSED
2535,add ruff,AdrianCert,2023-11-29T16:09:50Z,2025-07-05T18:43:07+00:00,1,14018.55,False,1,0,1,804,2,0,2,CLOSED
2531,Update README.md,Dicklesworthstone,2023-11-12T22:34:12Z,2023-11-14T17:13:56+00:00,1,42.66,False,1,0,1,4011,0,0,0,CLOSED
2530,[Resources] Added Level Up Your Python,2gn,2023-11-12T04:39:46Z,2024-02-29T09:27:16+00:00,1,2620.79,False,1,0,1,435,8,0,8,CLOSED
2529,Fixed a Number of Dead Links,DAVEALLCAPS,2023-11-08T03:34:49Z,2024-02-22T14:45:39+00:00,4,2555.18,True,7,10,1,625,1,0,1,MERGED
2525,pytime-manager,xzripper,2023-11-02T14:05:58Z,2024-05-09T18:07:14+00:00,1,4540.02,False,1,0,1,496,1,0,1,CLOSED
2518,Updated psycopg2's homepage link and possibly a new project related to psycopg2,canhuynh1998,2023-09-14T04:43:33Z,2024-02-22T14:47:02+00:00,1,3874.06,True,0,0,0,467,1,0,1,MERGED
2514,Add PDM to Package Management,pawamoy,2023-09-06T08:27:52Z,2024-05-23T09:53:37+00:00,4,6241.43,False,1,0,1,840,7,0,7,CLOSED
2512,Add readme-ai,eli64s,2023-08-30T04:33:19Z,2024-02-07T00:22:55+00:00,2,3859.83,False,1,0,1,1463,0,0,0,CLOSED
2505,Added Django-Jazzmin for customizing admin interface,thoth2357,2023-08-10T01:20:33Z,2024-10-11T01:24:51+00:00,5,10272.07,False,1,0,1,1454,3,0,3,CLOSED
2499,Add python-starlark-go,dbohdan,2023-07-16T22:37:37Z,2024-11-04T08:06:58+00:00,2,11433.49,False,1,0,1,879,0,2,2,CLOSED
2498,added deep learning framework Lighting,arunachalamev,2023-07-12T23:50:48Z,2023-07-13T15:37:09+00:00,3,15.77,True,1,0,1,205,0,1,1,MERGED
2487,feat: circuitpython,Yash-Singh1,2023-06-22T17:18:50Z,2025-02-06T02:21:36+00:00,2,14265.05,False,1,0,1,375,0,0,0,CLOSED
2484,Add scalene,alkmst-xyz,2023-06-16T07:56:04Z,2024-09-22T09:58:49+00:00,1,11138.05,False,1,0,1,422,0,0,0,CLOSED
2479,Add mapfun package,zakarialaoui10,2023-05-24T17:50:19Z,2024-01-20T19:46:28+00:00,1,5785.94,False,1,0,1,534,2,0,2,CLOSED
2465,Update Pyqt and add PySide README.md,ysidromdenis,2023-05-04T15:27:46Z,2024-08-01T17:59:26+00:00,3,10922.53,False,2,1,1,1144,0,0,0,CLOSED
2462,Add Pydantic,samuelcolvin,2023-05-03T21:42:03Z,2024-03-04T12:06:12+00:00,10,7334.4,False,1,0,1,672,6,0,6,CLOSED
2443,Faith added stripe api,Timiemmy,2023-04-19T11:30:28Z,2025-08-26T12:29:00+00:00,2,20640.98,False,1,0,1,259,0,0,0,CLOSED
2432,Add kivy,bobbyy16,2023-04-11T13:43:32Z,2024-07-26T08:24:13+00:00,2,11322.68,False,7,0,1,229,1,1,2,CLOSED
2431,spelling correction to redme.md,unknown,2023-04-11T10:17:45Z,2023-04-12T15:40:58+00:00,1,29.39,False,2,2,1,48,1,0,1,CLOSED
2353,Add ruff code linter,kaypee90,2023-02-17T02:52:25Z,2023-11-29T11:56:55+00:00,1,6849.07,False,1,0,1,1117,2,0,2,CLOSED
2350,Update README.md,liufeigit,2023-02-13T06:16:22Z,2023-03-30T03:40:01+00:00,2,1077.39,True,1,0,1,1089,2,0,2,MERGED
2345,Create python-app.yml,anthonyguy69,2023-02-08T11:36:58Z,2023-02-08T17:18:00+00:00,1,5.68,False,39,0,1,220,1,0,1,CLOSED
