number,title,author,createdAt,closedOrMergedAt,reviewsCount,hoursOpen,merged,additions,deletions,changedFiles,bodyLength,issueCommentsCount,reviewThreadsCount,interactionsCount,finalReviewState
13216,fixed spelling mistakes,Moriango,2024-10-10T05:25:01Z,2024-10-10T07:24:15+00:00,1,1.99,True,7,7,1,920,0,0,0,MERGED
13192,chore: fix link broken,xiaoxianBoy,2024-06-14T10:31:23Z,2024-06-14T12:52:12+00:00,2,2.35,True,1,1,1,936,0,1,1,MERGED
13187,Update README.md (browser compatibility reference),serious-angel,2024-05-20T11:29:04Z,2024-05-21T07:51:56+00:00,1,20.38,True,1,1,1,1095,0,0,0,MERGED
13107,fix: type augmentation and compiler-sfc types w/moduleResolution: bundler (fix #13106),thebanjomatic,2023-10-24T22:55:38Z,2023-12-06T07:52:19+00:00,1,1016.94,True,4,3,1,1506,1,1,2,MERGED
13068,fix(types): serverPrefetch's this type doesn't include component properties ,xonx4l,2023-08-17T05:56:01Z,2023-10-23T06:58:47+00:00,1,1609.05,True,1,1,1,934,0,0,0,MERGED
13024,Marcos aurelio - fiz uma coreção no scc,marcosaureliosl,2023-05-31T04:40:18Z,2023-05-31T06:39:43+00:00,1,1.99,False,1,0,1,920,2,0,2,CLOSED
13021,Update jsx.d.ts,vj00000,2023-05-20T15:31:39Z,2024-08-12T08:55:53+00:00,1,10793.4,False,1,1,1,955,0,1,1,CLOSED
13010,refactor(shared): update `genStaticKeys`,mikoloism,2023-04-26T13:43:39Z,2023-04-27T09:43:19+00:00,1,19.99,True,1,3,1,114,0,0,0,MERGED
12949,chore: fixed some typos,rj1,2023-02-04T02:35:32Z,2023-02-04T18:16:38+00:00,1,15.69,True,2,2,2,937,0,1,1,MERGED
12946,fix: correctly update styles,btea,2023-01-30T06:58:54Z,2023-12-06T15:17:57+00:00,1,7448.32,False,9,1,2,931,3,0,3,CLOSED
12927,chore: fix typo in utils.ts (#12927) [skip ci],huxinfeng,2023-01-12T11:44:17Z,2023-01-12T14:47:00+00:00,1,3.05,True,1,1,1,920,0,0,0,MERGED
12912,chore: fix typo in apiAsyncComponent.ts,kwarabei,2022-12-27T19:22:51Z,2022-12-27T21:38:05+00:00,1,2.25,True,1,1,1,986,0,0,0,MERGED
12911,chore: update links (http=https),Arhell,2022-12-27T01:25:17Z,2022-12-27T09:19:37+00:00,1,7.91,True,8,8,6,968,0,0,0,MERGED
12905,fix(patch): clone insert hooks to avoid being mutated during iteration,xiaodemen,2022-12-19T09:23:04Z,2023-10-23T07:11:13+00:00,1,7389.8,True,43,2,2,1367,0,0,0,MERGED
12879,fix(compiler-sfc): add semicolon after `defineProps` statement,liulinboyi,2022-11-18T11:30:41Z,2023-10-23T07:09:23+00:00,3,8131.65,True,10,10,2,920,5,0,5,MERGED
12878,chore: comment typos,FlyingCaiChong,2022-11-18T10:21:52Z,2022-12-14T08:43:02+00:00,2,622.35,True,1,1,1,920,0,0,0,MERGED
12873,fix(compiler-sfc): fix macro usage in multi-variable declaration,webfansplz,2022-11-09T06:54:51Z,2023-10-23T07:08:35+00:00,1,8352.23,True,34,3,3,920,1,0,1,MERGED
12872,fix(sfc/types): improve the type inference using `withDefaults`,webfansplz,2022-11-09T06:28:55Z,2023-10-23T07:06:28+00:00,1,8352.63,True,18,4,2,947,0,0,0,MERGED
12863,chore: fix typo,webfansplz,2022-11-02T14:07:33Z,2022-11-09T08:07:36+00:00,1,162.0,True,1,1,1,920,0,0,0,MERGED
