number,title,author,createdAt,closedOrMergedAt,reviewsCount,hoursOpen,merged,additions,deletions,changedFiles,bodyLength,issueCommentsCount,reviewThreadsCount,interactionsCount,finalReviewState
19977,chore(deps): bump CodSpeedHQ/action from 4.0.1 to 4.1.0,dependabot,2025-10-03T02:06:13Z,2025-10-04T10:32:45+00:00,1,32.44,True,1,1,1,3377,1,0,1,MERGED
19975,fix: resolve SystemJS default import undefined issue,deepakstwt,2025-10-02T21:24:41Z,2025-10-06T20:44:27+00:00,2,95.33,False,19,3,1,1840,3,1,4,CLOSED
19970,fix: support web workers loading for jsonp format /2,fregante,2025-10-02T11:52:47Z,2025-10-02T14:00:40+00:00,2,2.13,True,1,1,1,82,1,1,2,MERGED
19961,fix(warnings): update import.meta warning messages for clarity,manbearwiz,2025-09-30T00:36:27Z,2025-09-30T14:32:36+00:00,1,13.94,True,7,3,3,625,2,0,2,MERGED
19959,chore: update codespeed,alexander-akait,2025-09-29T19:55:04Z,2025-10-04T10:26:48+00:00,4,110.53,True,233,115,4,278,1,2,3,MERGED
19958,chore(deps): bump actions/dependency-review-action from 4.7.3 to 4.8.0,dependabot,2025-09-29T02:16:26Z,2025-09-29T16:18:52+00:00,1,14.04,True,1,1,1,2829,1,0,1,MERGED
19955,feat: tree shaking nested exports for destructuring assignment,ahabhgk,2025-09-28T08:44:29Z,2025-09-29T16:43:23+00:00,1,31.98,True,181,30,12,771,1,0,1,MERGED
19954,fix: integrity in http-url test,hai-x,2025-09-27T14:14:27Z,2025-09-29T16:17:35+00:00,1,50.05,True,83,81,8,512,3,0,3,MERGED
19952,feat: support function matcher in rule options,hai-x,2025-09-27T08:31:22Z,2025-09-29T18:22:46+00:00,1,57.86,True,91,30,13,590,1,0,1,MERGED
19936,fix: should analyze correct variable for dynamic import,ahabhgk,2025-09-26T08:56:57Z,2025-09-26T12:17:26+00:00,1,3.34,True,11,0,2,300,2,0,2,MERGED
19934,chore: add lfx badge,evenstensberg,2025-09-25T13:50:36Z,2025-09-26T12:19:55+00:00,1,22.49,True,1,0,1,277,1,0,1,MERGED
19933,fix: should always walk import then arguments,ahabhgk,2025-09-25T04:41:13Z,2025-09-25T12:22:37+00:00,1,7.69,True,11,0,2,258,2,0,2,MERGED
19932,chore(deps): bump actions/cache from 4.2.4 to 4.3.0,dependabot,2025-09-25T02:06:31Z,2025-09-25T12:23:02+00:00,1,10.28,True,5,5,1,3532,1,0,1,MERGED
