number,title,author,createdAt,closedOrMergedAt,reviewsCount,hoursOpen,merged,additions,deletions,changedFiles,bodyLength,issueCommentsCount,reviewThreadsCount,interactionsCount,finalReviewState
14473,[ie/tiktok] Replace User-Agent for fix get Tiktok video,thanhtaivtt,2025-09-27T12:55:02Z,2025-10-01T06:53:19+00:00,8,89.97,True,3,3,1,1147,5,4,9,MERGED
14471,[ie/youtube] Detect experiment binding GVS PO Token to video id,coletdjnz,2025-09-27T10:29:32Z,2025-09-29T03:25:09+00:00,2,40.93,True,28,2,4,1101,0,1,1,MERGED
14448,[ie/youtube] Player client maintenance,seproDev,2025-09-26T02:01:17Z,2025-09-26T18:13:21+00:00,1,16.2,True,9,9,1,912,0,0,0,MERGED
14447,[ie/youtube] Improve logging,seproDev,2025-09-26T01:33:57Z,2025-09-26T18:12:16+00:00,1,16.64,True,2,2,1,849,0,0,0,MERGED
14430,[ie/youtube] Fix player JS overrides,seproDev,2025-09-24T17:43:40Z,2025-09-26T21:19:57+00:00,2,51.6,True,61,21,1,1218,0,1,1,MERGED
14398,[ie/youtube] Force player `0004de42`,seproDev,2025-09-22T19:45:15Z,2025-09-23T05:07:28+00:00,4,9.37,True,19,2,2,1083,3,4,7,MERGED
14388,[utils] `mimetype2ext`: Recognize `vnd.dlna.mpeg-tts`,seproDev,2025-09-21T07:12:13Z,2025-09-21T14:29:22+00:00,1,7.29,True,1,0,1,782,0,0,0,MERGED
14372,[ie/applepodcast] Fix extractor,seproDev,2025-09-19T19:09:25Z,2025-09-19T20:22:47+00:00,1,1.22,True,5,3,1,692,0,0,0,MERGED
14341,[ie/vk] Support vksport URLs,seproDev,2025-09-16T09:37:10Z,2025-09-16T17:43:00+00:00,1,8.1,True,6,2,1,692,1,0,1,MERGED
14335,Update tenplay.py to work with 1080p and no ads,Sipherdrakon,2025-09-16T06:59:04Z,2025-09-23T17:17:09+00:00,6,178.3,False,239,21,1,1043,3,21,24,CLOSED
14305,[cleanup] Remove broken extractors,bashonly,2025-09-12T07:15:00Z,2025-09-12T08:15:41+00:00,1,1.01,True,47,993,9,648,0,0,0,MERGED
14293,[cleanup] Bump ruff to 0.13.x,bashonly,2025-09-10T23:50:13Z,2025-09-11T15:18:01+00:00,1,15.46,True,34,33,20,564,0,0,0,MERGED
14286,[ie/xhamster] Fix extractor,willsmillie,2025-09-10T01:00:40Z,2025-09-10T18:17:24+00:00,2,17.28,True,7,0,1,1321,0,2,2,MERGED
14285,Fix 10play not providing the 10selector url from brightcove.,Sipherdrakon,2025-09-09T23:36:28Z,2025-09-10T09:28:59+00:00,2,9.88,False,16,5,1,829,1,2,3,CLOSED
14282,[ci] Bump actions/setup-python to v6,bashonly,2025-09-09T16:47:39Z,2025-09-10T21:29:12+00:00,2,28.69,True,12,12,7,568,0,0,0,MERGED
14280,[ie/vimeo] Fix login error handling,bashonly,2025-09-09T16:42:29Z,2025-09-10T18:39:07+00:00,1,25.94,True,1,1,1,637,0,0,0,MERGED
14275,[build] Refactor Linux build jobs,bashonly,2025-09-09T01:26:41Z,2025-09-13T21:20:28+00:00,2,115.9,True,140,126,4,589,0,0,0,MERGED
14273,[build] Use new PyInstaller builds for Windows,bashonly,2025-09-08T20:34:11Z,2025-09-08T22:44:36+00:00,2,2.17,True,25,9,1,623,0,0,0,MERGED
14257,Clarify license of executables,seproDev,2025-09-06T18:55:30Z,2025-09-06T23:17:02+00:00,2,4.36,True,4765,7,5,628,0,2,2,MERGED
14256,[ie/loco] Fix extractor,seproDev,2025-09-06T17:48:59Z,2025-09-11T19:32:35+00:00,1,121.73,True,5,5,1,978,0,0,0,MERGED
14249,[ci] Test and lint workflows,bashonly,2025-09-05T23:52:20Z,2025-09-06T22:28:11+00:00,1,22.6,True,75,1,3,568,0,0,0,MERGED
14242,[ie/10play] Fix extractor,Sipherdrakon,2025-09-05T04:55:56Z,2025-09-07T19:09:23+00:00,13,62.22,True,15,3,1,1051,2,7,9,MERGED
14231,Remove broken m3u8 manifest for charlierose.com,gitchasing,2025-09-03T16:05:35Z,2025-09-05T21:28:53+00:00,3,53.39,True,5,1,1,5868,1,0,1,MERGED
14214,[ie/iz.ru] Add extractor,swayll,2025-09-01T17:37:38Z,2025-09-11T12:11:36+00:00,3,234.57,False,86,0,2,698,0,3,3,CLOSED
14203,[ie/vevo] Restore extractors,seproDev,2025-08-30T19:26:03Z,2025-08-30T22:41:52+00:00,1,3.26,True,365,1,4,931,0,0,0,MERGED
14200,[ie/smotrim] Rework extractors,doe1080,2025-08-30T11:00:49Z,2025-09-11T20:59:55+00:00,3,297.99,True,386,355,4,985,3,5,8,MERGED
14197,[ie/newspicks] Add preview warning for premium videos when unauthenticated,doe1080,2025-08-30T06:04:52Z,2025-09-10T21:20:03+00:00,1,279.25,True,10,3,1,693,0,1,1,MERGED
14196,[ie/pixivsketch] Remove dead extractors,doe1080,2025-08-30T04:34:55Z,2025-09-10T21:22:11+00:00,1,280.79,True,0,123,2,677,0,0,0,MERGED
14194,LLM guidelines,seproDev,2025-08-29T21:56:05Z,2025-09-21T17:15:17+00:00,11,547.32,True,38,3,14,825,0,4,4,MERGED
14193,[ie/lrt] Fix extractors,seproDev,2025-08-29T21:09:36Z,2025-08-29T22:28:44+00:00,3,1.32,True,65,49,1,779,0,1,1,MERGED
14190,Fix `--id` deprecation warning,seproDev,2025-08-29T18:30:16Z,2025-08-29T20:06:53+00:00,1,1.61,True,1,0,1,1230,0,0,0,MERGED
14180,[xhamster] Fix 404 errors on video downloads (Fixes #14145),willsmillie,2025-08-29T00:15:31Z,2025-09-09T23:49:44+00:00,2,287.57,False,31,0,1,1203,10,4,14,CLOSED
14169,[ie/youtube] Use alternative `tv` user-agent when authenticated,bashonly,2025-08-27T21:44:45Z,2025-08-27T23:00:03+00:00,1,1.25,True,13,2,1,623,0,0,0,MERGED
14165,[ie/tver] Extract more metadata,arabcoders,2025-08-27T15:11:46Z,2025-08-28T01:18:11+00:00,2,10.11,True,6,0,1,1089,0,1,1,MERGED
14161,[ie/ITVBTCC] Fix extractor,garret1317,2025-08-27T14:37:43Z,2025-08-28T01:19:26+00:00,2,10.7,True,3,1,1,919,2,0,2,MERGED
14160,[ie/generic] Use https as fallback protocol,seproDev,2025-08-27T13:24:30Z,2025-08-27T20:25:35+00:00,1,7.02,True,2,2,1,733,0,0,0,MERGED
14154,[ie/kick:vod] Support ongoing livestream VODs,InvalidUsernameException,2025-08-26T16:21:40Z,2025-08-28T01:26:49+00:00,8,33.09,True,34,12,1,757,0,1,1,MERGED
14147,[ie/skeb] Support wav files,seproDev,2025-08-25T14:24:27Z,2025-08-27T13:34:45+00:00,1,47.17,True,16,2,1,692,0,0,0,MERGED
14139,[ie/googledrive] Fix subtitles extraction,zakaryan2004,2025-08-24T17:10:58Z,2025-08-28T01:12:09+00:00,3,80.02,True,14,10,1,1315,1,4,5,MERGED
