number,title,author,createdAt,closedOrMergedAt,reviewsCount,hoursOpen,merged,additions,deletions,changedFiles,bodyLength,issueCommentsCount,reviewThreadsCount,interactionsCount,finalReviewState
33116,my first PR,arjunthazhath2001,2025-04-22T15:10:47Z,2025-04-23T14:26:09+00:00,1,23.26,False,2,1,1,1345,0,2,2,CLOSED
32987,[YouTube] Fix nsig challenge for player `3bb1f723`,dirkf,2024-12-07T10:37:05Z,2024-12-16T12:38:51+00:00,3,218.03,True,636,202,5,1594,8,3,11,MERGED
32928,Fix: fix installation command for MacOS,dapoadedire,2024-09-10T15:39:15Z,2025-07-06T16:57:52+00:00,1,7177.31,False,1,1,1,2168,2,0,2,CLOSED
32891,applied @dirkf's patches for nsig extraction on youtube,aiur-adept,2024-08-01T15:58:29Z,2024-08-01T18:18:34+00:00,2,2.33,True,30,6,2,1148,2,3,5,MERGED
32845,"[JSInterp, YouTube] Support YT player `b22ef6e7` etc",dirkf,2024-07-10T17:53:59Z,2024-07-10T23:50:46+00:00,5,5.95,True,375,488,5,1627,1,3,4,MERGED
32812,[extractor/safari] Partially Fix Extractor⁠,D357R0Y3R,2024-06-12T09:24:51Z,2024-06-13T20:31:36+00:00,1,35.11,False,50,55,1,0,5,12,17,CLOSED
32762,[extractor/common] Fix crash in _report_ignoring_subs,salty-horse,2024-04-03T08:34:57Z,2024-04-05T14:25:29+00:00,6,53.84,True,15,6,1,1602,4,5,9,MERGED
32752,[Youtube] Fix AttributeError no attribute '_YoutubeIE__ie_msg' if unable to decode n-parameter,gy-chen,2024-03-23T13:59:52Z,2024-03-23T15:30:13+00:00,1,1.51,True,3,3,1,785,1,0,1,MERGED
32747,Add support for shows.acast.com,PierreMesure,2024-03-17T06:58:56Z,2025-07-30T19:11:18+00:00,2,12012.21,False,18,4,1,1583,2,2,4,CLOSED
32742,[Vimeo]  fix config parser regex,gzz2000,2024-03-11T14:19:31Z,2024-03-12T11:44:14+00:00,1,21.41,True,2,2,1,1519,2,1,3,MERGED
32740,[YouPorn] Fix and improve extraction; add playlist extraction,dirkf,2024-03-10T13:45:24Z,2024-04-22T00:34:27+00:00,5,1018.82,True,576,48,3,2093,2,1,3,MERGED
32725,[XFileShare] Update for 2024 with new InfoExtractor features ,dirkf,2024-02-21T12:27:15Z,2024-03-08T13:03:43+00:00,5,384.61,True,276,182,6,2002,0,5,5,MERGED
32672,👷 use latest major version for actions/checkout,thomasmerz,2023-12-22T13:35:57Z,2025-07-08T16:46:56+00:00,3,13539.18,False,8,2,1,907,5,4,9,CLOSED
32634,[telewebion] fix extraction,mimvahedi,2023-11-11T15:33:29Z,2023-12-02T15:25:09+00:00,5,503.86,True,23,24,1,1144,2,10,12,MERGED
32628,[Epidemic Sound] Add new extractor,realRobotix,2023-11-06T11:05:16Z,2023-12-06T01:17:57+00:00,6,710.21,True,102,0,2,1114,6,12,18,MERGED
32559,"Fix format string injection when using option --write-info-json for video with percent sign in title. (Caused TypeError ""not enough arguments for format string"")",mk-pmb,2023-09-13T19:10:33Z,2023-12-06T02:45:41+00:00,1,1999.59,True,2,2,1,1235,1,0,1,MERGED
32557,[mixcloud] updated mixcloud API server address,kmnx,2023-09-13T18:24:23Z,2024-06-11T11:38:24+00:00,1,6521.23,True,24,6,1,1248,3,0,3,MERGED
32514,[caffeine.tv] Add new extractor,aaron-tan,2023-08-17T04:07:34Z,2024-02-22T12:54:08+00:00,4,4544.78,True,80,0,2,1164,0,8,8,MERGED
32481,"[Misc] Under-the-hood fixes, improvements and tests (pt 2)",dirkf,2023-07-28T11:35:29Z,2023-07-29T13:27:26+00:00,3,25.87,True,203,85,6,2280,0,1,1,MERGED
32213,[Nhk] Fix: NhkVod(|Program) Extractor  / [Piksel] Feat: Add variable host support,menschel,2023-05-19T19:08:10Z,2024-05-26T07:01:10+00:00,4,8939.88,False,90,67,2,1378,3,6,9,CLOSED
32138,"[GlobalPlayer,Whyp,DLF, Clipchamp] Add new extractors back-ported from yt-dlp",dirkf,2023-05-03T14:11:49Z,2023-07-19T21:14:50+00:00,10,1855.05,True,1097,95,10,2646,1,7,8,MERGED
31981,[infomaniak] Add new extractor to resolve #31329,ishabahmed,2023-04-01T15:16:15Z,2024-01-27T11:08:42+00:00,1,7219.87,False,69,0,2,837,1,4,5,CLOSED
31916,[PornHub] Rename the age verification cookie,arobase-che,2023-03-23T00:37:27Z,2023-05-31T01:56:21+00:00,3,1657.32,False,11,3,1,837,18,2,20,CLOSED
31763,"Remove ""Get cookies.txt"" extension from README.md",Sophira,2023-03-04T17:54:19Z,2023-03-07T15:49:31+00:00,1,69.92,True,1,1,1,1404,16,0,16,MERGED
31568,youtube channel urls can also be @channelname,LentilStew,2023-02-18T04:39:50Z,2023-02-24T12:22:18+00:00,5,151.71,False,1,1,1,1621,3,1,4,CLOSED
31517,[StreamsbIE] Add extractor for streamsb.com (viewsb.com),fonkap,2023-02-06T15:52:16Z,2023-02-11T02:54:45+00:00,4,107.04,True,62,0,2,1149,4,10,14,MERGED
31516,[KommunetvIE] Add extractor for kommunetv.no,fonkap,2023-02-06T12:03:44Z,2023-02-11T02:47:43+00:00,8,110.73,True,36,0,2,1146,3,3,6,MERGED
31515,[FileMoonIE] Add extractor for filemoon.sx,fonkap,2023-02-06T10:32:43Z,2023-02-11T02:37:45+00:00,6,112.08,True,44,0,2,1148,0,10,10,MERGED
