number,title,author,createdAt,closedOrMergedAt,reviewsCount,hoursOpen,merged,additions,deletions,changedFiles,bodyLength,issueCommentsCount,reviewThreadsCount,interactionsCount,finalReviewState
39537,terminal: Fix terminal split pane opening in wrong directory,iamngoni,2025-10-05T00:25:48Z,2025-10-05T07:08:17+00:00,1,6.71,True,10,6,1,888,0,0,0,MERGED
39441,Fix rust-analyzer startup issue in single-file worktrees,timvermeulen,2025-10-03T09:24:40Z,2025-10-03T10:42:46+00:00,2,1.3,True,8,2,1,459,0,1,1,MERGED
39426,Add more unit tests for Rope,sourcefrog,2025-10-03T05:08:07Z,2025-10-05T18:42:27+00:00,4,61.57,True,91,12,1,499,1,1,2,MERGED
39425,docs: Fix path of language extensions on Linux,Be-ing,2025-10-03T04:30:11Z,2025-10-05T18:21:49+00:00,1,61.86,True,1,1,1,19,0,0,0,MERGED
39423,docs: Remove outdated mention about Vulkan on Asahi Linux,Be-ing,2025-10-03T03:31:44Z,2025-10-03T07:17:21+00:00,1,3.76,True,1,1,1,127,0,0,0,MERGED
39355,vim: Fix visual block handling of wrapped lines,dinocosta,2025-10-02T11:42:07Z,2025-10-03T13:58:34+00:00,1,26.27,True,88,6,3,1237,1,0,1,MERGED
39353,editor: Improve inlay color border,huacnlee,2025-10-02T11:13:11Z,2025-10-02T12:49:41+00:00,1,1.61,True,7,1,1,219,0,0,0,MERGED
39319,Fix background on rules library panel,AlvaroParker,2025-10-01T20:17:21Z,2025-10-02T03:40:14+00:00,1,7.38,True,1,0,1,479,0,0,0,MERGED
39311,"Add support for macOS' ""Do Nothing"" window setting",mkozjak,2025-10-01T18:47:23Z,2025-10-02T06:51:10+00:00,1,12.06,True,3,0,1,290,0,0,0,MERGED
39304,file_finder: Fix history items not using worktree path,marcocondrache,2025-10-01T17:18:08Z,2025-10-02T16:36:10+00:00,1,23.3,True,117,4,2,147,6,0,6,MERGED
39284,Fix agent panel terminals to respect user's SHELL environment variable,dvic,2025-10-01T12:16:53Z,2025-10-02T08:43:26+00:00,1,20.44,False,29,2,2,402,9,0,9,CLOSED
39262,Add more selection options to app menus,sir-geronimo,2025-10-01T04:49:53Z,2025-10-02T09:21:25+00:00,1,28.53,True,7,0,1,329,0,0,0,MERGED
39253,ui: Add a `TreeViewItem` component,danilo-leal,2025-09-30T22:33:01Z,2025-10-02T01:19:12+00:00,3,26.77,True,295,0,2,88,1,0,1,MERGED
39244,Enable vim mode within the rules editor,AlvaroParker,2025-09-30T20:40:21Z,2025-10-01T10:45:39+00:00,1,14.09,True,1,1,1,46,0,0,0,MERGED
39235,gpui: Respect macOS 'Do Nothing' window double-click setting,mkozjak,2025-09-30T19:28:13Z,2025-10-01T07:02:33+00:00,1,11.57,True,4,1,1,286,6,0,6,MERGED
39233,Update blade dependencies to the newest versions,mikayla-maki,2025-09-30T18:43:40Z,2025-09-30T20:51:09+00:00,1,2.12,True,22,36,3,19,0,0,0,MERGED
39223,editor: Preserve grapheme identity during rewrap,lemorage,2025-09-30T16:16:16Z,2025-10-01T07:37:24+00:00,1,15.35,True,19,1,1,33,0,0,0,MERGED
39178,windows: Fix auto-update for `conpty.dll`,JunkuiZhang,2025-09-30T08:31:44Z,2025-09-30T13:02:46+00:00,12,4.52,True,63,10,7,268,0,5,5,MERGED
39149,markdown_preview: Stylize links using accented text color,Simek,2025-09-29T20:41:56Z,2025-10-02T12:39:19+00:00,5,63.96,True,23,5,3,388,0,2,2,MERGED
39131,themes: Fix Ayu theme comment colors,dangooddd,2025-09-29T18:20:03Z,2025-09-29T23:50:03+00:00,1,5.5,True,3,3,1,421,0,0,0,MERGED
39101,markdown_preview: Improve table elements appearance,Simek,2025-09-29T11:37:07Z,2025-09-29T12:41:41+00:00,1,1.08,True,19,5,1,243,2,0,2,MERGED
39090,Better conpty,kubkon,2025-09-29T08:27:08Z,2025-09-29T20:08:35+00:00,22,11.69,True,46,20,5,2648,0,5,5,MERGED
39067,Order venvs by distance to worktree root,dunkmann00,2025-09-28T18:45:48Z,2025-09-29T16:25:41+00:00,1,21.66,True,11,6,1,154,1,1,2,MERGED
39059,git_ui: Fix last commit UI glitching on panel resize,Simek,2025-09-28T16:19:32Z,2025-09-29T10:06:15+00:00,1,17.78,True,1,1,1,601,0,0,0,MERGED
39055,windows: Refactor shell environment capture to use new_smol_command,cppcoffee,2025-09-28T14:36:33Z,2025-09-28T16:54:26+00:00,1,2.3,True,14,13,1,136,1,0,1,MERGED
39050,Add shell-specific command prefix for agent login,leonqadirie,2025-09-28T11:23:18Z,2025-10-02T19:37:10+00:00,1,104.23,False,17,1,1,314,1,0,1,CLOSED
39048,docs: Fix minor typos in configuring-zed.md,warrenjokinen,2025-09-28T10:57:47Z,2025-09-29T10:12:07+00:00,1,23.24,True,5,5,1,83,0,0,0,MERGED
39044,Add inline symbol reference count hints,gosvig123,2025-09-28T08:15:30Z,2025-09-29T20:34:28+00:00,2,36.32,False,418,4,3,737,1,4,5,CLOSED
39022,Add comprehensive GPT-5 Codex support with Responses API and image handling,07rjain,2025-09-27T13:27:21Z,2025-09-29T08:13:36+00:00,1,42.77,False,1711,196,5,3598,2,5,7,CLOSED
39019,windows: Implement shell environment loading for git operations,cppcoffee,2025-09-27T11:58:19Z,2025-09-27T15:10:06+00:00,3,3.2,True,61,3,2,227,0,1,1,MERGED
39008,git: Fix commit modal tooltip incorrect keybinding shown in amend mode,lemorage,2025-09-27T03:56:22Z,2025-09-29T14:28:14+00:00,2,58.53,True,6,2,2,127,1,0,1,MERGED
38967,Stop using linear color space on Linux Blade renderer,SomeoneToIgnore,2025-09-26T14:35:45Z,2025-09-26T16:09:31+00:00,1,1.56,True,6,21,3,146,3,1,4,MERGED
38895,keymap_editor: Fix filter input element alignment,Simek,2025-09-25T16:28:43Z,2025-09-25T18:29:02+00:00,1,2.01,True,1,1,1,429,2,0,2,MERGED
