repository,total_prs,reviews_max,reviews_mean,reviews_median,reviews_min,reviews_mode,reviews_std,reviews_variance,hours_open_max,hours_open_mean,hours_open_median,hours_open_min,hours_open_mode,hours_open_std,hours_open_variance
2dust/v2rayN,30,17.00,2.87,1.50,1.00,1.00,3.41,11.64,1095.86,140.45,30.71,1.01,2.86,277.97,77265.83
3b1b/manim,122,10.00,2.07,1.00,1.00,1.00,1.98,3.90,44737.58,2496.98,114.60,1.10,876.77,5602.58,31388890.22
996icu/996.ICU,149,31.00,2.03,1.00,1.00,1.00,3.70,13.70,15304.86,830.88,12.31,1.01,4.03,2587.75,6696466.50
abi/screenshot-to-code,14,5.00,2.00,2.00,1.00,1.00,1.24,1.54,6929.17,727.60,87.85,7.79,80.63,1856.70,3447316.80
airbnb/javascript,485,17.00,1.94,1.00,1.00,1.00,1.80,3.24,34726.98,791.16,22.28,1.01,4.23,3255.56,10598669.22
Anduin2017/HowToCook,416,12.00,1.83,1.00,1.00,1.00,1.70,2.90,27788.64,1348.97,13.89,1.02,1.38,5377.81,28920878.42
angular/angular,21277,201.00,3.95,2.00,1.00,1.00,6.82,46.48,62002.33,678.35,65.05,1.00,1.36,2568.12,6595240.64
animate-css/animate.css,97,24.00,2.00,1.00,1.00,1.00,2.70,7.29,24399.69,2070.14,256.16,2.14,11673.61,4623.72,21378799.83
ansible/ansible,19640,164.00,3.68,2.00,1.00,1.00,6.04,36.49,70190.65,1859.48,159.59,1.00,1.12,4924.92,24254855.61
ant-design/ant-design,8221,115.00,4.02,2.00,1.00,1.00,5.94,35.22,36409.29,229.43,15.62,1.00,1.03,1229.42,1511467.86
anuraghazra/github-readme-stats,1280,25.00,1.99,1.00,1.00,1.00,2.40,5.74,38712.33,2861.16,89.41,1.02,1.14,6723.31,45202911.46
apache/superset,13534,101.00,3.40,2.00,1.00,1.00,4.71,22.16,30590.58,534.85,51.38,1.00,1.51,1932.87,3735981.19
AppFlowy-IO/AppFlowy,1063,105.00,3.25,2.00,1.00,1.00,5.41,29.31,12232.17,237.58,39.97,1.03,1.95,838.85,703663.19
astral-sh/uv,3393,173.00,4.10,2.00,1.00,1.00,6.60,43.59,8625.57,136.87,16.51,1.00,1.24,533.61,284738.09
AUTOMATIC1111/stable-diffusion-webui,1499,33.00,1.31,1.00,1.00,1.00,1.38,1.89,8231.55,247.98,48.48,1.01,1.26,582.50,339307.38
avelino/awesome-go,2152,21.00,1.59,1.00,1.00,1.00,0.99,0.98,17289.76,796.26,187.34,1.01,3.33,2167.11,4696362.60
awesome-selfhosted/awesome-selfhosted,1939,22.00,2.06,1.00,1.00,1.00,1.65,2.73,15247.64,504.85,243.23,1.05,21.75,932.90,870300.17
awesomedata/awesome-public-datasets,2,3.00,2.50,2.50,2.00,3.00,0.71,0.50,4295.46,2381.29,2381.29,467.12,4295.46,2707.05,7328093.58
axios/axios,568,144.00,2.57,1.00,1.00,1.00,6.60,43.51,29284.93,4224.40,1048.41,1.20,1204.30,5899.98,34809749.43
base/node,125,48.00,2.19,1.00,1.00,1.00,4.50,20.27,1868.90,186.19,25.81,1.06,1.91,364.07,132548.96
binary-husky/gpt_academic,13,2.00,1.15,1.00,1.00,1.00,0.38,0.14,1710.61,270.94,117.60,6.03,166.97,456.20,208119.68
bitcoin/bitcoin,11609,378.00,9.15,4.00,1.00,1.00,16.67,277.89,57006.48,1702.34,245.20,1.00,18.93,3918.25,15352706.67
bregman-arie/devops-exercises,139,12.00,1.69,1.00,1.00,1.00,1.50,2.24,7517.85,1173.19,298.68,1.08,18.57,1793.43,3216395.93
browser-use/browser-use,597,27.00,2.41,1.00,1.00,1.00,2.80,7.82,5564.81,424.43,46.93,1.05,1.31,876.31,767911.45
caddyserver/caddy,1622,58.00,3.52,2.00,1.00,1.00,4.63,21.42,19487.68,554.94,79.72,1.01,1.46,1612.53,2600254.63
Chalarangelo/30-seconds-of-code,893,22.00,1.84,1.00,1.00,1.00,2.15,4.60,6411.72,121.92,9.30,1.01,1.19,519.08,269442.01
chartjs/Chart.js,2288,118.00,4.29,2.00,1.00,2.00,6.64,44.13,15640.85,351.35,23.73,1.00,3.40,1301.19,1693091.68
ChatGPTNextWeb/NextChat,331,29.00,3.04,2.00,1.00,1.00,3.50,12.26,6191.90,378.10,33.03,1.04,3.16,959.80,921207.75
clash-verge-rev/clash-verge-rev,68,4.00,1.56,1.00,1.00,1.00,0.89,0.79,7356.05,259.86,23.89,1.17,7.29,928.74,862558.69
codecrafters-io/build-your-own-x,50,4.00,1.40,1.00,1.00,1.00,0.76,0.57,46325.88,6441.99,655.18,1.20,21.78,11012.27,121270186.35
coder/code-server,1364,101.00,3.13,1.00,1.00,1.00,5.69,32.37,7645.55,184.37,30.59,1.01,6.35,525.29,275927.43
comfyanonymous/ComfyUI,321,20.00,2.60,2.00,1.00,1.00,2.72,7.40,19226.00,874.12,90.57,1.01,9.20,2416.66,5840246.71
CyC2018/CS-Notes,12,2.00,1.17,1.00,1.00,1.00,0.39,0.15,2222.13,1012.15,742.36,33.47,33.47,813.81,662288.12
d2l-ai/d2l-zh,279,58.00,3.10,1.00,1.00,1.00,6.25,39.09,4331.96,359.09,75.70,1.51,4.58,743.77,553195.84
d3/d3,52,8.00,1.65,1.00,1.00,1.00,1.25,1.56,6076.45,1033.23,34.36,1.15,1.26,1934.54,3742431.13
danielmiessler/SecLists,105,218.00,3.62,1.00,1.00,1.00,21.16,447.74,7928.79,1588.49,1271.65,4.47,7263.28,1478.16,2184957.91
deepseek-ai/DeepSeek-V3,28,9.00,1.93,1.00,1.00,1.00,2.00,3.99,2066.71,411.51,195.31,3.50,70.70,523.18,273717.36
denoland/deno,12430,95.00,2.98,1.00,1.00,1.00,4.38,19.17,26195.70,250.32,18.06,1.00,1.06,1143.50,1307584.02
Developer-Y/cs-video-courses,9,3.00,1.44,1.00,1.00,1.00,0.73,0.53,708.66,138.67,49.71,4.83,27.38,226.92,51494.58
django/django,7220,275.00,4.91,2.00,1.00,1.00,8.39,70.38,61948.60,1328.21,67.45,1.00,1.15,4161.92,17321569.93
donnemartin/system-design-primer,183,10.00,1.65,1.00,1.00,1.00,1.35,1.81,42240.77,2745.93,359.42,1.49,511.68,6408.68,41071142.33
doocs/advanced-java,20,2.00,1.15,1.00,1.00,1.00,0.37,0.13,664.59,83.83,13.48,1.11,664.59,174.04,30289.83
DopplerHQ/awesome-interview-questions,40,5.00,1.65,1.00,1.00,1.00,0.98,0.95,12730.03,3065.49,1744.47,2.97,2.97,2953.03,8720392.47
EbookFoundation/free-programming-books,2878,35.00,2.50,2.00,1.00,1.00,2.74,7.50,27148.73,316.53,32.91,1.01,11.88,1108.75,1229329.93
elastic/elasticsearch,46668,252.00,3.98,2.00,1.00,1.00,6.75,45.57,59346.43,301.84,34.86,1.00,1.03,1598.24,2554368.07
electron/electron,20696,172.00,2.25,1.00,1.00,1.00,3.13,9.82,38879.62,212.82,24.46,1.01,1.87,1213.12,1471658.52
enaqx/awesome-react,71,4.00,1.32,1.00,1.00,1.00,0.65,0.42,24324.19,1928.60,47.57,1.02,1.02,4174.79,17428856.51
Eugeny/tabby,31,11.00,2.10,1.00,1.00,1.00,2.06,4.22,1184.27,279.04,158.56,2.42,8.47,358.02,128181.71
excalidraw/excalidraw,2007,91.00,3.25,1.00,1.00,1.00,5.16,26.66,41166.04,471.65,30.15,1.00,2.56,2287.23,5231427.60
expressjs/express,434,55.00,3.75,2.00,1.00,1.00,5.57,31.05,89052.21,3409.05,376.89,1.04,24.75,9278.43,86089253.18
facebook/create-react-app,951,119.00,4.01,2.00,1.00,1.00,7.09,50.29,59622.94,2249.51,385.41,1.02,38.58,5385.54,29004016.88
facebook/react-native,5828,107.00,3.26,2.00,1.00,1.00,4.79,22.93,39901.44,1451.02,105.25,1.00,1.20,4055.99,16451062.58
facebook/react,7220,162.00,3.80,2.00,1.00,1.00,6.31,39.84,30358.85,923.71,35.89,1.00,1.05,3108.28,9661381.67
fastapi/fastapi,1926,58.00,3.75,2.00,1.00,1.00,4.74,22.44,46564.39,5323.16,1323.36,1.03,2682.83,8300.12,68891980.05
fatedier/frp,196,34.00,2.26,1.00,1.00,1.00,3.29,10.83,12620.16,330.13,28.16,1.03,17.43,1126.24,1268426.58
fffaraz/awesome-cpp,27,3.00,1.22,1.00,1.00,1.00,0.58,0.33,37243.42,3294.02,19.96,5.19,5.91,9593.38,92033024.67
florinpop17/app-ideas,73,9.00,1.40,1.00,1.00,1.00,1.20,1.44,24331.47,1745.23,20.61,1.08,4.73,5359.06,28719519.71
flutter/flutter,33631,261.00,3.81,1.00,1.00,1.00,7.93,62.93,17101.14,240.19,22.50,1.00,1.02,776.70,603269.25
FortAwesome/Font-Awesome,37,6.00,1.86,1.00,1.00,1.00,1.42,2.01,22302.62,4836.21,371.98,1.14,20535.91,6733.85,45344679.93
freeCodeCamp/freeCodeCamp,22064,306.00,3.13,2.00,1.00,1.00,5.80,33.61,16757.18,873.03,89.38,1.00,1.05,1666.71,2777918.65
f/awesome-chatgpt-prompts,78,5.00,1.55,1.00,1.00,1.00,0.89,0.80,21832.07,2860.79,485.73,1.44,18171.60,5332.37,28434116.88
Genymobile/scrcpy,103,22.00,3.83,2.00,1.00,1.00,3.91,15.28,34232.27,2845.17,286.45,1.97,33.98,6759.29,45687974.68
getify/You-Dont-Know-JS,50,8.00,1.60,1.00,1.00,1.00,1.29,1.67,89086.04,17447.19,4302.65,1.32,89086.04,24242.40,587693826.55
ggml-org/llama.cpp,5091,91.00,3.64,1.00,1.00,1.00,6.24,38.95,20368.30,205.61,25.19,1.00,1.69,841.26,707716.83
gin-gonic/gin,986,18.00,2.01,1.00,1.00,1.00,2.30,5.30,64257.25,1739.33,84.31,1.01,3.92,5850.75,34231247.08
github/gitignore,632,29.00,1.88,1.00,1.00,1.00,2.18,4.76,80632.57,8224.69,2125.10,1.01,40.54,11702.23,136942257.75
godotengine/godot,30425,131.00,3.35,2.00,1.00,1.00,5.28,27.86,51318.21,1092.79,68.94,1.00,1.07,3161.95,9997912.90
gohugoio/hugo,536,29.00,2.79,2.00,1.00,1.00,2.88,8.28,42968.69,1520.09,78.12,1.02,3.46,4184.85,17512969.73
golang/go,172,23.00,1.60,1.00,1.00,1.00,2.25,5.07,44404.60,6836.69,2208.24,1.64,32770.73,10000.42,100008315.48
goldbergyoni/nodebestpractices,481,36.00,2.50,1.00,1.00,1.00,3.64,13.24,13324.91,555.40,104.78,1.02,1.29,1494.55,2233679.16
google-gemini/gemini-cli,2234,65.00,4.86,3.00,1.00,3.00,5.12,26.21,2024.96,160.01,24.23,1.00,1.21,312.76,97817.54
gothinkster/realworld,47,3.00,1.26,1.00,1.00,1.00,0.57,0.32,5921.75,815.96,48.78,1.08,13.88,1608.06,2585850.07
grafana/grafana,41549,207.00,3.48,2.00,1.00,1.00,5.25,27.59,19809.03,228.50,29.81,1.00,1.02,701.71,492393.18
Hack-with-Github/Awesome-Hacking,38,23.00,5.37,2.50,1.00,1.00,6.12,37.43,24664.24,4292.90,1984.26,28.40,1862.51,5810.72,33764413.19
hacksider/Deep-Live-Cam,136,12.00,1.32,1.00,1.00,1.00,1.29,1.67,2881.27,360.74,26.52,1.00,4.01,734.87,540041.01
hakimel/reveal.js,39,14.00,2.08,1.00,1.00,1.00,2.26,5.13,41533.52,3888.30,1312.61,1.00,1312.61,8399.32,70548612.74
home-assistant/core,63997,249.00,4.41,2.00,1.00,1.00,8.56,73.21,24277.14,319.18,17.56,1.00,1.10,1072.41,1150055.92
hoppscotch/hoppscotch,1321,45.00,2.77,2.00,1.00,1.00,3.50,12.28,12859.46,309.92,42.90,1.00,1.37,1023.32,1047182.08
huggingface/transformers,14981,241.00,5.14,2.00,1.00,1.00,10.91,119.00,30209.61,334.72,55.40,1.00,1.03,1050.70,1103969.51
iluwatar/java-design-patterns,1128,45.00,2.16,1.00,1.00,1.00,3.33,11.08,25265.94,1185.48,227.93,1.01,2.16,2399.73,5758683.17
immich-app/immich,5396,102.00,2.90,1.00,1.00,1.00,4.59,21.05,8686.23,143.97,15.30,1.00,1.15,509.99,260087.59
infiniflow/ragflow,414,22.00,2.31,1.00,1.00,1.00,2.72,7.42,1990.87,57.21,17.24,1.04,2.54,154.61,23903.88
iptv-org/iptv,4425,92.00,2.75,2.00,1.00,2.00,3.43,11.73,5582.19,43.59,13.49,1.00,1.45,132.66,17599.87
jackfrued/Python-100-Days,5,1.00,1.00,1.00,1.00,1.00,0.00,0.00,39141.80,16075.87,12647.13,218.18,506.81,17151.16,294162208.84
jaywcjlove/awesome-mac,115,12.00,2.03,1.00,1.00,1.00,1.97,3.89,40612.36,3086.38,17.69,1.23,1.52,8408.97,70710859.52
jesseduffield/lazygit,837,74.00,4.24,2.00,1.00,1.00,5.92,35.04,22699.66,767.01,118.39,1.06,50.89,2204.13,4858173.89
jlevy/the-art-of-command-line,37,4.00,1.76,1.00,1.00,1.00,0.93,0.86,64787.12,6745.79,1609.89,26.24,34951.34,12782.88,163402124.86
josephmisiti/awesome-machine-learning,18,3.00,1.11,1.00,1.00,1.00,0.47,0.22,2858.88,684.59,495.27,43.81,52.92,681.85,464921.25
junegunn/fzf,174,35.00,4.02,3.00,1.00,1.00,4.29,18.39,16950.82,791.38,75.50,1.28,24.80,2673.42,7147181.70
justjavac/free-programming-books-zh_CN,22,3.00,1.14,1.00,1.00,1.00,0.47,0.22,35564.73,10126.59,8018.99,404.78,35564.73,8966.09,80390700.27
jwasham/coding-interview-university,79,12.00,1.97,1.00,1.00,1.00,1.93,3.74,61474.48,4576.39,49.23,1.72,6.54,12601.19,158790101.87
kamranahmedse/developer-roadmap,1507,17.00,1.43,1.00,1.00,1.00,1.21,1.45,19008.56,496.94,35.60,1.00,3.96,1647.34,2713735.28
krahets/hello-algo,803,29.00,3.48,1.00,1.00,1.00,4.33,18.79,7534.07,173.27,31.33,1.04,2.00,427.46,182723.23
kubernetes/kubernetes,38544,539.00,7.30,3.00,1.00,1.00,14.34,205.52,35882.77,1147.21,228.42,1.00,3.62,2282.29,5208833.81
labuladong/fucking-algorithm,36,6.00,1.31,1.00,1.00,1.00,1.01,1.02,8803.96,1071.69,118.99,1.56,27.08,1862.04,3467188.66
langchain-ai/langchain,8952,81.00,2.36,1.00,1.00,1.00,3.22,10.35,12149.89,396.39,44.56,1.00,1.27,1040.19,1081998.98
langflow-ai/langflow,3649,61.00,2.37,1.00,1.00,1.00,3.10,9.63,8290.50,160.54,27.38,1.00,1.36,460.38,211948.18
langgenius/dify,4408,32.00,1.79,1.00,1.00,1.00,1.82,3.30,7671.70,105.03,13.75,1.00,1.02,364.15,132602.86
laravel/laravel,191,21.00,2.06,1.00,1.00,1.00,2.27,5.17,2136.85,70.97,9.94,1.03,4.54,278.94,77809.89
leonardomso/33-js-concepts,13,4.00,1.31,1.00,1.00,1.00,0.85,0.73,10401.67,2159.11,573.10,2.07,2.07,3518.99,12383321.87
lobehub/lobe-chat,921,113.00,2.85,2.00,1.00,1.00,4.96,24.63,6587.19,231.49,29.58,1.01,2.63,608.82,370657.89
localsend/localsend,83,9.00,1.89,1.00,1.00,1.00,1.65,2.73,4430.69,139.65,13.96,1.02,6.15,552.35,305090.54
louislam/uptime-kuma,621,65.00,4.09,2.00,1.00,1.00,5.23,27.40,28940.82,1807.41,234.03,1.10,104.57,3697.22,13669437.04
macrozheng/mall,1,2.00,2.00,2.00,2.00,2.00,,,35769.30,35769.30,35769.30,35769.30,35769.30,,
mermaid-js/mermaid,982,151.00,3.58,1.00,1.00,1.00,8.26,68.20,17665.49,566.67,83.63,1.01,5.44,1804.84,3257438.08
microsoft/generative-ai-for-beginners,307,16.00,1.37,1.00,1.00,1.00,1.39,1.92,2508.59,311.80,155.97,1.10,327.62,449.42,201974.38
microsoft/markitdown,64,13.00,2.86,1.00,1.00,1.00,3.02,9.14,6168.87,361.42,33.69,1.15,6168.87,960.41,922380.04
microsoft/ML-For-Beginners,288,13.00,1.62,1.00,1.00,1.00,1.49,2.21,6696.41,287.91,21.46,1.03,6.76,777.42,604378.46
microsoft/playwright,9951,57.00,1.95,1.00,1.00,1.00,2.27,5.17,8828.78,75.80,10.80,1.00,1.16,283.60,80429.98
microsoft/PowerToys,5403,96.00,3.74,2.00,1.00,1.00,5.53,30.57,20834.98,236.90,41.95,1.01,1.55,927.76,860745.00
microsoft/terminal,4151,144.00,6.82,3.00,1.00,2.00,9.62,92.55,30425.26,481.91,56.46,1.01,8.01,1864.73,3477206.73
microsoft/TypeScript,9797,180.00,3.90,2.00,1.00,1.00,6.56,43.04,41846.25,974.52,75.30,1.00,1.01,3149.82,9921360.51
microsoft/vscode,17673,150.00,2.47,1.00,1.00,1.00,3.50,12.26,56499.50,380.11,17.14,1.00,1.07,2100.29,4411208.46
microsoft/Web-Dev-For-Beginners,419,29.00,1.77,1.00,1.00,1.00,2.31,5.35,25498.85,1698.45,129.53,1.17,1.44,4133.22,17083537.19
moby/moby,10767,158.00,4.30,2.00,1.00,2.00,6.37,40.61,65855.81,730.42,43.50,1.00,1.47,3225.73,10405322.87
modelcontextprotocol/servers,1207,14.00,1.54,1.00,1.00,1.00,1.17,1.36,6438.70,538.63,184.68,1.01,6.43,786.32,618295.82
mrdoob/three.js,5213,55.00,3.38,2.00,1.00,1.00,4.48,20.09,51265.01,791.15,30.66,1.00,1.05,3144.00,9884734.77
mtdvio/every-programmer-should-know,28,3.00,1.29,1.00,1.00,1.00,0.66,0.43,43654.53,7499.30,2164.79,5.16,14.82,10777.14,116146781.00
mui/material-ui,14051,184.00,3.55,1.00,1.00,1.00,5.79,33.53,25449.23,289.53,37.05,1.00,1.27,1127.35,1270918.93
